 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+02 eV = 2.57245E+01 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file Data/z_001.d
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 6.79840E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.66000E-25 cm**3
 #                            Bpol = 6.37377E+00
 #
 # Total elastic cross section = 3.35234E-18 cm**2 = 1.19714E-01 a0**2
 # 1st transport cross section = 2.34518E-19 cm**2 = 8.37480E-03 a0**2
 # 2nd transport cross section = 5.39802E-19 cm**2 = 1.92767E-02 a0**2
 #
 #    Absorption cross section = 2.15727E-17 cm**2 = 7.70374E-01 a0**2
 #   Grand total cross section = 2.49251E-17 cm**2 = 8.90093E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 7.49409E-18
7.61557E-13 7.49409E-18
1.18994E-12 7.49409E-18
1.71346E-12 7.49409E-18
2.33225E-12 7.49409E-18
3.04617E-12 7.49409E-18
3.85530E-12 7.49409E-18
4.75964E-12 7.49409E-18
5.75917E-12 7.49409E-18
6.85391E-12 7.49409E-18
8.04379E-12 7.49409E-18
9.32893E-12 7.49409E-18
1.07092E-11 7.49409E-18
1.21847E-11 7.49409E-18
1.37554E-11 7.49409E-18
1.54213E-11 7.49409E-18
1.71823E-11 7.49409E-18
1.90386E-11 7.49409E-18
2.09900E-11 7.49409E-18
2.30367E-11 7.49409E-18
2.51785E-11 7.49409E-18
2.74156E-11 7.49409E-18
2.97478E-11 7.49409E-18
3.21752E-11 7.49409E-18
3.46979E-11 7.49409E-18
3.73157E-11 7.49409E-18
4.00286E-11 7.49409E-18
4.28368E-11 7.49409E-18
4.57402E-11 7.49409E-18
4.87388E-11 7.49409E-18
5.18325E-11 7.49409E-18
5.50215E-11 7.49409E-18
5.83057E-11 7.49409E-18
6.16850E-11 7.49409E-18
6.51595E-11 7.49409E-18
6.87293E-11 7.49409E-18
7.23943E-11 7.49409E-18
7.61544E-11 7.49409E-18
1.18991E-10 7.49409E-18
1.71347E-10 7.49409E-18
2.33223E-10 7.49408E-18
3.04617E-10 7.49408E-18
3.85531E-10 7.49408E-18
4.75965E-10 7.49407E-18
5.75917E-10 7.49407E-18
6.85389E-10 7.49407E-18
8.04380E-10 7.49406E-18
9.32891E-10 7.49406E-18
1.07092E-09 7.49405E-18
1.21847E-09 7.49405E-18
1.37554E-09 7.49404E-18
1.54213E-09 7.49403E-18
1.71823E-09 7.49403E-18
1.90386E-09 7.49402E-18
2.09900E-09 7.49401E-18
2.30367E-09 7.49400E-18
2.51785E-09 7.49400E-18
2.74156E-09 7.49399E-18
2.97478E-09 7.49398E-18
3.21752E-09 7.49397E-18
3.46978E-09 7.49396E-18
3.73156E-09 7.49395E-18
4.00286E-09 7.49394E-18
4.28368E-09 7.49393E-18
4.57402E-09 7.49392E-18
4.87388E-09 7.49391E-18
5.18326E-09 7.49390E-18
5.50215E-09 7.49388E-18
5.83057E-09 7.49387E-18
6.16850E-09 7.49386E-18
6.51596E-09 7.49384E-18
6.87293E-09 7.49383E-18
7.23942E-09 7.49382E-18
7.61544E-09 7.49380E-18
1.18991E-08 7.49364E-18
1.71347E-08 7.49344E-18
2.33223E-08 7.49321E-18
3.04617E-08 7.49294E-18
3.85531E-08 7.49263E-18
4.75965E-08 7.49229E-18
5.75917E-08 7.49191E-18
6.85389E-08 7.49150E-18
8.04380E-08 7.49105E-18
9.32891E-08 7.49057E-18
1.07092E-07 7.49005E-18
1.21847E-07 7.48950E-18
1.37554E-07 7.48891E-18
1.54213E-07 7.48828E-18
1.71823E-07 7.48762E-18
1.90386E-07 7.48693E-18
2.09900E-07 7.48620E-18
2.30367E-07 7.48544E-18
2.51785E-07 7.48465E-18
2.74156E-07 7.48382E-18
2.97478E-07 7.48295E-18
3.21752E-07 7.48206E-18
3.46978E-07 7.48113E-18
3.73156E-07 7.48017E-18
4.00286E-07 7.47917E-18
4.28368E-07 7.47814E-18
4.57402E-07 7.47708E-18
4.87388E-07 7.47599E-18
5.18325E-07 7.47487E-18
5.50215E-07 7.47371E-18
5.83057E-07 7.47253E-18
6.16850E-07 7.47131E-18
6.51596E-07 7.47006E-18
6.87293E-07 7.46879E-18
7.23942E-07 7.46748E-18
7.61543E-07 7.46614E-18
1.18991E-06 7.45121E-18
1.71347E-06 7.43372E-18
2.33223E-06 7.41409E-18
3.04617E-06 7.39279E-18
3.85531E-06 7.37035E-18
4.75964E-06 7.34729E-18
5.75916E-06 7.32420E-18
6.85388E-06 7.30163E-18
8.04378E-06 7.28015E-18
9.32888E-06 7.26029E-18
1.07092E-05 7.24256E-18
1.21846E-05 7.22744E-18
1.37553E-05 7.21535E-18
1.54212E-05 7.20667E-18
1.71822E-05 7.20172E-18
1.90385E-05 7.20075E-18
2.09899E-05 7.20395E-18
2.30365E-05 7.21147E-18
2.51783E-05 7.22337E-18
2.74153E-05 7.23968E-18
2.97475E-05 7.26036E-18
3.21749E-05 7.28532E-18
3.46974E-05 7.31444E-18
3.73152E-05 7.34757E-18
4.00281E-05 7.38452E-18
4.28362E-05 7.42508E-18
4.57395E-05 7.46902E-18
4.87380E-05 7.51611E-18
5.18317E-05 7.56612E-18
5.50205E-05 7.61882E-18
5.83045E-05 7.67397E-18
6.16838E-05 7.73137E-18
6.51582E-05 7.79082E-18
6.87277E-05 7.85213E-18
7.23925E-05 7.91514E-18
7.61524E-05 7.97972E-18
9.21439E-05 8.25156E-18
1.09658E-04 8.54221E-18
1.28695E-04 8.85070E-18
1.49255E-04 9.17749E-18
1.71338E-04 9.52231E-18
1.94942E-04 9.88279E-18
2.20070E-04 1.02543E-17
2.46720E-04 1.06306E-17
2.74892E-04 1.10056E-17
3.04586E-04 1.13743E-17
3.35803E-04 1.17342E-17
3.68542E-04 1.20846E-17
4.02802E-04 1.24265E-17
4.38585E-04 1.27612E-17
4.75889E-04 1.30894E-17
5.14715E-04 1.34104E-17
5.55063E-04 1.37221E-17
5.96931E-04 1.40218E-17
6.40321E-04 1.43069E-17
6.85233E-04 1.45754E-17
7.31665E-04 1.48267E-17
7.79618E-04 1.50614E-17
8.29092E-04 1.52810E-17
8.80086E-04 1.54868E-17
9.32601E-04 1.56799E-17
9.86636E-04 1.58604E-17
1.04219E-03 1.60277E-17
1.09927E-03 1.61806E-17
1.15786E-03 1.63179E-17
1.21797E-03 1.64390E-17
1.27961E-03 1.65440E-17
1.34276E-03 1.66338E-17
1.40743E-03 1.67098E-17
1.47362E-03 1.67733E-17
1.54133E-03 1.68253E-17
1.61056E-03 1.68662E-17
1.68131E-03 1.68959E-17
1.75357E-03 1.69139E-17
1.82735E-03 1.69196E-17
1.90265E-03 1.69130E-17
1.97947E-03 1.68945E-17
2.05780E-03 1.68649E-17
2.13765E-03 1.68253E-17
2.21902E-03 1.67768E-17
2.30190E-03 1.67203E-17
2.38630E-03 1.66561E-17
2.47222E-03 1.65842E-17
2.55965E-03 1.65045E-17
2.64859E-03 1.64167E-17
2.73905E-03 1.63210E-17
2.83103E-03 1.62176E-17
2.92452E-03 1.61073E-17
3.01952E-03 1.59910E-17
3.11604E-03 1.58696E-17
3.21407E-03 1.57435E-17
3.31362E-03 1.56133E-17
3.41468E-03 1.54789E-17
3.51725E-03 1.53401E-17
3.62133E-03 1.51970E-17
3.72692E-03 1.50496E-17
3.83403E-03 1.48981E-17
3.94265E-03 1.47432E-17
4.05278E-03 1.45855E-17
4.16442E-03 1.44255E-17
4.27757E-03 1.42638E-17
4.39223E-03 1.41006E-17
4.50840E-03 1.39358E-17
4.62608E-03 1.37694E-17
4.74527E-03 1.36014E-17
4.86597E-03 1.34317E-17
4.98817E-03 1.32606E-17
