 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  4.84185E-17  7.14205E-18  1.43434E-17  7.58372E-17  9.8E-07
   1.25000E+02  3.75626E-17  4.86799E-18  1.00484E-17  6.71098E-17  1.5E-04
   1.50000E+02  3.05716E-17  3.59351E-18  7.54779E-18  5.96117E-17  1.3E-04
   1.75000E+02  2.56628E-17  2.78677E-18  5.92894E-18  5.34601E-17  6.1E-05
   2.00000E+02  2.20198E-17  2.23691E-18  4.80852E-18  4.84025E-17  1.5E-05
   2.50000E+02  1.69592E-17  1.54840E-18  3.38118E-18  4.06548E-17  1.0E-04
   3.00000E+02  1.35684E-17  1.14003E-18  2.51921E-18  3.50312E-17  1.6E-04
   3.50000E+02  1.11998E-17  8.74973E-19  1.94907E-18  3.07753E-17  1.1E-04
   4.00000E+02  9.51380E-18  6.95753E-19  1.56097E-18  2.74454E-17  3.6E-05
   4.50000E+02  8.25609E-18  5.68244E-19  1.28314E-18  2.47693E-17  9.6E-05
   5.00000E+02  7.28383E-18  4.73941E-19  1.07645E-18  2.25718E-17  1.5E-04
   6.00000E+02  5.88254E-18  3.45851E-19  7.93392E-19  1.91764E-17  1.2E-04
   7.00000E+02  4.92431E-18  2.64661E-19  6.12169E-19  1.66745E-17  3.0E-04
   8.00000E+02  4.22953E-18  2.09709E-19  4.88486E-19  1.47539E-17  3.5E-05
   9.00000E+02  3.70359E-18  1.70660E-19  3.99935E-19  1.32327E-17  1.7E-04
   1.00000E+03  3.29215E-18  1.41848E-19  3.34170E-19  1.19979E-17  7.0E-05
   1.25000E+03  2.57298E-18  9.57034E-20  2.27899E-19  9.73344E-18  1.1E-04
   1.50000E+03  2.10933E-18  6.92634E-20  1.66317E-19  8.19243E-18  5.6E-03
   1.75000E+03  1.78619E-18  5.26318E-20  1.27234E-19  7.07553E-18  9.3E-03
   2.00000E+03  1.54838E-18  4.14548E-20  1.00778E-19  6.22861E-18  9.0E-03
   2.50000E+03  1.22224E-18  2.77723E-20  6.81188E-20  5.02902E-18  6.0E-03
   3.00000E+03  1.00937E-18  1.99922E-20  4.93736E-20  4.21986E-18  7.1E-03
   3.50000E+03  8.59655E-19  1.51279E-20  3.75678E-20  3.63704E-18  7.9E-03
