 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: He,  Z =   2,  atomic weight = 4.00260E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.69889E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  2
 #
 # Electron density: Read from file Data/z_002.d
 #                   Number of data points =  669
 #                   Volume integral = 2.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.77874E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.05000E-25 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 2.16110E-18 cm**2 = 7.71744E-02 a0**2
 # 1st transport cross section = 1.47685E-19 cm**2 = 5.27391E-03 a0**2
 # 2nd transport cross section = 3.37747E-19 cm**2 = 1.20612E-02 a0**2
 #
 #    Absorption cross section = 6.46381E-18 cm**2 = 2.30827E-01 a0**2
 #   Grand total cross section = 8.62501E-18 cm**2 = 3.08005E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 6.34115E-18
7.61557E-13 6.34115E-18
1.18994E-12 6.34115E-18
1.71346E-12 6.34115E-18
2.33225E-12 6.34115E-18
3.04617E-12 6.34115E-18
3.85530E-12 6.34115E-18
4.75964E-12 6.34115E-18
5.75917E-12 6.34115E-18
6.85391E-12 6.34115E-18
8.04379E-12 6.34115E-18
9.32893E-12 6.34115E-18
1.07092E-11 6.34115E-18
1.21847E-11 6.34115E-18
1.37554E-11 6.34115E-18
1.54213E-11 6.34116E-18
1.71823E-11 6.34116E-18
1.90386E-11 6.34116E-18
2.09900E-11 6.34116E-18
2.30367E-11 6.34116E-18
2.51785E-11 6.34116E-18
2.74156E-11 6.34116E-18
2.97478E-11 6.34116E-18
3.21752E-11 6.34116E-18
3.46979E-11 6.34116E-18
3.73157E-11 6.34116E-18
4.00286E-11 6.34116E-18
4.28368E-11 6.34116E-18
4.57402E-11 6.34116E-18
4.87388E-11 6.34116E-18
5.18325E-11 6.34116E-18
5.50215E-11 6.34116E-18
5.83057E-11 6.34116E-18
6.16850E-11 6.34116E-18
6.51595E-11 6.34116E-18
6.87293E-11 6.34116E-18
7.23943E-11 6.34116E-18
7.61544E-11 6.34116E-18
1.18991E-10 6.34117E-18
1.71347E-10 6.34118E-18
2.33223E-10 6.34118E-18
3.04617E-10 6.34119E-18
3.85531E-10 6.34120E-18
4.75965E-10 6.34122E-18
5.75917E-10 6.34123E-18
6.85389E-10 6.34124E-18
8.04380E-10 6.34126E-18
9.32891E-10 6.34127E-18
1.07092E-09 6.34129E-18
1.21847E-09 6.34131E-18
1.37554E-09 6.34133E-18
1.54213E-09 6.34135E-18
1.71823E-09 6.34138E-18
1.90386E-09 6.34140E-18
2.09900E-09 6.34143E-18
2.30367E-09 6.34145E-18
2.51785E-09 6.34148E-18
2.74156E-09 6.34151E-18
2.97478E-09 6.34154E-18
3.21752E-09 6.34157E-18
3.46978E-09 6.34160E-18
3.73156E-09 6.34164E-18
4.00286E-09 6.34167E-18
4.28368E-09 6.34171E-18
4.57402E-09 6.34175E-18
4.87388E-09 6.34179E-18
5.18326E-09 6.34183E-18
5.50215E-09 6.34187E-18
5.83057E-09 6.34191E-18
6.16850E-09 6.34196E-18
6.51596E-09 6.34200E-18
6.87293E-09 6.34205E-18
7.23942E-09 6.34210E-18
7.61544E-09 6.34214E-18
1.18991E-08 6.34270E-18
1.71347E-08 6.34338E-18
2.33223E-08 6.34419E-18
3.04617E-08 6.34512E-18
3.85531E-08 6.34617E-18
4.75965E-08 6.34734E-18
5.75917E-08 6.34864E-18
6.85389E-08 6.35006E-18
8.04380E-08 6.35161E-18
9.32891E-08 6.35327E-18
1.07092E-07 6.35506E-18
1.21847E-07 6.35697E-18
1.37554E-07 6.35900E-18
1.54213E-07 6.36116E-18
1.71823E-07 6.36343E-18
1.90386E-07 6.36583E-18
2.09900E-07 6.36835E-18
2.30367E-07 6.37098E-18
2.51785E-07 6.37374E-18
2.74156E-07 6.37661E-18
2.97478E-07 6.37961E-18
3.21752E-07 6.38272E-18
3.46978E-07 6.38596E-18
3.73156E-07 6.38931E-18
4.00286E-07 6.39277E-18
4.28368E-07 6.39636E-18
4.57402E-07 6.40006E-18
4.87388E-07 6.40387E-18
5.18325E-07 6.40780E-18
5.50215E-07 6.41185E-18
5.83057E-07 6.41601E-18
6.16850E-07 6.42029E-18
6.51596E-07 6.42467E-18
6.87293E-07 6.42917E-18
7.23942E-07 6.43379E-18
7.61543E-07 6.43851E-18
1.18991E-06 6.49171E-18
1.71347E-06 6.55524E-18
2.33223E-06 6.62826E-18
3.04617E-06 6.70979E-18
3.85531E-06 6.79879E-18
4.75964E-06 6.89415E-18
5.75916E-06 6.99473E-18
6.85388E-06 7.09937E-18
8.04378E-06 7.20697E-18
9.32888E-06 7.31646E-18
1.07092E-05 7.42688E-18
1.21846E-05 7.53737E-18
1.37553E-05 7.64721E-18
1.54212E-05 7.75582E-18
1.71822E-05 7.86276E-18
1.90385E-05 7.96774E-18
2.09899E-05 8.07061E-18
2.30365E-05 8.17133E-18
2.51783E-05 8.26998E-18
2.74153E-05 8.36671E-18
2.97475E-05 8.46173E-18
3.21749E-05 8.55530E-18
3.46974E-05 8.64767E-18
3.73152E-05 8.73909E-18
4.00281E-05 8.82978E-18
4.28362E-05 8.91992E-18
4.57395E-05 9.00966E-18
4.87380E-05 9.09907E-18
5.18317E-05 9.18817E-18
5.50205E-05 9.27694E-18
5.83045E-05 9.36531E-18
6.16838E-05 9.45317E-18
6.51582E-05 9.54038E-18
6.87277E-05 9.62680E-18
7.23925E-05 9.71228E-18
7.61524E-05 9.79668E-18
9.21439E-05 1.01214E-17
1.09658E-04 1.04242E-17
1.28695E-04 1.07083E-17
1.49255E-04 1.09782E-17
1.71338E-04 1.12348E-17
1.94942E-04 1.14754E-17
2.20070E-04 1.16973E-17
2.46720E-04 1.19006E-17
2.74892E-04 1.20881E-17
3.04586E-04 1.22618E-17
3.35803E-04 1.24216E-17
3.68542E-04 1.25659E-17
4.02802E-04 1.26940E-17
4.38585E-04 1.28073E-17
4.75889E-04 1.29076E-17
5.14715E-04 1.29958E-17
5.55063E-04 1.30716E-17
5.96931E-04 1.31342E-17
6.40321E-04 1.31840E-17
6.85233E-04 1.32224E-17
7.31665E-04 1.32506E-17
7.79618E-04 1.32688E-17
8.29092E-04 1.32768E-17
8.80086E-04 1.32744E-17
9.32601E-04 1.32625E-17
9.86636E-04 1.32421E-17
1.04219E-03 1.32140E-17
1.09927E-03 1.31781E-17
1.15786E-03 1.31342E-17
1.21797E-03 1.30828E-17
1.27961E-03 1.30245E-17
1.34276E-03 1.29602E-17
1.40743E-03 1.28903E-17
1.47362E-03 1.28146E-17
1.54133E-03 1.27331E-17
1.61056E-03 1.26464E-17
1.68131E-03 1.25551E-17
1.75357E-03 1.24597E-17
1.82735E-03 1.23604E-17
1.90265E-03 1.22570E-17
1.97947E-03 1.21497E-17
2.05780E-03 1.20391E-17
2.13765E-03 1.19257E-17
2.21902E-03 1.18097E-17
2.30190E-03 1.16912E-17
2.38630E-03 1.15700E-17
2.47222E-03 1.14466E-17
2.55965E-03 1.13214E-17
2.64859E-03 1.11947E-17
2.73905E-03 1.10666E-17
2.83103E-03 1.09370E-17
2.92452E-03 1.08060E-17
3.01952E-03 1.06740E-17
3.11604E-03 1.05414E-17
3.21407E-03 1.04082E-17
3.31362E-03 1.02744E-17
3.41468E-03 1.01401E-17
3.51725E-03 1.00055E-17
3.62133E-03 9.87071E-18
3.72692E-03 9.73607E-18
3.83403E-03 9.60159E-18
3.94265E-03 9.46722E-18
4.05278E-03 9.33300E-18
4.16442E-03 9.19913E-18
4.27757E-03 9.06583E-18
4.39223E-03 8.93319E-18
4.50840E-03 8.80119E-18
4.62608E-03 8.66978E-18
4.74527E-03 8.53906E-18
4.86597E-03 8.40922E-18
4.98817E-03 8.28038E-18
5.11188E-03 8.15257E-18
5.23711E-03 8.02571E-18
5.36383E-03 7.89982E-18
5.49207E-03 7.77501E-18
5.62181E-03 7.65142E-18
5.75306E-03 7.52910E-18
5.88581E-03 7.40801E-18
6.02007E-03 7.28811E-18
6.15583E-03 7.16942E-18
6.29310E-03 7.05207E-18
6.43187E-03 6.93612E-18
6.57214E-03 6.82157E-18
6.71392E-03 6.70837E-18
