 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   2,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  1.40323E-17  4.98055E-18  8.40541E-18  6.26997E-17  1.0E-04
   1.25000E+02  1.36299E-17  4.29112E-18  7.56623E-18  5.61930E-17  4.8E-05
   1.50000E+02  1.28411E-17  3.67259E-18  6.68267E-18  5.07043E-17  8.0E-06
   1.75000E+02  1.20066E-17  3.16970E-18  5.90980E-18  4.61082E-17  1.0E-05
   2.00000E+02  1.12220E-17  2.76652E-18  5.25840E-18  4.22262E-17  9.1E-05
   2.50000E+02  9.87430E-18  2.17359E-18  4.24933E-18  3.60675E-17  1.4E-05
   3.00000E+02  8.79603E-18  1.76473E-18  3.51871E-18  3.14233E-17  7.7E-05
   3.50000E+02  7.92685E-18  1.46838E-18  2.97253E-18  2.78096E-17  1.8E-05
   4.00000E+02  7.21548E-18  1.24528E-18  2.55246E-18  2.49240E-17  2.1E-05
   4.50000E+02  6.62385E-18  1.07236E-18  2.22133E-18  2.25701E-17  1.3E-05
   5.00000E+02  6.12443E-18  9.35202E-19  1.95484E-18  2.06145E-17  3.5E-05
   6.00000E+02  5.32677E-18  7.32826E-19  1.55472E-18  1.75584E-17  2.3E-05
   7.00000E+02  4.71681E-18  5.92134E-19  1.27126E-18  1.52839E-17  2.6E-05
   8.00000E+02  4.23449E-18  4.89762E-19  1.06206E-18  1.35275E-17  1.0E+00
   9.00000E+02  3.84309E-18  4.12664E-19  9.02644E-19  1.21318E-17  9.2E-05
   1.00000E+03  3.51883E-18  3.53005E-19  7.77981E-19  1.09966E-17  1.0E+00
   1.25000E+03  2.90773E-18  2.51400E-19  5.62608E-19  8.91158E-18  6.4E-04
   1.50000E+03  2.47890E-18  1.88966E-19  4.27993E-19  7.49211E-18  1.1E-03
   1.75000E+03  2.16110E-18  1.47685E-19  3.37747E-19  6.46381E-18  8.3E-04
   2.00000E+03  1.91607E-18  1.18878E-19  2.74080E-19  5.68473E-18  8.6E-04
   2.50000E+03  1.56283E-18  8.21995E-20  1.91965E-19  4.58263E-18  1.3E-03
   3.00000E+03  1.32036E-18  6.04904E-20  1.42672E-19  3.84049E-18  1.3E-03
   3.50000E+03  1.14359E-18  4.65265E-20  1.10614E-19  3.30672E-18  1.1E-03
   4.00000E+03  1.00897E-18  3.69877E-20  8.85183E-20  2.90436E-18  9.2E-04
   4.50000E+03  9.03023E-19  3.01675E-20  7.26025E-20  2.59020E-18  4.1E-03
   5.00000E+03  8.17467E-19  2.51135E-20  6.07327E-20  2.33810E-18  2.4E-03
   6.00000E+03  6.87768E-19  1.82477E-20  4.44852E-20  1.95864E-18  3.3E-03
   7.00000E+03  5.94098E-19  1.39047E-20  3.41176E-20  1.68662E-18  3.1E-03
   8.00000E+03  5.23268E-19  1.09750E-20  2.70745E-20  1.48205E-18  4.8E-03
   9.00000E+03  4.67830E-19  8.90089E-21  2.20587E-20  1.32262E-18  3.5E-03
   1.00000E+04  4.23256E-19  7.37601E-21  1.83527E-20  1.19486E-18  4.4E-03
   1.25000E+04  3.45827E-19  4.94778E-21  1.24112E-20  9.64399E-19  2.2E-05
   1.50000E+04  2.90755E-19  3.56611E-21  9.00204E-21  8.10407E-19  3.4E-05
   1.75000E+04  2.51301E-19  2.70220E-21  6.85650E-21  7.00233E-19  3.2E-05
   2.00000E+04  2.21648E-19  2.12443E-21  5.41396E-21  6.17501E-19  1.7E-06
   2.50000E+04  1.80044E-19  1.42089E-21  3.64671E-21  5.01531E-19  1.8E-06
   3.00000E+04  1.52254E-19  1.02304E-21  2.64042E-21  4.24124E-19  2.9E-06
   3.50000E+04  1.32379E-19  7.75204E-22  2.01013E-21  3.68789E-19  2.3E-06
   4.00000E+04  1.17461E-19  6.09869E-22  1.58776E-21  3.27267E-19  2.7E-06
   4.50000E+04  1.05852E-19  4.93782E-22  1.29005E-21  2.94962E-19  3.1E-06
   5.00000E+04  9.65630E-20  4.08972E-22  1.07182E-21  2.69110E-19  3.3E-06
