 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Li,  Z =   3,  atomic weight = 6.94100E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.04107E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  3
 #
 # Electron density: Read from file Data/z_003.d
 #                   Number of data points =  823
 #                   Volume integral = 3.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.43000E-23 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 3.71920E-18 cm**2 = 1.32815E-01 a0**2
 # 1st transport cross section = 3.00181E-20 cm**2 = 1.07197E-03 a0**2
 # 2nd transport cross section = 7.34958E-20 cm**2 = 2.62458E-03 a0**2
 #
 #    Absorption cross section = 1.29921E-17 cm**2 = 4.63955E-01 a0**2
 #   Grand total cross section = 1.67129E-17 cm**2 = 5.96827E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 8.30988E-17
7.61557E-13 8.30987E-17
1.18994E-12 8.30986E-17
1.71346E-12 8.30985E-17
2.33225E-12 8.30984E-17
3.04617E-12 8.30983E-17
3.85530E-12 8.30982E-17
4.75964E-12 8.30981E-17
5.75917E-12 8.30980E-17
6.85391E-12 8.30978E-17
8.04379E-12 8.30976E-17
9.32893E-12 8.30975E-17
1.07092E-11 8.30973E-17
1.21847E-11 8.30971E-17
1.37554E-11 8.30968E-17
1.54213E-11 8.30966E-17
1.71823E-11 8.30964E-17
1.90386E-11 8.30961E-17
2.09900E-11 8.30958E-17
2.30367E-11 8.30955E-17
2.51785E-11 8.30952E-17
2.74156E-11 8.30949E-17
2.97478E-11 8.30946E-17
3.21752E-11 8.30943E-17
3.46979E-11 8.30939E-17
3.73157E-11 8.30935E-17
4.00286E-11 8.30931E-17
4.28368E-11 8.30928E-17
4.57402E-11 8.30923E-17
4.87388E-11 8.30919E-17
5.18325E-11 8.30915E-17
5.50215E-11 8.30910E-17
5.83057E-11 8.30906E-17
6.16850E-11 8.30901E-17
6.51595E-11 8.30896E-17
6.87293E-11 8.30891E-17
7.23943E-11 8.30886E-17
7.61544E-11 8.30881E-17
1.18991E-10 8.30821E-17
1.71347E-10 8.30747E-17
2.33223E-10 8.30660E-17
3.04617E-10 8.30560E-17
3.85531E-10 8.30446E-17
4.75965E-10 8.30319E-17
5.75917E-10 8.30179E-17
6.85389E-10 8.30025E-17
8.04380E-10 8.29858E-17
9.32891E-10 8.29678E-17
1.07092E-09 8.29484E-17
1.21847E-09 8.29277E-17
1.37554E-09 8.29057E-17
1.54213E-09 8.28823E-17
1.71823E-09 8.28577E-17
1.90386E-09 8.28317E-17
2.09900E-09 8.28043E-17
2.30367E-09 8.27757E-17
2.51785E-09 8.27457E-17
2.74156E-09 8.27144E-17
2.97478E-09 8.26818E-17
3.21752E-09 8.26479E-17
3.46978E-09 8.26126E-17
3.73156E-09 8.25760E-17
4.00286E-09 8.25382E-17
4.28368E-09 8.24990E-17
4.57402E-09 8.24585E-17
4.87388E-09 8.24167E-17
5.18326E-09 8.23736E-17
5.50215E-09 8.23292E-17
5.83057E-09 8.22835E-17
6.16850E-09 8.22365E-17
6.51596E-09 8.21882E-17
6.87293E-09 8.21386E-17
7.23942E-09 8.20877E-17
7.61544E-09 8.20355E-17
1.18991E-08 8.14435E-17
1.71347E-08 8.07258E-17
2.33223E-08 7.98859E-17
3.04617E-08 7.89280E-17
3.85531E-08 7.78568E-17
4.75965E-08 7.66775E-17
5.75917E-08 7.53958E-17
6.85389E-08 7.40183E-17
8.04380E-08 7.25517E-17
9.32891E-08 7.10033E-17
1.07092E-07 6.93808E-17
1.21847E-07 6.76926E-17
1.37554E-07 6.59470E-17
1.54213E-07 6.41530E-17
1.71823E-07 6.23199E-17
1.90386E-07 6.04571E-17
2.09900E-07 5.85745E-17
2.30367E-07 5.66818E-17
2.51785E-07 5.47893E-17
2.74156E-07 5.29072E-17
2.97478E-07 5.10459E-17
3.21752E-07 4.92157E-17
3.46978E-07 4.74271E-17
3.73156E-07 4.56905E-17
4.00286E-07 4.40161E-17
4.28368E-07 4.24143E-17
4.57402E-07 4.08951E-17
4.87388E-07 3.94685E-17
5.18325E-07 3.81441E-17
5.50215E-07 3.69315E-17
5.83057E-07 3.58399E-17
6.16850E-07 3.48782E-17
6.51596E-07 3.40550E-17
6.87293E-07 3.33786E-17
7.23942E-07 3.28567E-17
7.61543E-07 3.24968E-17
1.18991E-06 3.91120E-17
1.71347E-06 6.64650E-17
2.33223E-06 1.13651E-16
3.04617E-06 1.75580E-16
3.85531E-06 2.45068E-16
4.75964E-06 3.15129E-16
5.75916E-06 3.80635E-16
6.85388E-06 4.38974E-16
8.04378E-06 4.89804E-16
9.32888E-06 5.34257E-16
1.07092E-05 5.74016E-16
1.21846E-05 6.10559E-16
1.37553E-05 6.44718E-16
1.54212E-05 6.76558E-16
1.71822E-05 7.05529E-16
1.90385E-05 7.30776E-16
2.09899E-05 7.51511E-16
2.30365E-05 7.67309E-16
2.51783E-05 7.78263E-16
2.74153E-05 7.84958E-16
