 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Li,  Z =   3,  atomic weight = 6.94100E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.04107E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  3
 #
 # Electron density: Read from file Data/z_003.d
 #                   Number of data points =  823
 #                   Volume integral = 3.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.85000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.43000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 1.92690E-17 cm**2 = 6.88110E-01 a0**2
 # 1st transport cross section = 3.62241E-19 cm**2 = 1.29359E-02 a0**2
 # 2nd transport cross section = 8.25664E-19 cm**2 = 2.94850E-02 a0**2
 #
 #    Absorption cross section = 3.63657E-17 cm**2 = 1.29864E+00 a0**2
 #   Grand total cross section = 5.56364E-17 cm**2 = 1.98681E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 9.05823E-15
7.61557E-13 9.05823E-15
1.18994E-12 9.05823E-15
1.71346E-12 9.05823E-15
2.33225E-12 9.05823E-15
3.04617E-12 9.05823E-15
3.85530E-12 9.05822E-15
4.75964E-12 9.05822E-15
5.75917E-12 9.05822E-15
6.85391E-12 9.05822E-15
8.04379E-12 9.05822E-15
9.32893E-12 9.05822E-15
1.07092E-11 9.05822E-15
1.21847E-11 9.05822E-15
1.37554E-11 9.05822E-15
1.54213E-11 9.05822E-15
1.71823E-11 9.05822E-15
1.90386E-11 9.05822E-15
2.09900E-11 9.05822E-15
2.30367E-11 9.05821E-15
2.51785E-11 9.05821E-15
2.74156E-11 9.05821E-15
2.97478E-11 9.05821E-15
3.21752E-11 9.05821E-15
3.46979E-11 9.05821E-15
3.73157E-11 9.05821E-15
4.00286E-11 9.05820E-15
4.28368E-11 9.05820E-15
4.57402E-11 9.05820E-15
4.87388E-11 9.05820E-15
5.18325E-11 9.05820E-15
5.50215E-11 9.05820E-15
5.83057E-11 9.05819E-15
6.16850E-11 9.05819E-15
6.51595E-11 9.05819E-15
6.87293E-11 9.05819E-15
7.23943E-11 9.05819E-15
7.61544E-11 9.05818E-15
1.18991E-10 9.05816E-15
1.71347E-10 9.05813E-15
2.33223E-10 9.05810E-15
3.04617E-10 9.05806E-15
3.85531E-10 9.05801E-15
4.75965E-10 9.05796E-15
5.75917E-10 9.05791E-15
6.85389E-10 9.05785E-15
8.04380E-10 9.05778E-15
9.32891E-10 9.05771E-15
1.07092E-09 9.05763E-15
1.21847E-09 9.05755E-15
1.37554E-09 9.05746E-15
1.54213E-09 9.05737E-15
1.71823E-09 9.05727E-15
1.90386E-09 9.05717E-15
2.09900E-09 9.05706E-15
2.30367E-09 9.05695E-15
2.51785E-09 9.05683E-15
2.74156E-09 9.05670E-15
2.97478E-09 9.05657E-15
3.21752E-09 9.05644E-15
3.46978E-09 9.05630E-15
3.73156E-09 9.05615E-15
4.00286E-09 9.05600E-15
4.28368E-09 9.05585E-15
4.57402E-09 9.05569E-15
4.87388E-09 9.05552E-15
5.18326E-09 9.05535E-15
5.50215E-09 9.05517E-15
5.83057E-09 9.05499E-15
6.16850E-09 9.05480E-15
6.51596E-09 9.05461E-15
6.87293E-09 9.05441E-15
