 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Li,  Z =   3,  atomic weight = 6.94100E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.04107E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  3
 #
 # Electron density: Read from file Data/z_003.d
 #                   Number of data points =  823
 #                   Volume integral = 3.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.85000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.43000E-23 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.29241E-17 cm**2 = 4.61529E-01 a0**2
 # 1st transport cross section = 1.95154E-19 cm**2 = 6.96908E-03 a0**2
 # 2nd transport cross section = 4.54310E-19 cm**2 = 1.62237E-02 a0**2
 #
 #    Absorption cross section = 2.57211E-17 cm**2 = 9.18519E-01 a0**2
 #   Grand total cross section = 3.86470E-17 cm**2 = 1.38011E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.86846E-15
7.61557E-13 7.86845E-15
1.18994E-12 7.86845E-15
1.71346E-12 7.86845E-15
2.33225E-12 7.86845E-15
3.04617E-12 7.86845E-15
3.85530E-12 7.86845E-15
4.75964E-12 7.86845E-15
5.75917E-12 7.86845E-15
6.85391E-12 7.86845E-15
8.04379E-12 7.86845E-15
9.32893E-12 7.86845E-15
1.07092E-11 7.86845E-15
1.21847E-11 7.86845E-15
1.37554E-11 7.86845E-15
1.54213E-11 7.86844E-15
1.71823E-11 7.86844E-15
1.90386E-11 7.86844E-15
2.09900E-11 7.86844E-15
2.30367E-11 7.86844E-15
2.51785E-11 7.86844E-15
2.74156E-11 7.86844E-15
2.97478E-11 7.86843E-15
3.21752E-11 7.86843E-15
3.46979E-11 7.86843E-15
3.73157E-11 7.86843E-15
4.00286E-11 7.86843E-15
4.28368E-11 7.86842E-15
4.57402E-11 7.86842E-15
4.87388E-11 7.86842E-15
5.18325E-11 7.86842E-15
5.50215E-11 7.86842E-15
5.83057E-11 7.86841E-15
6.16850E-11 7.86841E-15
6.51595E-11 7.86841E-15
6.87293E-11 7.86841E-15
7.23943E-11 7.86840E-15
7.61544E-11 7.86840E-15
1.18991E-10 7.86837E-15
1.71347E-10 7.86833E-15
2.33223E-10 7.86829E-15
3.04617E-10 7.86824E-15
3.85531E-10 7.86818E-15
4.75965E-10 7.86811E-15
5.75917E-10 7.86804E-15
6.85389E-10 7.86797E-15
8.04380E-10 7.86788E-15
9.32891E-10 7.86779E-15
1.07092E-09 7.86769E-15
1.21847E-09 7.86758E-15
1.37554E-09 7.86747E-15
1.54213E-09 7.86735E-15
1.71823E-09 7.86723E-15
1.90386E-09 7.86709E-15
2.09900E-09 7.86695E-15
2.30367E-09 7.86681E-15
2.51785E-09 7.86666E-15
2.74156E-09 7.86650E-15
2.97478E-09 7.86633E-15
3.21752E-09 7.86616E-15
3.46978E-09 7.86598E-15
3.73156E-09 7.86579E-15
4.00286E-09 7.86559E-15
4.28368E-09 7.86539E-15
4.57402E-09 7.86519E-15
4.87388E-09 7.86497E-15
5.18326E-09 7.86475E-15
5.50215E-09 7.86452E-15
5.83057E-09 7.86429E-15
6.16850E-09 7.86405E-15
6.51596E-09 7.86380E-15
6.87293E-09 7.86354E-15
7.23942E-09 7.86328E-15
7.61544E-09 7.86301E-15
1.18991E-08 7.85996E-15
1.71347E-08 7.85622E-15
2.33223E-08 7.85181E-15
3.04617E-08 7.84673E-15
3.85531E-08 7.84098E-15
4.75965E-08 7.83455E-15
5.75917E-08 7.82747E-15
6.85389E-08 7.81972E-15
8.04380E-08 7.81131E-15
9.32891E-08 7.80224E-15
1.07092E-07 7.79252E-15
1.21847E-07 7.78215E-15
1.37554E-07 7.77114E-15
1.54213E-07 7.75950E-15
1.71823E-07 7.74721E-15
1.90386E-07 7.73430E-15
2.09900E-07 7.72077E-15
2.30367E-07 7.70662E-15
2.51785E-07 7.69185E-15
