 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Li,  Z =   3,  atomic weight = 6.94100E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.04107E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  3
 #
 # Electron density: Read from file Data/z_003.d
 #                   Number of data points =  823
 #                   Volume integral = 3.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.85000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.43000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 3.75309E-18 cm**2 = 1.34025E-01 a0**2
 # 1st transport cross section = 2.48361E-20 cm**2 = 8.86913E-04 a0**2
 # 2nd transport cross section = 6.10790E-20 cm**2 = 2.18117E-03 a0**2
 #
 #    Absorption cross section = 8.29319E-18 cm**2 = 2.96155E-01 a0**2
 #   Grand total cross section = 1.20475E-17 cm**2 = 4.30225E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.15154E-15
7.61557E-13 5.15154E-15
1.18994E-12 5.15154E-15
1.71346E-12 5.15154E-15
2.33225E-12 5.15153E-15
3.04617E-12 5.15153E-15
3.85530E-12 5.15153E-15
4.75964E-12 5.15153E-15
5.75917E-12 5.15153E-15
6.85391E-12 5.15153E-15
8.04379E-12 5.15153E-15
9.32893E-12 5.15152E-15
1.07092E-11 5.15152E-15
1.21847E-11 5.15152E-15
1.37554E-11 5.15152E-15
1.54213E-11 5.15151E-15
1.71823E-11 5.15151E-15
1.90386E-11 5.15151E-15
2.09900E-11 5.15150E-15
2.30367E-11 5.15150E-15
2.51785E-11 5.15150E-15
2.74156E-11 5.15149E-15
2.97478E-11 5.15149E-15
3.21752E-11 5.15149E-15
3.46979E-11 5.15148E-15
3.73157E-11 5.15148E-15
4.00286E-11 5.15147E-15
4.28368E-11 5.15147E-15
4.57402E-11 5.15146E-15
4.87388E-11 5.15146E-15
5.18325E-11 5.15145E-15
5.50215E-11 5.15145E-15
5.83057E-11 5.15144E-15
6.16850E-11 5.15144E-15
6.51595E-11 5.15143E-15
6.87293E-11 5.15143E-15
7.23943E-11 5.15142E-15
7.61544E-11 5.15142E-15
1.18991E-10 5.15135E-15
1.71347E-10 5.15126E-15
2.33223E-10 5.15116E-15
3.04617E-10 5.15104E-15
3.85531E-10 5.15091E-15
4.75965E-10 5.15077E-15
5.75917E-10 5.15060E-15
6.85389E-10 5.15043E-15
8.04380E-10 5.15023E-15
9.32891E-10 5.15003E-15
1.07092E-09 5.14980E-15
1.21847E-09 5.14956E-15
1.37554E-09 5.14931E-15
1.54213E-09 5.14904E-15
1.71823E-09 5.14875E-15
1.90386E-09 5.14845E-15
2.09900E-09 5.14814E-15
2.30367E-09 5.14780E-15
2.51785E-09 5.14746E-15
2.74156E-09 5.14710E-15
2.97478E-09 5.14672E-15
3.21752E-09 5.14632E-15
3.46978E-09 5.14592E-15
3.73156E-09 5.14549E-15
4.00286E-09 5.14505E-15
4.28368E-09 5.14460E-15
4.57402E-09 5.14413E-15
4.87388E-09 5.14364E-15
5.18326E-09 5.14314E-15
5.50215E-09 5.14263E-15
5.83057E-09 5.14210E-15
6.16850E-09 5.14155E-15
6.51596E-09 5.14099E-15
6.87293E-09 5.14041E-15
7.23942E-09 5.13982E-15
7.61544E-09 5.13921E-15
1.18991E-08 5.13230E-15
1.71347E-08 5.12387E-15
2.33223E-08 5.11394E-15
3.04617E-08 5.10252E-15
3.85531E-08 5.08963E-15
4.75965E-08 5.07528E-15
5.75917E-08 5.05951E-15
6.85389E-08 5.04232E-15
8.04380E-08 5.02375E-15
9.32891E-08 5.00383E-15
1.07092E-07 4.98257E-15
1.21847E-07 4.96001E-15
1.37554E-07 4.93619E-15
1.54213E-07 4.91113E-15
1.71823E-07 4.88488E-15
1.90386E-07 4.85746E-15
2.09900E-07 4.82891E-15
2.30367E-07 4.79928E-15
2.51785E-07 4.76860E-15
2.74156E-07 4.73691E-15
2.97478E-07 4.70426E-15
3.21752E-07 4.67069E-15
3.46978E-07 4.63624E-15
3.73156E-07 4.60095E-15
4.00286E-07 4.56488E-15
4.28368E-07 4.52805E-15
4.57402E-07 4.49053E-15
4.87388E-07 4.45235E-15
5.18325E-07 4.41355E-15
