 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Be,  Z =   4,  atomic weight = 9.01220E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.22669E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  4
 #
 # Electron density: Read from file Data/z_004.d
 #                   Number of data points =  757
 #                   Volume integral = 4.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.52270E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.60000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 8.99930E-18 cm**2 = 3.21371E-01 a0**2
 # 1st transport cross section = 1.10020E-19 cm**2 = 3.92890E-03 a0**2
 # 2nd transport cross section = 2.64933E-19 cm**2 = 9.46093E-03 a0**2
 #
 #    Absorption cross section = 1.38197E-17 cm**2 = 4.93511E-01 a0**2
 #   Grand total cross section = 2.28210E-17 cm**2 = 8.14953E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.03815E-16
7.61557E-13 2.03815E-16
1.18994E-12 2.03816E-16
1.71346E-12 2.03816E-16
2.33225E-12 2.03816E-16
3.04617E-12 2.03816E-16
3.85530E-12 2.03816E-16
4.75964E-12 2.03816E-16
5.75917E-12 2.03816E-16
6.85391E-12 2.03816E-16
8.04379E-12 2.03816E-16
9.32893E-12 2.03816E-16
1.07092E-11 2.03816E-16
1.21847E-11 2.03816E-16
1.37554E-11 2.03816E-16
1.54213E-11 2.03816E-16
1.71823E-11 2.03816E-16
1.90386E-11 2.03816E-16
2.09900E-11 2.03816E-16
2.30367E-11 2.03816E-16
2.51785E-11 2.03817E-16
2.74156E-11 2.03817E-16
2.97478E-11 2.03817E-16
3.21752E-11 2.03817E-16
3.46979E-11 2.03817E-16
3.73157E-11 2.03817E-16
4.00286E-11 2.03817E-16
4.28368E-11 2.03817E-16
4.57402E-11 2.03817E-16
4.87388E-11 2.03818E-16
5.18325E-11 2.03818E-16
5.50215E-11 2.03818E-16
5.83057E-11 2.03818E-16
6.16850E-11 2.03818E-16
6.51595E-11 2.03818E-16
6.87293E-11 2.03819E-16
7.23943E-11 2.03819E-16
7.61544E-11 2.03819E-16
1.18991E-10 2.03821E-16
1.71347E-10 2.03823E-16
2.33223E-10 2.03826E-16
3.04617E-10 2.03829E-16
3.85531E-10 2.03833E-16
4.75965E-10 2.03837E-16
5.75917E-10 2.03841E-16
6.85389E-10 2.03846E-16
8.04380E-10 2.03851E-16
9.32891E-10 2.03857E-16
1.07092E-09 2.03863E-16
1.21847E-09 2.03869E-16
1.37554E-09 2.03876E-16
1.54213E-09 2.03884E-16
1.71823E-09 2.03892E-16
1.90386E-09 2.03900E-16
2.09900E-09 2.03908E-16
2.30367E-09 2.03917E-16
2.51785E-09 2.03927E-16
2.74156E-09 2.03937E-16
2.97478E-09 2.03947E-16
3.21752E-09 2.03958E-16
3.46978E-09 2.03969E-16
3.73156E-09 2.03981E-16
4.00286E-09 2.03993E-16
4.28368E-09 2.04005E-16
4.57402E-09 2.04018E-16
4.87388E-09 2.04031E-16
5.18326E-09 2.04045E-16
5.50215E-09 2.04059E-16
5.83057E-09 2.04074E-16
6.16850E-09 2.04089E-16
6.51596E-09 2.04104E-16
6.87293E-09 2.04120E-16
7.23942E-09 2.04136E-16
7.61544E-09 2.04153E-16
1.18991E-08 2.04342E-16
1.71347E-08 2.04574E-16
2.33223E-08 2.04848E-16
3.04617E-08 2.05164E-16
3.85531E-08 2.05522E-16
4.75965E-08 2.05922E-16
5.75917E-08 2.06363E-16
6.85389E-08 2.06847E-16
8.04380E-08 2.07372E-16
9.32891E-08 2.07939E-16
1.07092E-07 2.08548E-16
1.21847E-07 2.09198E-16
1.37554E-07 2.09890E-16
1.54213E-07 2.10623E-16
1.71823E-07 2.11398E-16
1.90386E-07 2.12213E-16
2.09900E-07 2.13070E-16
2.30367E-07 2.13967E-16
2.51785E-07 2.14905E-16
2.74156E-07 2.15884E-16
2.97478E-07 2.16903E-16
3.21752E-07 2.17963E-16
3.46978E-07 2.19062E-16
3.73156E-07 2.20201E-16
4.00286E-07 2.21380E-16
4.28368E-07 2.22599E-16
4.57402E-07 2.23857E-16
4.87388E-07 2.25153E-16
5.18325E-07 2.26489E-16
5.50215E-07 2.27863E-16
5.83057E-07 2.29275E-16
6.16850E-07 2.30725E-16
6.51596E-07 2.32213E-16
6.87293E-07 2.33737E-16
7.23942E-07 2.35299E-16
7.61543E-07 2.36898E-16
1.18991E-06 2.54804E-16
1.71347E-06 2.75867E-16
2.33223E-06 2.99486E-16
3.04617E-06 3.24938E-16
3.85531E-06 3.51429E-16
4.75964E-06 3.78164E-16
5.75916E-06 4.04419E-16
6.85388E-06 4.29609E-16
8.04378E-06 4.53322E-16
9.32888E-06 4.75344E-16
1.07092E-05 4.95633E-16
1.21846E-05 5.14294E-16
1.37553E-05 5.31524E-16
1.54212E-05 5.47562E-16
1.71822E-05 5.62639E-16
1.90385E-05 5.76943E-16
2.09899E-05 5.90596E-16
2.30365E-05 6.03647E-16
2.51783E-05 6.16076E-16
2.74153E-05 6.27813E-16
2.97475E-05 6.38761E-16
3.21749E-05 6.48820E-16
3.46974E-05 6.57911E-16
3.73152E-05 6.65988E-16
4.00281E-05 6.73053E-16
4.28362E-05 6.79150E-16
4.57395E-05 6.84358E-16
4.87380E-05 6.88780E-16
5.18317E-05 6.92525E-16
5.50205E-05 6.95693E-16
5.83045E-05 6.98365E-16
6.16838E-05 7.00594E-16
6.51582E-05 7.02402E-16
6.87277E-05 7.03787E-16
7.23925E-05 7.04728E-16
7.61524E-05 7.05197E-16
9.21439E-05 7.02004E-16
1.09658E-04 6.91754E-16
1.28695E-04 6.77357E-16
1.49255E-04 6.59822E-16
1.71338E-04 6.38840E-16
1.94942E-04 6.15535E-16
2.20070E-04 5.91269E-16
2.46720E-04 5.66038E-16
2.74892E-04 5.39876E-16
3.04586E-04 5.13659E-16
3.35803E-04 4.87807E-16
3.68542E-04 4.62108E-16
4.02802E-04 4.36792E-16
4.38585E-04 4.12346E-16
4.75889E-04 3.88739E-16
5.14715E-04 3.65832E-16
5.55063E-04 3.43873E-16
5.96931E-04 3.23023E-16
6.40321E-04 3.03115E-16
6.85233E-04 2.84124E-16
7.31665E-04 2.66213E-16
7.79618E-04 2.49341E-16
8.29092E-04 2.33358E-16
8.80086E-04 2.18303E-16
9.32601E-04 2.04229E-16
9.86636E-04 1.91019E-16
1.04219E-03 1.78591E-16
1.09927E-03 1.66990E-16
1.15786E-03 1.56184E-16
1.21797E-03 1.46059E-16
1.27961E-03 1.36593E-16
1.34276E-03 1.27801E-16
1.40743E-03 1.19612E-16
1.47362E-03 1.11952E-16
1.54133E-03 1.04826E-16
1.61056E-03 9.82162E-17
1.68131E-03 9.20496E-17
1.75357E-03 8.62939E-17
1.82735E-03 8.09549E-17
1.90265E-03 7.59938E-17
1.97947E-03 7.13577E-17
2.05780E-03 6.70408E-17
2.13765E-03 6.30374E-17
2.21902E-03 5.93038E-17
