 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element:  B,  Z =   5,  atomic weight = 1.08110E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.36595E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  5
 #
 # Electron density: Read from file Data/z_005.d
 #                   Number of data points =  757
 #                   Volume integral = 5.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.49800E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.03000E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.24569E-17 cm**2 = 4.44845E-01 a0**2
 # 1st transport cross section = 1.99308E-19 cm**2 = 7.11740E-03 a0**2
 # 2nd transport cross section = 4.77866E-19 cm**2 = 1.70649E-02 a0**2
 #
 #    Absorption cross section = 1.59445E-17 cm**2 = 5.69389E-01 a0**2
 #   Grand total cross section = 2.84032E-17 cm**2 = 1.01430E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.87777E-16
7.61557E-13 2.87777E-16
1.18994E-12 2.87777E-16
1.71346E-12 2.87777E-16
2.33225E-12 2.87777E-16
3.04617E-12 2.87777E-16
3.85530E-12 2.87777E-16
4.75964E-12 2.87777E-16
5.75917E-12 2.87777E-16
6.85391E-12 2.87777E-16
8.04379E-12 2.87777E-16
9.32893E-12 2.87777E-16
1.07092E-11 2.87777E-16
1.21847E-11 2.87777E-16
1.37554E-11 2.87777E-16
1.54213E-11 2.87777E-16
1.71823E-11 2.87777E-16
1.90386E-11 2.87777E-16
2.09900E-11 2.87777E-16
2.30367E-11 2.87777E-16
2.51785E-11 2.87777E-16
2.74156E-11 2.87777E-16
2.97478E-11 2.87777E-16
3.21752E-11 2.87778E-16
3.46979E-11 2.87778E-16
3.73157E-11 2.87778E-16
4.00286E-11 2.87778E-16
4.28368E-11 2.87778E-16
4.57402E-11 2.87778E-16
4.87388E-11 2.87778E-16
5.18325E-11 2.87778E-16
5.50215E-11 2.87778E-16
5.83057E-11 2.87778E-16
6.16850E-11 2.87778E-16
6.51595E-11 2.87778E-16
6.87293E-11 2.87778E-16
7.23943E-11 2.87779E-16
7.61544E-11 2.87779E-16
1.18991E-10 2.87780E-16
1.71347E-10 2.87781E-16
2.33223E-10 2.87783E-16
3.04617E-10 2.87784E-16
3.85531E-10 2.87786E-16
4.75965E-10 2.87789E-16
5.75917E-10 2.87791E-16
6.85389E-10 2.87794E-16
8.04380E-10 2.87797E-16
9.32891E-10 2.87800E-16
1.07092E-09 2.87804E-16
1.21847E-09 2.87807E-16
1.37554E-09 2.87811E-16
1.54213E-09 2.87816E-16
1.71823E-09 2.87820E-16
1.90386E-09 2.87825E-16
2.09900E-09 2.87830E-16
2.30367E-09 2.87835E-16
2.51785E-09 2.87840E-16
2.74156E-09 2.87846E-16
2.97478E-09 2.87852E-16
3.21752E-09 2.87858E-16
3.46978E-09 2.87864E-16
3.73156E-09 2.87871E-16
4.00286E-09 2.87878E-16
4.28368E-09 2.87885E-16
4.57402E-09 2.87892E-16
4.87388E-09 2.87900E-16
5.18326E-09 2.87907E-16
5.50215E-09 2.87915E-16
5.83057E-09 2.87924E-16
6.16850E-09 2.87932E-16
6.51596E-09 2.87941E-16
6.87293E-09 2.87950E-16
7.23942E-09 2.87959E-16
7.61544E-09 2.87969E-16
1.18991E-08 2.88077E-16
1.71347E-08 2.88209E-16
2.33223E-08 2.88364E-16
3.04617E-08 2.88544E-16
3.85531E-08 2.88747E-16
4.75965E-08 2.88975E-16
5.75917E-08 2.89226E-16
6.85389E-08 2.89500E-16
8.04380E-08 2.89799E-16
9.32891E-08 2.90120E-16
1.07092E-07 2.90465E-16
1.21847E-07 2.90834E-16
1.37554E-07 2.91226E-16
1.54213E-07 2.91641E-16
1.71823E-07 2.92079E-16
1.90386E-07 2.92540E-16
2.09900E-07 2.93023E-16
2.30367E-07 2.93530E-16
2.51785E-07 2.94059E-16
2.74156E-07 2.94611E-16
2.97478E-07 2.95185E-16
3.21752E-07 2.95781E-16
3.46978E-07 2.96399E-16
3.73156E-07 2.97039E-16
4.00286E-07 2.97700E-16
4.28368E-07 2.98384E-16
4.57402E-07 2.99088E-16
4.87388E-07 2.99814E-16
5.18325E-07 3.00561E-16
5.50215E-07 3.01329E-16
5.83057E-07 3.02117E-16
6.16850E-07 3.02926E-16
6.51596E-07 3.03755E-16
6.87293E-07 3.04604E-16
7.23942E-07 3.05472E-16
7.61543E-07 3.06361E-16
1.18991E-06 3.16266E-16
1.71347E-06 3.27839E-16
2.33223E-06 3.40773E-16
3.04617E-06 3.54725E-16
3.85531E-06 3.69337E-16
4.75964E-06 3.84250E-16
5.75916E-06 3.99130E-16
6.85388E-06 4.13687E-16
8.04378E-06 4.27691E-16
9.32888E-06 4.40976E-16
1.07092E-05 4.53451E-16
1.21846E-05 4.65086E-16
1.37553E-05 4.75911E-16
1.54212E-05 4.85991E-16
1.71822E-05 4.95421E-16
1.90385E-05 5.04300E-16
2.09899E-05 5.12723E-16
2.30365E-05 5.20767E-16
2.51783E-05 5.28486E-16
2.74153E-05 5.35908E-16
2.97475E-05 5.43035E-16
3.21749E-05 5.49849E-16
