 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.46030E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 2.45337E-17 cm**2 = 8.76113E-01 a0**2
 # 1st transport cross section = 8.00025E-19 cm**2 = 2.85694E-02 a0**2
 # 2nd transport cross section = 1.86791E-18 cm**2 = 6.67041E-02 a0**2
 #
 #    Absorption cross section = 2.43580E-17 cm**2 = 8.69840E-01 a0**2
 #   Grand total cross section = 4.88932E-17 cm**2 = 1.74601E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.33427E-16
7.61557E-13 2.33427E-16
1.18994E-12 2.33427E-16
1.71346E-12 2.33427E-16
2.33225E-12 2.33427E-16
3.04617E-12 2.33427E-16
3.85530E-12 2.33427E-16
4.75964E-12 2.33427E-16
5.75917E-12 2.33427E-16
6.85391E-12 2.33427E-16
8.04379E-12 2.33427E-16
9.32893E-12 2.33427E-16
1.07092E-11 2.33427E-16
1.21847E-11 2.33427E-16
1.37554E-11 2.33427E-16
1.54213E-11 2.33427E-16
1.71823E-11 2.33427E-16
1.90386E-11 2.33427E-16
2.09900E-11 2.33427E-16
2.30367E-11 2.33428E-16
2.51785E-11 2.33428E-16
2.74156E-11 2.33428E-16
2.97478E-11 2.33428E-16
3.21752E-11 2.33428E-16
3.46979E-11 2.33428E-16
3.73157E-11 2.33428E-16
4.00286E-11 2.33428E-16
4.28368E-11 2.33428E-16
4.57402E-11 2.33428E-16
4.87388E-11 2.33428E-16
5.18325E-11 2.33428E-16
5.50215E-11 2.33428E-16
5.83057E-11 2.33428E-16
6.16850E-11 2.33428E-16
6.51595E-11 2.33428E-16
6.87293E-11 2.33428E-16
7.23943E-11 2.33428E-16
7.61544E-11 2.33428E-16
1.18991E-10 2.33428E-16
1.71347E-10 2.33429E-16
2.33223E-10 2.33429E-16
3.04617E-10 2.33430E-16
3.85531E-10 2.33430E-16
4.75965E-10 2.33431E-16
5.75917E-10 2.33431E-16
6.85389E-10 2.33432E-16
8.04380E-10 2.33433E-16
9.32891E-10 2.33434E-16
1.07092E-09 2.33435E-16
1.21847E-09 2.33436E-16
1.37554E-09 2.33437E-16
1.54213E-09 2.33438E-16
1.71823E-09 2.33440E-16
1.90386E-09 2.33441E-16
2.09900E-09 2.33442E-16
2.30367E-09 2.33444E-16
2.51785E-09 2.33445E-16
2.74156E-09 2.33447E-16
2.97478E-09 2.33448E-16
3.21752E-09 2.33450E-16
3.46978E-09 2.33452E-16
3.73156E-09 2.33454E-16
4.00286E-09 2.33456E-16
4.28368E-09 2.33458E-16
4.57402E-09 2.33460E-16
4.87388E-09 2.33462E-16
5.18326E-09 2.33464E-16
5.50215E-09 2.33466E-16
5.83057E-09 2.33469E-16
6.16850E-09 2.33471E-16
6.51596E-09 2.33474E-16
6.87293E-09 2.33476E-16
7.23942E-09 2.33479E-16
7.61544E-09 2.33481E-16
1.18991E-08 2.33512E-16
1.71347E-08 2.33549E-16
2.33223E-08 2.33593E-16
3.04617E-08 2.33643E-16
3.85531E-08 2.33701E-16
4.75965E-08 2.33765E-16
5.75917E-08 2.33836E-16
6.85389E-08 2.33913E-16
8.04380E-08 2.33997E-16
9.32891E-08 2.34088E-16
1.07092E-07 2.34186E-16
1.21847E-07 2.34290E-16
1.37554E-07 2.34401E-16
1.54213E-07 2.34518E-16
1.71823E-07 2.34642E-16
1.90386E-07 2.34772E-16
2.09900E-07 2.34909E-16
2.30367E-07 2.35053E-16
2.51785E-07 2.35203E-16
2.74156E-07 2.35360E-16
2.97478E-07 2.35523E-16
3.21752E-07 2.35692E-16
3.46978E-07 2.35868E-16
3.73156E-07 2.36051E-16
4.00286E-07 2.36239E-16
4.28368E-07 2.36434E-16
4.57402E-07 2.36636E-16
4.87388E-07 2.36843E-16
5.18325E-07 2.37057E-16
5.50215E-07 2.37277E-16
5.83057E-07 2.37503E-16
6.16850E-07 2.37735E-16
6.51596E-07 2.37974E-16
6.87293E-07 2.38218E-16
7.23942E-07 2.38469E-16
7.61543E-07 2.38725E-16
1.18991E-06 2.41609E-16
1.71347E-06 2.45042E-16
2.33223E-06 2.48970E-16
3.04617E-06 2.53333E-16
3.85531E-06 2.58065E-16
4.75964E-06 2.63096E-16
5.75916E-06 2.68355E-16
6.85388E-06 2.73769E-16
8.04378E-06 2.79270E-16
9.32888E-06 2.84795E-16
1.07092E-05 2.90287E-16
1.21846E-05 2.95698E-16
1.37553E-05 3.00990E-16
1.54212E-05 3.06134E-16
1.71822E-05 3.11112E-16
1.90385E-05 3.15915E-16
2.09899E-05 3.20543E-16
2.30365E-05 3.25003E-16
2.51783E-05 3.29306E-16
2.74153E-05 3.33469E-16
2.97475E-05 3.37507E-16
3.21749E-05 3.41439E-16
3.46974E-05 3.45280E-16
3.73152E-05 3.49044E-16
4.00281E-05 3.52742E-16
4.28362E-05 3.56379E-16
4.57395E-05 3.59959E-16
4.87380E-05 3.63480E-16
5.18317E-05 3.66940E-16
5.50205E-05 3.70331E-16
5.83045E-05 3.73645E-16
6.16838E-05 3.76874E-16
6.51582E-05 3.80009E-16
6.87277E-05 3.83042E-16
7.23925E-05 3.85967E-16
7.61524E-05 3.88779E-16
9.21439E-05 3.98890E-16
1.09658E-04 4.07369E-16
1.28695E-04 4.14587E-16
1.49255E-04 4.20721E-16
1.71338E-04 4.25680E-16
1.94942E-04 4.29344E-16
2.20070E-04 4.31792E-16
2.46720E-04 4.33244E-16
2.74892E-04 4.33863E-16
3.04586E-04 4.33655E-16
3.35803E-04 4.32574E-16
3.68542E-04 4.30660E-16
4.02802E-04 4.28053E-16
4.38585E-04 4.24883E-16
4.75889E-04 4.21187E-16
5.14715E-04 4.16946E-16
5.55063E-04 4.12181E-16
5.96931E-04 4.06982E-16
6.40321E-04 4.01445E-16
6.85233E-04 3.95612E-16
7.31665E-04 3.89477E-16
7.79618E-04 3.83049E-16
8.29092E-04 3.76384E-16
8.80086E-04 3.69553E-16
9.32601E-04 3.62594E-16
9.86636E-04 3.55508E-16
1.04219E-03 3.48294E-16
1.09927E-03 3.40986E-16
1.15786E-03 3.33634E-16
1.21797E-03 3.26271E-16
