 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.46030E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 6.69385E-17 cm**2 = 2.39042E+00 a0**2
 # 1st transport cross section = 5.80796E-18 cm**2 = 2.07406E-01 a0**2
 # 2nd transport cross section = 1.26497E-17 cm**2 = 4.51730E-01 a0**2
 #
 #    Absorption cross section = 9.74021E-17 cm**2 = 3.47829E+00 a0**2
 #   Grand total cross section = 1.64343E-16 cm**2 = 5.86880E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.10170E-16
7.61557E-13 2.10170E-16
1.18994E-12 2.10170E-16
1.71346E-12 2.10170E-16
2.33225E-12 2.10170E-16
3.04617E-12 2.10170E-16
3.85530E-12 2.10170E-16
4.75964E-12 2.10170E-16
5.75917E-12 2.10170E-16
6.85391E-12 2.10170E-16
8.04379E-12 2.10170E-16
9.32893E-12 2.10170E-16
1.07092E-11 2.10170E-16
1.21847E-11 2.10170E-16
1.37554E-11 2.10170E-16
1.54213E-11 2.10170E-16
1.71823E-11 2.10170E-16
1.90386E-11 2.10170E-16
2.09900E-11 2.10170E-16
2.30367E-11 2.10170E-16
2.51785E-11 2.10170E-16
2.74156E-11 2.10170E-16
2.97478E-11 2.10170E-16
3.21752E-11 2.10170E-16
3.46979E-11 2.10170E-16
3.73157E-11 2.10170E-16
4.00286E-11 2.10170E-16
4.28368E-11 2.10170E-16
4.57402E-11 2.10170E-16
4.87388E-11 2.10170E-16
5.18325E-11 2.10170E-16
5.50215E-11 2.10170E-16
5.83057E-11 2.10170E-16
6.16850E-11 2.10170E-16
6.51595E-11 2.10170E-16
6.87293E-11 2.10170E-16
7.23943E-11 2.10170E-16
7.61544E-11 2.10170E-16
1.18991E-10 2.10170E-16
1.71347E-10 2.10170E-16
2.33223E-10 2.10171E-16
3.04617E-10 2.10171E-16
3.85531E-10 2.10171E-16
4.75965E-10 2.10171E-16
5.75917E-10 2.10171E-16
6.85389E-10 2.10171E-16
8.04380E-10 2.10171E-16
9.32891E-10 2.10171E-16
1.07092E-09 2.10171E-16
1.21847E-09 2.10171E-16
1.37554E-09 2.10171E-16
1.54213E-09 2.10171E-16
1.71823E-09 2.10171E-16
1.90386E-09 2.10171E-16
2.09900E-09 2.10171E-16
2.30367E-09 2.10171E-16
2.51785E-09 2.10171E-16
2.74156E-09 2.10171E-16
2.97478E-09 2.10171E-16
3.21752E-09 2.10172E-16
3.46978E-09 2.10172E-16
3.73156E-09 2.10172E-16
4.00286E-09 2.10172E-16
4.28368E-09 2.10172E-16
4.57402E-09 2.10172E-16
4.87388E-09 2.10172E-16
5.18326E-09 2.10172E-16
5.50215E-09 2.10172E-16
5.83057E-09 2.10172E-16
6.16850E-09 2.10173E-16
6.51596E-09 2.10173E-16
6.87293E-09 2.10173E-16
7.23942E-09 2.10173E-16
7.61544E-09 2.10173E-16
1.18991E-08 2.10175E-16
1.71347E-08 2.10177E-16
2.33223E-08 2.10179E-16
3.04617E-08 2.10181E-16
3.85531E-08 2.10184E-16
4.75965E-08 2.10187E-16
5.75917E-08 2.10191E-16
6.85389E-08 2.10195E-16
8.04380E-08 2.10199E-16
9.32891E-08 2.10204E-16
1.07092E-07 2.10208E-16
1.21847E-07 2.10214E-16
1.37554E-07 2.10219E-16
1.54213E-07 2.10225E-16
1.71823E-07 2.10232E-16
1.90386E-07 2.10238E-16
2.09900E-07 2.10245E-16
2.30367E-07 2.10252E-16
2.51785E-07 2.10260E-16
2.74156E-07 2.10268E-16
2.97478E-07 2.10276E-16
3.21752E-07 2.10285E-16
3.46978E-07 2.10294E-16
3.73156E-07 2.10303E-16
4.00286E-07 2.10313E-16
4.28368E-07 2.10323E-16
4.57402E-07 2.10333E-16
4.87388E-07 2.10344E-16
5.18325E-07 2.10355E-16
5.50215E-07 2.10366E-16
5.83057E-07 2.10378E-16
6.16850E-07 2.10390E-16
6.51596E-07 2.10403E-16
6.87293E-07 2.10415E-16
7.23942E-07 2.10428E-16
7.61543E-07 2.10442E-16
1.18991E-06 2.10595E-16
1.71347E-06 2.10783E-16
2.33223E-06 2.11007E-16
3.04617E-06 2.11265E-16
3.85531E-06 2.11560E-16
4.75964E-06 2.11891E-16
5.75916E-06 2.12257E-16
6.85388E-06 2.12661E-16
8.04378E-06 2.13101E-16
9.32888E-06 2.13577E-16
1.07092E-05 2.14089E-16
1.21846E-05 2.14637E-16
1.37553E-05 2.15221E-16
1.54212E-05 2.15838E-16
1.71822E-05 2.16489E-16
1.90385E-05 2.17173E-16
2.09899E-05 2.17887E-16
2.30365E-05 2.18631E-16
2.51783E-05 2.19403E-16
2.74153E-05 2.20200E-16
2.97475E-05 2.21022E-16
3.21749E-05 2.21865E-16
3.46974E-05 2.22729E-16
3.73152E-05 2.23610E-16
4.00281E-05 2.24506E-16
4.28362E-05 2.25416E-16
4.57395E-05 2.26336E-16
4.87380E-05 2.27266E-16
5.18317E-05 2.28203E-16
5.50205E-05 2.29144E-16
5.83045E-05 2.30089E-16
6.16838E-05 2.31035E-16
6.51582E-05 2.31982E-16
6.87277E-05 2.32927E-16
7.23925E-05 2.33869E-16
7.61524E-05 2.34808E-16
9.21439E-05 2.38516E-16
1.09658E-04 2.42133E-16
1.28695E-04 2.45669E-16
1.49255E-04 2.49152E-16
1.71338E-04 2.52613E-16
1.94942E-04 2.56073E-16
2.20070E-04 2.59533E-16
2.46720E-04 2.62973E-16
2.74892E-04 2.66361E-16
3.04586E-04 2.69656E-16
3.35803E-04 2.72824E-16
3.68542E-04 2.75840E-16
4.02802E-04 2.78695E-16
4.38585E-04 2.81392E-16
4.75889E-04 2.83946E-16
5.14715E-04 2.86371E-16
5.55063E-04 2.88681E-16
5.96931E-04 2.90878E-16
6.40321E-04 2.92957E-16
6.85233E-04 2.94905E-16
7.31665E-04 2.96705E-16
7.79618E-04 2.98343E-16
8.29092E-04 2.99811E-16
8.80086E-04 3.01107E-16
9.32601E-04 3.02236E-16
9.86636E-04 3.03210E-16
1.04219E-03 3.04042E-16
1.09927E-03 3.04741E-16
1.15786E-03 3.05312E-16
1.21797E-03 3.05757E-16
1.27961E-03 3.06069E-16
1.34276E-03 3.06244E-16
1.40743E-03 3.06275E-16
1.47362E-03 3.06159E-16
