 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.46030E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 1.12513E-17 cm**2 = 4.01792E-01 a0**2
 # 1st transport cross section = 1.88712E-19 cm**2 = 6.73901E-03 a0**2
 # 2nd transport cross section = 4.54822E-19 cm**2 = 1.62420E-02 a0**2
 #
 #    Absorption cross section = 1.00346E-17 cm**2 = 3.58344E-01 a0**2
 #   Grand total cross section = 2.12873E-17 cm**2 = 7.60183E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.97936E-16
7.61557E-13 2.97936E-16
1.18994E-12 2.97936E-16
1.71346E-12 2.97936E-16
2.33225E-12 2.97936E-16
3.04617E-12 2.97936E-16
3.85530E-12 2.97936E-16
4.75964E-12 2.97936E-16
5.75917E-12 2.97936E-16
6.85391E-12 2.97936E-16
8.04379E-12 2.97936E-16
9.32893E-12 2.97936E-16
1.07092E-11 2.97936E-16
1.21847E-11 2.97936E-16
1.37554E-11 2.97936E-16
1.54213E-11 2.97936E-16
1.71823E-11 2.97936E-16
1.90386E-11 2.97936E-16
2.09900E-11 2.97936E-16
2.30367E-11 2.97936E-16
2.51785E-11 2.97936E-16
2.74156E-11 2.97936E-16
2.97478E-11 2.97936E-16
3.21752E-11 2.97936E-16
3.46979E-11 2.97937E-16
3.73157E-11 2.97937E-16
4.00286E-11 2.97937E-16
4.28368E-11 2.97937E-16
4.57402E-11 2.97937E-16
4.87388E-11 2.97937E-16
5.18325E-11 2.97937E-16
5.50215E-11 2.97937E-16
5.83057E-11 2.97937E-16
6.16850E-11 2.97937E-16
6.51595E-11 2.97937E-16
6.87293E-11 2.97937E-16
7.23943E-11 2.97937E-16
7.61544E-11 2.97937E-16
1.18991E-10 2.97938E-16
1.71347E-10 2.97940E-16
2.33223E-10 2.97941E-16
3.04617E-10 2.97943E-16
3.85531E-10 2.97944E-16
4.75965E-10 2.97946E-16
5.75917E-10 2.97949E-16
6.85389E-10 2.97951E-16
8.04380E-10 2.97954E-16
9.32891E-10 2.97956E-16
1.07092E-09 2.97960E-16
1.21847E-09 2.97963E-16
1.37554E-09 2.97966E-16
1.54213E-09 2.97970E-16
1.71823E-09 2.97974E-16
1.90386E-09 2.97978E-16
2.09900E-09 2.97982E-16
2.30367E-09 2.97987E-16
2.51785E-09 2.97992E-16
2.74156E-09 2.97997E-16
2.97478E-09 2.98002E-16
3.21752E-09 2.98007E-16
3.46978E-09 2.98013E-16
3.73156E-09 2.98019E-16
4.00286E-09 2.98025E-16
4.28368E-09 2.98031E-16
4.57402E-09 2.98037E-16
4.87388E-09 2.98044E-16
5.18326E-09 2.98051E-16
5.50215E-09 2.98058E-16
5.83057E-09 2.98065E-16
6.16850E-09 2.98073E-16
6.51596E-09 2.98080E-16
6.87293E-09 2.98088E-16
7.23942E-09 2.98096E-16
7.61544E-09 2.98105E-16
1.18991E-08 2.98200E-16
1.71347E-08 2.98316E-16
2.33223E-08 2.98453E-16
3.04617E-08 2.98611E-16
3.85531E-08 2.98790E-16
4.75965E-08 2.98989E-16
5.75917E-08 2.99209E-16
6.85389E-08 2.99450E-16
8.04380E-08 2.99711E-16
9.32891E-08 2.99993E-16
1.07092E-07 3.00295E-16
1.21847E-07 3.00616E-16
1.37554E-07 3.00958E-16
1.54213E-07 3.01320E-16
1.71823E-07 3.01701E-16
1.90386E-07 3.02102E-16
2.09900E-07 3.02522E-16
2.30367E-07 3.02961E-16
2.51785E-07 3.03419E-16
2.74156E-07 3.03896E-16
2.97478E-07 3.04391E-16
