 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+02 eV = 4.59367E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 2.16506E+00
 #
 # Total elastic cross section = 2.64570E-16 cm**2 = 9.44798E+00 a0**2
 # 1st transport cross section = 6.15808E-17 cm**2 = 2.19909E+00 a0**2
 # 2nd transport cross section = 8.01608E-17 cm**2 = 2.86259E+00 a0**2
 #
 #    Absorption cross section = 2.91730E-16 cm**2 = 1.04179E+01 a0**2
 #   Grand total cross section = 5.56307E-16 cm**2 = 1.98661E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.57058E-15
7.61557E-13 1.57058E-15
1.18994E-12 1.57058E-15
1.71346E-12 1.57058E-15
2.33225E-12 1.57058E-15
3.04617E-12 1.57058E-15
3.85530E-12 1.57058E-15
4.75964E-12 1.57058E-15
5.75917E-12 1.57058E-15
6.85391E-12 1.57058E-15
8.04379E-12 1.57058E-15
9.32893E-12 1.57058E-15
1.07092E-11 1.57058E-15
1.21847E-11 1.57058E-15
1.37554E-11 1.57058E-15
1.54213E-11 1.57058E-15
1.71823E-11 1.57058E-15
1.90386E-11 1.57058E-15
2.09900E-11 1.57058E-15
2.30367E-11 1.57058E-15
2.51785E-11 1.57058E-15
2.74156E-11 1.57058E-15
2.97478E-11 1.57058E-15
3.21752E-11 1.57058E-15
3.46979E-11 1.57058E-15
3.73157E-11 1.57058E-15
4.00286E-11 1.57058E-15
4.28368E-11 1.57058E-15
4.57402E-11 1.57058E-15
4.87388E-11 1.57058E-15
5.18325E-11 1.57058E-15
5.50215E-11 1.57058E-15
5.83057E-11 1.57058E-15
6.16850E-11 1.57058E-15
6.51595E-11 1.57058E-15
6.87293E-11 1.57058E-15
7.23943E-11 1.57058E-15
7.61544E-11 1.57058E-15
1.18991E-10 1.57058E-15
1.71347E-10 1.57058E-15
2.33223E-10 1.57058E-15
3.04617E-10 1.57058E-15
3.85531E-10 1.57058E-15
4.75965E-10 1.57058E-15
5.75917E-10 1.57058E-15
6.85389E-10 1.57058E-15
8.04380E-10 1.57058E-15
9.32891E-10 1.57058E-15
1.07092E-09 1.57058E-15
1.21847E-09 1.57058E-15
1.37554E-09 1.57058E-15
1.54213E-09 1.57058E-15
1.71823E-09 1.57058E-15
1.90386E-09 1.57058E-15
2.09900E-09 1.57058E-15
2.30367E-09 1.57058E-15
2.51785E-09 1.57058E-15
2.74156E-09 1.57058E-15
2.97478E-09 1.57058E-15
3.21752E-09 1.57058E-15
3.46978E-09 1.57058E-15
3.73156E-09 1.57058E-15
4.00286E-09 1.57058E-15
4.28368E-09 1.57058E-15
4.57402E-09 1.57058E-15
4.87388E-09 1.57058E-15
5.18326E-09 1.57058E-15
5.50215E-09 1.57058E-15
5.83057E-09 1.57057E-15
6.16850E-09 1.57057E-15
6.51596E-09 1.57057E-15
6.87293E-09 1.57057E-15
7.23942E-09 1.57057E-15
7.61544E-09 1.57057E-15
1.18991E-08 1.57057E-15
1.71347E-08 1.57056E-15
2.33223E-08 1.57055E-15
3.04617E-08 1.57054E-15
3.85531E-08 1.57053E-15
4.75965E-08 1.57052E-15
5.75917E-08 1.57051E-15
6.85389E-08 1.57049E-15
8.04380E-08 1.57048E-15
9.32891E-08 1.57046E-15
1.07092E-07 1.57044E-15
1.21847E-07 1.57042E-15
1.37554E-07 1.57040E-15
1.54213E-07 1.57038E-15
1.71823E-07 1.57036E-15
1.90386E-07 1.57033E-15
2.09900E-07 1.57031E-15
2.30367E-07 1.57028E-15
2.51785E-07 1.57026E-15
2.74156E-07 1.57023E-15
2.97478E-07 1.57020E-15
3.21752E-07 1.57016E-15
3.46978E-07 1.57013E-15
3.73156E-07 1.57010E-15
4.00286E-07 1.57006E-15
4.28368E-07 1.57003E-15
4.57402E-07 1.56999E-15
4.87388E-07 1.56995E-15
5.18325E-07 1.56991E-15
5.50215E-07 1.56987E-15
5.83057E-07 1.56983E-15
6.16850E-07 1.56978E-15
6.51596E-07 1.56974E-15
6.87293E-07 1.56969E-15
7.23942E-07 1.56964E-15
7.61543E-07 1.56959E-15
1.18991E-06 1.56904E-15
1.71347E-06 1.56836E-15
2.33223E-06 1.56757E-15
3.04617E-06 1.56665E-15
3.85531E-06 1.56562E-15
4.75964E-06 1.56447E-15
5.75916E-06 1.56320E-15
6.85388E-06 1.56182E-15
8.04378E-06 1.56033E-15
9.32888E-06 1.55872E-15
1.07092E-05 1.55701E-15
1.21846E-05 1.55520E-15
1.37553E-05 1.55328E-15
1.54212E-05 1.55126E-15
1.71822E-05 1.54914E-15
1.90385E-05 1.54692E-15
2.09899E-05 1.54462E-15
2.30365E-05 1.54222E-15
2.51783E-05 1.53973E-15
2.74153E-05 1.53716E-15
2.97475E-05 1.53451E-15
3.21749E-05 1.53178E-15
3.46974E-05 1.52898E-15
3.73152E-05 1.52610E-15
4.00281E-05 1.52315E-15
4.28362E-05 1.52014E-15
4.57395E-05 1.51707E-15
4.87380E-05 1.51393E-15
5.18317E-05 1.51074E-15
5.50205E-05 1.50750E-15
5.83045E-05 1.50421E-15
6.16838E-05 1.50087E-15
6.51582E-05 1.49748E-15
6.87277E-05 1.49406E-15
7.23925E-05 1.49060E-15
7.61524E-05 1.48710E-15
9.21439E-05 1.47284E-15
1.09658E-04 1.45825E-15
1.28695E-04 1.44349E-15
1.49255E-04 1.42870E-15
1.71338E-04 1.41400E-15
1.94942E-04 1.39947E-15
2.20070E-04 1.38517E-15
2.46720E-04 1.37114E-15
2.74892E-04 1.35740E-15
3.04586E-04 1.34395E-15
3.35803E-04 1.33078E-15
3.68542E-04 1.31787E-15
4.02802E-04 1.30518E-15
4.38585E-04 1.29268E-15
4.75889E-04 1.28033E-15
5.14715E-04 1.26811E-15
5.55063E-04 1.25598E-15
5.96931E-04 1.24393E-15
6.40321E-04 1.23193E-15
6.85233E-04 1.21997E-15
7.31665E-04 1.20806E-15
7.79618E-04 1.19619E-15
8.29092E-04 1.18437E-15
8.80086E-04 1.17261E-15
9.32601E-04 1.16092E-15
9.86636E-04 1.14932E-15
1.04219E-03 1.13780E-15
1.09927E-03 1.12639E-15
1.15786E-03 1.11509E-15
1.21797E-03 1.10390E-15
1.27961E-03 1.09282E-15
1.34276E-03 1.08186E-15
1.40743E-03 1.07101E-15
1.47362E-03 1.06026E-15
1.54133E-03 1.04961E-15
1.61056E-03 1.03904E-15
1.68131E-03 1.02855E-15
1.75357E-03 1.01814E-15
1.82735E-03 1.00779E-15
1.90265E-03 9.97502E-16
1.97947E-03 9.87269E-16
2.05780E-03 9.77092E-16
2.13765E-03 9.66969E-16
2.21902E-03 9.56903E-16
2.30190E-03 9.46896E-16
2.38630E-03 9.36952E-16
2.47222E-03 9.27073E-16
2.55965E-03 9.17264E-16
2.64859E-03 9.07528E-16
2.73905E-03 8.97868E-16
2.83103E-03 8.88284E-16
2.92452E-03 8.78779E-16
3.01952E-03 8.69351E-16
3.11604E-03 8.59999E-16
3.21407E-03 8.50721E-16
3.31362E-03 8.41514E-16
3.41468E-03 8.32375E-16
3.51725E-03 8.23301E-16
3.62133E-03 8.14290E-16
3.72692E-03 8.05338E-16
3.83403E-03 7.96444E-16
3.94265E-03 7.87607E-16
4.05278E-03 7.78825E-16
4.16442E-03 7.70100E-16
4.27757E-03 7.61431E-16
4.39223E-03 7.52821E-16
4.50840E-03 7.44270E-16
4.62608E-03 7.35781E-16
4.74527E-03 7.27355E-16
4.86597E-03 7.18994E-16
4.98817E-03 7.10700E-16
5.11188E-03 7.02472E-16
5.23711E-03 6.94312E-16
5.36383E-03 6.86220E-16
5.49207E-03 6.78195E-16
5.62181E-03 6.70236E-16
5.75306E-03 6.62342E-16
5.88581E-03 6.54511E-16
6.02007E-03 6.46743E-16
6.15583E-03 6.39036E-16
6.29310E-03 6.31389E-16
6.43187E-03 6.23801E-16
6.57214E-03 6.16272E-16
6.71392E-03 6.08800E-16
6.85720E-03 6.01388E-16
7.00198E-03 5.94034E-16
7.14827E-03 5.86740E-16
7.29605E-03 5.79507E-16
7.44534E-03 5.72335E-16
7.59612E-03 5.65225E-16
7.97965E-03 5.47731E-16
8.37255E-03 5.30639E-16
8.77480E-03 5.13949E-16
9.18641E-03 4.97651E-16
9.60736E-03 4.81734E-16
1.00376E-02 4.66189E-16
1.04773E-02 4.51015E-16
1.09262E-02 4.36214E-16
1.13844E-02 4.21795E-16
1.18520E-02 4.07758E-16
1.23288E-02 3.94105E-16
1.28150E-02 3.80826E-16
1.33104E-02 3.67914E-16
1.38150E-02 3.55359E-16
1.43290E-02 3.43154E-16
1.48521E-02 3.31299E-16
1.53845E-02 3.19793E-16
1.59262E-02 3.08635E-16
1.64770E-02 2.97824E-16
1.70371E-02 2.87351E-16
1.76063E-02 2.77208E-16
1.81848E-02 2.67385E-16
1.87724E-02 2.57875E-16
1.93692E-02 2.48672E-16
1.99751E-02 2.39772E-16
2.05901E-02 2.31172E-16
2.12143E-02 2.22866E-16
2.18476E-02 2.14849E-16
2.24900E-02 2.07112E-16
2.31415E-02 1.99645E-16
2.38021E-02 1.92441E-16
2.44717E-02 1.85492E-16
2.51504E-02 1.78792E-16
2.58382E-02 1.72336E-16
2.65349E-02 1.66119E-16
2.72407E-02 1.60135E-16
2.79555E-02 1.54376E-16
2.86793E-02 1.48833E-16
2.94120E-02 1.43500E-16
3.01537E-02 1.38367E-16
3.09043E-02 1.33431E-16
3.16639E-02 1.28684E-16
3.24324E-02 1.24122E-16
3.32098E-02 1.19739E-16
3.39961E-02 1.15529E-16
3.47912E-02 1.11485E-16
3.55952E-02 1.07600E-16
3.64081E-02 1.03869E-16
3.72297E-02 1.00284E-16
3.80602E-02 9.68422E-17
3.88995E-02 9.35378E-17
3.97476E-02 9.03665E-17
4.06044E-02 8.73233E-17
4.14700E-02 8.44030E-17
4.23443E-02 8.16001E-17
4.32273E-02 7.89095E-17
4.41190E-02 7.63265E-17
4.50194E-02 7.38468E-17
4.59284E-02 7.14667E-17
4.68461E-02 6.91825E-17
4.87074E-02 6.48868E-17
5.06030E-02 6.09283E-17
5.25328E-02 5.72767E-17
5.44967E-02 5.39067E-17
5.64946E-02 5.07962E-17
5.85262E-02 4.79226E-17
6.05914E-02 4.52640E-17
6.26901E-02 4.28016E-17
6.48222E-02 4.05192E-17
6.69873E-02 3.84011E-17
6.91854E-02 3.64323E-17
7.14163E-02 3.45993E-17
7.36799E-02 3.28906E-17
7.59760E-02 3.12958E-17
7.83043E-02 2.98048E-17
8.06647E-02 2.84085E-17
8.30571E-02 2.70992E-17
8.54812E-02 2.58698E-17
8.79369E-02 2.47138E-17
9.04240E-02 2.36254E-17
9.29422E-02 2.25996E-17
9.54915E-02 2.16316E-17
9.80716E-02 2.07173E-17
1.00682E-01 1.98531E-17
1.03323E-01 1.90358E-17
1.05995E-01 1.82623E-17
1.08696E-01 1.75298E-17
1.11427E-01 1.68358E-17
1.14188E-01 1.61786E-17
1.16978E-01 1.55560E-17
1.19797E-01 1.49660E-17
1.22645E-01 1.44068E-17
1.25522E-01 1.38772E-17
1.28428E-01 1.33759E-17
1.31361E-01 1.29013E-17
1.34323E-01 1.24517E-17
1.37313E-01 1.20262E-17
1.40330E-01 1.16240E-17
1.43375E-01 1.12438E-17
1.46447E-01 1.08842E-17
1.49545E-01 1.05441E-17
1.52671E-01 1.02229E-17
1.55823E-01 9.91976E-18
1.59001E-01 9.63340E-18
1.62205E-01 9.36262E-18
1.65435E-01 9.10679E-18
1.68690E-01 8.86545E-18
1.71970E-01 8.63763E-18
1.75276E-01 8.42210E-18
1.78606E-01 8.21808E-18
1.81961E-01 8.02524E-18
1.85340E-01 7.84306E-18
1.88743E-01 7.67054E-18
1.92169E-01 7.50674E-18
1.95619E-01 7.35126E-18
1.99092E-01 7.20391E-18
2.02589E-01 7.06411E-18
2.06107E-01 6.93097E-18
2.09649E-01 6.80391E-18
2.13212E-01 6.68280E-18
2.16797E-01 6.56749E-18
2.20404E-01 6.45741E-18
2.24032E-01 6.35188E-18
2.27680E-01 6.25060E-18
2.31350E-01 6.15362E-18
2.35040E-01 6.06079E-18
2.38751E-01 5.97160E-18
2.42481E-01 5.88557E-18
2.46231E-01 5.80263E-18
2.50000E-01 5.72291E-18
2.53788E-01 5.64624E-18
2.57595E-01 5.57218E-18
2.61421E-01 5.50044E-18
2.65264E-01 5.43108E-18
2.69126E-01 5.36421E-18
2.73005E-01 5.29970E-18
2.76901E-01 5.23717E-18
2.80814E-01 5.17643E-18
2.84744E-01 5.11761E-18
2.88691E-01 5.06082E-18
2.92653E-01 5.00591E-18
2.96632E-01 4.95258E-18
3.00625E-01 4.90070E-18
3.04634E-01 4.85041E-18
3.08658E-01 4.80181E-18
3.12697E-01 4.75477E-18
3.16749E-01 4.70902E-18
3.20816E-01 4.66447E-18
3.24896E-01 4.62124E-18
3.28990E-01 4.57942E-18
3.33097E-01 4.53892E-18
3.37216E-01 4.49950E-18
3.41348E-01 4.46108E-18
3.45492E-01 4.42375E-18
3.49647E-01 4.38762E-18
3.53814E-01 4.35261E-18
3.57992E-01 4.31854E-18
3.62181E-01 4.28530E-18
3.66381E-01 4.25297E-18
3.70590E-01 4.22166E-18
3.74810E-01 4.19135E-18
3.79039E-01 4.16187E-18
3.83277E-01 4.13312E-18
3.87524E-01 4.10515E-18
3.91780E-01 4.07807E-18
3.96044E-01 4.05189E-18
4.00316E-01 4.02651E-18
4.04596E-01 4.00182E-18
4.08882E-01 3.97782E-18
4.13176E-01 3.95461E-18
4.17476E-01 3.93224E-18
4.21783E-01 3.91068E-18
4.26095E-01 3.88980E-18
4.30413E-01 3.86959E-18
4.34737E-01 3.85010E-18
4.39065E-01 3.83141E-18
4.43398E-01 3.81352E-18
4.47736E-01 3.79636E-18
4.52077E-01 3.77987E-18
4.56422E-01 3.76406E-18
4.60770E-01 3.74900E-18
