 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 3.29383E-17 cm**2 = 1.17625E+00 a0**2
 # 1st transport cross section = 1.33204E-18 cm**2 = 4.75680E-02 a0**2
 # 2nd transport cross section = 2.96051E-18 cm**2 = 1.05722E-01 a0**2
 #
 #    Absorption cross section = 3.19885E-17 cm**2 = 1.14233E+00 a0**2
 #   Grand total cross section = 6.49283E-17 cm**2 = 2.31863E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.20543E-15
7.61557E-13 1.20543E-15
1.18994E-12 1.20543E-15
1.71346E-12 1.20543E-15
2.33225E-12 1.20543E-15
3.04617E-12 1.20543E-15
3.85530E-12 1.20543E-15
4.75964E-12 1.20543E-15
5.75917E-12 1.20543E-15
6.85391E-12 1.20543E-15
8.04379E-12 1.20543E-15
9.32893E-12 1.20543E-15
1.07092E-11 1.20543E-15
1.21847E-11 1.20543E-15
1.37554E-11 1.20543E-15
1.54213E-11 1.20543E-15
1.71823E-11 1.20543E-15
1.90386E-11 1.20543E-15
2.09900E-11 1.20543E-15
2.30367E-11 1.20543E-15
2.51785E-11 1.20543E-15
2.74156E-11 1.20543E-15
2.97478E-11 1.20543E-15
3.21752E-11 1.20543E-15
3.46979E-11 1.20543E-15
3.73157E-11 1.20543E-15
4.00286E-11 1.20543E-15
4.28368E-11 1.20543E-15
4.57402E-11 1.20543E-15
4.87388E-11 1.20543E-15
5.18325E-11 1.20543E-15
5.50215E-11 1.20543E-15
5.83057E-11 1.20543E-15
6.16850E-11 1.20543E-15
6.51595E-11 1.20543E-15
6.87293E-11 1.20543E-15
7.23943E-11 1.20543E-15
7.61544E-11 1.20543E-15
1.18991E-10 1.20543E-15
1.71347E-10 1.20543E-15
2.33223E-10 1.20542E-15
3.04617E-10 1.20542E-15
3.85531E-10 1.20542E-15
4.75965E-10 1.20542E-15
5.75917E-10 1.20542E-15
6.85389E-10 1.20542E-15
8.04380E-10 1.20541E-15
9.32891E-10 1.20541E-15
1.07092E-09 1.20541E-15
1.21847E-09 1.20541E-15
1.37554E-09 1.20540E-15
1.54213E-09 1.20540E-15
1.71823E-09 1.20540E-15
1.90386E-09 1.20540E-15
2.09900E-09 1.20539E-15
2.30367E-09 1.20539E-15
2.51785E-09 1.20538E-15
2.74156E-09 1.20538E-15
2.97478E-09 1.20538E-15
3.21752E-09 1.20537E-15
3.46978E-09 1.20537E-15
3.73156E-09 1.20536E-15
4.00286E-09 1.20536E-15
4.28368E-09 1.20535E-15
4.57402E-09 1.20535E-15
4.87388E-09 1.20534E-15
5.18326E-09 1.20534E-15
5.50215E-09 1.20533E-15
5.83057E-09 1.20533E-15
6.16850E-09 1.20532E-15
6.51596E-09 1.20532E-15
6.87293E-09 1.20531E-15
7.23942E-09 1.20530E-15
7.61544E-09 1.20530E-15
1.18991E-08 1.20522E-15
1.71347E-08 1.20513E-15
2.33223E-08 1.20502E-15
3.04617E-08 1.20490E-15
3.85531E-08 1.20476E-15
4.75965E-08 1.20460E-15
5.75917E-08 1.20443E-15
6.85389E-08 1.20424E-15
8.04380E-08 1.20403E-15
9.32891E-08 1.20381E-15
1.07092E-07 1.20357E-15
1.21847E-07 1.20332E-15
1.37554E-07 1.20304E-15
1.54213E-07 1.20276E-15
1.71823E-07 1.20245E-15
1.90386E-07 1.20214E-15
2.09900E-07 1.20180E-15
2.30367E-07 1.20145E-15
2.51785E-07 1.20108E-15
2.74156E-07 1.20070E-15
2.97478E-07 1.20030E-15
3.21752E-07 1.19989E-15
3.46978E-07 1.19946E-15
3.73156E-07 1.19902E-15
4.00286E-07 1.19856E-15
4.28368E-07 1.19808E-15
4.57402E-07 1.19759E-15
4.87388E-07 1.19709E-15
5.18325E-07 1.19657E-15
5.50215E-07 1.19603E-15
5.83057E-07 1.19548E-15
6.16850E-07 1.19492E-15
6.51596E-07 1.19434E-15
6.87293E-07 1.19375E-15
7.23942E-07 1.19314E-15
7.61543E-07 1.19252E-15
1.18991E-06 1.18556E-15
1.71347E-06 1.17734E-15
2.33223E-06 1.16800E-15
3.04617E-06 1.15771E-15
3.85531E-06 1.14665E-15
4.75964E-06 1.13498E-15
5.75916E-06 1.12287E-15
6.85388E-06 1.11049E-15
8.04378E-06 1.09797E-15
9.32888E-06 1.08546E-15
1.07092E-05 1.07307E-15
1.21846E-05 1.06088E-15
1.37553E-05 1.04897E-15
1.54212E-05 1.03739E-15
1.71822E-05 1.02617E-15
1.90385E-05 1.01533E-15
2.09899E-05 1.00488E-15
2.30365E-05 9.94793E-16
2.51783E-05 9.85054E-16
2.74153E-05 9.75633E-16
2.97475E-05 9.66499E-16
3.21749E-05 9.57615E-16
3.46974E-05 9.48947E-16
3.73152E-05 9.40464E-16
4.00281E-05 9.32136E-16
4.28362E-05 9.23942E-16
4.57395E-05 9.15862E-16
4.87380E-05 9.07884E-16
5.18317E-05 9.00002E-16
5.50205E-05 8.92213E-16
5.83045E-05 8.84520E-16
6.16838E-05 8.76928E-16
6.51582E-05 8.69444E-16
6.87277E-05 8.62077E-16
7.23925E-05 8.54834E-16
7.61524E-05 8.47724E-16
9.21439E-05 8.20686E-16
1.09658E-04 7.95811E-16
1.28695E-04 7.72623E-16
1.49255E-04 7.50595E-16
1.71338E-04 7.29512E-16
1.94942E-04 7.09448E-16
2.20070E-04 6.90492E-16
2.46720E-04 6.72541E-16
2.74892E-04 6.55353E-16
3.04586E-04 6.38731E-16
3.35803E-04 6.22637E-16
3.68542E-04 6.07129E-16
4.02802E-04 5.92223E-16
4.38585E-04 5.77830E-16
4.75889E-04 5.63823E-16
5.14715E-04 5.50136E-16
5.55063E-04 5.36785E-16
5.96931E-04 5.23810E-16
6.40321E-04 5.11200E-16
6.85233E-04 4.98889E-16
7.31665E-04 4.86819E-16
7.79618E-04 4.74978E-16
8.29092E-04 4.63396E-16
8.80086E-04 4.52092E-16
9.32601E-04 4.41044E-16
9.86636E-04 4.30211E-16
1.04219E-03 4.19569E-16
1.09927E-03 4.09128E-16
1.15786E-03 3.98912E-16
1.21797E-03 3.88927E-16
1.27961E-03 3.79149E-16
1.34276E-03 3.69554E-16
1.40743E-03 3.60137E-16
1.47362E-03 3.50914E-16
1.54133E-03 3.41899E-16
1.61056E-03 3.33086E-16
1.68131E-03 3.24457E-16
1.75357E-03 3.15999E-16
1.82735E-03 3.07716E-16
1.90265E-03 2.99623E-16
1.97947E-03 2.91723E-16
2.05780E-03 2.84005E-16
2.13765E-03 2.76455E-16
2.21902E-03 2.69069E-16
2.30190E-03 2.61853E-16
2.38630E-03 2.54816E-16
2.47222E-03 2.47955E-16
2.55965E-03 2.41257E-16
2.64859E-03 2.34714E-16
2.73905E-03 2.28326E-16
2.83103E-03 2.22100E-16
2.92452E-03 2.16037E-16
3.01952E-03 2.10131E-16
3.11604E-03 2.04371E-16
3.21407E-03 1.98753E-16
3.31362E-03 1.93278E-16
3.41468E-03 1.87951E-16
3.51725E-03 1.82770E-16
3.62133E-03 1.77725E-16
3.72692E-03 1.72809E-16
3.83403E-03 1.68021E-16
3.94265E-03 1.63363E-16
4.05278E-03 1.58836E-16
4.16442E-03 1.54434E-16
4.27757E-03 1.50151E-16
4.39223E-03 1.45981E-16
4.50840E-03 1.41924E-16
4.62608E-03 1.37983E-16
4.74527E-03 1.34155E-16
4.86597E-03 1.30434E-16
4.98817E-03 1.26814E-16
5.11188E-03 1.23293E-16
5.23711E-03 1.19872E-16
5.36383E-03 1.16550E-16
5.49207E-03 1.13324E-16
5.62181E-03 1.10188E-16
5.75306E-03 1.07140E-16
5.88581E-03 1.04177E-16
6.02007E-03 1.01300E-16
6.15583E-03 9.85076E-17
6.29310E-03 9.57962E-17
6.43187E-03 9.31610E-17
6.57214E-03 9.05998E-17
6.71392E-03 8.81126E-17
6.85720E-03 8.56990E-17
7.00198E-03 8.33569E-17
7.14827E-03 8.10822E-17
7.29605E-03 7.88718E-17
7.44534E-03 7.67246E-17
7.59612E-03 7.46408E-17
7.97965E-03 6.96980E-17
8.37255E-03 6.51039E-17
8.77480E-03 6.08432E-17
9.18641E-03 5.68862E-17
9.60736E-03 5.32155E-17
1.00376E-02 4.98094E-17
1.04773E-02 4.66481E-17
1.09262E-02 4.37167E-17
1.13844E-02 4.09943E-17
1.18520E-02 3.84702E-17
1.23288E-02 3.61248E-17
1.28150E-02 3.39491E-17
1.33104E-02 3.19265E-17
1.38150E-02 3.00480E-17
1.43290E-02 2.83010E-17
1.48521E-02 2.66756E-17
1.53845E-02 2.51631E-17
1.59262E-02 2.37532E-17
1.64770E-02 2.24401E-17
1.70371E-02 2.12138E-17
1.76063E-02 2.00701E-17
1.81848E-02 1.90006E-17
1.87724E-02 1.80013E-17
1.93692E-02 1.70659E-17
1.99751E-02 1.61902E-17
2.05901E-02 1.53699E-17
2.12143E-02 1.46004E-17
2.18476E-02 1.38791E-17
2.24900E-02 1.32015E-17
