 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file Data/z_006.d
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 2.36342E-17 cm**2 = 8.43993E-01 a0**2
 # 1st transport cross section = 7.24843E-19 cm**2 = 2.58846E-02 a0**2
 # 2nd transport cross section = 1.65699E-18 cm**2 = 5.91723E-02 a0**2
 #
 #    Absorption cross section = 2.28016E-17 cm**2 = 8.14258E-01 a0**2
 #   Grand total cross section = 4.64371E-17 cm**2 = 1.65830E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.15218E-15
7.61557E-13 1.15218E-15
1.18994E-12 1.15218E-15
1.71346E-12 1.15218E-15
2.33225E-12 1.15218E-15
3.04617E-12 1.15218E-15
3.85530E-12 1.15218E-15
4.75964E-12 1.15218E-15
5.75917E-12 1.15218E-15
6.85391E-12 1.15218E-15
8.04379E-12 1.15218E-15
9.32893E-12 1.15218E-15
1.07092E-11 1.15218E-15
1.21847E-11 1.15218E-15
1.37554E-11 1.15218E-15
1.54213E-11 1.15218E-15
1.71823E-11 1.15218E-15
1.90386E-11 1.15218E-15
2.09900E-11 1.15218E-15
2.30367E-11 1.15218E-15
2.51785E-11 1.15218E-15
2.74156E-11 1.15218E-15
2.97478E-11 1.15218E-15
3.21752E-11 1.15218E-15
3.46979E-11 1.15218E-15
3.73157E-11 1.15218E-15
4.00286E-11 1.15218E-15
4.28368E-11 1.15218E-15
4.57402E-11 1.15218E-15
4.87388E-11 1.15218E-15
5.18325E-11 1.15218E-15
5.50215E-11 1.15218E-15
5.83057E-11 1.15218E-15
6.16850E-11 1.15218E-15
6.51595E-11 1.15218E-15
6.87293E-11 1.15218E-15
7.23943E-11 1.15218E-15
7.61544E-11 1.15218E-15
1.18991E-10 1.15218E-15
1.71347E-10 1.15217E-15
2.33223E-10 1.15217E-15
3.04617E-10 1.15217E-15
3.85531E-10 1.15217E-15
4.75965E-10 1.15217E-15
5.75917E-10 1.15216E-15
6.85389E-10 1.15216E-15
8.04380E-10 1.15216E-15
9.32891E-10 1.15216E-15
1.07092E-09 1.15215E-15
1.21847E-09 1.15215E-15
1.37554E-09 1.15214E-15
1.54213E-09 1.15214E-15
1.71823E-09 1.15214E-15
1.90386E-09 1.15213E-15
2.09900E-09 1.15213E-15
2.30367E-09 1.15212E-15
2.51785E-09 1.15212E-15
2.74156E-09 1.15211E-15
2.97478E-09 1.15211E-15
3.21752E-09 1.15210E-15
3.46978E-09 1.15209E-15
3.73156E-09 1.15209E-15
4.00286E-09 1.15208E-15
4.28368E-09 1.15207E-15
4.57402E-09 1.15207E-15
4.87388E-09 1.15206E-15
5.18326E-09 1.15205E-15
5.50215E-09 1.15204E-15
5.83057E-09 1.15204E-15
6.16850E-09 1.15203E-15
6.51596E-09 1.15202E-15
6.87293E-09 1.15201E-15
7.23942E-09 1.15200E-15
7.61544E-09 1.15199E-15
1.18991E-08 1.15189E-15
1.71347E-08 1.15176E-15
2.33223E-08 1.15161E-15
3.04617E-08 1.15144E-15
3.85531E-08 1.15125E-15
4.75965E-08 1.15103E-15
5.75917E-08 1.15079E-15
6.85389E-08 1.15052E-15
8.04380E-08 1.15024E-15
9.32891E-08 1.14993E-15
1.07092E-07 1.14960E-15
1.21847E-07 1.14924E-15
1.37554E-07 1.14887E-15
1.54213E-07 1.14847E-15
1.71823E-07 1.14805E-15
1.90386E-07 1.14761E-15
2.09900E-07 1.14714E-15
2.30367E-07 1.14666E-15
2.51785E-07 1.14615E-15
2.74156E-07 1.14563E-15
2.97478E-07 1.14508E-15
3.21752E-07 1.14451E-15
3.46978E-07 1.14392E-15
3.73156E-07 1.14330E-15
4.00286E-07 1.14267E-15
4.28368E-07 1.14202E-15
4.57402E-07 1.14135E-15
4.87388E-07 1.14066E-15
5.18325E-07 1.13994E-15
5.50215E-07 1.13921E-15
5.83057E-07 1.13846E-15
6.16850E-07 1.13769E-15
6.51596E-07 1.13690E-15
6.87293E-07 1.13609E-15
7.23942E-07 1.13527E-15
7.61543E-07 1.13442E-15
1.18991E-06 1.12503E-15
1.71347E-06 1.11409E-15
2.33223E-06 1.10189E-15
3.04617E-06 1.08870E-15
3.85531E-06 1.07482E-15
4.75964E-06 1.06052E-15
5.75916E-06 1.04606E-15
6.85388E-06 1.03165E-15
8.04378E-06 1.01746E-15
9.32888E-06 1.00365E-15
1.07092E-05 9.90307E-16
1.21846E-05 9.77492E-16
1.37553E-05 9.65231E-16
1.54212E-05 9.53518E-16
1.71822E-05 9.42324E-16
1.90385E-05 9.31605E-16
2.09899E-05 9.21305E-16
2.30365E-05 9.11363E-16
2.51783E-05 9.01721E-16
2.74153E-05 8.92326E-16
2.97475E-05 8.83134E-16
3.21749E-05 8.74113E-16
3.46974E-05 8.65240E-16
3.73152E-05 8.56505E-16
4.00281E-05 8.47905E-16
4.28362E-05 8.39449E-16
4.57395E-05 8.31145E-16
4.87380E-05 8.23009E-16
5.18317E-05 8.15053E-16
5.50205E-05 8.07288E-16
5.83045E-05 7.99722E-16
6.16838E-05 7.92359E-16
6.51582E-05 7.85195E-16
6.87277E-05 7.78223E-16
7.23925E-05 7.71431E-16
7.61524E-05 7.64807E-16
9.21439E-05 7.39642E-16
1.09658E-04 7.16007E-16
1.28695E-04 6.93661E-16
1.49255E-04 6.72773E-16
1.71338E-04 6.53290E-16
1.94942E-04 6.34829E-16
2.20070E-04 6.17070E-16
2.46720E-04 5.99996E-16
2.74892E-04 5.83688E-16
3.04586E-04 5.68065E-16
3.35803E-04 5.52917E-16
3.68542E-04 5.38135E-16
4.02802E-04 5.23763E-16
4.38585E-04 5.09843E-16
4.75889E-04 4.96297E-16
5.14715E-04 4.83020E-16
5.55063E-04 4.69994E-16
5.96931E-04 4.57272E-16
6.40321E-04 4.44865E-16
6.85233E-04 4.32712E-16
7.31665E-04 4.20765E-16
7.79618E-04 4.09043E-16
8.29092E-04 3.97587E-16
8.80086E-04 3.86388E-16
9.32601E-04 3.75404E-16
9.86636E-04 3.64620E-16
1.04219E-03 3.54064E-16
1.09927E-03 3.43758E-16
1.15786E-03 3.33685E-16
1.21797E-03 3.23818E-16
1.27961E-03 3.14160E-16
1.34276E-03 3.04736E-16
1.40743E-03 2.95551E-16
1.47362E-03 2.86586E-16
1.54133E-03 2.77825E-16
1.61056E-03 2.69277E-16
1.68131E-03 2.60959E-16
1.75357E-03 2.52865E-16
1.82735E-03 2.44978E-16
1.90265E-03 2.37291E-16
1.97947E-03 2.29815E-16
2.05780E-03 2.22556E-16
2.13765E-03 2.15504E-16
2.21902E-03 2.08643E-16
2.30190E-03 2.01974E-16
2.38630E-03 1.95505E-16
2.47222E-03 1.89233E-16
2.55965E-03 1.83147E-16
2.64859E-03 1.77236E-16
2.73905E-03 1.71503E-16
2.83103E-03 1.65952E-16
2.92452E-03 1.60577E-16
3.01952E-03 1.55366E-16
3.11604E-03 1.50313E-16
3.21407E-03 1.45421E-16
3.31362E-03 1.40691E-16
3.41468E-03 1.36113E-16
3.51725E-03 1.31678E-16
3.62133E-03 1.27384E-16
3.72692E-03 1.23233E-16
3.83403E-03 1.19222E-16
3.94265E-03 1.15341E-16
4.05278E-03 1.11585E-16
4.16442E-03 1.07953E-16
4.27757E-03 1.04445E-16
4.39223E-03 1.01056E-16
4.50840E-03 9.77787E-17
4.62608E-03 9.46087E-17
4.74527E-03 9.15466E-17
4.86597E-03 8.85908E-17
4.98817E-03 8.57356E-17
