 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Electron density: Read from file Data/z_007.d
 #                   Number of data points =  701
 #                   Volume integral = 7.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.38000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.10000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.42542E-17 cm**2 = 5.09026E-01 a0**2
 # 1st transport cross section = 3.44605E-19 cm**2 = 1.23061E-02 a0**2
 # 2nd transport cross section = 8.09332E-19 cm**2 = 2.89018E-02 a0**2
 #
 #    Absorption cross section = 1.11009E-17 cm**2 = 3.96420E-01 a0**2
 #   Grand total cross section = 2.53560E-17 cm**2 = 9.05481E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.65618E-16
7.61557E-13 7.65618E-16
1.18994E-12 7.65618E-16
1.71346E-12 7.65618E-16
2.33225E-12 7.65618E-16
3.04617E-12 7.65618E-16
3.85530E-12 7.65618E-16
4.75964E-12 7.65618E-16
5.75917E-12 7.65618E-16
6.85391E-12 7.65618E-16
8.04379E-12 7.65618E-16
9.32893E-12 7.65618E-16
1.07092E-11 7.65618E-16
1.21847E-11 7.65618E-16
1.37554E-11 7.65618E-16
1.54213E-11 7.65618E-16
1.71823E-11 7.65618E-16
1.90386E-11 7.65618E-16
2.09900E-11 7.65618E-16
2.30367E-11 7.65618E-16
2.51785E-11 7.65618E-16
2.74156E-11 7.65618E-16
2.97478E-11 7.65618E-16
3.21752E-11 7.65618E-16
3.46979E-11 7.65618E-16
3.73157E-11 7.65618E-16
4.00286E-11 7.65618E-16
4.28368E-11 7.65617E-16
4.57402E-11 7.65617E-16
4.87388E-11 7.65617E-16
5.18325E-11 7.65617E-16
5.50215E-11 7.65617E-16
5.83057E-11 7.65617E-16
6.16850E-11 7.65617E-16
6.51595E-11 7.65617E-16
6.87293E-11 7.65617E-16
7.23943E-11 7.65617E-16
7.61544E-11 7.65617E-16
1.18991E-10 7.65616E-16
1.71347E-10 7.65615E-16
2.33223E-10 7.65614E-16
3.04617E-10 7.65612E-16
3.85531E-10 7.65611E-16
4.75965E-10 7.65609E-16
5.75917E-10 7.65607E-16
6.85389E-10 7.65605E-16
8.04380E-10 7.65603E-16
9.32891E-10 7.65600E-16
1.07092E-09 7.65597E-16
1.21847E-09 7.65595E-16
1.37554E-09 7.65591E-16
1.54213E-09 7.65588E-16
1.71823E-09 7.65585E-16
1.90386E-09 7.65581E-16
2.09900E-09 7.65577E-16
2.30367E-09 7.65573E-16
2.51785E-09 7.65569E-16
2.74156E-09 7.65565E-16
2.97478E-09 7.65560E-16
3.21752E-09 7.65556E-16
3.46978E-09 7.65551E-16
3.73156E-09 7.65546E-16
4.00286E-09 7.65540E-16
4.28368E-09 7.65535E-16
4.57402E-09 7.65529E-16
4.87388E-09 7.65523E-16
5.18326E-09 7.65517E-16
5.50215E-09 7.65511E-16
5.83057E-09 7.65505E-16
6.16850E-09 7.65498E-16
6.51596E-09 7.65491E-16
6.87293E-09 7.65484E-16
7.23942E-09 7.65477E-16
7.61544E-09 7.65470E-16
1.18991E-08 7.65387E-16
1.71347E-08 7.65285E-16
2.33223E-08 7.65164E-16
3.04617E-08 7.65026E-16
3.85531E-08 7.64869E-16
4.75965E-08 7.64694E-16
5.75917E-08 7.64500E-16
6.85389E-08 7.64289E-16
8.04380E-08 7.64060E-16
9.32891E-08 7.63812E-16
1.07092E-07 7.63547E-16
1.21847E-07 7.63265E-16
1.37554E-07 7.62964E-16
1.54213E-07 7.62646E-16
1.71823E-07 7.62311E-16
1.90386E-07 7.61959E-16
2.09900E-07 7.61590E-16
2.30367E-07 7.61203E-16
2.51785E-07 7.60801E-16
2.74156E-07 7.60381E-16
2.97478E-07 7.59945E-16
3.21752E-07 7.59493E-16
3.46978E-07 7.59025E-16
3.73156E-07 7.58541E-16
4.00286E-07 7.58041E-16
4.28368E-07 7.57526E-16
4.57402E-07 7.56996E-16
4.87388E-07 7.56451E-16
5.18325E-07 7.55891E-16
5.50215E-07 7.55316E-16
5.83057E-07 7.54727E-16
6.16850E-07 7.54124E-16
6.51596E-07 7.53506E-16
6.87293E-07 7.52876E-16
7.23942E-07 7.52231E-16
7.61543E-07 7.51574E-16
1.18991E-06 7.44330E-16
1.71347E-06 7.36058E-16
2.33223E-06 7.27036E-16
3.04617E-06 7.17539E-16
3.85531E-06 7.07823E-16
4.75964E-06 6.98112E-16
5.75916E-06 6.88587E-16
6.85388E-06 6.79384E-16
8.04378E-06 6.70591E-16
9.32888E-06 6.62252E-16
1.07092E-05 6.54373E-16
1.21846E-05 6.46930E-16
1.37553E-05 6.39877E-16
1.54212E-05 6.33158E-16
1.71822E-05 6.26711E-16
1.90385E-05 6.20481E-16
2.09899E-05 6.14420E-16
2.30365E-05 6.08494E-16
2.51783E-05 6.02681E-16
2.74153E-05 5.96973E-16
2.97475E-05 5.91373E-16
3.21749E-05 5.85889E-16
3.46974E-05 5.80534E-16
3.73152E-05 5.75323E-16
4.00281E-05 5.70264E-16
4.28362E-05 5.65363E-16
4.57395E-05 5.60620E-16
4.87380E-05 5.56028E-16
5.18317E-05 5.51575E-16
5.50205E-05 5.47246E-16
5.83045E-05 5.43023E-16
6.16838E-05 5.38889E-16
6.51582E-05 5.34830E-16
6.87277E-05 5.30835E-16
7.23925E-05 5.26896E-16
7.61524E-05 5.23008E-16
9.21439E-05 5.08015E-16
1.09658E-04 4.94051E-16
1.28695E-04 4.80987E-16
1.49255E-04 4.68430E-16
1.71338E-04 4.56244E-16
1.94942E-04 4.44517E-16
2.20070E-04 4.33181E-16
2.46720E-04 4.22044E-16
2.74892E-04 4.11068E-16
3.04586E-04 4.00326E-16
3.35803E-04 3.89782E-16
3.68542E-04 3.79337E-16
4.02802E-04 3.69000E-16
4.38585E-04 3.58828E-16
4.75889E-04 3.48801E-16
5.14715E-04 3.38868E-16
5.55063E-04 3.29052E-16
5.96931E-04 3.19397E-16
6.40321E-04 3.09891E-16
6.85233E-04 3.00507E-16
7.31665E-04 2.91269E-16
7.79618E-04 2.82210E-16
8.29092E-04 2.73320E-16
8.80086E-04 2.64583E-16
9.32601E-04 2.56022E-16
9.86636E-04 2.47659E-16
1.04219E-03 2.39482E-16
1.09927E-03 2.31481E-16
1.15786E-03 2.23675E-16
1.21797E-03 2.16077E-16
1.27961E-03 2.08674E-16
1.34276E-03 2.01459E-16
1.40743E-03 1.94447E-16
1.47362E-03 1.87642E-16
1.54133E-03 1.81033E-16
1.61056E-03 1.74614E-16
1.68131E-03 1.68394E-16
1.75357E-03 1.62375E-16
1.82735E-03 1.56543E-16
1.90265E-03 1.50894E-16
1.97947E-03 1.45434E-16
2.05780E-03 1.40161E-16
2.13765E-03 1.35062E-16
2.21902E-03 1.30135E-16
2.30190E-03 1.25381E-16
2.38630E-03 1.20797E-16
2.47222E-03 1.16372E-16
2.55965E-03 1.12103E-16
2.64859E-03 1.07990E-16
2.73905E-03 1.04029E-16
2.83103E-03 1.00209E-16
2.92452E-03 9.65287E-17
3.01952E-03 9.29872E-17
3.11604E-03 8.95786E-17
3.21407E-03 8.62948E-17
3.31362E-03 8.31334E-17
3.41468E-03 8.00939E-17
3.51725E-03 7.71700E-17
3.62133E-03 7.43548E-17
3.72692E-03 7.16466E-17
3.83403E-03 6.90440E-17
3.94265E-03 6.65412E-17
4.05278E-03 6.41325E-17
4.16442E-03 6.18165E-17
4.27757E-03 5.95915E-17
4.39223E-03 5.74522E-17
4.50840E-03 5.53940E-17
4.62608E-03 5.34158E-17
4.74527E-03 5.15155E-17
4.86597E-03 4.96886E-17
4.98817E-03 4.79312E-17
5.11188E-03 4.62425E-17
5.23711E-03 4.46205E-17
5.36383E-03 4.30609E-17
5.49207E-03 4.15609E-17
5.62181E-03 4.01196E-17
5.75306E-03 3.87352E-17
5.88581E-03 3.74039E-17
6.02007E-03 3.61233E-17
6.15583E-03 3.48930E-17
6.29310E-03 3.37109E-17
6.43187E-03 3.25740E-17
6.57214E-03 3.14802E-17
6.71392E-03 3.04293E-17
6.85720E-03 2.94192E-17
7.00198E-03 2.84473E-17
7.14827E-03 2.75121E-17
7.29605E-03 2.66133E-17
7.44534E-03 2.57490E-17
7.59612E-03 2.49170E-17
7.97965E-03 2.29724E-17
8.37255E-03 2.12049E-17
8.77480E-03 1.95981E-17
9.18641E-03 1.81345E-17
9.60736E-03 1.68005E-17
1.00376E-02 1.55838E-17
1.04773E-02 1.44718E-17
1.09262E-02 1.34551E-17
1.13844E-02 1.25243E-17
1.18520E-02 1.16707E-17
1.23288E-02 1.08877E-17
1.28150E-02 1.01684E-17
1.33104E-02 9.50677E-18
1.38150E-02 8.89805E-18
1.43290E-02 8.33699E-18
1.48521E-02 7.81949E-18
1.53845E-02 7.34198E-18
1.59262E-02 6.90051E-18
1.64770E-02 6.49223E-18
1.70371E-02 6.11429E-18
1.76063E-02 5.76381E-18
1.81848E-02 5.43873E-18
1.87724E-02 5.13676E-18
1.93692E-02 4.85584E-18
1.99751E-02 4.59445E-18
2.05901E-02 4.35076E-18
2.12143E-02 4.12336E-18
2.18476E-02 3.91107E-18
2.24900E-02 3.71250E-18
2.31415E-02 3.52668E-18
2.38021E-02 3.35267E-18
2.44717E-02 3.18944E-18
2.51504E-02 3.03632E-18
2.58382E-02 2.89254E-18
2.65349E-02 2.75736E-18
2.72407E-02 2.63028E-18
2.79555E-02 2.51066E-18
2.86793E-02 2.39797E-18
2.94120E-02 2.29181E-18
3.01537E-02 2.19165E-18
3.09043E-02 2.09711E-18
3.16639E-02 2.00785E-18
3.24324E-02 1.92343E-18
3.32098E-02 1.84360E-18
3.39961E-02 1.76803E-18
3.47912E-02 1.69641E-18
3.55952E-02 1.62852E-18
3.64081E-02 1.56410E-18
3.72297E-02 1.50293E-18
3.80602E-02 1.44482E-18
3.88995E-02 1.38956E-18
3.97476E-02 1.33699E-18
4.06044E-02 1.28696E-18
4.14700E-02 1.23930E-18
4.23443E-02 1.19390E-18
4.32273E-02 1.15061E-18
4.41190E-02 1.10933E-18
4.50194E-02 1.06995E-18
4.59284E-02 1.03236E-18
4.68461E-02 9.96467E-19
4.87074E-02 9.29417E-19
5.06030E-02 8.68131E-19
5.25328E-02 8.12004E-19
5.44967E-02 7.60489E-19
5.64946E-02 7.13109E-19
5.85262E-02 6.69448E-19
6.05914E-02 6.29142E-19
6.26901E-02 5.91873E-19
6.48222E-02 5.57379E-19
6.69873E-02 5.25431E-19
6.91854E-02 4.95816E-19
7.14163E-02 4.68333E-19
7.36799E-02 4.42802E-19
7.59760E-02 4.19053E-19
7.83043E-02 3.96919E-19
8.06647E-02 3.76251E-19
8.30571E-02 3.56927E-19
8.54812E-02 3.38839E-19
8.79369E-02 3.21896E-19
9.04240E-02 3.06019E-19
9.29422E-02 2.91140E-19
9.54915E-02 2.77193E-19
9.80716E-02 2.64110E-19
1.00682E-01 2.51825E-19
1.03323E-01 2.40272E-19
1.05995E-01 2.29388E-19
1.08696E-01 2.19121E-19
1.11427E-01 2.09425E-19
1.14188E-01 2.00262E-19
1.16978E-01 1.91602E-19
1.19797E-01 1.83420E-19
1.22645E-01 1.75692E-19
1.25522E-01 1.68390E-19
1.28428E-01 1.61485E-19
1.31361E-01 1.54948E-19
1.34323E-01 1.48749E-19
1.37313E-01 1.42861E-19
1.40330E-01 1.37263E-19
1.43375E-01 1.31936E-19
1.46447E-01 1.26869E-19
1.49545E-01 1.22050E-19
1.52671E-01 1.17470E-19
1.55823E-01 1.13119E-19
1.59001E-01 1.08983E-19
1.62205E-01 1.05049E-19
1.65435E-01 1.01301E-19
1.68690E-01 9.77234E-20
1.71970E-01 9.43042E-20
1.75276E-01 9.10331E-20
1.78606E-01 8.79031E-20
1.81961E-01 8.49094E-20
1.85340E-01 8.20483E-20
1.88743E-01 7.93157E-20
1.92169E-01 7.67065E-20
1.95619E-01 7.42137E-20
1.99092E-01 7.18293E-20
2.02589E-01 6.95449E-20
2.06107E-01 6.73527E-20
2.09649E-01 6.52462E-20
2.13212E-01 6.32208E-20
2.16797E-01 6.12738E-20
2.20404E-01 5.94038E-20
2.24032E-01 5.76094E-20
2.27680E-01 5.58893E-20
2.31350E-01 5.42409E-20
2.35040E-01 5.26601E-20
2.38751E-01 5.11423E-20
2.42481E-01 4.96826E-20
2.46231E-01 4.82761E-20
2.50000E-01 4.69190E-20
2.53788E-01 4.56090E-20
2.57595E-01 4.43446E-20
2.61421E-01 4.31253E-20
2.65264E-01 4.19507E-20
2.69126E-01 4.08205E-20
2.73005E-01 3.97334E-20
2.76901E-01 3.86873E-20
2.80814E-01 3.76797E-20
2.84744E-01 3.67076E-20
2.88691E-01 3.57680E-20
2.92653E-01 3.48586E-20
2.96632E-01 3.39779E-20
3.00625E-01 3.31249E-20
3.04634E-01 3.22995E-20
3.08658E-01 3.15016E-20
3.12697E-01 3.07316E-20
3.16749E-01 2.99887E-20
3.20816E-01 2.92721E-20
