 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file Data/z_008.d
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 9.38306E-17 cm**2 = 3.35075E+00 a0**2
 # 1st transport cross section = 1.62316E-17 cm**2 = 5.79643E-01 a0**2
 # 2nd transport cross section = 2.68832E-17 cm**2 = 9.60017E-01 a0**2
 #
 #    Absorption cross section = 8.24887E-17 cm**2 = 2.94573E+00 a0**2
 #   Grand total cross section = 1.76321E-16 cm**2 = 6.29655E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.75601E-16
7.61557E-13 6.75601E-16
1.18994E-12 6.75601E-16
1.71346E-12 6.75601E-16
2.33225E-12 6.75601E-16
3.04617E-12 6.75601E-16
3.85530E-12 6.75601E-16
4.75964E-12 6.75601E-16
5.75917E-12 6.75601E-16
6.85391E-12 6.75601E-16
8.04379E-12 6.75601E-16
9.32893E-12 6.75601E-16
1.07092E-11 6.75601E-16
1.21847E-11 6.75601E-16
1.37554E-11 6.75601E-16
1.54213E-11 6.75601E-16
1.71823E-11 6.75601E-16
1.90386E-11 6.75601E-16
2.09900E-11 6.75601E-16
2.30367E-11 6.75601E-16
2.51785E-11 6.75601E-16
2.74156E-11 6.75601E-16
2.97478E-11 6.75601E-16
3.21752E-11 6.75601E-16
3.46979E-11 6.75601E-16
3.73157E-11 6.75601E-16
4.00286E-11 6.75601E-16
4.28368E-11 6.75601E-16
4.57402E-11 6.75601E-16
4.87388E-11 6.75601E-16
5.18325E-11 6.75601E-16
5.50215E-11 6.75601E-16
5.83057E-11 6.75601E-16
6.16850E-11 6.75601E-16
6.51595E-11 6.75601E-16
6.87293E-11 6.75601E-16
7.23943E-11 6.75601E-16
7.61544E-11 6.75601E-16
1.18991E-10 6.75601E-16
1.71347E-10 6.75601E-16
2.33223E-10 6.75601E-16
3.04617E-10 6.75601E-16
3.85531E-10 6.75601E-16
4.75965E-10 6.75600E-16
5.75917E-10 6.75600E-16
6.85389E-10 6.75600E-16
8.04380E-10 6.75600E-16
9.32891E-10 6.75600E-16
1.07092E-09 6.75600E-16
1.21847E-09 6.75599E-16
1.37554E-09 6.75599E-16
1.54213E-09 6.75599E-16
1.71823E-09 6.75599E-16
1.90386E-09 6.75598E-16
2.09900E-09 6.75598E-16
2.30367E-09 6.75598E-16
2.51785E-09 6.75597E-16
2.74156E-09 6.75597E-16
2.97478E-09 6.75597E-16
3.21752E-09 6.75596E-16
3.46978E-09 6.75596E-16
3.73156E-09 6.75596E-16
4.00286E-09 6.75595E-16
4.28368E-09 6.75595E-16
4.57402E-09 6.75595E-16
4.87388E-09 6.75594E-16
5.18326E-09 6.75594E-16
5.50215E-09 6.75593E-16
5.83057E-09 6.75593E-16
6.16850E-09 6.75592E-16
6.51596E-09 6.75592E-16
6.87293E-09 6.75591E-16
7.23942E-09 6.75591E-16
7.61544E-09 6.75590E-16
1.18991E-08 6.75584E-16
1.71347E-08 6.75576E-16
2.33223E-08 6.75567E-16
3.04617E-08 6.75557E-16
3.85531E-08 6.75545E-16
4.75965E-08 6.75532E-16
5.75917E-08 6.75518E-16
6.85389E-08 6.75502E-16
8.04380E-08 6.75485E-16
9.32891E-08 6.75466E-16
1.07092E-07 6.75446E-16
1.21847E-07 6.75425E-16
1.37554E-07 6.75402E-16
1.54213E-07 6.75378E-16
1.71823E-07 6.75353E-16
1.90386E-07 6.75326E-16
2.09900E-07 6.75298E-16
2.30367E-07 6.75268E-16
2.51785E-07 6.75237E-16
2.74156E-07 6.75205E-16
2.97478E-07 6.75171E-16
3.21752E-07 6.75136E-16
3.46978E-07 6.75100E-16
3.73156E-07 6.75062E-16
4.00286E-07 6.75023E-16
4.28368E-07 6.74983E-16
4.57402E-07 6.74941E-16
4.87388E-07 6.74898E-16
5.18325E-07 6.74853E-16
5.50215E-07 6.74808E-16
5.83057E-07 6.74760E-16
6.16850E-07 6.74712E-16
6.51596E-07 6.74662E-16
6.87293E-07 6.74611E-16
7.23942E-07 6.74558E-16
7.61543E-07 6.74505E-16
1.18991E-06 6.73894E-16
1.71347E-06 6.73154E-16
2.33223E-06 6.72288E-16
3.04617E-06 6.71300E-16
3.85531E-06 6.70194E-16
4.75964E-06 6.68976E-16
5.75916E-06 6.67652E-16
6.85388E-06 6.66226E-16
8.04378E-06 6.64706E-16
9.32888E-06 6.63097E-16
1.07092E-05 6.61407E-16
1.21846E-05 6.59641E-16
1.37553E-05 6.57808E-16
1.54212E-05 6.55913E-16
1.71822E-05 6.53964E-16
1.90385E-05 6.51967E-16
2.09899E-05 6.49930E-16
2.30365E-05 6.47857E-16
2.51783E-05 6.45756E-16
2.74153E-05 6.43633E-16
2.97475E-05 6.41493E-16
3.21749E-05 6.39341E-16
3.46974E-05 6.37183E-16
3.73152E-05 6.35022E-16
4.00281E-05 6.32864E-16
4.28362E-05 6.30711E-16
4.57395E-05 6.28568E-16
4.87380E-05 6.26437E-16
5.18317E-05 6.24321E-16
5.50205E-05 6.22221E-16
5.83045E-05 6.20140E-16
6.16838E-05 6.18080E-16
6.51582E-05 6.16040E-16
6.87277E-05 6.14021E-16
7.23925E-05 6.12025E-16
7.61524E-05 6.10051E-16
9.21439E-05 6.02370E-16
1.09658E-04 5.94994E-16
1.28695E-04 5.87850E-16
1.49255E-04 5.80861E-16
1.71338E-04 5.73967E-16
1.94942E-04 5.67133E-16
2.20070E-04 5.60350E-16
2.46720E-04 5.53633E-16
2.74892E-04 5.47006E-16
3.04586E-04 5.40495E-16
3.35803E-04 5.34116E-16
3.68542E-04 5.27873E-16
4.02802E-04 5.21758E-16
4.38585E-04 5.15753E-16
4.75889E-04 5.09837E-16
5.14715E-04 5.03991E-16
5.55063E-04 4.98203E-16
5.96931E-04 4.92469E-16
6.40321E-04 4.86791E-16
