 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Ne,  Z =  10,  atomic weight = 2.01797E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.91310E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 10
 #
 # Electron density: Read from file Data/z_010.d
 #                   Number of data points =  649
 #                   Volume integral = 1.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.47646E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.95600E-25 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 5.76370E-17 cm**2 = 2.05825E+00 a0**2
 # 1st transport cross section = 1.14936E-17 cm**2 = 4.10445E-01 a0**2
 # 2nd transport cross section = 2.10430E-17 cm**2 = 7.51458E-01 a0**2
 #
 #    Absorption cross section = 6.93657E-17 cm**2 = 2.47709E+00 a0**2
 #   Grand total cross section = 1.27004E-16 cm**2 = 4.53541E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 8.66574E-17
7.61557E-13 8.66574E-17
1.18994E-12 8.66574E-17
1.71346E-12 8.66574E-17
2.33225E-12 8.66574E-17
3.04617E-12 8.66574E-17
3.85530E-12 8.66574E-17
4.75964E-12 8.66574E-17
5.75917E-12 8.66574E-17
6.85391E-12 8.66574E-17
8.04379E-12 8.66574E-17
9.32893E-12 8.66574E-17
1.07092E-11 8.66574E-17
1.21847E-11 8.66575E-17
1.37554E-11 8.66575E-17
1.54213E-11 8.66575E-17
1.71823E-11 8.66575E-17
1.90386E-11 8.66575E-17
2.09900E-11 8.66575E-17
2.30367E-11 8.66575E-17
2.51785E-11 8.66575E-17
2.74156E-11 8.66575E-17
2.97478E-11 8.66575E-17
3.21752E-11 8.66575E-17
3.46979E-11 8.66575E-17
3.73157E-11 8.66575E-17
4.00286E-11 8.66575E-17
4.28368E-11 8.66575E-17
4.57402E-11 8.66575E-17
4.87388E-11 8.66575E-17
5.18325E-11 8.66575E-17
5.50215E-11 8.66575E-17
5.83057E-11 8.66575E-17
6.16850E-11 8.66575E-17
6.51595E-11 8.66575E-17
6.87293E-11 8.66575E-17
7.23943E-11 8.66575E-17
7.61544E-11 8.66575E-17
1.18991E-10 8.66575E-17
1.71347E-10 8.66575E-17
2.33223E-10 8.66575E-17
3.04617E-10 8.66575E-17
3.85531E-10 8.66575E-17
4.75965E-10 8.66575E-17
5.75917E-10 8.66575E-17
6.85389E-10 8.66575E-17
8.04380E-10 8.66575E-17
9.32891E-10 8.66575E-17
1.07092E-09 8.66575E-17
1.21847E-09 8.66575E-17
1.37554E-09 8.66575E-17
1.54213E-09 8.66575E-17
1.71823E-09 8.66575E-17
1.90386E-09 8.66576E-17
2.09900E-09 8.66576E-17
2.30367E-09 8.66576E-17
2.51785E-09 8.66576E-17
2.74156E-09 8.66576E-17
2.97478E-09 8.66576E-17
3.21752E-09 8.66576E-17
3.46978E-09 8.66576E-17
3.73156E-09 8.66577E-17
4.00286E-09 8.66577E-17
4.28368E-09 8.66577E-17
4.57402E-09 8.66577E-17
4.87388E-09 8.66577E-17
5.18326E-09 8.66577E-17
5.50215E-09 8.66577E-17
5.83057E-09 8.66578E-17
6.16850E-09 8.66578E-17
6.51596E-09 8.66578E-17
6.87293E-09 8.66578E-17
7.23942E-09 8.66578E-17
7.61544E-09 8.66579E-17
1.18991E-08 8.66581E-17
1.71347E-08 8.66584E-17
2.33223E-08 8.66587E-17
3.04617E-08 8.66591E-17
3.85531E-08 8.66595E-17
4.75965E-08 8.66600E-17
5.75917E-08 8.66606E-17
6.85389E-08 8.66612E-17
8.04380E-08 8.66618E-17
9.32891E-08 8.66625E-17
1.07092E-07 8.66632E-17
1.21847E-07 8.66640E-17
1.37554E-07 8.66649E-17
1.54213E-07 8.66658E-17
1.71823E-07 8.66667E-17
1.90386E-07 8.66678E-17
2.09900E-07 8.66688E-17
2.30367E-07 8.66699E-17
2.51785E-07 8.66711E-17
2.74156E-07 8.66723E-17
2.97478E-07 8.66735E-17
3.21752E-07 8.66749E-17
3.46978E-07 8.66762E-17
3.73156E-07 8.66776E-17
4.00286E-07 8.66791E-17
4.28368E-07 8.66806E-17
4.57402E-07 8.66822E-17
4.87388E-07 8.66838E-17
5.18325E-07 8.66855E-17
5.50215E-07 8.66872E-17
5.83057E-07 8.66890E-17
6.16850E-07 8.66908E-17
6.51596E-07 8.66927E-17
6.87293E-07 8.66946E-17
7.23942E-07 8.66966E-17
7.61543E-07 8.66986E-17
1.18991E-06 8.67216E-17
1.71347E-06 8.67496E-17
2.33223E-06 8.67826E-17
3.04617E-06 8.68205E-17
3.85531E-06 8.68632E-17
4.75964E-06 8.69105E-17
5.75916E-06 8.69625E-17
6.85388E-06 8.70189E-17
8.04378E-06 8.70797E-17
9.32888E-06 8.71447E-17
1.07092E-05 8.72138E-17
1.21846E-05 8.72867E-17
1.37553E-05 8.73634E-17
1.54212E-05 8.74437E-17
1.71822E-05 8.75273E-17
1.90385E-05 8.76142E-17
2.09899E-05 8.77040E-17
2.30365E-05 8.77967E-17
2.51783E-05 8.78919E-17
2.74153E-05 8.79896E-17
2.97475E-05 8.80894E-17
3.21749E-05 8.81912E-17
3.46974E-05 8.82948E-17
3.73152E-05 8.83999E-17
4.00281E-05 8.85064E-17
4.28362E-05 8.86140E-17
4.57395E-05 8.87226E-17
4.87380E-05 8.88319E-17
5.18317E-05 8.89419E-17
5.50205E-05 8.90522E-17
5.83045E-05 8.91628E-17
6.16838E-05 8.92734E-17
6.51582E-05 8.93840E-17
6.87277E-05 8.94944E-17
7.23925E-05 8.96045E-17
7.61524E-05 8.97142E-17
9.21439E-05 9.01467E-17
1.09658E-04 9.05667E-17
1.28695E-04 9.09727E-17
1.49255E-04 9.13657E-17
1.71338E-04 9.17482E-17
1.94942E-04 9.21233E-17
2.20070E-04 9.24938E-17
2.46720E-04 9.28618E-17
2.74892E-04 9.32280E-17
3.04586E-04 9.35920E-17
3.35803E-04 9.39524E-17
3.68542E-04 9.43071E-17
4.02802E-04 9.46539E-17
4.38585E-04 9.49909E-17
4.75889E-04 9.53168E-17
5.14715E-04 9.56311E-17
5.55063E-04 9.59339E-17
5.96931E-04 9.62261E-17
6.40321E-04 9.65087E-17
6.85233E-04 9.67826E-17
7.31665E-04 9.70485E-17
7.79618E-04 9.73066E-17
8.29092E-04 9.75566E-17
8.80086E-04 9.77978E-17
9.32601E-04 9.80293E-17
9.86636E-04 9.82499E-17
1.04219E-03 9.84590E-17
1.09927E-03 9.86558E-17
1.15786E-03 9.88405E-17
1.21797E-03 9.90131E-17
1.27961E-03 9.91742E-17
1.34276E-03 9.93244E-17
1.40743E-03 9.94643E-17
1.47362E-03 9.95942E-17
1.54133E-03 9.97142E-17
1.61056E-03 9.98241E-17
1.68131E-03 9.99234E-17
1.75357E-03 1.00012E-16
1.82735E-03 1.00088E-16
1.90265E-03 1.00153E-16
1.97947E-03 1.00206E-16
2.05780E-03 1.00247E-16
2.13765E-03 1.00276E-16
2.21902E-03 1.00293E-16
2.30190E-03 1.00300E-16
2.38630E-03 1.00297E-16
2.47222E-03 1.00283E-16
2.55965E-03 1.00259E-16
2.64859E-03 1.00225E-16
2.73905E-03 1.00180E-16
2.83103E-03 1.00124E-16
2.92452E-03 1.00058E-16
3.01952E-03 9.99804E-17
3.11604E-03 9.98916E-17
3.21407E-03 9.97920E-17
3.31362E-03 9.96817E-17
3.41468E-03 9.95612E-17
3.51725E-03 9.94308E-17
3.62133E-03 9.92908E-17
3.72692E-03 9.91415E-17
3.83403E-03 9.89829E-17
3.94265E-03 9.88149E-17
4.05278E-03 9.86375E-17
4.16442E-03 9.84504E-17
4.27757E-03 9.82537E-17
4.39223E-03 9.80474E-17
4.50840E-03 9.78315E-17
4.62608E-03 9.76063E-17
4.74527E-03 9.73722E-17
4.86597E-03 9.71294E-17
4.98817E-03 9.68782E-17
5.11188E-03 9.66191E-17
5.23711E-03 9.63520E-17
5.36383E-03 9.60771E-17
5.49207E-03 9.57943E-17
5.62181E-03 9.55037E-17
5.75306E-03 9.52051E-17
5.88581E-03 9.48987E-17
6.02007E-03 9.45845E-17
6.15583E-03 9.42626E-17
6.29310E-03 9.39334E-17
6.43187E-03 9.35971E-17
6.57214E-03 9.32540E-17
6.71392E-03 9.29044E-17
6.85720E-03 9.25484E-17
7.00198E-03 9.21864E-17
7.14827E-03 9.18182E-17
7.29605E-03 9.14440E-17
7.44534E-03 9.10637E-17
7.59612E-03 9.06774E-17
7.97965E-03 8.96859E-17
8.37255E-03 8.86599E-17
8.77480E-03 8.76034E-17
9.18641E-03 8.65190E-17
9.60736E-03 8.54081E-17
1.00376E-02 8.42714E-17
1.04773E-02 8.31115E-17
1.09262E-02 8.19316E-17
1.13844E-02 8.07344E-17
1.18520E-02 7.95211E-17
1.23288E-02 7.82927E-17
1.28150E-02 7.70512E-17
1.33104E-02 7.57994E-17
