 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Ne,  Z =  10,  atomic weight = 2.01797E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.91310E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 10
 #
 # Electron density: Read from file Data/z_010.d
 #                   Number of data points =  649
 #                   Volume integral = 1.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.66200E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.95600E-25 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 5.62986E-17 cm**2 = 2.01046E+00 a0**2
 # 1st transport cross section = 9.61759E-18 cm**2 = 3.43450E-01 a0**2
 # 2nd transport cross section = 1.65460E-17 cm**2 = 5.90869E-01 a0**2
 #
 #    Absorption cross section = 2.94964E-17 cm**2 = 1.05334E+00 a0**2
 #   Grand total cross section = 8.57964E-17 cm**2 = 3.06384E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.38658E-16
7.61557E-13 3.38658E-16
1.18994E-12 3.38658E-16
1.71346E-12 3.38658E-16
2.33225E-12 3.38658E-16
3.04617E-12 3.38658E-16
3.85530E-12 3.38658E-16
4.75964E-12 3.38658E-16
5.75917E-12 3.38658E-16
6.85391E-12 3.38658E-16
8.04379E-12 3.38658E-16
9.32893E-12 3.38658E-16
1.07092E-11 3.38658E-16
1.21847E-11 3.38658E-16
1.37554E-11 3.38658E-16
1.54213E-11 3.38658E-16
1.71823E-11 3.38658E-16
1.90386E-11 3.38658E-16
2.09900E-11 3.38658E-16
2.30367E-11 3.38658E-16
2.51785E-11 3.38658E-16
2.74156E-11 3.38658E-16
2.97478E-11 3.38658E-16
3.21752E-11 3.38658E-16
3.46979E-11 3.38658E-16
3.73157E-11 3.38658E-16
4.00286E-11 3.38658E-16
4.28368E-11 3.38658E-16
4.57402E-11 3.38658E-16
4.87388E-11 3.38658E-16
5.18325E-11 3.38658E-16
5.50215E-11 3.38658E-16
5.83057E-11 3.38658E-16
6.16850E-11 3.38658E-16
6.51595E-11 3.38658E-16
6.87293E-11 3.38658E-16
7.23943E-11 3.38658E-16
7.61544E-11 3.38658E-16
1.18991E-10 3.38658E-16
1.71347E-10 3.38658E-16
2.33223E-10 3.38658E-16
3.04617E-10 3.38658E-16
3.85531E-10 3.38657E-16
4.75965E-10 3.38657E-16
5.75917E-10 3.38657E-16
6.85389E-10 3.38657E-16
8.04380E-10 3.38657E-16
9.32891E-10 3.38657E-16
1.07092E-09 3.38657E-16
1.21847E-09 3.38657E-16
1.37554E-09 3.38656E-16
1.54213E-09 3.38656E-16
1.71823E-09 3.38656E-16
1.90386E-09 3.38656E-16
2.09900E-09 3.38656E-16
2.30367E-09 3.38656E-16
2.51785E-09 3.38655E-16
2.74156E-09 3.38655E-16
2.97478E-09 3.38655E-16
3.21752E-09 3.38655E-16
3.46978E-09 3.38654E-16
3.73156E-09 3.38654E-16
4.00286E-09 3.38654E-16
4.28368E-09 3.38654E-16
4.57402E-09 3.38653E-16
4.87388E-09 3.38653E-16
5.18326E-09 3.38653E-16
5.50215E-09 3.38652E-16
5.83057E-09 3.38652E-16
6.16850E-09 3.38652E-16
6.51596E-09 3.38651E-16
6.87293E-09 3.38651E-16
7.23942E-09 3.38651E-16
7.61544E-09 3.38650E-16
1.18991E-08 3.38646E-16
1.71347E-08 3.38641E-16
2.33223E-08 3.38635E-16
3.04617E-08 3.38628E-16
3.85531E-08 3.38620E-16
4.75965E-08 3.38611E-16
5.75917E-08 3.38601E-16
6.85389E-08 3.38590E-16
8.04380E-08 3.38579E-16
9.32891E-08 3.38566E-16
1.07092E-07 3.38553E-16
1.21847E-07 3.38538E-16
1.37554E-07 3.38523E-16
1.54213E-07 3.38506E-16
1.71823E-07 3.38489E-16
1.90386E-07 3.38471E-16
2.09900E-07 3.38452E-16
2.30367E-07 3.38432E-16
2.51785E-07 3.38411E-16
2.74156E-07 3.38389E-16
2.97478E-07 3.38367E-16
3.21752E-07 3.38343E-16
3.46978E-07 3.38318E-16
3.73156E-07 3.38293E-16
4.00286E-07 3.38267E-16
4.28368E-07 3.38239E-16
4.57402E-07 3.38211E-16
4.87388E-07 3.38182E-16
5.18325E-07 3.38152E-16
5.50215E-07 3.38121E-16
5.83057E-07 3.38090E-16
6.16850E-07 3.38057E-16
6.51596E-07 3.38023E-16
6.87293E-07 3.37989E-16
7.23942E-07 3.37954E-16
7.61543E-07 3.37918E-16
1.18991E-06 3.37509E-16
1.71347E-06 3.37018E-16
2.33223E-06 3.36448E-16
3.04617E-06 3.35804E-16
3.85531E-06 3.35093E-16
4.75964E-06 3.34318E-16
5.75916E-06 3.33488E-16
6.85388E-06 3.32608E-16
8.04378E-06 3.31684E-16
9.32888E-06 3.30723E-16
1.07092E-05 3.29732E-16
1.21846E-05 3.28717E-16
1.37553E-05 3.27683E-16
1.54212E-05 3.26636E-16
1.71822E-05 3.25580E-16
1.90385E-05 3.24522E-16
2.09899E-05 3.23464E-16
2.30365E-05 3.22410E-16
2.51783E-05 3.21364E-16
2.74153E-05 3.20328E-16
2.97475E-05 3.19303E-16
3.21749E-05 3.18292E-16
3.46974E-05 3.17295E-16
3.73152E-05 3.16312E-16
4.00281E-05 3.15344E-16
4.28362E-05 3.14391E-16
4.57395E-05 3.13452E-16
4.87380E-05 3.12527E-16
5.18317E-05 3.11614E-16
5.50205E-05 3.10712E-16
5.83045E-05 3.09820E-16
6.16838E-05 3.08937E-16
6.51582E-05 3.08061E-16
6.87277E-05 3.07193E-16
7.23925E-05 3.06329E-16
7.61524E-05 3.05471E-16
9.21439E-05 3.02068E-16
1.09658E-04 2.98700E-16
1.28695E-04 2.95373E-16
1.49255E-04 2.92113E-16
1.71338E-04 2.88941E-16
1.94942E-04 2.85865E-16
2.20070E-04 2.82876E-16
2.46720E-04 2.79952E-16
2.74892E-04 2.77076E-16
3.04586E-04 2.74240E-16
3.35803E-04 2.71445E-16
3.68542E-04 2.68700E-16
4.02802E-04 2.66011E-16
4.38585E-04 2.63378E-16
4.75889E-04 2.60796E-16
5.14715E-04 2.58255E-16
5.55063E-04 2.55747E-16
5.96931E-04 2.53268E-16
6.40321E-04 2.50819E-16
6.85233E-04 2.48405E-16
7.31665E-04 2.46028E-16
7.79618E-04 2.43686E-16
8.29092E-04 2.41377E-16
8.80086E-04 2.39093E-16
9.32601E-04 2.36831E-16
9.86636E-04 2.34591E-16
1.04219E-03 2.32372E-16
1.09927E-03 2.30177E-16
1.15786E-03 2.28006E-16
1.21797E-03 2.25860E-16
1.27961E-03 2.23734E-16
1.34276E-03 2.21626E-16
1.40743E-03 2.19533E-16
1.47362E-03 2.17455E-16
1.54133E-03 2.15393E-16
1.61056E-03 2.13348E-16
1.68131E-03 2.11321E-16
1.75357E-03 2.09310E-16
1.82735E-03 2.07314E-16
1.90265E-03 2.05330E-16
1.97947E-03 2.03358E-16
2.05780E-03 2.01397E-16
2.13765E-03 1.99449E-16
2.21902E-03 1.97514E-16
2.30190E-03 1.95593E-16
2.38630E-03 1.93684E-16
2.47222E-03 1.91786E-16
2.55965E-03 1.89898E-16
2.64859E-03 1.88020E-16
2.73905E-03 1.86151E-16
2.83103E-03 1.84294E-16
2.92452E-03 1.82448E-16
3.01952E-03 1.80613E-16
3.11604E-03 1.78788E-16
3.21407E-03 1.76973E-16
3.31362E-03 1.75168E-16
3.41468E-03 1.73371E-16
3.51725E-03 1.71584E-16
3.62133E-03 1.69807E-16
3.72692E-03 1.68040E-16
3.83403E-03 1.66284E-16
3.94265E-03 1.64538E-16
4.05278E-03 1.62802E-16
4.16442E-03 1.61074E-16
4.27757E-03 1.59355E-16
4.39223E-03 1.57647E-16
4.50840E-03 1.55948E-16
4.62608E-03 1.54260E-16
4.74527E-03 1.52583E-16
4.86597E-03 1.50915E-16
4.98817E-03 1.49257E-16
5.11188E-03 1.47608E-16
5.23711E-03 1.45969E-16
5.36383E-03 1.44341E-16
5.49207E-03 1.42723E-16
5.62181E-03 1.41116E-16
5.75306E-03 1.39520E-16
5.88581E-03 1.37934E-16
6.02007E-03 1.36358E-16
6.15583E-03 1.34793E-16
6.29310E-03 1.33238E-16
6.43187E-03 1.31694E-16
6.57214E-03 1.30161E-16
6.71392E-03 1.28640E-16
6.85720E-03 1.27129E-16
7.00198E-03 1.25630E-16
7.14827E-03 1.24141E-16
7.29605E-03 1.22663E-16
7.44534E-03 1.21197E-16
7.59612E-03 1.19742E-16
7.97965E-03 1.16156E-16
8.37255E-03 1.12641E-16
8.77480E-03 1.09199E-16
9.18641E-03 1.05833E-16
9.60736E-03 1.02540E-16
1.00376E-02 9.93217E-17
1.04773E-02 9.61794E-17
1.09262E-02 9.31128E-17
1.13844E-02 9.01211E-17
1.18520E-02 8.72056E-17
