 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Na,  Z =  11,  atomic weight = 2.29898E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.04249E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 11
 #
 # Electron density: Read from file Data/z_011.d
 #                   Number of data points =  825
 #                   Volume integral = 1.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.40800E-23 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 1.44084E-17 cm**2 = 5.14533E-01 a0**2
 # 1st transport cross section = 2.84992E-19 cm**2 = 1.01772E-02 a0**2
 # 2nd transport cross section = 6.78624E-19 cm**2 = 2.42341E-02 a0**2
 #
 #    Absorption cross section = 1.66429E-17 cm**2 = 5.94329E-01 a0**2
 #   Grand total cross section = 3.10539E-17 cm**2 = 1.10895E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.13070E-16
7.61557E-13 1.13070E-16
1.18994E-12 1.13070E-16
1.71346E-12 1.13070E-16
2.33225E-12 1.13070E-16
3.04617E-12 1.13070E-16
3.85530E-12 1.13070E-16
4.75964E-12 1.13070E-16
5.75917E-12 1.13070E-16
6.85391E-12 1.13070E-16
8.04379E-12 1.13070E-16
9.32893E-12 1.13070E-16
1.07092E-11 1.13070E-16
1.21847E-11 1.13070E-16
1.37554E-11 1.13070E-16
1.54213E-11 1.13070E-16
1.71823E-11 1.13070E-16
1.90386E-11 1.13070E-16
2.09900E-11 1.13070E-16
2.30367E-11 1.13070E-16
2.51785E-11 1.13070E-16
2.74156E-11 1.13070E-16
2.97478E-11 1.13070E-16
3.21752E-11 1.13070E-16
3.46979E-11 1.13070E-16
3.73157E-11 1.13070E-16
4.00286E-11 1.13070E-16
4.28368E-11 1.13070E-16
4.57402E-11 1.13070E-16
4.87388E-11 1.13070E-16
5.18325E-11 1.13070E-16
5.50215E-11 1.13070E-16
5.83057E-11 1.13070E-16
6.16850E-11 1.13070E-16
6.51595E-11 1.13070E-16
6.87293E-11 1.13070E-16
7.23943E-11 1.13070E-16
7.61544E-11 1.13070E-16
1.18991E-10 1.13069E-16
1.71347E-10 1.13069E-16
2.33223E-10 1.13069E-16
3.04617E-10 1.13068E-16
3.85531E-10 1.13067E-16
4.75965E-10 1.13067E-16
5.75917E-10 1.13066E-16
6.85389E-10 1.13065E-16
8.04380E-10 1.13064E-16
9.32891E-10 1.13063E-16
1.07092E-09 1.13062E-16
1.21847E-09 1.13060E-16
1.37554E-09 1.13059E-16
1.54213E-09 1.13058E-16
1.71823E-09 1.13056E-16
1.90386E-09 1.13055E-16
2.09900E-09 1.13053E-16
2.30367E-09 1.13052E-16
2.51785E-09 1.13050E-16
2.74156E-09 1.13048E-16
2.97478E-09 1.13047E-16
3.21752E-09 1.13045E-16
3.46978E-09 1.13043E-16
3.73156E-09 1.13041E-16
4.00286E-09 1.13039E-16
4.28368E-09 1.13037E-16
4.57402E-09 1.13035E-16
4.87388E-09 1.13033E-16
5.18326E-09 1.13030E-16
5.50215E-09 1.13028E-16
5.83057E-09 1.13026E-16
6.16850E-09 1.13024E-16
6.51596E-09 1.13021E-16
6.87293E-09 1.13019E-16
7.23942E-09 1.13016E-16
7.61544E-09 1.13014E-16
1.18991E-08 1.12988E-16
1.71347E-08 1.12963E-16
2.33223E-08 1.12942E-16
3.04617E-08 1.12928E-16
3.85531E-08 1.12928E-16
4.75965E-08 1.12945E-16
5.75917E-08 1.12987E-16
6.85389E-08 1.13059E-16
8.04380E-08 1.13169E-16
9.32891E-08 1.13323E-16
1.07092E-07 1.13529E-16
1.21847E-07 1.13796E-16
1.37554E-07 1.14131E-16
1.54213E-07 1.14544E-16
1.71823E-07 1.15044E-16
1.90386E-07 1.15640E-16
2.09900E-07 1.16341E-16
2.30367E-07 1.17156E-16
2.51785E-07 1.18097E-16
2.74156E-07 1.19171E-16
2.97478E-07 1.20389E-16
3.21752E-07 1.21760E-16
3.46978E-07 1.23295E-16
3.73156E-07 1.25001E-16
4.00286E-07 1.26889E-16
4.28368E-07 1.28968E-16
4.57402E-07 1.31246E-16
4.87388E-07 1.33732E-16
5.18325E-07 1.36433E-16
5.50215E-07 1.39358E-16
5.83057E-07 1.42514E-16
