 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Na,  Z =  11,  atomic weight = 2.29898E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.04249E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 11
 #
 # Electron density: Read from file Data/z_011.d
 #                   Number of data points =  825
 #                   Volume integral = 1.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.10000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.40800E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 2.23653E-17 cm**2 = 7.98679E-01 a0**2
 # 1st transport cross section = 6.23755E-19 cm**2 = 2.22747E-02 a0**2
 # 2nd transport cross section = 1.41478E-18 cm**2 = 5.05226E-02 a0**2
 #
 #    Absorption cross section = 1.66970E-17 cm**2 = 5.96261E-01 a0**2
 #   Grand total cross section = 3.90647E-17 cm**2 = 1.39503E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 9.65158E-15
7.61557E-13 9.65158E-15
1.18994E-12 9.65158E-15
1.71346E-12 9.65158E-15
2.33225E-12 9.65158E-15
3.04617E-12 9.65158E-15
3.85530E-12 9.65158E-15
4.75964E-12 9.65158E-15
5.75917E-12 9.65157E-15
6.85391E-12 9.65157E-15
8.04379E-12 9.65157E-15
9.32893E-12 9.65157E-15
1.07092E-11 9.65157E-15
1.21847E-11 9.65156E-15
1.37554E-11 9.65156E-15
1.54213E-11 9.65156E-15
1.71823E-11 9.65156E-15
1.90386E-11 9.65155E-15
2.09900E-11 9.65155E-15
2.30367E-11 9.65155E-15
2.51785E-11 9.65154E-15
2.74156E-11 9.65154E-15
2.97478E-11 9.65154E-15
3.21752E-11 9.65153E-15
3.46979E-11 9.65153E-15
3.73157E-11 9.65152E-15
4.00286E-11 9.65152E-15
4.28368E-11 9.65151E-15
4.57402E-11 9.65151E-15
4.87388E-11 9.65150E-15
5.18325E-11 9.65150E-15
5.50215E-11 9.65149E-15
5.83057E-11 9.65149E-15
6.16850E-11 9.65148E-15
6.51595E-11 9.65148E-15
6.87293E-11 9.65147E-15
7.23943E-11 9.65147E-15
7.61544E-11 9.65146E-15
1.18991E-10 9.65139E-15
1.71347E-10 9.65130E-15
2.33223E-10 9.65120E-15
3.04617E-10 9.65109E-15
3.85531E-10 9.65096E-15
4.75965E-10 9.65081E-15
5.75917E-10 9.65065E-15
6.85389E-10 9.65047E-15
8.04380E-10 9.65027E-15
9.32891E-10 9.65007E-15
1.07092E-09 9.64984E-15
1.21847E-09 9.64960E-15
1.37554E-09 9.64935E-15
1.54213E-09 9.64907E-15
1.71823E-09 9.64879E-15
1.90386E-09 9.64849E-15
2.09900E-09 9.64817E-15
2.30367E-09 9.64784E-15
2.51785E-09 9.64749E-15
2.74156E-09 9.64712E-15
2.97478E-09 9.64675E-15
3.21752E-09 9.64635E-15
3.46978E-09 9.64594E-15
3.73156E-09 9.64552E-15
4.00286E-09 9.64507E-15
4.28368E-09 9.64462E-15
4.57402E-09 9.64415E-15
4.87388E-09 9.64366E-15
5.18326E-09 9.64316E-15
5.50215E-09 9.64264E-15
5.83057E-09 9.64211E-15
6.16850E-09 9.64156E-15
6.51596E-09 9.64099E-15
6.87293E-09 9.64041E-15
7.23942E-09 9.63982E-15
7.61544E-09 9.63921E-15
1.18991E-08 9.63226E-15
1.71347E-08 9.62378E-15
2.33223E-08 9.61377E-15
3.04617E-08 9.60225E-15
3.85531E-08 9.58923E-15
4.75965E-08 9.57471E-15
5.75917E-08 9.55872E-15
6.85389E-08 9.54125E-15
8.04380E-08 9.52234E-15
9.32891E-08 9.50199E-15
1.07092E-07 9.48023E-15
1.21847E-07 9.45707E-15
1.37554E-07 9.43253E-15
1.54213E-07 9.40664E-15
1.71823E-07 9.37941E-15
1.90386E-07 9.35087E-15
2.09900E-07 9.32105E-15
2.30367E-07 9.28997E-15
2.51785E-07 9.25765E-15
2.74156E-07 9.22413E-15
2.97478E-07 9.18942E-15
3.21752E-07 9.15357E-15
3.46978E-07 9.11660E-15
3.73156E-07 9.07854E-15
4.00286E-07 9.03941E-15
4.28368E-07 8.99926E-15
4.57402E-07 8.95811E-15
4.87388E-07 8.91600E-15
5.18325E-07 8.87296E-15
5.50215E-07 8.82902E-15
5.83057E-07 8.78422E-15
6.16850E-07 8.73859E-15
6.51596E-07 8.69216E-15
6.87293E-07 8.64498E-15
7.23942E-07 8.59707E-15
7.61543E-07 8.54846E-15
1.18991E-06 8.03217E-15
1.71347E-06 7.48460E-15
2.33223E-06 6.93654E-15
3.04617E-06 6.41256E-15
3.85531E-06 5.92973E-15
4.75964E-06 5.49752E-15
5.75916E-06 5.11885E-15
