 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.50000E+03 eV = 5.51240E+01 a.u.
 #
 # Element: Mg,  Z =  12,  atomic weight = 2.43050E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.09943E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 12
 #
 # Electron density: Read from file Data/z_012.d
 #                   Number of data points =  775
 #                   Volume integral = 1.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.46200E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.00600E-23 cm**3
 #                            Bpol = 9.51972E+00
 #
 # Total elastic cross section = 5.75726E-17 cm**2 = 2.05595E+00 a0**2
 # 1st transport cross section = 2.74913E-18 cm**2 = 9.81733E-02 a0**2
 # 2nd transport cross section = 5.93292E-18 cm**2 = 2.11868E-01 a0**2
 #
 #    Absorption cross section = 6.73559E-17 cm**2 = 2.40532E+00 a0**2
 #   Grand total cross section = 1.24934E-16 cm**2 = 4.46146E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.01459E-16
7.61557E-13 4.01459E-16
1.18994E-12 4.01459E-16
1.71346E-12 4.01459E-16
2.33225E-12 4.01459E-16
3.04617E-12 4.01459E-16
3.85530E-12 4.01459E-16
4.75964E-12 4.01459E-16
5.75917E-12 4.01459E-16
6.85391E-12 4.01459E-16
8.04379E-12 4.01459E-16
9.32893E-12 4.01460E-16
1.07092E-11 4.01460E-16
1.21847E-11 4.01460E-16
1.37554E-11 4.01460E-16
1.54213E-11 4.01460E-16
1.71823E-11 4.01460E-16
1.90386E-11 4.01460E-16
2.09900E-11 4.01460E-16
2.30367E-11 4.01460E-16
2.51785E-11 4.01460E-16
2.74156E-11 4.01460E-16
2.97478E-11 4.01460E-16
3.21752E-11 4.01460E-16
3.46979E-11 4.01460E-16
3.73157E-11 4.01460E-16
4.00286E-11 4.01460E-16
4.28368E-11 4.01460E-16
4.57402E-11 4.01460E-16
4.87388E-11 4.01460E-16
5.18325E-11 4.01460E-16
5.50215E-11 4.01460E-16
5.83057E-11 4.01460E-16
6.16850E-11 4.01460E-16
6.51595E-11 4.01460E-16
6.87293E-11 4.01460E-16
7.23943E-11 4.01460E-16
7.61544E-11 4.01460E-16
1.18991E-10 4.01460E-16
1.71347E-10 4.01461E-16
2.33223E-10 4.01461E-16
3.04617E-10 4.01462E-16
3.85531E-10 4.01463E-16
4.75965E-10 4.01463E-16
5.75917E-10 4.01464E-16
6.85389E-10 4.01465E-16
8.04380E-10 4.01466E-16
9.32891E-10 4.01467E-16
1.07092E-09 4.01468E-16
1.21847E-09 4.01469E-16
1.37554E-09 4.01471E-16
1.54213E-09 4.01472E-16
1.71823E-09 4.01474E-16
1.90386E-09 4.01475E-16
2.09900E-09 4.01477E-16
2.30367E-09 4.01478E-16
2.51785E-09 4.01480E-16
2.74156E-09 4.01482E-16
2.97478E-09 4.01484E-16
3.21752E-09 4.01486E-16
3.46978E-09 4.01488E-16
3.73156E-09 4.01490E-16
4.00286E-09 4.01492E-16
4.28368E-09 4.01495E-16
4.57402E-09 4.01497E-16
4.87388E-09 4.01499E-16
5.18326E-09 4.01502E-16
5.50215E-09 4.01505E-16
5.83057E-09 4.01507E-16
6.16850E-09 4.01510E-16
6.51596E-09 4.01513E-16
6.87293E-09 4.01516E-16
7.23942E-09 4.01519E-16
7.61544E-09 4.01522E-16
1.18991E-08 4.01557E-16
1.71347E-08 4.01600E-16
2.33223E-08 4.01651E-16
3.04617E-08 4.01710E-16
3.85531E-08 4.01777E-16
4.75965E-08 4.01852E-16
5.75917E-08 4.01936E-16
6.85389E-08 4.02027E-16
8.04380E-08 4.02127E-16
9.32891E-08 4.02235E-16
1.07092E-07 4.02352E-16
1.21847E-07 4.02477E-16
1.37554E-07 4.02612E-16
1.54213E-07 4.02754E-16
1.71823E-07 4.02906E-16
1.90386E-07 4.03067E-16
2.09900E-07 4.03237E-16
2.30367E-07 4.03417E-16
2.51785E-07 4.03606E-16
2.74156E-07 4.03804E-16
2.97478E-07 4.04012E-16
3.21752E-07 4.04231E-16
3.46978E-07 4.04459E-16
3.73156E-07 4.04698E-16
4.00286E-07 4.04947E-16
4.28368E-07 4.05206E-16
4.57402E-07 4.05477E-16
4.87388E-07 4.05758E-16
5.18325E-07 4.06051E-16
5.50215E-07 4.06355E-16
5.83057E-07 4.06671E-16
6.16850E-07 4.06998E-16
6.51596E-07 4.07337E-16
6.87293E-07 4.07689E-16
7.23942E-07 4.08052E-16
7.61543E-07 4.08429E-16
1.18991E-06 4.12931E-16
1.71347E-06 4.18923E-16
2.33223E-06 4.26610E-16
3.04617E-06 4.36162E-16
3.85531E-06 4.47701E-16
4.75964E-06 4.61281E-16
5.75916E-06 4.76882E-16
6.85388E-06 4.94411E-16
8.04378E-06 5.13705E-16
9.32888E-06 5.34544E-16
1.07092E-05 5.56666E-16
1.21846E-05 5.79784E-16
1.37553E-05 6.03609E-16
1.54212E-05 6.27862E-16
1.71822E-05 6.52291E-16
1.90385E-05 6.76683E-16
2.09899E-05 7.00869E-16
2.30365E-05 7.24730E-16
2.51783E-05 7.48190E-16
2.74153E-05 7.71219E-16
2.97475E-05 7.93820E-16
3.21749E-05 8.16023E-16
3.46974E-05 8.37876E-16
3.73152E-05 8.59434E-16
4.00281E-05 8.80753E-16
4.28362E-05 9.01880E-16
4.57395E-05 9.22849E-16
4.87380E-05 9.43678E-16
5.18317E-05 9.64363E-16
5.50205E-05 9.84882E-16
5.83045E-05 1.00520E-15
6.16838E-05 1.02525E-15
6.51582E-05 1.04497E-15
6.87277E-05 1.06429E-15
7.23925E-05 1.08314E-15
7.61524E-05 1.10144E-15
9.21439E-05 1.16812E-15
1.09658E-04 1.22351E-15
1.28695E-04 1.26908E-15
1.49255E-04 1.30715E-15
1.71338E-04 1.33848E-15
1.94942E-04 1.36212E-15
2.20070E-04 1.37723E-15
2.46720E-04 1.38445E-15
2.74892E-04 1.38553E-15
3.04586E-04 1.38189E-15
3.35803E-04 1.37379E-15
3.68542E-04 1.36089E-15
4.02802E-04 1.34331E-15
4.38585E-04 1.32198E-15
4.75889E-04 1.29808E-15
5.14715E-04 1.27221E-15
5.55063E-04 1.24436E-15
5.96931E-04 1.21443E-15
6.40321E-04 1.18277E-15
6.85233E-04 1.15012E-15
7.31665E-04 1.11706E-15
7.79618E-04 1.08374E-15
8.29092E-04 1.05005E-15
8.80086E-04 1.01600E-15
9.32601E-04 9.81934E-16
9.86636E-04 9.48282E-16
1.04219E-03 9.15250E-16
1.09927E-03 8.82770E-16
1.15786E-03 8.50728E-16
1.21797E-03 8.19198E-16
1.27961E-03 7.88422E-16
1.34276E-03 7.58596E-16
1.40743E-03 7.29718E-16
1.47362E-03 7.01664E-16
1.54133E-03 6.74369E-16
1.61056E-03 6.47916E-16
1.68131E-03 6.22442E-16
1.75357E-03 5.97988E-16
1.82735E-03 5.74464E-16
1.90265E-03 5.51760E-16
1.97947E-03 5.29856E-16
2.05780E-03 5.08821E-16
2.13765E-03 4.88709E-16
2.21902E-03 4.69480E-16
2.30190E-03 4.51035E-16
2.38630E-03 4.33303E-16
2.47222E-03 4.16291E-16
2.55965E-03 4.00042E-16
2.64859E-03 3.84553E-16
2.73905E-03 3.69756E-16
2.83103E-03 3.55571E-16
2.92452E-03 3.41966E-16
3.01952E-03 3.28959E-16
3.11604E-03 3.16565E-16
3.21407E-03 3.04752E-16
3.31362E-03 2.93455E-16
3.41468E-03 2.82623E-16
3.51725E-03 2.72251E-16
3.62133E-03 2.62355E-16
3.72692E-03 2.52928E-16
3.83403E-03 2.43928E-16
3.94265E-03 2.35305E-16
4.05278E-03 2.27037E-16
4.16442E-03 2.19129E-16
4.27757E-03 2.11588E-16
4.39223E-03 2.04395E-16
4.50840E-03 1.97512E-16
4.62608E-03 1.90906E-16
4.74527E-03 1.84573E-16
4.86597E-03 1.78520E-16
4.98817E-03 1.72746E-16
5.11188E-03 1.67225E-16
5.23711E-03 1.61927E-16
5.36383E-03 1.56839E-16
5.49207E-03 1.51961E-16
5.62181E-03 1.47301E-16
5.75306E-03 1.42846E-16
5.88581E-03 1.38574E-16
6.02007E-03 1.34465E-16
6.15583E-03 1.30515E-16
6.29310E-03 1.26731E-16
6.43187E-03 1.23109E-16
6.57214E-03 1.19638E-16
6.71392E-03 1.16297E-16
6.85720E-03 1.13078E-16
7.00198E-03 1.09982E-16
7.14827E-03 1.07013E-16
7.29605E-03 1.04165E-16
7.44534E-03 1.01424E-16
7.59612E-03 9.87772E-17
7.97965E-03 9.25705E-17
8.37255E-03 8.69268E-17
8.77480E-03 8.17388E-17
9.18641E-03 7.69958E-17
9.60736E-03 7.26131E-17
1.00376E-02 6.85799E-17
1.04773E-02 6.48406E-17
1.09262E-02 6.13759E-17
1.13844E-02 5.81579E-17
1.18520E-02 5.51579E-17
1.23288E-02 5.23684E-17
1.28150E-02 4.97556E-17
1.33104E-02 4.73226E-17
1.38150E-02 4.50369E-17
1.43290E-02 4.29031E-17
1.48521E-02 4.08955E-17
1.53845E-02 3.90141E-17
1.59262E-02 3.72430E-17
1.64770E-02 3.55753E-17
1.70371E-02 3.40048E-17
1.76063E-02 3.25191E-17
1.81848E-02 3.11186E-17
1.87724E-02 2.97889E-17
1.93692E-02 2.85334E-17
1.99751E-02 2.73388E-17
2.05901E-02 2.62080E-17
2.12143E-02 2.51318E-17
2.18476E-02 2.41099E-17
2.24900E-02 2.31381E-17
2.31415E-02 2.22129E-17
2.38021E-02 2.13340E-17
2.44717E-02 2.04954E-17
2.51504E-02 1.96991E-17
2.58382E-02 1.89387E-17
2.65349E-02 1.82160E-17
2.72407E-02 1.75258E-17
2.79555E-02 1.68686E-17
2.86793E-02 1.62413E-17
2.94120E-02 1.56426E-17
3.01537E-02 1.50712E-17
3.09043E-02 1.45247E-17
3.16639E-02 1.40031E-17
3.24324E-02 1.35033E-17
3.32098E-02 1.30260E-17
3.39961E-02 1.25683E-17
3.47912E-02 1.21306E-17
3.55952E-02 1.17111E-17
3.64081E-02 1.13092E-17
3.72297E-02 1.09242E-17
3.80602E-02 1.05550E-17
3.88995E-02 1.02013E-17
3.97476E-02 9.86195E-18
4.06044E-02 9.53689E-18
4.14700E-02 9.22485E-18
4.23443E-02 8.92579E-18
4.32273E-02 8.63874E-18
4.41190E-02 8.36336E-18
4.50194E-02 8.09904E-18
4.59284E-02 7.84520E-18
4.68461E-02 7.60150E-18
4.87074E-02 7.14218E-18
5.06030E-02 6.71749E-18
5.25328E-02 6.32424E-18
5.44967E-02 5.95960E-18
5.64946E-02 5.62114E-18
5.85262E-02 5.30674E-18
6.05914E-02 5.01454E-18
6.26901E-02 4.74284E-18
6.48222E-02 4.49006E-18
6.69873E-02 4.25467E-18
6.91854E-02 4.03515E-18
7.14163E-02 3.83011E-18
7.36799E-02 3.63825E-18
7.59760E-02 3.45846E-18
7.83043E-02 3.28983E-18
8.06647E-02 3.13162E-18
8.30571E-02 2.98318E-18
8.54812E-02 2.84392E-18
8.79369E-02 2.71319E-18
9.04240E-02 2.59037E-18
9.29422E-02 2.47478E-18
9.54915E-02 2.36581E-18
9.80716E-02 2.26293E-18
1.00682E-01 2.16569E-18
1.03323E-01 2.07376E-18
1.05995E-01 1.98682E-18
1.08696E-01 1.90462E-18
1.11427E-01 1.82691E-18
1.14188E-01 1.75341E-18
1.16978E-01 1.68384E-18
1.19797E-01 1.61790E-18
1.22645E-01 1.55531E-18
1.25522E-01 1.49578E-18
1.28428E-01 1.43908E-18
1.31361E-01 1.38507E-18
1.34323E-01 1.33363E-18
1.37313E-01 1.28471E-18
1.40330E-01 1.23822E-18
1.43375E-01 1.19404E-18
1.46447E-01 1.15198E-18
1.49545E-01 1.11185E-18
1.52671E-01 1.07349E-18
1.55823E-01 1.03681E-18
1.59001E-01 1.00170E-18
1.62205E-01 9.68128E-19
1.65435E-01 9.36007E-19
1.68690E-01 9.05276E-19
1.71970E-01 8.75888E-19
1.75276E-01 8.47802E-19
1.78606E-01 8.20957E-19
1.81961E-01 7.95257E-19
1.85340E-01 7.70583E-19
1.88743E-01 7.46843E-19
1.92169E-01 7.23994E-19
1.95619E-01 7.02034E-19
1.99092E-01 6.80955E-19
2.02589E-01 6.60722E-19
2.06107E-01 6.41286E-19
2.09649E-01 6.22615E-19
2.13212E-01 6.04694E-19
2.16797E-01 5.87493E-19
2.20404E-01 5.70945E-19
2.24032E-01 5.54974E-19
2.27680E-01 5.39542E-19
2.31350E-01 5.24651E-19
2.35040E-01 5.10310E-19
2.38751E-01 4.96497E-19
2.42481E-01 4.83171E-19
2.46231E-01 4.70318E-19
2.50000E-01 4.57946E-19
2.53788E-01 4.46043E-19
2.57595E-01 4.34557E-19
2.61421E-01 4.23434E-19
2.65264E-01 4.12664E-19
2.69126E-01 4.02259E-19
2.73005E-01 3.92208E-19
2.76901E-01 3.82475E-19
2.80814E-01 3.73046E-19
2.84744E-01 3.63944E-19
2.88691E-01 3.55175E-19
2.92653E-01 3.46701E-19
2.96632E-01 3.38484E-19
3.00625E-01 3.30529E-19
3.04634E-01 3.22842E-19
3.08658E-01 3.15393E-19
3.12697E-01 3.08146E-19
3.16749E-01 3.01111E-19
3.20816E-01 2.94312E-19
3.24896E-01 2.87729E-19
3.28990E-01 2.81333E-19
3.33097E-01 2.75134E-19
3.37216E-01 2.69150E-19
3.41348E-01 2.63351E-19
3.45492E-01 2.57704E-19
3.49647E-01 2.52223E-19
3.53814E-01 2.46917E-19
3.57992E-01 2.41754E-19
3.62181E-01 2.36719E-19
3.66381E-01 2.31837E-19
3.70590E-01 2.27111E-19
3.74810E-01 2.22507E-19
3.79039E-01 2.18030E-19
3.83277E-01 2.13702E-19
