 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Mg,  Z =  12,  atomic weight = 2.43050E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.09943E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 12
 #
 # Electron density: Read from file Data/z_012.d
 #                   Number of data points =  775
 #                   Volume integral = 1.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.46200E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.00600E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 2.46414E-17 cm**2 = 8.79961E-01 a0**2
 # 1st transport cross section = 5.48309E-19 cm**2 = 1.95805E-02 a0**2
 # 2nd transport cross section = 1.28117E-18 cm**2 = 4.57513E-02 a0**2
 #
 #    Absorption cross section = 2.10160E-17 cm**2 = 7.50495E-01 a0**2
 #   Grand total cross section = 4.56618E-17 cm**2 = 1.63061E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.80650E-16
7.61557E-13 5.80650E-16
1.18994E-12 5.80650E-16
1.71346E-12 5.80650E-16
2.33225E-12 5.80650E-16
3.04617E-12 5.80650E-16
3.85530E-12 5.80650E-16
4.75964E-12 5.80650E-16
5.75917E-12 5.80651E-16
6.85391E-12 5.80651E-16
8.04379E-12 5.80651E-16
9.32893E-12 5.80651E-16
1.07092E-11 5.80651E-16
1.21847E-11 5.80652E-16
1.37554E-11 5.80652E-16
1.54213E-11 5.80652E-16
1.71823E-11 5.80652E-16
1.90386E-11 5.80653E-16
2.09900E-11 5.80653E-16
2.30367E-11 5.80653E-16
2.51785E-11 5.80654E-16
2.74156E-11 5.80654E-16
2.97478E-11 5.80654E-16
3.21752E-11 5.80655E-16
3.46979E-11 5.80655E-16
3.73157E-11 5.80656E-16
4.00286E-11 5.80656E-16
4.28368E-11 5.80656E-16
4.57402E-11 5.80657E-16
4.87388E-11 5.80657E-16
5.18325E-11 5.80658E-16
5.50215E-11 5.80658E-16
5.83057E-11 5.80659E-16
6.16850E-11 5.80659E-16
6.51595E-11 5.80660E-16
6.87293E-11 5.80661E-16
7.23943E-11 5.80661E-16
7.61544E-11 5.80662E-16
1.18991E-10 5.80669E-16
1.71347E-10 5.80677E-16
2.33223E-10 5.80687E-16
3.04617E-10 5.80698E-16
3.85531E-10 5.80711E-16
4.75965E-10 5.80725E-16
5.75917E-10 5.80741E-16
6.85389E-10 5.80758E-16
8.04380E-10 5.80777E-16
9.32891E-10 5.80797E-16
1.07092E-09 5.80819E-16
1.21847E-09 5.80843E-16
1.37554E-09 5.80868E-16
1.54213E-09 5.80894E-16
1.71823E-09 5.80922E-16
1.90386E-09 5.80951E-16
2.09900E-09 5.80982E-16
2.30367E-09 5.81015E-16
2.51785E-09 5.81049E-16
2.74156E-09 5.81084E-16
2.97478E-09 5.81121E-16
3.21752E-09 5.81159E-16
3.46978E-09 5.81199E-16
3.73156E-09 5.81241E-16
4.00286E-09 5.81284E-16
4.28368E-09 5.81328E-16
4.57402E-09 5.81374E-16
4.87388E-09 5.81422E-16
5.18326E-09 5.81471E-16
5.50215E-09 5.81521E-16
5.83057E-09 5.81573E-16
6.16850E-09 5.81627E-16
6.51596E-09 5.81682E-16
6.87293E-09 5.81739E-16
7.23942E-09 5.81797E-16
7.61544E-09 5.81856E-16
1.18991E-08 5.82535E-16
1.71347E-08 5.83364E-16
2.33223E-08 5.84343E-16
3.04617E-08 5.85473E-16
3.85531E-08 5.86752E-16
4.75965E-08 5.88182E-16
5.75917E-08 5.89761E-16
6.85389E-08 5.91490E-16
8.04380E-08 5.93368E-16
9.32891E-08 5.95395E-16
1.07092E-07 5.97570E-16
1.21847E-07 5.99893E-16
1.37554E-07 6.02363E-16
1.54213E-07 6.04981E-16
1.71823E-07 6.07745E-16
1.90386E-07 6.10655E-16
2.09900E-07 6.13711E-16
2.30367E-07 6.16911E-16
2.51785E-07 6.20255E-16
2.74156E-07 6.23742E-16
2.97478E-07 6.27372E-16
3.21752E-07 6.31143E-16
3.46978E-07 6.35055E-16
3.73156E-07 6.39106E-16
4.00286E-07 6.43295E-16
4.28368E-07 6.47622E-16
4.57402E-07 6.52085E-16
4.87388E-07 6.56682E-16
5.18325E-07 6.61413E-16
5.50215E-07 6.66276E-16
5.83057E-07 6.71269E-16
6.16850E-07 6.76391E-16
6.51596E-07 6.81640E-16
6.87293E-07 6.87015E-16
7.23942E-07 6.92513E-16
7.61543E-07 6.98133E-16
1.18991E-06 7.60549E-16
1.71347E-06 8.32472E-16
2.33223E-06 9.10861E-16
3.04617E-06 9.92338E-16
3.85531E-06 1.07361E-15
4.75964E-06 1.15191E-15
5.75916E-06 1.22529E-15
6.85388E-06 1.29276E-15
8.04378E-06 1.35420E-15
9.32888E-06 1.41019E-15
1.07092E-05 1.46163E-15
1.21846E-05 1.50953E-15
1.37553E-05 1.55469E-15
1.54212E-05 1.59757E-15
1.71822E-05 1.63828E-15
1.90385E-05 1.67663E-15
2.09899E-05 1.71220E-15
2.30365E-05 1.74457E-15
2.51783E-05 1.77339E-15
2.74153E-05 1.79848E-15
2.97475E-05 1.81993E-15
3.21749E-05 1.83801E-15
3.46974E-05 1.85313E-15
3.73152E-05 1.86576E-15
4.00281E-05 1.87632E-15
4.28362E-05 1.88510E-15
4.57395E-05 1.89227E-15
4.87380E-05 1.89785E-15
5.18317E-05 1.90174E-15
5.50205E-05 1.90383E-15
5.83045E-05 1.90401E-15
6.16838E-05 1.90225E-15
6.51582E-05 1.89860E-15
6.87277E-05 1.89322E-15
7.23925E-05 1.88633E-15
7.61524E-05 1.87818E-15
9.21439E-05 1.83669E-15
1.09658E-04 1.78279E-15
1.28695E-04 1.71640E-15
1.49255E-04 1.64363E-15
1.71338E-04 1.56732E-15
1.94942E-04 1.48722E-15
2.20070E-04 1.40670E-15
2.46720E-04 1.32727E-15
2.74892E-04 1.24847E-15
3.04586E-04 1.17214E-15
3.35803E-04 1.09902E-15
3.68542E-04 1.02851E-15
4.02802E-04 9.61573E-16
4.38585E-04 8.98535E-16
4.75889E-04 8.38763E-16
5.14715E-04 7.82736E-16
5.55063E-04 7.30518E-16
5.96931E-04 6.81508E-16
6.40321E-04 6.35917E-16
6.85233E-04 5.93697E-16
7.31665E-04 5.54321E-16
7.79618E-04 5.17853E-16
8.29092E-04 4.84203E-16
8.80086E-04 4.52920E-16
9.32601E-04 4.24007E-16
9.86636E-04 3.97367E-16
1.04219E-03 3.72634E-16
1.09927E-03 3.49784E-16
1.15786E-03 3.28732E-16
1.21797E-03 3.09185E-16
1.27961E-03 2.91110E-16
1.34276E-03 2.74444E-16
1.40743E-03 2.58951E-16
1.47362E-03 2.44602E-16
1.54133E-03 2.31351E-16
1.61056E-03 2.19010E-16
1.68131E-03 2.07556E-16
1.75357E-03 1.96954E-16
1.82735E-03 1.87057E-16
1.90265E-03 1.77846E-16
1.97947E-03 1.69297E-16
2.05780E-03 1.61294E-16
2.13765E-03 1.53820E-16
2.21902E-03 1.46863E-16
2.30190E-03 1.40328E-16
2.38630E-03 1.34204E-16
2.47222E-03 1.28483E-16
2.55965E-03 1.23090E-16
2.64859E-03 1.18017E-16
2.73905E-03 1.13261E-16
2.83103E-03 1.08761E-16
2.92452E-03 1.04512E-16
3.01952E-03 1.00515E-16
3.11604E-03 9.67213E-17
3.21407E-03 9.31259E-17
3.31362E-03 8.97330E-17
3.41468E-03 8.65023E-17
