 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file Data/z_013.d
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.14000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 6.27076E-17 cm**2 = 2.23933E+00 a0**2
 # 1st transport cross section = 2.55367E-18 cm**2 = 9.11934E-02 a0**2
 # 2nd transport cross section = 5.23988E-18 cm**2 = 1.87119E-01 a0**2
 #
 #    Absorption cross section = 3.49760E-17 cm**2 = 1.24902E+00 a0**2
 #   Grand total cross section = 9.76889E-17 cm**2 = 3.48853E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.55021E-15
7.61557E-13 6.55021E-15
1.18994E-12 6.55021E-15
1.71346E-12 6.55021E-15
2.33225E-12 6.55021E-15
3.04617E-12 6.55021E-15
3.85530E-12 6.55021E-15
4.75964E-12 6.55021E-15
5.75917E-12 6.55021E-15
6.85391E-12 6.55021E-15
8.04379E-12 6.55021E-15
9.32893E-12 6.55021E-15
1.07092E-11 6.55021E-15
1.21847E-11 6.55021E-15
1.37554E-11 6.55021E-15
1.54213E-11 6.55021E-15
1.71823E-11 6.55021E-15
1.90386E-11 6.55021E-15
2.09900E-11 6.55021E-15
2.30367E-11 6.55021E-15
2.51785E-11 6.55021E-15
2.74156E-11 6.55021E-15
2.97478E-11 6.55021E-15
3.21752E-11 6.55021E-15
3.46979E-11 6.55021E-15
3.73157E-11 6.55021E-15
4.00286E-11 6.55021E-15
4.28368E-11 6.55021E-15
4.57402E-11 6.55020E-15
4.87388E-11 6.55020E-15
5.18325E-11 6.55020E-15
5.50215E-11 6.55020E-15
5.83057E-11 6.55020E-15
6.16850E-11 6.55020E-15
6.51595E-11 6.55020E-15
6.87293E-11 6.55020E-15
7.23943E-11 6.55020E-15
7.61544E-11 6.55020E-15
1.18991E-10 6.55019E-15
1.71347E-10 6.55018E-15
2.33223E-10 6.55017E-15
3.04617E-10 6.55015E-15
3.85531E-10 6.55014E-15
4.75965E-10 6.55012E-15
5.75917E-10 6.55010E-15
6.85389E-10 6.55008E-15
8.04380E-10 6.55006E-15
9.32891E-10 6.55003E-15
1.07092E-09 6.55000E-15
1.21847E-09 6.54997E-15
1.37554E-09 6.54994E-15
1.54213E-09 6.54991E-15
1.71823E-09 6.54988E-15
1.90386E-09 6.54984E-15
2.09900E-09 6.54980E-15
2.30367E-09 6.54976E-15
2.51785E-09 6.54972E-15
2.74156E-09 6.54968E-15
2.97478E-09 6.54963E-15
3.21752E-09 6.54958E-15
3.46978E-09 6.54953E-15
3.73156E-09 6.54948E-15
4.00286E-09 6.54943E-15
4.28368E-09 6.54938E-15
4.57402E-09 6.54932E-15
4.87388E-09 6.54926E-15
5.18326E-09 6.54920E-15
5.50215E-09 6.54914E-15
5.83057E-09 6.54907E-15
6.16850E-09 6.54901E-15
6.51596E-09 6.54894E-15
6.87293E-09 6.54887E-15
7.23942E-09 6.54880E-15
7.61544E-09 6.54872E-15
1.18991E-08 6.54789E-15
1.71347E-08 6.54686E-15
2.33223E-08 6.54565E-15
3.04617E-08 6.54426E-15
3.85531E-08 6.54268E-15
4.75965E-08 6.54092E-15
5.75917E-08 6.53897E-15
6.85389E-08 6.53685E-15
