 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file Data/z_013.d
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.14000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 3.50172E-17 cm**2 = 1.25049E+00 a0**2
 # 1st transport cross section = 8.35158E-19 cm**2 = 2.98241E-02 a0**2
 # 2nd transport cross section = 1.86651E-18 cm**2 = 6.66541E-02 a0**2
 #
 #    Absorption cross section = 1.80304E-17 cm**2 = 6.43878E-01 a0**2
 #   Grand total cross section = 5.30524E-17 cm**2 = 1.89454E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.13590E-15
7.61557E-13 6.13590E-15
1.18994E-12 6.13590E-15
1.71346E-12 6.13590E-15
2.33225E-12 6.13590E-15
3.04617E-12 6.13590E-15
3.85530E-12 6.13590E-15
4.75964E-12 6.13590E-15
5.75917E-12 6.13590E-15
6.85391E-12 6.13590E-15
8.04379E-12 6.13590E-15
9.32893E-12 6.13590E-15
1.07092E-11 6.13590E-15
1.21847E-11 6.13590E-15
1.37554E-11 6.13590E-15
1.54213E-11 6.13589E-15
1.71823E-11 6.13589E-15
1.90386E-11 6.13589E-15
2.09900E-11 6.13589E-15
2.30367E-11 6.13589E-15
2.51785E-11 6.13589E-15
2.74156E-11 6.13589E-15
2.97478E-11 6.13589E-15
3.21752E-11 6.13589E-15
3.46979E-11 6.13589E-15
3.73157E-11 6.13589E-15
4.00286E-11 6.13589E-15
4.28368E-11 6.13588E-15
4.57402E-11 6.13588E-15
4.87388E-11 6.13588E-15
5.18325E-11 6.13588E-15
5.50215E-11 6.13588E-15
5.83057E-11 6.13588E-15
6.16850E-11 6.13588E-15
6.51595E-11 6.13588E-15
6.87293E-11 6.13588E-15
7.23943E-11 6.13587E-15
7.61544E-11 6.13587E-15
1.18991E-10 6.13586E-15
1.71347E-10 6.13584E-15
2.33223E-10 6.13582E-15
3.04617E-10 6.13579E-15
3.85531E-10 6.13576E-15
4.75965E-10 6.13573E-15
5.75917E-10 6.13569E-15
6.85389E-10 6.13565E-15
8.04380E-10 6.13561E-15
9.32891E-10 6.13556E-15
1.07092E-09 6.13551E-15
1.21847E-09 6.13546E-15
1.37554E-09 6.13540E-15
1.54213E-09 6.13534E-15
1.71823E-09 6.13527E-15
1.90386E-09 6.13520E-15
2.09900E-09 6.13513E-15
2.30367E-09 6.13506E-15
2.51785E-09 6.13498E-15
2.74156E-09 6.13490E-15
2.97478E-09 6.13481E-15
3.21752E-09 6.13473E-15
3.46978E-09 6.13463E-15
3.73156E-09 6.13454E-15
4.00286E-09 6.13444E-15
4.28368E-09 6.13434E-15
4.57402E-09 6.13423E-15
4.87388E-09 6.13412E-15
5.18326E-09 6.13401E-15
5.50215E-09 6.13389E-15
5.83057E-09 6.13377E-15
6.16850E-09 6.13365E-15
6.51596E-09 6.13352E-15
6.87293E-09 6.13339E-15
7.23942E-09 6.13326E-15
7.61544E-09 6.13312E-15
1.18991E-08 6.13156E-15
1.71347E-08 6.12965E-15
2.33223E-08 6.12740E-15
3.04617E-08 6.12481E-15
3.85531E-08 6.12188E-15
4.75965E-08 6.11860E-15
5.75917E-08 6.11499E-15
6.85389E-08 6.11104E-15
8.04380E-08 6.10676E-15
9.32891E-08 6.10215E-15
1.07092E-07 6.09721E-15
1.21847E-07 6.09195E-15
1.37554E-07 6.08636E-15
1.54213E-07 6.08046E-15
1.71823E-07 6.07424E-15
1.90386E-07 6.06771E-15
2.09900E-07 6.06087E-15
2.30367E-07 6.05372E-15
2.51785E-07 6.04627E-15
2.74156E-07 6.03853E-15
2.97478E-07 6.03050E-15
3.21752E-07 6.02218E-15
3.46978E-07 6.01357E-15
3.73156E-07 6.00469E-15
4.00286E-07 5.99553E-15
4.28368E-07 5.98611E-15
4.57402E-07 5.97642E-15
4.87388E-07 5.96648E-15
5.18325E-07 5.95628E-15
5.50215E-07 5.94583E-15
5.83057E-07 5.93514E-15
6.16850E-07 5.92422E-15
6.51596E-07 5.91307E-15
6.87293E-07 5.90169E-15
7.23942E-07 5.89009E-15
7.61543E-07 5.87828E-15
1.18991E-06 5.74981E-15
1.71347E-06 5.60683E-15
2.33223E-06 5.45552E-15
3.04617E-06 5.30156E-15
3.85531E-06 5.14976E-15
4.75964E-06 5.00387E-15
5.75916E-06 4.86642E-15
6.85388E-06 4.73880E-15
8.04378E-06 4.62139E-15
9.32888E-06 4.51373E-15
1.07092E-05 4.41481E-15
1.21846E-05 4.32326E-15
1.37553E-05 4.23765E-15
1.54212E-05 4.15663E-15
1.71822E-05 4.07906E-15
1.90385E-05 4.00414E-15
2.09899E-05 3.93139E-15
2.30365E-05 3.86062E-15
2.51783E-05 3.79186E-15
2.74153E-05 3.72528E-15
2.97475E-05 3.66111E-15
3.21749E-05 3.59952E-15
3.46974E-05 3.54060E-15
3.73152E-05 3.48429E-15
4.00281E-05 3.43043E-15
4.28362E-05 3.37875E-15
4.57395E-05 3.32891E-15
4.87380E-05 3.28057E-15
5.18317E-05 3.23338E-15
5.50205E-05 3.18710E-15
5.83045E-05 3.14155E-15
6.16838E-05 3.09665E-15
6.51582E-05 3.05238E-15
6.87277E-05 3.00882E-15
7.23925E-05 2.96604E-15
7.61524E-05 2.92412E-15
9.21439E-05 2.76560E-15
1.09658E-04 2.61810E-15
1.28695E-04 2.47584E-15
1.49255E-04 2.33931E-15
1.71338E-04 2.21001E-15
1.94942E-04 2.08562E-15
2.20070E-04 1.96510E-15
2.46720E-04 1.85004E-15
2.74892E-04 1.74044E-15
3.04586E-04 1.63508E-15
3.35803E-04 1.53444E-15
3.68542E-04 1.43931E-15
4.02802E-04 1.34902E-15
4.38585E-04 1.26317E-15
4.75889E-04 1.18234E-15
5.14715E-04 1.10646E-15
5.55063E-04 1.03489E-15
5.96931E-04 9.67652E-16
6.40321E-04 9.04941E-16
6.85233E-04 8.46287E-16
7.31665E-04 7.91332E-16
7.79618E-04 7.40183E-16
8.29092E-04 6.92661E-16
8.80086E-04 6.48311E-16
9.32601E-04 6.07017E-16
9.86636E-04 5.68765E-16
1.04219E-03 5.33225E-16
1.09927E-03 5.00123E-16
1.15786E-03 4.69438E-16
1.21797E-03 4.41019E-16
1.27961E-03 4.14573E-16
1.34276E-03 3.89991E-16
1.40743E-03 3.67232E-16
1.47362E-03 3.46091E-16
1.54133E-03 3.26390E-16
1.61056E-03 3.08100E-16
1.68131E-03 2.91130E-16
1.75357E-03 2.75301E-16
1.82735E-03 2.60544E-16
1.90265E-03 2.46834E-16
1.97947E-03 2.34052E-16
2.05780E-03 2.22093E-16
2.13765E-03 2.10941E-16
2.21902E-03 2.00546E-16
2.30190E-03 1.90805E-16
2.38630E-03 1.81677E-16
2.47222E-03 1.73153E-16
2.55965E-03 1.65166E-16
2.64859E-03 1.57653E-16
2.73905E-03 1.50609E-16
2.83103E-03 1.44008E-16
2.92452E-03 1.37789E-16
3.01952E-03 1.31929E-16
3.11604E-03 1.26428E-16
3.21407E-03 1.21245E-16
3.31362E-03 1.16343E-16
3.41468E-03 1.11721E-16
3.51725E-03 1.07366E-16
3.62133E-03 1.03241E-16
3.72692E-03 9.93312E-17
3.83403E-03 9.56399E-17
3.94265E-03 9.21434E-17
4.05278E-03 8.88170E-17
4.16442E-03 8.56623E-17
4.27757E-03 8.26732E-17
4.39223E-03 7.98253E-17
4.50840E-03 7.71103E-17
4.62608E-03 7.45319E-17
4.74527E-03 7.20756E-17
4.86597E-03 6.97251E-17
4.98817E-03 6.74828E-17
5.11188E-03 6.53462E-17
5.23711E-03 6.32992E-17
5.36383E-03 6.13367E-17
5.49207E-03 5.94625E-17
5.62181E-03 5.76677E-17
5.75306E-03 5.59413E-17
5.88581E-03 5.42858E-17
6.02007E-03 5.27006E-17
6.15583E-03 5.11749E-17
6.29310E-03 4.97053E-17
6.43187E-03 4.82955E-17
6.57214E-03 4.69400E-17
6.71392E-03 4.56310E-17
6.85720E-03 4.43707E-17
7.00198E-03 4.31595E-17
7.14827E-03 4.19898E-17
7.29605E-03 4.08593E-17
7.44534E-03 3.97712E-17
7.59612E-03 3.87219E-17
7.97965E-03 3.62475E-17
8.37255E-03 3.39763E-17
8.77480E-03 3.18885E-17
9.18641E-03 2.99616E-17
9.60736E-03 2.81806E-17
1.00376E-02 2.65342E-17
1.04773E-02 2.50074E-17
1.09262E-02 2.35877E-17
1.13844E-02 2.22677E-17
1.18520E-02 2.10388E-17
1.23288E-02 1.98911E-17
1.28150E-02 1.88188E-17
1.33104E-02 1.78171E-17
1.38150E-02 1.68794E-17
1.43290E-02 1.60003E-17
1.48521E-02 1.51770E-17
1.53845E-02 1.44053E-17
1.59262E-02 1.36804E-17
1.64770E-02 1.29999E-17
1.70371E-02 1.23611E-17
1.76063E-02 1.17603E-17
1.81848E-02 1.11948E-17
1.87724E-02 1.06628E-17
1.93692E-02 1.01616E-17
1.99751E-02 9.68851E-18
2.05901E-02 9.24213E-18
2.12143E-02 8.82078E-18
2.18476E-02 8.42235E-18
2.24900E-02 8.04546E-18
2.31415E-02 7.68913E-18
2.38021E-02 7.35194E-18
2.44717E-02 7.03261E-18
2.51504E-02 6.73038E-18
2.58382E-02 6.44430E-18
2.65349E-02 6.17320E-18
2.72407E-02 5.91629E-18
2.79555E-02 5.67280E-18
2.86793E-02 5.44174E-18
2.94120E-02 5.22229E-18
3.01537E-02 5.01380E-18
3.09043E-02 4.81552E-18
3.16639E-02 4.62678E-18
3.24324E-02 4.44705E-18
3.32098E-02 4.27588E-18
3.39961E-02 4.11275E-18
3.47912E-02 3.95730E-18
3.55952E-02 3.80918E-18
3.64081E-02 3.66803E-18
3.72297E-02 3.53350E-18
3.80602E-02 3.40527E-18
3.88995E-02 3.28298E-18
3.97476E-02 3.16628E-18
4.06044E-02 3.05485E-18
4.14700E-02 2.94835E-18
4.23443E-02 2.84648E-18
4.32273E-02 2.74896E-18
4.41190E-02 2.65555E-18
4.50194E-02 2.56604E-18
4.59284E-02 2.48027E-18
4.68461E-02 2.39804E-18
4.87074E-02 2.24377E-18
5.06030E-02 2.10214E-18
5.25328E-02 1.97207E-18
5.44967E-02 1.85232E-18
5.64946E-02 1.74167E-18
5.85262E-02 1.63920E-18
6.05914E-02 1.54408E-18
6.26901E-02 1.45591E-18
6.48222E-02 1.37423E-18
6.69873E-02 1.29853E-18
6.91854E-02 1.22835E-18
7.14163E-02 1.16295E-18
7.36799E-02 1.10191E-18
7.59760E-02 1.04479E-18
7.83043E-02 9.91333E-19
8.06647E-02 9.41440E-19
8.30571E-02 8.94838E-19
8.54812E-02 8.51299E-19
