 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file Data/z_014.d
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.35170E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.76777E+00
 #
 # Total elastic cross section = 2.28302E-16 cm**2 = 8.15281E+00 a0**2
 # 1st transport cross section = 2.85356E-17 cm**2 = 1.01903E+00 a0**2
 # 2nd transport cross section = 5.25088E-17 cm**2 = 1.87512E+00 a0**2
 #
 #    Absorption cross section = 6.66403E-16 cm**2 = 2.37977E+01 a0**2
 #   Grand total cross section = 8.94712E-16 cm**2 = 3.19507E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.06151E-15
7.61557E-13 2.06151E-15
1.18994E-12 2.06151E-15
1.71346E-12 2.06151E-15
2.33225E-12 2.06151E-15
3.04617E-12 2.06151E-15
3.85530E-12 2.06151E-15
4.75964E-12 2.06151E-15
5.75917E-12 2.06151E-15
6.85391E-12 2.06151E-15
8.04379E-12 2.06151E-15
9.32893E-12 2.06151E-15
1.07092E-11 2.06151E-15
1.21847E-11 2.06151E-15
1.37554E-11 2.06151E-15
1.54213E-11 2.06151E-15
1.71823E-11 2.06151E-15
1.90386E-11 2.06151E-15
2.09900E-11 2.06151E-15
2.30367E-11 2.06151E-15
2.51785E-11 2.06151E-15
2.74156E-11 2.06151E-15
2.97478E-11 2.06151E-15
3.21752E-11 2.06151E-15
3.46979E-11 2.06151E-15
3.73157E-11 2.06151E-15
4.00286E-11 2.06151E-15
4.28368E-11 2.06151E-15
4.57402E-11 2.06151E-15
4.87388E-11 2.06151E-15
5.18325E-11 2.06151E-15
5.50215E-11 2.06151E-15
5.83057E-11 2.06151E-15
6.16850E-11 2.06151E-15
6.51595E-11 2.06151E-15
6.87293E-11 2.06151E-15
7.23943E-11 2.06151E-15
7.61544E-11 2.06151E-15
1.18991E-10 2.06151E-15
1.71347E-10 2.06151E-15
2.33223E-10 2.06151E-15
3.04617E-10 2.06151E-15
3.85531E-10 2.06151E-15
4.75965E-10 2.06151E-15
5.75917E-10 2.06151E-15
6.85389E-10 2.06151E-15
8.04380E-10 2.06151E-15
9.32891E-10 2.06151E-15
1.07092E-09 2.06151E-15
1.21847E-09 2.06151E-15
1.37554E-09 2.06151E-15
1.54213E-09 2.06150E-15
1.71823E-09 2.06150E-15
1.90386E-09 2.06150E-15
2.09900E-09 2.06150E-15
2.30367E-09 2.06150E-15
2.51785E-09 2.06150E-15
2.74156E-09 2.06150E-15
2.97478E-09 2.06150E-15
3.21752E-09 2.06150E-15
3.46978E-09 2.06150E-15
3.73156E-09 2.06150E-15
4.00286E-09 2.06150E-15
4.28368E-09 2.06150E-15
4.57402E-09 2.06150E-15
4.87388E-09 2.06150E-15
5.18326E-09 2.06149E-15
5.50215E-09 2.06149E-15
5.83057E-09 2.06149E-15
6.16850E-09 2.06149E-15
6.51596E-09 2.06149E-15
6.87293E-09 2.06149E-15
7.23942E-09 2.06149E-15
7.61544E-09 2.06149E-15
1.18991E-08 2.06148E-15
1.71347E-08 2.06146E-15
2.33223E-08 2.06144E-15
3.04617E-08 2.06142E-15
3.85531E-08 2.06140E-15
4.75965E-08 2.06138E-15
5.75917E-08 2.06135E-15
6.85389E-08 2.06132E-15
8.04380E-08 2.06128E-15
9.32891E-08 2.06125E-15
1.07092E-07 2.06121E-15
1.21847E-07 2.06117E-15
1.37554E-07 2.06112E-15
1.54213E-07 2.06108E-15
1.71823E-07 2.06103E-15
1.90386E-07 2.06098E-15
2.09900E-07 2.06092E-15
2.30367E-07 2.06086E-15
2.51785E-07 2.06080E-15
2.74156E-07 2.06074E-15
2.97478E-07 2.06067E-15
3.21752E-07 2.06061E-15
3.46978E-07 2.06054E-15
3.73156E-07 2.06046E-15
4.00286E-07 2.06039E-15
4.28368E-07 2.06031E-15
4.57402E-07 2.06023E-15
4.87388E-07 2.06014E-15
5.18325E-07 2.06006E-15
5.50215E-07 2.05997E-15
5.83057E-07 2.05987E-15
6.16850E-07 2.05978E-15
6.51596E-07 2.05968E-15
6.87293E-07 2.05958E-15
7.23942E-07 2.05948E-15
7.61543E-07 2.05938E-15
1.18991E-06 2.05818E-15
1.71347E-06 2.05672E-15
2.33223E-06 2.05500E-15
3.04617E-06 2.05302E-15
3.85531E-06 2.05079E-15
4.75964E-06 2.04831E-15
5.75916E-06 2.04558E-15
6.85388E-06 2.04260E-15
8.04378E-06 2.03938E-15
9.32888E-06 2.03593E-15
1.07092E-05 2.03225E-15
1.21846E-05 2.02834E-15
1.37553E-05 2.02422E-15
1.54212E-05 2.01987E-15
1.71822E-05 2.01532E-15
1.90385E-05 2.01057E-15
2.09899E-05 2.00562E-15
2.30365E-05 2.00047E-15
2.51783E-05 1.99515E-15
2.74153E-05 1.98965E-15
2.97475E-05 1.98398E-15
3.21749E-05 1.97815E-15
3.46974E-05 1.97216E-15
3.73152E-05 1.96602E-15
4.00281E-05 1.95974E-15
4.28362E-05 1.95333E-15
4.57395E-05 1.94679E-15
4.87380E-05 1.94013E-15
5.18317E-05 1.93336E-15
5.50205E-05 1.92649E-15
5.83045E-05 1.91951E-15
6.16838E-05 1.91245E-15
6.51582E-05 1.90531E-15
6.87277E-05 1.89808E-15
7.23925E-05 1.89079E-15
7.61524E-05 1.88344E-15
9.21439E-05 1.85354E-15
1.09658E-04 1.82314E-15
1.28695E-04 1.79261E-15
1.49255E-04 1.76227E-15
1.71338E-04 1.73235E-15
1.94942E-04 1.70306E-15
2.20070E-04 1.67455E-15
2.46720E-04 1.64691E-15
2.74892E-04 1.62020E-15
3.04586E-04 1.59443E-15
3.35803E-04 1.56959E-15
3.68542E-04 1.54564E-15
4.02802E-04 1.52252E-15
4.38585E-04 1.50017E-15
4.75889E-04 1.47852E-15
5.14715E-04 1.45749E-15
5.55063E-04 1.43703E-15
5.96931E-04 1.41705E-15
6.40321E-04 1.39752E-15
6.85233E-04 1.37838E-15
7.31665E-04 1.35960E-15
7.79618E-04 1.34115E-15
8.29092E-04 1.32301E-15
8.80086E-04 1.30517E-15
9.32601E-04 1.28763E-15
9.86636E-04 1.27039E-15
1.04219E-03 1.25344E-15
1.09927E-03 1.23678E-15
1.15786E-03 1.22043E-15
1.21797E-03 1.20438E-15
1.27961E-03 1.18862E-15
1.34276E-03 1.17316E-15
1.40743E-03 1.15798E-15
1.47362E-03 1.14309E-15
1.54133E-03 1.12846E-15
1.61056E-03 1.11409E-15
1.68131E-03 1.09995E-15
1.75357E-03 1.08605E-15
1.82735E-03 1.07237E-15
1.90265E-03 1.05888E-15
1.97947E-03 1.04558E-15
2.05780E-03 1.03247E-15
2.13765E-03 1.01952E-15
2.21902E-03 1.00673E-15
2.30190E-03 9.94104E-16
2.38630E-03 9.81625E-16
2.47222E-03 9.69292E-16
2.55965E-03 9.57102E-16
2.64859E-03 9.45053E-16
2.73905E-03 9.33142E-16
2.83103E-03 9.21367E-16
2.92452E-03 9.09725E-16
3.01952E-03 8.98214E-16
3.11604E-03 8.86831E-16
3.21407E-03 8.75572E-16
3.31362E-03 8.64434E-16
3.41468E-03 8.53413E-16
3.51725E-03 8.42506E-16
3.62133E-03 8.31709E-16
3.72692E-03 8.21018E-16
3.83403E-03 8.10431E-16
3.94265E-03 7.99945E-16
4.05278E-03 7.89559E-16
4.16442E-03 7.79269E-16
4.27757E-03 7.69077E-16
4.39223E-03 7.58980E-16
4.50840E-03 7.48978E-16
4.62608E-03 7.39072E-16
4.74527E-03 7.29260E-16
4.86597E-03 7.19544E-16
4.98817E-03 7.09923E-16
5.11188E-03 7.00396E-16
5.23711E-03 6.90963E-16
5.36383E-03 6.81623E-16
5.49207E-03 6.72376E-16
5.62181E-03 6.63218E-16
5.75306E-03 6.54151E-16
5.88581E-03 6.45171E-16
6.02007E-03 6.36277E-16
6.15583E-03 6.27469E-16
6.29310E-03 6.18744E-16
6.43187E-03 6.10103E-16
6.57214E-03 6.01544E-16
6.71392E-03 5.93067E-16
6.85720E-03 5.84673E-16
7.00198E-03 5.76362E-16
7.14827E-03 5.68135E-16
7.29605E-03 5.59992E-16
7.44534E-03 5.51935E-16
7.59612E-03 5.43966E-16
7.97965E-03 5.24426E-16
8.37255E-03 5.05444E-16
8.77480E-03 4.87018E-16
9.18641E-03 4.69135E-16
9.60736E-03 4.51778E-16
1.00376E-02 4.34931E-16
1.04773E-02 4.18586E-16
1.09262E-02 4.02745E-16
1.13844E-02 3.87415E-16
1.18520E-02 3.72605E-16
1.23288E-02 3.58319E-16
1.28150E-02 3.44550E-16
1.33104E-02 3.31282E-16
1.38150E-02 3.18494E-16
1.43290E-02 3.06166E-16
1.48521E-02 2.94282E-16
1.53845E-02 2.82836E-16
1.59262E-02 2.71826E-16
1.64770E-02 2.61251E-16
1.70371E-02 2.51107E-16
1.76063E-02 2.41385E-16
1.81848E-02 2.32066E-16
1.87724E-02 2.23129E-16
1.93692E-02 2.14552E-16
1.99751E-02 2.06318E-16
2.05901E-02 1.98414E-16
2.12143E-02 1.90834E-16
2.18476E-02 1.83575E-16
2.24900E-02 1.76629E-16
2.31415E-02 1.69988E-16
2.38021E-02 1.63637E-16
2.44717E-02 1.57558E-16
2.51504E-02 1.51732E-16
2.58382E-02 1.46145E-16
2.65349E-02 1.40785E-16
2.72407E-02 1.35646E-16
2.79555E-02 1.30722E-16
2.86793E-02 1.26010E-16
2.94120E-02 1.21502E-16
3.01537E-02 1.17190E-16
3.09043E-02 1.13059E-16
3.16639E-02 1.09098E-16
3.24324E-02 1.05295E-16
3.32098E-02 1.01640E-16
3.39961E-02 9.81289E-17
3.47912E-02 9.47585E-17
3.55952E-02 9.15263E-17
3.64081E-02 8.84288E-17
3.72297E-02 8.54604E-17
3.80602E-02 8.26132E-17
3.88995E-02 7.98786E-17
3.97476E-02 7.72486E-17
4.06044E-02 7.47169E-17
4.14700E-02 7.22797E-17
4.23443E-02 6.99350E-17
4.32273E-02 6.76816E-17
4.41190E-02 6.55178E-17
4.50194E-02 6.34407E-17
4.59284E-02 6.14458E-17
4.68461E-02 5.95274E-17
4.87074E-02 5.58991E-17
5.06030E-02 5.25261E-17
5.25328E-02 4.93980E-17
5.44967E-02 4.65050E-17
5.64946E-02 4.38236E-17
5.85262E-02 4.13262E-17
6.05914E-02 3.89974E-17
6.26901E-02 3.68324E-17
6.48222E-02 3.48222E-17
6.69873E-02 3.29492E-17
