 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file Data/z_014.d
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 6.90925E-17 cm**2 = 2.46734E+00 a0**2
 # 1st transport cross section = 2.86620E-18 cm**2 = 1.02354E-01 a0**2
 # 2nd transport cross section = 5.81142E-18 cm**2 = 2.07530E-01 a0**2
 #
 #    Absorption cross section = 4.10604E-17 cm**2 = 1.46629E+00 a0**2
 #   Grand total cross section = 1.10158E-16 cm**2 = 3.93381E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.73567E-15
7.61557E-13 5.73567E-15
1.18994E-12 5.73567E-15
1.71346E-12 5.73567E-15
2.33225E-12 5.73567E-15
3.04617E-12 5.73567E-15
3.85530E-12 5.73567E-15
4.75964E-12 5.73567E-15
5.75917E-12 5.73566E-15
6.85391E-12 5.73566E-15
8.04379E-12 5.73566E-15
9.32893E-12 5.73566E-15
1.07092E-11 5.73566E-15
1.21847E-11 5.73566E-15
1.37554E-11 5.73566E-15
1.54213E-11 5.73566E-15
1.71823E-11 5.73566E-15
1.90386E-11 5.73566E-15
2.09900E-11 5.73566E-15
2.30367E-11 5.73566E-15
2.51785E-11 5.73566E-15
2.74156E-11 5.73566E-15
2.97478E-11 5.73566E-15
3.21752E-11 5.73566E-15
3.46979E-11 5.73566E-15
3.73157E-11 5.73566E-15
4.00286E-11 5.73566E-15
4.28368E-11 5.73566E-15
4.57402E-11 5.73566E-15
4.87388E-11 5.73566E-15
5.18325E-11 5.73566E-15
5.50215E-11 5.73566E-15
5.83057E-11 5.73566E-15
6.16850E-11 5.73566E-15
6.51595E-11 5.73566E-15
6.87293E-11 5.73565E-15
7.23943E-11 5.73565E-15
7.61544E-11 5.73565E-15
1.18991E-10 5.73565E-15
1.71347E-10 5.73564E-15
2.33223E-10 5.73563E-15
3.04617E-10 5.73562E-15
3.85531E-10 5.73560E-15
4.75965E-10 5.73559E-15
5.75917E-10 5.73557E-15
6.85389E-10 5.73556E-15
8.04380E-10 5.73554E-15
9.32891E-10 5.73552E-15
1.07092E-09 5.73549E-15
1.21847E-09 5.73547E-15
1.37554E-09 5.73545E-15
1.54213E-09 5.73542E-15
1.71823E-09 5.73539E-15
1.90386E-09 5.73536E-15
2.09900E-09 5.73533E-15
2.30367E-09 5.73530E-15
2.51785E-09 5.73526E-15
2.74156E-09 5.73523E-15
2.97478E-09 5.73519E-15
3.21752E-09 5.73515E-15
3.46978E-09 5.73511E-15
3.73156E-09 5.73507E-15
4.00286E-09 5.73502E-15
4.28368E-09 5.73498E-15
4.57402E-09 5.73493E-15
4.87388E-09 5.73488E-15
5.18326E-09 5.73483E-15
5.50215E-09 5.73478E-15
5.83057E-09 5.73473E-15
6.16850E-09 5.73468E-15
6.51596E-09 5.73462E-15
6.87293E-09 5.73456E-15
7.23942E-09 5.73451E-15
7.61544E-09 5.73444E-15
1.18991E-08 5.73376E-15
1.71347E-08 5.73292E-15
2.33223E-08 5.73193E-15
3.04617E-08 5.73079E-15
3.85531E-08 5.72949E-15
4.75965E-08 5.72805E-15
5.75917E-08 5.72646E-15
6.85389E-08 5.72471E-15
8.04380E-08 5.72282E-15
9.32891E-08 5.72078E-15
1.07092E-07 5.71859E-15
1.21847E-07 5.71625E-15
1.37554E-07 5.71377E-15
1.54213E-07 5.71114E-15
1.71823E-07 5.70837E-15
1.90386E-07 5.70545E-15
2.09900E-07 5.70239E-15
2.30367E-07 5.69919E-15
2.51785E-07 5.69584E-15
2.74156E-07 5.69236E-15
2.97478E-07 5.68873E-15
3.21752E-07 5.68497E-15
3.46978E-07 5.68108E-15
3.73156E-07 5.67704E-15
4.00286E-07 5.67288E-15
4.28368E-07 5.66857E-15
4.57402E-07 5.66414E-15
4.87388E-07 5.65958E-15
5.18325E-07 5.65489E-15
5.50215E-07 5.65007E-15
5.83057E-07 5.64512E-15
6.16850E-07 5.64005E-15
6.51596E-07 5.63486E-15
