 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file Data/z_014.d
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 2.90941E-16 cm**2 = 1.03897E+01 a0**2
 # 1st transport cross section = 4.34100E-17 cm**2 = 1.55020E+00 a0**2
 # 2nd transport cross section = 5.06314E-17 cm**2 = 1.80808E+00 a0**2
 #
 #    Absorption cross section = 2.42613E-16 cm**2 = 8.66387E+00 a0**2
 #   Grand total cross section = 5.33564E-16 cm**2 = 1.90539E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.64149E-15
7.61557E-13 6.64149E-15
1.18994E-12 6.64149E-15
1.71346E-12 6.64149E-15
2.33225E-12 6.64149E-15
3.04617E-12 6.64149E-15
3.85530E-12 6.64149E-15
4.75964E-12 6.64149E-15
5.75917E-12 6.64149E-15
6.85391E-12 6.64149E-15
8.04379E-12 6.64149E-15
9.32893E-12 6.64149E-15
1.07092E-11 6.64149E-15
1.21847E-11 6.64149E-15
1.37554E-11 6.64149E-15
1.54213E-11 6.64149E-15
1.71823E-11 6.64149E-15
1.90386E-11 6.64149E-15
2.09900E-11 6.64149E-15
2.30367E-11 6.64149E-15
2.51785E-11 6.64149E-15
2.74156E-11 6.64149E-15
2.97478E-11 6.64149E-15
3.21752E-11 6.64149E-15
3.46979E-11 6.64149E-15
3.73157E-11 6.64149E-15
4.00286E-11 6.64149E-15
4.28368E-11 6.64149E-15
4.57402E-11 6.64149E-15
4.87388E-11 6.64149E-15
5.18325E-11 6.64149E-15
5.50215E-11 6.64149E-15
5.83057E-11 6.64149E-15
6.16850E-11 6.64149E-15
6.51595E-11 6.64149E-15
6.87293E-11 6.64149E-15
7.23943E-11 6.64149E-15
7.61544E-11 6.64148E-15
1.18991E-10 6.64148E-15
1.71347E-10 6.64148E-15
2.33223E-10 6.64148E-15
3.04617E-10 6.64148E-15
3.85531E-10 6.64148E-15
4.75965E-10 6.64148E-15
5.75917E-10 6.64147E-15
6.85389E-10 6.64147E-15
8.04380E-10 6.64147E-15
9.32891E-10 6.64146E-15
1.07092E-09 6.64146E-15
1.21847E-09 6.64146E-15
1.37554E-09 6.64145E-15
1.54213E-09 6.64145E-15
1.71823E-09 6.64144E-15
1.90386E-09 6.64144E-15
2.09900E-09 6.64144E-15
2.30367E-09 6.64143E-15
2.51785E-09 6.64143E-15
2.74156E-09 6.64142E-15
2.97478E-09 6.64141E-15
3.21752E-09 6.64141E-15
3.46978E-09 6.64140E-15
3.73156E-09 6.64140E-15
4.00286E-09 6.64139E-15
4.28368E-09 6.64138E-15
4.57402E-09 6.64138E-15
4.87388E-09 6.64137E-15
5.18326E-09 6.64136E-15
5.50215E-09 6.64135E-15
5.83057E-09 6.64134E-15
6.16850E-09 6.64134E-15
6.51596E-09 6.64133E-15
6.87293E-09 6.64132E-15
7.23942E-09 6.64131E-15
7.61544E-09 6.64130E-15
1.18991E-08 6.64120E-15
1.71347E-08 6.64107E-15
2.33223E-08 6.64092E-15
3.04617E-08 6.64074E-15
3.85531E-08 6.64055E-15
4.75965E-08 6.64033E-15
5.75917E-08 6.64008E-15
6.85389E-08 6.63982E-15
8.04380E-08 6.63953E-15
9.32891E-08 6.63921E-15
1.07092E-07 6.63888E-15
1.21847E-07 6.63852E-15
1.37554E-07 6.63814E-15
1.54213E-07 6.63773E-15
1.71823E-07 6.63730E-15
1.90386E-07 6.63685E-15
2.09900E-07 6.63638E-15
2.30367E-07 6.63588E-15
2.51785E-07 6.63536E-15
2.74156E-07 6.63482E-15
2.97478E-07 6.63425E-15
3.21752E-07 6.63366E-15
3.46978E-07 6.63305E-15
3.73156E-07 6.63242E-15
4.00286E-07 6.63176E-15
4.28368E-07 6.63108E-15
4.57402E-07 6.63038E-15
4.87388E-07 6.62965E-15
5.18325E-07 6.62890E-15
5.50215E-07 6.62813E-15
5.83057E-07 6.62734E-15
6.16850E-07 6.62652E-15
6.51596E-07 6.62568E-15
6.87293E-07 6.62482E-15
7.23942E-07 6.62394E-15
7.61543E-07 6.62303E-15
1.18991E-06 6.61274E-15
1.71347E-06 6.60025E-15
2.33223E-06 6.58561E-15
3.04617E-06 6.56889E-15
3.85531E-06 6.55015E-15
4.75964E-06 6.52946E-15
5.75916E-06 6.50692E-15
6.85388E-06 6.48260E-15
8.04378E-06 6.45660E-15
9.32888E-06 6.42902E-15
1.07092E-05 6.39995E-15
1.21846E-05 6.36951E-15
1.37553E-05 6.33780E-15
1.54212E-05 6.30492E-15
1.71822E-05 6.27099E-15
1.90385E-05 6.23611E-15
2.09899E-05 6.20039E-15
2.30365E-05 6.16394E-15
2.51783E-05 6.12686E-15
2.74153E-05 6.08926E-15
2.97475E-05 6.05122E-15
3.21749E-05 6.01284E-15
3.46974E-05 5.97422E-15
3.73152E-05 5.93544E-15
4.00281E-05 5.89657E-15
4.28362E-05 5.85770E-15
4.57395E-05 5.81890E-15
4.87380E-05 5.78022E-15
5.18317E-05 5.74173E-15
5.50205E-05 5.70347E-15
5.83045E-05 5.66551E-15
6.16838E-05 5.62787E-15
6.51582E-05 5.59059E-15
6.87277E-05 5.55370E-15
7.23925E-05 5.51723E-15
7.61524E-05 5.48120E-15
9.21439E-05 5.34169E-15
1.09658E-04 5.20962E-15
1.28695E-04 5.08444E-15
1.49255E-04 4.96510E-15
1.71338E-04 4.85036E-15
1.94942E-04 4.73909E-15
2.20070E-04 4.63040E-15
2.46720E-04 4.52378E-15
2.74892E-04 4.41905E-15
3.04586E-04 4.31630E-15
3.35803E-04 4.21580E-15
3.68542E-04 4.11785E-15
4.02802E-04 4.02268E-15
4.38585E-04 3.93040E-15
4.75889E-04 3.84096E-15
5.14715E-04 3.75418E-15
5.55063E-04 3.66979E-15
5.96931E-04 3.58747E-15
6.40321E-04 3.50695E-15
6.85233E-04 3.42800E-15
7.31665E-04 3.35051E-15
7.79618E-04 3.27445E-15
8.29092E-04 3.19986E-15
8.80086E-04 3.12682E-15
9.32601E-04 3.05540E-15
9.86636E-04 2.98566E-15
1.04219E-03 2.91760E-15
1.09927E-03 2.85116E-15
1.15786E-03 2.78626E-15
1.21797E-03 2.72276E-15
1.27961E-03 2.66056E-15
1.34276E-03 2.59955E-15
1.40743E-03 2.53966E-15
1.47362E-03 2.48087E-15
1.54133E-03 2.42319E-15
1.61056E-03 2.36663E-15
1.68131E-03 2.31124E-15
1.75357E-03 2.25705E-15
1.82735E-03 2.20406E-15
1.90265E-03 2.15226E-15
1.97947E-03 2.10161E-15
2.05780E-03 2.05206E-15
2.13765E-03 2.00355E-15
2.21902E-03 1.95601E-15
2.30190E-03 1.90943E-15
2.38630E-03 1.86376E-15
2.47222E-03 1.81901E-15
2.55965E-03 1.77518E-15
2.64859E-03 1.73229E-15
2.73905E-03 1.69036E-15
2.83103E-03 1.64939E-15
2.92452E-03 1.60936E-15
3.01952E-03 1.57026E-15
3.11604E-03 1.53207E-15
3.21407E-03 1.49474E-15
3.31362E-03 1.45823E-15
3.41468E-03 1.42252E-15
3.51725E-03 1.38760E-15
3.62133E-03 1.35344E-15
3.72692E-03 1.32005E-15
3.83403E-03 1.28743E-15
3.94265E-03 1.25558E-15
4.05278E-03 1.22451E-15
4.16442E-03 1.19420E-15
4.27757E-03 1.16464E-15
4.39223E-03 1.13581E-15
4.50840E-03 1.10769E-15
4.62608E-03 1.08025E-15
4.74527E-03 1.05346E-15
4.86597E-03 1.02731E-15
4.98817E-03 1.00178E-15
5.11188E-03 9.76876E-16
5.23711E-03 9.52583E-16
5.36383E-03 9.28902E-16
5.49207E-03 9.05830E-16
5.62181E-03 8.83357E-16
5.75306E-03 8.61474E-16
5.88581E-03 8.40164E-16
6.02007E-03 8.19407E-16
6.15583E-03 7.99184E-16
6.29310E-03 7.79476E-16
6.43187E-03 7.60267E-16
6.57214E-03 7.41544E-16
6.71392E-03 7.23298E-16
6.85720E-03 7.05523E-16
7.00198E-03 6.88214E-16
7.14827E-03 6.71365E-16
7.29605E-03 6.54970E-16
7.44534E-03 6.39018E-16
7.59612E-03 6.23498E-16
7.97965E-03 5.86491E-16
8.37255E-03 5.51867E-16
8.77480E-03 5.19467E-16
9.18641E-03 4.89193E-16
9.60736E-03 4.60940E-16
1.00376E-02 4.34555E-16
1.04773E-02 4.09876E-16
1.09262E-02 3.86782E-16
1.13844E-02 3.65195E-16
1.18520E-02 3.45029E-16
1.23288E-02 3.26172E-16
1.28150E-02 3.08510E-16
1.33104E-02 2.91958E-16
1.38150E-02 2.76459E-16
1.43290E-02 2.61948E-16
1.48521E-02 2.48347E-16
1.53845E-02 2.35579E-16
1.59262E-02 2.23587E-16
1.64770E-02 2.12330E-16
1.70371E-02 2.01763E-16
1.76063E-02 1.91833E-16
1.81848E-02 1.82490E-16
1.87724E-02 1.73696E-16
1.93692E-02 1.65423E-16
1.99751E-02 1.57639E-16
2.05901E-02 1.50310E-16
2.12143E-02 1.43402E-16
2.18476E-02 1.36891E-16
2.24900E-02 1.30755E-16
2.31415E-02 1.24973E-16
2.38021E-02 1.19521E-16
2.44717E-02 1.14378E-16
2.51504E-02 1.09525E-16
2.58382E-02 1.04946E-16
2.65349E-02 1.00626E-16
2.72407E-02 9.65477E-17
2.79555E-02 9.26960E-17
2.86793E-02 8.90579E-17
2.94120E-02 8.56206E-17
3.01537E-02 8.23711E-17
3.09043E-02 7.92980E-17
3.16639E-02 7.63908E-17
3.24324E-02 7.36392E-17
3.32098E-02 7.10327E-17
3.39961E-02 6.85612E-17
3.47912E-02 6.62168E-17
3.55952E-02 6.39922E-17
3.64081E-02 6.18797E-17
3.72297E-02 5.98705E-17
3.80602E-02 5.79572E-17
3.88995E-02 5.61344E-17
3.97476E-02 5.43975E-17
4.06044E-02 5.27408E-17
4.14700E-02 5.11575E-17
4.23443E-02 4.96420E-17
4.32273E-02 4.81912E-17
4.41190E-02 4.68025E-17
4.50194E-02 4.54718E-17
4.59284E-02 4.41940E-17
4.68461E-02 4.29651E-17
4.87074E-02 4.06478E-17
5.06030E-02 3.85032E-17
5.25328E-02 3.65068E-17
5.44967E-02 3.46520E-17
5.64946E-02 3.29210E-17
5.85262E-02 3.13042E-17
6.05914E-02 2.97962E-17
6.26901E-02 2.83818E-17
6.48222E-02 2.70606E-17
6.69873E-02 2.58215E-17
6.91854E-02 2.46579E-17
7.14163E-02 2.35682E-17
7.36799E-02 2.25402E-17
7.59760E-02 2.15748E-17
7.83043E-02 2.06641E-17
8.06647E-02 1.98023E-17
8.30571E-02 1.89903E-17
8.54812E-02 1.82183E-17
8.79369E-02 1.74874E-17
9.04240E-02 1.67939E-17
9.29422E-02 1.61323E-17
9.54915E-02 1.55054E-17
9.80716E-02 1.49063E-17
1.00682E-01 1.43358E-17
1.03323E-01 1.37931E-17
1.05995E-01 1.32733E-17
1.08696E-01 1.27793E-17
1.11427E-01 1.23070E-17
1.14188E-01 1.18556E-17
1.16978E-01 1.14262E-17
1.19797E-01 1.10142E-17
1.22645E-01 1.06216E-17
1.25522E-01 1.02465E-17
1.28428E-01 9.88669E-18
1.31361E-01 9.54408E-18
1.34323E-01 9.21514E-18
1.37313E-01 8.90042E-18
1.40330E-01 8.60001E-18
1.43375E-01 8.31106E-18
1.46447E-01 8.03540E-18
1.49545E-01 7.77126E-18
1.52671E-01 7.51769E-18
1.55823E-01 7.27605E-18
1.59001E-01 7.04390E-18
1.62205E-01 6.82193E-18
1.65435E-01 6.61014E-18
1.68690E-01 6.40664E-18
1.71970E-01 6.21272E-18
1.75276E-01 6.02716E-18
1.78606E-01 5.84918E-18
1.81961E-01 5.67970E-18
1.85340E-01 5.51704E-18
1.88743E-01 5.36135E-18
1.92169E-01 5.21280E-18
1.95619E-01 5.06990E-18
1.99092E-01 4.93331E-18
2.02589E-01 4.80249E-18
2.06107E-01 4.67654E-18
2.09649E-01 4.55615E-18
2.13212E-01 4.44041E-18
2.16797E-01 4.32904E-18
2.20404E-01 4.22246E-18
2.24032E-01 4.11974E-18
