 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element:  P,  Z =  15,  atomic weight = 3.09738E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.36033E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 15
 #
 # Electron density: Read from file Data/z_015.d
 #                   Number of data points =  731
 #                   Volume integral = 1.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.68670E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.63000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 4.07649E-17 cm**2 = 1.45574E+00 a0**2
 # 1st transport cross section = 8.95248E-19 cm**2 = 3.19699E-02 a0**2
 # 2nd transport cross section = 2.06378E-18 cm**2 = 7.36989E-02 a0**2
 #
 #    Absorption cross section = 1.88709E-17 cm**2 = 6.73892E-01 a0**2
 #   Grand total cross section = 5.96412E-17 cm**2 = 2.12983E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.45694E-15
7.61557E-13 1.45694E-15
1.18994E-12 1.45694E-15
1.71346E-12 1.45694E-15
2.33225E-12 1.45694E-15
3.04617E-12 1.45694E-15
3.85530E-12 1.45694E-15
4.75964E-12 1.45694E-15
5.75917E-12 1.45694E-15
6.85391E-12 1.45695E-15
8.04379E-12 1.45695E-15
9.32893E-12 1.45695E-15
1.07092E-11 1.45695E-15
1.21847E-11 1.45695E-15
1.37554E-11 1.45695E-15
1.54213E-11 1.45695E-15
1.71823E-11 1.45695E-15
1.90386E-11 1.45695E-15
2.09900E-11 1.45695E-15
2.30367E-11 1.45695E-15
2.51785E-11 1.45695E-15
2.74156E-11 1.45695E-15
2.97478E-11 1.45695E-15
3.21752E-11 1.45695E-15
3.46979E-11 1.45695E-15
3.73157E-11 1.45695E-15
4.00286E-11 1.45695E-15
4.28368E-11 1.45695E-15
4.57402E-11 1.45695E-15
4.87388E-11 1.45695E-15
5.18325E-11 1.45695E-15
5.50215E-11 1.45695E-15
5.83057E-11 1.45695E-15
6.16850E-11 1.45695E-15
6.51595E-11 1.45695E-15
6.87293E-11 1.45695E-15
7.23943E-11 1.45695E-15
7.61544E-11 1.45695E-15
1.18991E-10 1.45695E-15
1.71347E-10 1.45696E-15
2.33223E-10 1.45696E-15
3.04617E-10 1.45697E-15
3.85531E-10 1.45697E-15
4.75965E-10 1.45698E-15
5.75917E-10 1.45699E-15
6.85389E-10 1.45700E-15
8.04380E-10 1.45700E-15
9.32891E-10 1.45701E-15
1.07092E-09 1.45702E-15
1.21847E-09 1.45703E-15
1.37554E-09 1.45705E-15
1.54213E-09 1.45706E-15
1.71823E-09 1.45707E-15
1.90386E-09 1.45709E-15
2.09900E-09 1.45710E-15
2.30367E-09 1.45711E-15
2.51785E-09 1.45713E-15
2.74156E-09 1.45715E-15
2.97478E-09 1.45716E-15
3.21752E-09 1.45718E-15
3.46978E-09 1.45720E-15
3.73156E-09 1.45722E-15
4.00286E-09 1.45724E-15
4.28368E-09 1.45726E-15
4.57402E-09 1.45728E-15
4.87388E-09 1.45730E-15
5.18326E-09 1.45733E-15
5.50215E-09 1.45735E-15
5.83057E-09 1.45738E-15
6.16850E-09 1.45740E-15
6.51596E-09 1.45743E-15
6.87293E-09 1.45745E-15
7.23942E-09 1.45748E-15
7.61544E-09 1.45751E-15
1.18991E-08 1.45782E-15
1.71347E-08 1.45821E-15
2.33223E-08 1.45867E-15
3.04617E-08 1.45919E-15
3.85531E-08 1.45979E-15
4.75965E-08 1.46045E-15
5.75917E-08 1.46119E-15
6.85389E-08 1.46199E-15
8.04380E-08 1.46286E-15
9.32891E-08 1.46380E-15
1.07092E-07 1.46481E-15
1.21847E-07 1.46589E-15
1.37554E-07 1.46703E-15
1.54213E-07 1.46824E-15
1.71823E-07 1.46952E-15
1.90386E-07 1.47086E-15
2.09900E-07 1.47227E-15
2.30367E-07 1.47374E-15
2.51785E-07 1.47528E-15
2.74156E-07 1.47688E-15
2.97478E-07 1.47854E-15
3.21752E-07 1.48027E-15
3.46978E-07 1.48206E-15
3.73156E-07 1.48392E-15
4.00286E-07 1.48583E-15
4.28368E-07 1.48780E-15
4.57402E-07 1.48984E-15
4.87388E-07 1.49193E-15
5.18325E-07 1.49408E-15
5.50215E-07 1.49629E-15
5.83057E-07 1.49856E-15
6.16850E-07 1.50088E-15
6.51596E-07 1.50326E-15
6.87293E-07 1.50569E-15
7.23942E-07 1.50817E-15
7.61543E-07 1.51071E-15
1.18991E-06 1.53881E-15
1.71347E-06 1.57116E-15
2.33223E-06 1.60672E-15
3.04617E-06 1.64438E-15
3.85531E-06 1.68304E-15
4.75964E-06 1.72169E-15
5.75916E-06 1.75942E-15
6.85388E-06 1.79553E-15
8.04378E-06 1.82949E-15
9.32888E-06 1.86100E-15
1.07092E-05 1.88995E-15
1.21846E-05 1.91641E-15
1.37553E-05 1.94055E-15
1.54212E-05 1.96264E-15
1.71822E-05 1.98298E-15
1.90385E-05 2.00185E-15
2.09899E-05 2.01949E-15
2.30365E-05 2.03608E-15
2.51783E-05 2.05170E-15
2.74153E-05 2.06639E-15
2.97475E-05 2.08012E-15
3.21749E-05 2.09281E-15
3.46974E-05 2.10437E-15
3.73152E-05 2.11472E-15
4.00281E-05 2.12380E-15
4.28362E-05 2.13156E-15
4.57395E-05 2.13801E-15
4.87380E-05 2.14321E-15
5.18317E-05 2.14723E-15
5.50205E-05 2.15018E-15
5.83045E-05 2.15215E-15
6.16838E-05 2.15327E-15
6.51582E-05 2.15363E-15
6.87277E-05 2.15328E-15
7.23925E-05 2.15228E-15
7.61524E-05 2.15065E-15
9.21439E-05 2.13752E-15
1.09658E-04 2.11325E-15
1.28695E-04 2.07946E-15
1.49255E-04 2.03922E-15
1.71338E-04 1.99362E-15
1.94942E-04 1.94257E-15
2.20070E-04 1.88730E-15
2.46720E-04 1.82954E-15
2.74892E-04 1.76978E-15
3.04586E-04 1.70806E-15
3.35803E-04 1.64525E-15
3.68542E-04 1.58235E-15
4.02802E-04 1.51951E-15
4.38585E-04 1.45678E-15
4.75889E-04 1.39475E-15
5.14715E-04 1.33395E-15
5.55063E-04 1.27438E-15
5.96931E-04 1.21604E-15
6.40321E-04 1.15932E-15
6.85233E-04 1.10445E-15
7.31665E-04 1.05135E-15
7.79618E-04 1.00001E-15
8.29092E-04 9.50646E-16
8.80086E-04 9.03326E-16
9.32601E-04 8.57916E-16
9.86636E-04 8.14389E-16
1.04219E-03 7.72853E-16
1.09927E-03 7.33288E-16
1.15786E-03 6.95548E-16
1.21797E-03 6.59595E-16
1.27961E-03 6.25470E-16
1.34276E-03 5.93101E-16
1.40743E-03 5.62352E-16
1.47362E-03 5.33184E-16
1.54133E-03 5.05596E-16
1.61056E-03 4.79497E-16
1.68131E-03 4.54772E-16
1.75357E-03 4.31383E-16
1.82735E-03 4.09309E-16
1.90265E-03 3.88457E-16
1.97947E-03 3.68733E-16
2.05780E-03 3.50106E-16
2.13765E-03 3.32543E-16
2.21902E-03 3.15961E-16
2.30190E-03 3.00286E-16
2.38630E-03 2.85495E-16
2.47222E-03 2.71550E-16
2.55965E-03 2.58381E-16
2.64859E-03 2.45933E-16
2.73905E-03 2.34187E-16
2.83103E-03 2.23108E-16
2.92452E-03 2.12637E-16
3.01952E-03 2.02736E-16
3.11604E-03 1.93389E-16
3.21407E-03 1.84564E-16
3.31362E-03 1.76215E-16
3.41468E-03 1.68315E-16
3.51725E-03 1.60852E-16
3.62133E-03 1.53797E-16
3.72692E-03 1.47114E-16
3.83403E-03 1.40784E-16
3.94265E-03 1.34799E-16
4.05278E-03 1.29133E-16
4.16442E-03 1.23759E-16
4.27757E-03 1.18664E-16
4.39223E-03 1.13840E-16
4.50840E-03 1.09266E-16
4.62608E-03 1.04922E-16
4.74527E-03 1.00798E-16
4.86597E-03 9.68892E-17
4.98817E-03 9.31757E-17
5.11188E-03 8.96431E-17
5.23711E-03 8.62863E-17
5.36383E-03 8.30983E-17
5.49207E-03 8.00640E-17
5.62181E-03 7.71729E-17
5.75306E-03 7.44216E-17
5.88581E-03 7.18035E-17
6.02007E-03 6.93065E-17
6.15583E-03 6.69231E-17
6.29310E-03 6.46512E-17
6.43187E-03 6.24846E-17
6.57214E-03 6.04135E-17
6.71392E-03 5.84331E-17
6.85720E-03 5.65418E-17
7.00198E-03 5.47340E-17
7.14827E-03 5.30020E-17
7.29605E-03 5.13428E-17
7.44534E-03 4.97550E-17
7.59612E-03 4.82338E-17
7.97965E-03 4.46923E-17
8.37255E-03 4.14949E-17
8.77480E-03 3.85976E-17
9.18641E-03 3.59635E-17
9.60736E-03 3.35656E-17
1.00376E-02 3.13754E-17
1.04773E-02 2.93704E-17
1.09262E-02 2.75331E-17
1.13844E-02 2.58445E-17
1.18520E-02 2.42902E-17
1.23288E-02 2.28581E-17
1.28150E-02 2.15347E-17
1.33104E-02 2.03108E-17
1.38150E-02 1.91771E-17
1.43290E-02 1.81242E-17
1.48521E-02 1.71457E-17
1.53845E-02 1.62347E-17
1.59262E-02 1.53847E-17
1.64770E-02 1.45912E-17
1.70371E-02 1.38490E-17
1.76063E-02 1.31538E-17
1.81848E-02 1.25023E-17
1.87724E-02 1.18909E-17
1.93692E-02 1.13164E-17
1.99751E-02 1.07767E-17
2.05901E-02 1.02687E-17
2.12143E-02 9.79044E-18
2.18476E-02 9.34003E-18
2.24900E-02 8.91531E-18
2.31415E-02 8.51471E-18
2.38021E-02 8.13664E-18
2.44717E-02 7.77944E-18
2.51504E-02 7.44189E-18
2.58382E-02 7.12264E-18
2.65349E-02 6.82041E-18
2.72407E-02 6.53420E-18
2.79555E-02 6.26289E-18
2.86793E-02 6.00554E-18
2.94120E-02 5.76131E-18
3.01537E-02 5.52933E-18
3.09043E-02 5.30888E-18
3.16639E-02 5.09927E-18
3.24324E-02 4.89988E-18
3.32098E-02 4.71012E-18
3.39961E-02 4.52945E-18
3.47912E-02 4.35740E-18
3.55952E-02 4.19349E-18
3.64081E-02 4.03729E-18
3.72297E-02 3.88842E-18
3.80602E-02 3.74645E-18
3.88995E-02 3.61103E-18
3.97476E-02 3.48182E-18
4.06044E-02 3.35844E-18
4.14700E-02 3.24061E-18
4.23443E-02 3.12800E-18
4.32273E-02 3.02030E-18
4.41190E-02 2.91727E-18
4.50194E-02 2.81861E-18
4.59284E-02 2.72411E-18
4.68461E-02 2.63355E-18
4.87074E-02 2.46345E-18
5.06030E-02 2.30691E-18
5.25328E-02 2.16277E-18
5.44967E-02 2.02998E-18
5.64946E-02 1.90754E-18
5.85262E-02 1.79448E-18
6.05914E-02 1.68993E-18
6.26901E-02 1.59301E-18
6.48222E-02 1.50294E-18
6.69873E-02 1.41914E-18
6.91854E-02 1.34113E-18
7.14163E-02 1.26848E-18
7.36799E-02 1.20079E-18
7.59760E-02 1.13774E-18
7.83043E-02 1.07896E-18
8.06647E-02 1.02402E-18
8.30571E-02 9.72555E-19
8.54812E-02 9.24296E-19
8.79369E-02 8.78972E-19
9.04240E-02 8.36372E-19
9.29422E-02 7.96356E-19
9.54915E-02 7.58784E-19
9.80716E-02 7.23505E-19
1.00682E-01 6.90353E-19
1.03323E-01 6.59135E-19
1.05995E-01 6.29676E-19
1.08696E-01 6.01850E-19
1.11427E-01 5.75545E-19
1.14188E-01 5.50647E-19
1.16978E-01 5.27096E-19
1.19797E-01 5.04859E-19
1.22645E-01 4.83857E-19
1.25522E-01 4.63987E-19
1.28428E-01 4.45167E-19
1.31361E-01 4.27314E-19
1.34323E-01 4.10345E-19
1.37313E-01 3.94207E-19
1.40330E-01 3.78857E-19
1.43375E-01 3.64251E-19
1.46447E-01 3.50370E-19
1.49545E-01 3.37199E-19
1.52671E-01 3.24684E-19
1.55823E-01 3.12763E-19
1.59001E-01 3.01400E-19
1.62205E-01 2.90556E-19
1.65435E-01 2.80191E-19
1.68690E-01 2.70288E-19
1.71970E-01 2.60833E-19
1.75276E-01 2.51799E-19
1.78606E-01 2.43174E-19
1.81961E-01 2.34951E-19
1.85340E-01 2.27099E-19
1.88743E-01 2.19581E-19
1.92169E-01 2.12379E-19
1.95619E-01 2.05472E-19
1.99092E-01 1.98839E-19
2.02589E-01 1.92479E-19
2.06107E-01 1.86390E-19
2.09649E-01 1.80554E-19
2.13212E-01 1.74959E-19
2.16797E-01 1.69598E-19
2.20404E-01 1.64453E-19
2.24032E-01 1.59507E-19
2.27680E-01 1.54753E-19
2.31350E-01 1.50183E-19
2.35040E-01 1.45780E-19
2.38751E-01 1.41542E-19
2.42481E-01 1.37470E-19
2.46231E-01 1.33554E-19
2.50000E-01 1.29786E-19
2.53788E-01 1.26166E-19
2.57595E-01 1.22681E-19
2.61421E-01 1.19319E-19
2.65264E-01 1.16077E-19
2.69126E-01 1.12950E-19
2.73005E-01 1.09928E-19
2.76901E-01 1.07012E-19
2.80814E-01 1.04204E-19
2.84744E-01 1.01495E-19
2.88691E-01 9.88798E-20
2.92653E-01 9.63600E-20
2.96632E-01 9.39278E-20
3.00625E-01 9.15743E-20
3.04634E-01 8.92997E-20
3.08658E-01 8.71019E-20
3.12697E-01 8.49733E-20
3.16749E-01 8.29136E-20
3.20816E-01 8.09248E-20
3.24896E-01 7.90005E-20
3.28990E-01 7.71371E-20
3.33097E-01 7.53365E-20
3.37216E-01 7.35942E-20
3.41348E-01 7.19042E-20
3.45492E-01 7.02676E-20
