 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Electron density: Read from file Data/z_016.d
 #                   Number of data points =  711
 #                   Volume integral = 1.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.56000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.90000E-24 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 5.63063E-17 cm**2 = 2.01073E+00 a0**2
 # 1st transport cross section = 1.69279E-18 cm**2 = 6.04508E-02 a0**2
 # 2nd transport cross section = 3.79871E-18 cm**2 = 1.35654E-01 a0**2
 #
 #    Absorption cross section = 2.67310E-17 cm**2 = 9.54582E-01 a0**2
 #   Grand total cross section = 8.30421E-17 cm**2 = 2.96549E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.16682E-15
7.61557E-13 1.16682E-15
1.18994E-12 1.16682E-15
1.71346E-12 1.16682E-15
2.33225E-12 1.16682E-15
3.04617E-12 1.16682E-15
3.85530E-12 1.16682E-15
4.75964E-12 1.16682E-15
5.75917E-12 1.16682E-15
6.85391E-12 1.16682E-15
8.04379E-12 1.16682E-15
9.32893E-12 1.16682E-15
1.07092E-11 1.16682E-15
1.21847E-11 1.16682E-15
1.37554E-11 1.16682E-15
1.54213E-11 1.16682E-15
1.71823E-11 1.16682E-15
1.90386E-11 1.16682E-15
2.09900E-11 1.16682E-15
2.30367E-11 1.16682E-15
2.51785E-11 1.16682E-15
2.74156E-11 1.16682E-15
2.97478E-11 1.16682E-15
3.21752E-11 1.16682E-15
3.46979E-11 1.16682E-15
3.73157E-11 1.16682E-15
4.00286E-11 1.16682E-15
4.28368E-11 1.16682E-15
4.57402E-11 1.16682E-15
4.87388E-11 1.16682E-15
5.18325E-11 1.16682E-15
5.50215E-11 1.16682E-15
5.83057E-11 1.16682E-15
6.16850E-11 1.16682E-15
6.51595E-11 1.16682E-15
6.87293E-11 1.16682E-15
7.23943E-11 1.16682E-15
7.61544E-11 1.16682E-15
1.18991E-10 1.16683E-15
1.71347E-10 1.16683E-15
2.33223E-10 1.16683E-15
3.04617E-10 1.16683E-15
3.85531E-10 1.16684E-15
4.75965E-10 1.16684E-15
5.75917E-10 1.16684E-15
6.85389E-10 1.16685E-15
8.04380E-10 1.16685E-15
9.32891E-10 1.16686E-15
1.07092E-09 1.16686E-15
1.21847E-09 1.16687E-15
1.37554E-09 1.16688E-15
1.54213E-09 1.16688E-15
1.71823E-09 1.16689E-15
1.90386E-09 1.16690E-15
2.09900E-09 1.16690E-15
2.30367E-09 1.16691E-15
2.51785E-09 1.16692E-15
2.74156E-09 1.16693E-15
2.97478E-09 1.16694E-15
3.21752E-09 1.16695E-15
3.46978E-09 1.16696E-15
3.73156E-09 1.16697E-15
4.00286E-09 1.16698E-15
4.28368E-09 1.16699E-15
4.57402E-09 1.16700E-15
4.87388E-09 1.16702E-15
5.18326E-09 1.16703E-15
5.50215E-09 1.16704E-15
5.83057E-09 1.16705E-15
6.16850E-09 1.16707E-15
6.51596E-09 1.16708E-15
6.87293E-09 1.16710E-15
7.23942E-09 1.16711E-15
7.61544E-09 1.16713E-15
1.18991E-08 1.16730E-15
1.71347E-08 1.16751E-15
2.33223E-08 1.16775E-15
3.04617E-08 1.16804E-15
3.85531E-08 1.16836E-15
4.75965E-08 1.16872E-15
5.75917E-08 1.16912E-15
6.85389E-08 1.16956E-15
8.04380E-08 1.17003E-15
9.32891E-08 1.17054E-15
1.07092E-07 1.17109E-15
1.21847E-07 1.17167E-15
1.37554E-07 1.17229E-15
1.54213E-07 1.17295E-15
1.71823E-07 1.17364E-15
1.90386E-07 1.17437E-15
2.09900E-07 1.17514E-15
2.30367E-07 1.17594E-15
2.51785E-07 1.17678E-15
2.74156E-07 1.17765E-15
2.97478E-07 1.17856E-15
3.21752E-07 1.17950E-15
3.46978E-07 1.18048E-15
3.73156E-07 1.18149E-15
4.00286E-07 1.18253E-15
4.28368E-07 1.18361E-15
4.57402E-07 1.18472E-15
4.87388E-07 1.18587E-15
5.18325E-07 1.18705E-15
5.50215E-07 1.18826E-15
5.83057E-07 1.18950E-15
6.16850E-07 1.19078E-15
6.51596E-07 1.19208E-15
6.87293E-07 1.19342E-15
7.23942E-07 1.19479E-15
7.61543E-07 1.19619E-15
1.18991E-06 1.21175E-15
1.71347E-06 1.22988E-15
2.33223E-06 1.25010E-15
3.04617E-06 1.27189E-15
3.85531E-06 1.29474E-15
4.75964E-06 1.31812E-15
5.75916E-06 1.34159E-15
6.85388E-06 1.36471E-15
8.04378E-06 1.38718E-15
9.32888E-06 1.40874E-15
1.07092E-05 1.42923E-15
1.21846E-05 1.44860E-15
1.37553E-05 1.46685E-15
1.54212E-05 1.48403E-15
1.71822E-05 1.50025E-15
1.90385E-05 1.51564E-15
2.09899E-05 1.53032E-15
2.30365E-05 1.54440E-15
2.51783E-05 1.55798E-15
2.74153E-05 1.57112E-15
2.97475E-05 1.58384E-15
3.21749E-05 1.59614E-15
3.46974E-05 1.60801E-15
3.73152E-05 1.61940E-15
4.00281E-05 1.63025E-15
4.28362E-05 1.64053E-15
4.57395E-05 1.65018E-15
4.87380E-05 1.65917E-15
5.18317E-05 1.66751E-15
5.50205E-05 1.67519E-15
5.83045E-05 1.68223E-15
6.16838E-05 1.68868E-15
6.51582E-05 1.69457E-15
6.87277E-05 1.69996E-15
7.23925E-05 1.70488E-15
7.61524E-05 1.70939E-15
9.21439E-05 1.72358E-15
1.09658E-04 1.73152E-15
1.28695E-04 1.73269E-15
1.49255E-04 1.72778E-15
1.71338E-04 1.71823E-15
1.94942E-04 1.70458E-15
2.20070E-04 1.68668E-15
2.46720E-04 1.66490E-15
2.74892E-04 1.64018E-15
3.04586E-04 1.61303E-15
3.35803E-04 1.58344E-15
3.68542E-04 1.55163E-15
4.02802E-04 1.51818E-15
4.38585E-04 1.48353E-15
4.75889E-04 1.44772E-15
5.14715E-04 1.41086E-15
5.55063E-04 1.37332E-15
5.96931E-04 1.33545E-15
6.40321E-04 1.29730E-15
6.85233E-04 1.25892E-15
7.31665E-04 1.22053E-15
7.79618E-04 1.18239E-15
8.29092E-04 1.14456E-15
