 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Electron density: Read from file Data/z_016.d
 #                   Number of data points =  711
 #                   Volume integral = 1.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.56000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.90000E-24 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 2.72541E-17 cm**2 = 9.73260E-01 a0**2
 # 1st transport cross section = 4.22933E-19 cm**2 = 1.51032E-02 a0**2
 # 2nd transport cross section = 1.00288E-18 cm**2 = 3.58134E-02 a0**2
 #
 #    Absorption cross section = 1.04001E-17 cm**2 = 3.71396E-01 a0**2
 #   Grand total cross section = 3.76588E-17 cm**2 = 1.34482E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.56026E-15
7.61557E-13 1.56026E-15
1.18994E-12 1.56026E-15
1.71346E-12 1.56026E-15
2.33225E-12 1.56026E-15
3.04617E-12 1.56026E-15
3.85530E-12 1.56026E-15
4.75964E-12 1.56026E-15
5.75917E-12 1.56026E-15
6.85391E-12 1.56026E-15
8.04379E-12 1.56026E-15
9.32893E-12 1.56026E-15
1.07092E-11 1.56026E-15
1.21847E-11 1.56026E-15
1.37554E-11 1.56026E-15
1.54213E-11 1.56026E-15
1.71823E-11 1.56026E-15
1.90386E-11 1.56026E-15
2.09900E-11 1.56026E-15
2.30367E-11 1.56026E-15
2.51785E-11 1.56026E-15
2.74156E-11 1.56026E-15
2.97478E-11 1.56026E-15
3.21752E-11 1.56026E-15
3.46979E-11 1.56026E-15
3.73157E-11 1.56026E-15
4.00286E-11 1.56026E-15
4.28368E-11 1.56026E-15
4.57402E-11 1.56026E-15
4.87388E-11 1.56026E-15
5.18325E-11 1.56026E-15
5.50215E-11 1.56026E-15
5.83057E-11 1.56026E-15
6.16850E-11 1.56026E-15
6.51595E-11 1.56027E-15
6.87293E-11 1.56027E-15
7.23943E-11 1.56027E-15
7.61544E-11 1.56027E-15
1.18991E-10 1.56027E-15
1.71347E-10 1.56028E-15
2.33223E-10 1.56029E-15
3.04617E-10 1.56030E-15
3.85531E-10 1.56031E-15
4.75965E-10 1.56032E-15
5.75917E-10 1.56033E-15
6.85389E-10 1.56035E-15
8.04380E-10 1.56036E-15
9.32891E-10 1.56038E-15
1.07092E-09 1.56040E-15
1.21847E-09 1.56042E-15
1.37554E-09 1.56044E-15
1.54213E-09 1.56046E-15
1.71823E-09 1.56048E-15
1.90386E-09 1.56051E-15
2.09900E-09 1.56053E-15
2.30367E-09 1.56056E-15
2.51785E-09 1.56059E-15
2.74156E-09 1.56062E-15
2.97478E-09 1.56065E-15
3.21752E-09 1.56068E-15
3.46978E-09 1.56071E-15
3.73156E-09 1.56075E-15
4.00286E-09 1.56078E-15
4.28368E-09 1.56082E-15
4.57402E-09 1.56086E-15
4.87388E-09 1.56090E-15
5.18326E-09 1.56094E-15
5.50215E-09 1.56098E-15
5.83057E-09 1.56102E-15
6.16850E-09 1.56107E-15
6.51596E-09 1.56111E-15
6.87293E-09 1.56116E-15
7.23942E-09 1.56121E-15
7.61544E-09 1.56126E-15
1.18991E-08 1.56182E-15
1.71347E-08 1.56251E-15
2.33223E-08 1.56332E-15
3.04617E-08 1.56425E-15
3.85531E-08 1.56530E-15
4.75965E-08 1.56648E-15
5.75917E-08 1.56778E-15
6.85389E-08 1.56919E-15
8.04380E-08 1.57072E-15
9.32891E-08 1.57237E-15
1.07092E-07 1.57414E-15
1.21847E-07 1.57602E-15
1.37554E-07 1.57801E-15
1.54213E-07 1.58011E-15
1.71823E-07 1.58232E-15
1.90386E-07 1.58464E-15
2.09900E-07 1.58706E-15
2.30367E-07 1.58959E-15
2.51785E-07 1.59221E-15
2.74156E-07 1.59494E-15
2.97478E-07 1.59776E-15
3.21752E-07 1.60068E-15
3.46978E-07 1.60369E-15
3.73156E-07 1.60678E-15
4.00286E-07 1.60997E-15
4.28368E-07 1.61324E-15
4.57402E-07 1.61659E-15
4.87388E-07 1.62002E-15
5.18325E-07 1.62353E-15
5.50215E-07 1.62712E-15
5.83057E-07 1.63077E-15
6.16850E-07 1.63449E-15
6.51596E-07 1.63828E-15
6.87293E-07 1.64213E-15
7.23942E-07 1.64604E-15
7.61543E-07 1.65001E-15
1.18991E-06 1.69216E-15
1.71347E-06 1.73678E-15
2.33223E-06 1.78118E-15
3.04617E-06 1.82326E-15
3.85531E-06 1.86167E-15
4.75964E-06 1.89588E-15
5.75916E-06 1.92602E-15
6.85388E-06 1.95265E-15
8.04378E-06 1.97652E-15
9.32888E-06 1.99829E-15
1.07092E-05 2.01841E-15
1.21846E-05 2.03705E-15
1.37553E-05 2.05413E-15
1.54212E-05 2.06945E-15
1.71822E-05 2.08281E-15
1.90385E-05 2.09408E-15
2.09899E-05 2.10328E-15
2.30365E-05 2.11055E-15
2.51783E-05 2.11614E-15
2.74153E-05 2.12032E-15
2.97475E-05 2.12329E-15
3.21749E-05 2.12519E-15
3.46974E-05 2.12605E-15
3.73152E-05 2.12583E-15
4.00281E-05 2.12447E-15
4.28362E-05 2.12192E-15
4.57395E-05 2.11818E-15
4.87380E-05 2.11334E-15
5.18317E-05 2.10750E-15
5.50205E-05 2.10080E-15
5.83045E-05 2.09336E-15
6.16838E-05 2.08528E-15
6.51582E-05 2.07658E-15
6.87277E-05 2.06726E-15
7.23925E-05 2.05729E-15
7.61524E-05 2.04666E-15
9.21439E-05 1.99793E-15
1.09658E-04 1.94223E-15
1.28695E-04 1.88107E-15
1.49255E-04 1.81532E-15
1.71338E-04 1.74702E-15
1.94942E-04 1.67643E-15
2.20070E-04 1.60481E-15
2.46720E-04 1.53292E-15
2.74892E-04 1.46105E-15
3.04586E-04 1.39015E-15
3.35803E-04 1.32033E-15
3.68542E-04 1.25208E-15
4.02802E-04 1.18577E-15
4.38585E-04 1.12141E-15
4.75889E-04 1.05944E-15
5.14715E-04 9.99811E-16
5.55063E-04 9.42666E-16
5.96931E-04 8.88132E-16
6.40321E-04 8.36096E-16
6.85233E-04 7.86687E-16
7.31665E-04 7.39807E-16
7.79618E-04 6.95411E-16
8.29092E-04 6.53505E-16
8.80086E-04 6.13927E-16
9.32601E-04 5.76671E-16
9.86636E-04 5.41618E-16
1.04219E-03 5.08657E-16
1.09927E-03 4.77745E-16
1.15786E-03 4.48723E-16
1.21797E-03 4.21536E-16
1.27961E-03 3.96076E-16
1.34276E-03 3.72227E-16
1.40743E-03 3.49932E-16
1.47362E-03 3.29064E-16
1.54133E-03 3.09556E-16
1.61056E-03 2.91326E-16
1.68131E-03 2.74273E-16
1.75357E-03 2.58350E-16
1.82735E-03 2.43460E-16
1.90265E-03 2.29545E-16
1.97947E-03 2.16546E-16
2.05780E-03 2.04385E-16
2.13765E-03 1.93027E-16
2.21902E-03 1.82401E-16
2.30190E-03 1.72464E-16
2.38630E-03 1.63173E-16
2.47222E-03 1.54473E-16
2.55965E-03 1.46337E-16
2.64859E-03 1.38716E-16
2.73905E-03 1.31578E-16
2.83103E-03 1.24894E-16
2.92452E-03 1.18624E-16
3.01952E-03 1.12748E-16
3.11604E-03 1.07236E-16
3.21407E-03 1.02060E-16
3.31362E-03 9.72030E-17
3.41468E-03 9.26364E-17
3.51725E-03 8.83456E-17
3.62133E-03 8.43102E-17
3.72692E-03 8.05101E-17
3.83403E-03 7.69345E-17
3.94265E-03 7.35627E-17
4.05278E-03 7.03843E-17
4.16442E-03 6.73861E-17
4.27757E-03 6.45532E-17
4.39223E-03 6.18789E-17
4.50840E-03 5.93488E-17
4.62608E-03 5.69551E-17
