 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Electron density: Read from file Data/z_016.d
 #                   Number of data points =  711
 #                   Volume integral = 1.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.15000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.90000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 4.71785E-17 cm**2 = 1.68478E+00 a0**2
 # 1st transport cross section = 1.40647E-18 cm**2 = 5.02261E-02 a0**2
 # 2nd transport cross section = 3.03410E-18 cm**2 = 1.08350E-01 a0**2
 #
 #    Absorption cross section = 1.98866E-17 cm**2 = 7.10164E-01 a0**2
 #   Grand total cross section = 6.70694E-17 cm**2 = 2.39509E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.67865E-15
7.61557E-13 3.67865E-15
1.18994E-12 3.67865E-15
1.71346E-12 3.67865E-15
2.33225E-12 3.67865E-15
3.04617E-12 3.67865E-15
3.85530E-12 3.67865E-15
4.75964E-12 3.67865E-15
5.75917E-12 3.67865E-15
6.85391E-12 3.67865E-15
8.04379E-12 3.67865E-15
9.32893E-12 3.67865E-15
1.07092E-11 3.67865E-15
1.21847E-11 3.67865E-15
1.37554E-11 3.67865E-15
1.54213E-11 3.67865E-15
1.71823E-11 3.67865E-15
1.90386E-11 3.67865E-15
2.09900E-11 3.67865E-15
2.30367E-11 3.67865E-15
2.51785E-11 3.67865E-15
2.74156E-11 3.67865E-15
2.97478E-11 3.67865E-15
3.21752E-11 3.67865E-15
3.46979E-11 3.67865E-15
3.73157E-11 3.67865E-15
4.00286E-11 3.67865E-15
4.28368E-11 3.67865E-15
4.57402E-11 3.67865E-15
4.87388E-11 3.67865E-15
5.18325E-11 3.67865E-15
5.50215E-11 3.67864E-15
5.83057E-11 3.67864E-15
6.16850E-11 3.67864E-15
6.51595E-11 3.67864E-15
6.87293E-11 3.67864E-15
7.23943E-11 3.67864E-15
7.61544E-11 3.67864E-15
1.18991E-10 3.67864E-15
1.71347E-10 3.67863E-15
2.33223E-10 3.67862E-15
3.04617E-10 3.67861E-15
3.85531E-10 3.67860E-15
4.75965E-10 3.67859E-15
5.75917E-10 3.67858E-15
6.85389E-10 3.67857E-15
8.04380E-10 3.67855E-15
9.32891E-10 3.67853E-15
1.07092E-09 3.67852E-15
1.21847E-09 3.67850E-15
1.37554E-09 3.67848E-15
1.54213E-09 3.67846E-15
1.71823E-09 3.67843E-15
1.90386E-09 3.67841E-15
2.09900E-09 3.67839E-15
2.30367E-09 3.67836E-15
2.51785E-09 3.67833E-15
2.74156E-09 3.67831E-15
2.97478E-09 3.67828E-15
3.21752E-09 3.67825E-15
3.46978E-09 3.67821E-15
3.73156E-09 3.67818E-15
4.00286E-09 3.67815E-15
4.28368E-09 3.67811E-15
4.57402E-09 3.67807E-15
4.87388E-09 3.67804E-15
5.18326E-09 3.67800E-15
5.50215E-09 3.67796E-15
5.83057E-09 3.67792E-15
6.16850E-09 3.67787E-15
6.51596E-09 3.67783E-15
6.87293E-09 3.67778E-15
7.23942E-09 3.67774E-15
7.61544E-09 3.67769E-15
1.18991E-08 3.67715E-15
1.71347E-08 3.67649E-15
2.33223E-08 3.67571E-15
3.04617E-08 3.67481E-15
3.85531E-08 3.67380E-15
4.75965E-08 3.67267E-15
5.75917E-08 3.67142E-15
6.85389E-08 3.67005E-15
8.04380E-08 3.66857E-15
9.32891E-08 3.66697E-15
1.07092E-07 3.66526E-15
1.21847E-07 3.66344E-15
1.37554E-07 3.66150E-15
1.54213E-07 3.65946E-15
1.71823E-07 3.65730E-15
1.90386E-07 3.65504E-15
2.09900E-07 3.65267E-15
2.30367E-07 3.65019E-15
2.51785E-07 3.64761E-15
2.74156E-07 3.64492E-15
2.97478E-07 3.64213E-15
3.21752E-07 3.63924E-15
3.46978E-07 3.63626E-15
3.73156E-07 3.63317E-15
4.00286E-07 3.62999E-15
4.28368E-07 3.62672E-15
4.57402E-07 3.62335E-15
4.87388E-07 3.61989E-15
5.18325E-07 3.61635E-15
5.50215E-07 3.61271E-15
5.83057E-07 3.60899E-15
6.16850E-07 3.60519E-15
6.51596E-07 3.60131E-15
6.87293E-07 3.59734E-15
7.23942E-07 3.59330E-15
7.61543E-07 3.58919E-15
1.18991E-06 3.54429E-15
1.71347E-06 3.49408E-15
2.33223E-06 3.44061E-15
3.04617E-06 3.38579E-15
3.85531E-06 3.33126E-15
4.75964E-06 3.27827E-15
5.75916E-06 3.22768E-15
6.85388E-06 3.17998E-15
8.04378E-06 3.13528E-15
9.32888E-06 3.09343E-15
1.07092E-05 3.05409E-15
1.21846E-05 3.01684E-15
1.37553E-05 2.98122E-15
1.54212E-05 2.94684E-15
1.71822E-05 2.91339E-15
1.90385E-05 2.88069E-15
2.09899E-05 2.84866E-15
2.30365E-05 2.81730E-15
2.51783E-05 2.78669E-15
2.74153E-05 2.75693E-15
2.97475E-05 2.72810E-15
3.21749E-05 2.70026E-15
3.46974E-05 2.67341E-15
3.73152E-05 2.64751E-15
4.00281E-05 2.62248E-15
4.28362E-05 2.59818E-15
4.57395E-05 2.57450E-15
4.87380E-05 2.55132E-15
5.18317E-05 2.52855E-15
5.50205E-05 2.50611E-15
5.83045E-05 2.48398E-15
6.16838E-05 2.46216E-15
6.51582E-05 2.44068E-15
6.87277E-05 2.41955E-15
7.23925E-05 2.39882E-15
7.61524E-05 2.37850E-15
9.21439E-05 2.30096E-15
1.09658E-04 2.22728E-15
1.28695E-04 2.15572E-15
1.49255E-04 2.08676E-15
1.71338E-04 2.02003E-15
1.94942E-04 1.95432E-15
2.20070E-04 1.88971E-15
2.46720E-04 1.82654E-15
2.74892E-04 1.76425E-15
3.04586E-04 1.70264E-15
3.35803E-04 1.64218E-15
3.68542E-04 1.58275E-15
4.02802E-04 1.52413E-15
4.38585E-04 1.46659E-15
4.75889E-04 1.41031E-15
5.14715E-04 1.35511E-15
5.55063E-04 1.30108E-15
5.96931E-04 1.24847E-15
6.40321E-04 1.19721E-15
6.85233E-04 1.14726E-15
7.31665E-04 1.09879E-15
7.79618E-04 1.05186E-15
8.29092E-04 1.00635E-15
8.80086E-04 9.62343E-16
9.32601E-04 9.19919E-16
9.86636E-04 8.78995E-16
1.04219E-03 8.39541E-16
1.09927E-03 8.01636E-16
1.15786E-03 7.65236E-16
1.21797E-03 7.30259E-16
1.27961E-03 6.96729E-16
1.34276E-03 6.64644E-16
1.40743E-03 6.33911E-16
1.47362E-03 6.04501E-16
1.54133E-03 5.76424E-16
1.61056E-03 5.49612E-16
1.68131E-03 5.23997E-16
1.75357E-03 4.99577E-16
1.82735E-03 4.76313E-16
1.90265E-03 4.54127E-16
1.97947E-03 4.32994E-16
2.05780E-03 4.12894E-16
2.13765E-03 3.93760E-16
2.21902E-03 3.75545E-16
2.30190E-03 3.58236E-16
2.38630E-03 3.41786E-16
2.47222E-03 3.26138E-16
2.55965E-03 3.11272E-16
2.64859E-03 2.97160E-16
2.73905E-03 2.83749E-16
2.83103E-03 2.71008E-16
2.92452E-03 2.58920E-16
3.01952E-03 2.47443E-16
3.11604E-03 2.36540E-16
3.21407E-03 2.26194E-16
3.31362E-03 2.16379E-16
3.41468E-03 2.07055E-16
3.51725E-03 1.98204E-16
3.62133E-03 1.89808E-16
3.72692E-03 1.81834E-16
3.83403E-03 1.74260E-16
3.94265E-03 1.67071E-16
4.05278E-03 1.60246E-16
4.16442E-03 1.53757E-16
4.27757E-03 1.47593E-16
4.39223E-03 1.41740E-16
4.50840E-03 1.36173E-16
4.62608E-03 1.30877E-16
4.74527E-03 1.25844E-16
4.86597E-03 1.21055E-16
4.98817E-03 1.16495E-16
5.11188E-03 1.12154E-16
5.23711E-03 1.08023E-16
5.36383E-03 1.04084E-16
5.49207E-03 1.00329E-16
5.62181E-03 9.67510E-17
5.75306E-03 9.33376E-17
5.88581E-03 9.00787E-17
6.02007E-03 8.69695E-17
6.15583E-03 8.40012E-17
