 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Electron density: Read from file Data/z_016.d
 #                   Number of data points =  711
 #                   Volume integral = 1.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.15000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.90000E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 2.66543E-17 cm**2 = 9.51843E-01 a0**2
 # 1st transport cross section = 4.47460E-19 cm**2 = 1.59791E-02 a0**2
 # 2nd transport cross section = 1.03450E-18 cm**2 = 3.69427E-02 a0**2
 #
 #    Absorption cross section = 1.02455E-17 cm**2 = 3.65872E-01 a0**2
 #   Grand total cross section = 3.69041E-17 cm**2 = 1.31787E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.67279E-15
7.61557E-13 3.67279E-15
1.18994E-12 3.67279E-15
1.71346E-12 3.67279E-15
2.33225E-12 3.67279E-15
3.04617E-12 3.67279E-15
3.85530E-12 3.67279E-15
4.75964E-12 3.67279E-15
5.75917E-12 3.67279E-15
6.85391E-12 3.67279E-15
8.04379E-12 3.67279E-15
9.32893E-12 3.67279E-15
1.07092E-11 3.67279E-15
1.21847E-11 3.67279E-15
1.37554E-11 3.67279E-15
1.54213E-11 3.67279E-15
1.71823E-11 3.67279E-15
1.90386E-11 3.67279E-15
2.09900E-11 3.67279E-15
2.30367E-11 3.67279E-15
2.51785E-11 3.67279E-15
2.74156E-11 3.67279E-15
2.97478E-11 3.67279E-15
3.21752E-11 3.67278E-15
3.46979E-11 3.67278E-15
3.73157E-11 3.67278E-15
4.00286E-11 3.67278E-15
4.28368E-11 3.67278E-15
4.57402E-11 3.67278E-15
4.87388E-11 3.67278E-15
5.18325E-11 3.67278E-15
5.50215E-11 3.67278E-15
5.83057E-11 3.67278E-15
6.16850E-11 3.67278E-15
6.51595E-11 3.67278E-15
6.87293E-11 3.67278E-15
7.23943E-11 3.67277E-15
7.61544E-11 3.67277E-15
1.18991E-10 3.67276E-15
1.71347E-10 3.67275E-15
2.33223E-10 3.67273E-15
3.04617E-10 3.67272E-15
3.85531E-10 3.67270E-15
4.75965E-10 3.67267E-15
5.75917E-10 3.67265E-15
6.85389E-10 3.67262E-15
8.04380E-10 3.67259E-15
9.32891E-10 3.67256E-15
1.07092E-09 3.67253E-15
1.21847E-09 3.67249E-15
1.37554E-09 3.67245E-15
1.54213E-09 3.67241E-15
1.71823E-09 3.67237E-15
1.90386E-09 3.67232E-15
2.09900E-09 3.67227E-15
2.30367E-09 3.67222E-15
2.51785E-09 3.67217E-15
2.74156E-09 3.67211E-15
2.97478E-09 3.67205E-15
3.21752E-09 3.67199E-15
3.46978E-09 3.67193E-15
3.73156E-09 3.67187E-15
4.00286E-09 3.67180E-15
4.28368E-09 3.67173E-15
4.57402E-09 3.67166E-15
4.87388E-09 3.67158E-15
5.18326E-09 3.67150E-15
5.50215E-09 3.67143E-15
5.83057E-09 3.67134E-15
6.16850E-09 3.67126E-15
6.51596E-09 3.67117E-15
6.87293E-09 3.67109E-15
7.23942E-09 3.67099E-15
7.61544E-09 3.67090E-15
1.18991E-08 3.66984E-15
1.71347E-08 3.66854E-15
2.33223E-08 3.66702E-15
3.04617E-08 3.66526E-15
3.85531E-08 3.66327E-15
4.75965E-08 3.66106E-15
5.75917E-08 3.65863E-15
6.85389E-08 3.65597E-15
8.04380E-08 3.65310E-15
9.32891E-08 3.65001E-15
1.07092E-07 3.64671E-15
1.21847E-07 3.64320E-15
1.37554E-07 3.63949E-15
1.54213E-07 3.63558E-15
1.71823E-07 3.63148E-15
1.90386E-07 3.62718E-15
2.09900E-07 3.62270E-15
2.30367E-07 3.61803E-15
2.51785E-07 3.61319E-15
2.74156E-07 3.60817E-15
2.97478E-07 3.60299E-15
3.21752E-07 3.59765E-15
3.46978E-07 3.59216E-15
3.73156E-07 3.58651E-15
4.00286E-07 3.58072E-15
4.28368E-07 3.57479E-15
4.57402E-07 3.56872E-15
4.87388E-07 3.56253E-15
5.18325E-07 3.55622E-15
5.50215E-07 3.54979E-15
5.83057E-07 3.54325E-15
6.16850E-07 3.53661E-15
6.51596E-07 3.52987E-15
6.87293E-07 3.52304E-15
7.23942E-07 3.51613E-15
7.61543E-07 3.50913E-15
1.18991E-06 3.43606E-15
1.71347E-06 3.36104E-15
2.33223E-06 3.28836E-15
3.04617E-06 3.22080E-15
3.85531E-06 3.15952E-15
4.75964E-06 3.10437E-15
5.75916E-06 3.05437E-15
6.85388E-06 3.00819E-15
8.04378E-06 2.96460E-15
9.32888E-06 2.92275E-15
1.07092E-05 2.88227E-15
1.21846E-05 2.84315E-15
1.37553E-05 2.80562E-15
1.54212E-05 2.76992E-15
1.71822E-05 2.73615E-15
1.90385E-05 2.70422E-15
2.09899E-05 2.67384E-15
2.30365E-05 2.64466E-15
2.51783E-05 2.61631E-15
2.74153E-05 2.58855E-15
2.97475E-05 2.56127E-15
3.21749E-05 2.53448E-15
3.46974E-05 2.50827E-15
3.73152E-05 2.48272E-15
4.00281E-05 2.45784E-15
4.28362E-05 2.43358E-15
4.57395E-05 2.40982E-15
4.87380E-05 2.38639E-15
5.18317E-05 2.36316E-15
5.50205E-05 2.34004E-15
5.83045E-05 2.31701E-15
6.16838E-05 2.29410E-15
6.51582E-05 2.27137E-15
6.87277E-05 2.24886E-15
7.23925E-05 2.22658E-15
7.61524E-05 2.20450E-15
9.21439E-05 2.11687E-15
1.09658E-04 2.02947E-15
1.28695E-04 1.94323E-15
1.49255E-04 1.85711E-15
1.71338E-04 1.77191E-15
1.94942E-04 1.68764E-15
2.20070E-04 1.60446E-15
2.46720E-04 1.52304E-15
2.74892E-04 1.44323E-15
3.04586E-04 1.36571E-15
3.35803E-04 1.29046E-15
3.68542E-04 1.21780E-15
4.02802E-04 1.14793E-15
4.38585E-04 1.08081E-15
4.75889E-04 1.01675E-15
5.14715E-04 9.55584E-16
5.55063E-04 8.97478E-16
5.96931E-04 8.42358E-16
6.40321E-04 7.90167E-16
6.85233E-04 7.40924E-16
7.31665E-04 6.94446E-16
7.79618E-04 6.50748E-16
8.29092E-04 6.09657E-16
8.80086E-04 5.71098E-16
9.32601E-04 5.34970E-16
9.86636E-04 5.01115E-16
1.04219E-03 4.69475E-16
1.09927E-03 4.39876E-16
1.15786E-03 4.12248E-16
1.21797E-03 3.86457E-16
1.27961E-03 3.62390E-16
1.34276E-03 3.39965E-16
1.40743E-03 3.19045E-16
1.47362E-03 2.99569E-16
1.54133E-03 2.81415E-16
1.61056E-03 2.64509E-16
1.68131E-03 2.48769E-16
1.75357E-03 2.34100E-16
1.82735E-03 2.20449E-16
1.90265E-03 2.07724E-16
1.97947E-03 1.95875E-16
2.05780E-03 1.84831E-16
2.13765E-03 1.74534E-16
2.21902E-03 1.64938E-16
2.30190E-03 1.55978E-16
2.38630E-03 1.47623E-16
2.47222E-03 1.39817E-16
2.55965E-03 1.32525E-16
2.64859E-03 1.25711E-16
2.73905E-03 1.19333E-16
2.83103E-03 1.13368E-16
2.92452E-03 1.07778E-16
3.01952E-03 1.02542E-16
3.11604E-03 9.76308E-17
3.21407E-03 9.30214E-17
3.31362E-03 8.86959E-17
3.41468E-03 8.46283E-17
3.51725E-03 8.08067E-17
3.62133E-03 7.72089E-17
3.72692E-03 7.38222E-17
3.83403E-03 7.06320E-17
3.94265E-03 6.76224E-17
4.05278E-03 6.47852E-17
4.16442E-03 6.21043E-17
4.27757E-03 5.95728E-17
4.39223E-03 5.71788E-17
4.50840E-03 5.49131E-17
4.62608E-03 5.27690E-17
4.74527E-03 5.07358E-17
4.86597E-03 4.88094E-17
4.98817E-03 4.69802E-17
5.11188E-03 4.52436E-17
5.23711E-03 4.35936E-17
5.36383E-03 4.20236E-17
5.49207E-03 4.05307E-17
5.62181E-03 3.91078E-17
5.75306E-03 3.77527E-17
5.88581E-03 3.64603E-17
6.02007E-03 3.52269E-17
6.15583E-03 3.40499E-17
6.29310E-03 3.29247E-17
6.43187E-03 3.18500E-17
6.57214E-03 3.08215E-17
6.71392E-03 2.98375E-17
6.85720E-03 2.88956E-17
7.00198E-03 2.79927E-17
7.14827E-03 2.71280E-17
7.29605E-03 2.62983E-17
7.44534E-03 2.55026E-17
7.59612E-03 2.47387E-17
7.97965E-03 2.29580E-17
8.37255E-03 2.13438E-17
8.77480E-03 1.98765E-17
9.18641E-03 1.85390E-17
9.60736E-03 1.73167E-17
1.00376E-02 1.61972E-17
1.04773E-02 1.51695E-17
1.09262E-02 1.42243E-17
1.13844E-02 1.33533E-17
1.18520E-02 1.25495E-17
1.23288E-02 1.18063E-17
1.28150E-02 1.11183E-17
1.33104E-02 1.04803E-17
1.38150E-02 9.88783E-18
1.43290E-02 9.33699E-18
1.48521E-02 8.82414E-18
1.53845E-02 8.34607E-18
1.59262E-02 7.89993E-18
1.64770E-02 7.48316E-18
1.70371E-02 7.09346E-18
1.76063E-02 6.72876E-18
1.81848E-02 6.38719E-18
1.87724E-02 6.06702E-18
1.93692E-02 5.76669E-18
1.99751E-02 5.48473E-18
2.05901E-02 5.21978E-18
2.12143E-02 4.97061E-18
2.18476E-02 4.73608E-18
2.24900E-02 4.51516E-18
2.31415E-02 4.30693E-18
2.38021E-02 4.11056E-18
2.44717E-02 3.92526E-18
2.51504E-02 3.75033E-18
2.58382E-02 3.58509E-18
2.65349E-02 3.42890E-18
2.72407E-02 3.28118E-18
2.79555E-02 3.14134E-18
2.86793E-02 3.00889E-18
2.94120E-02 2.88333E-18
3.01537E-02 2.76427E-18
3.09043E-02 2.65130E-18
3.16639E-02 2.54409E-18
3.24324E-02 2.44230E-18
3.32098E-02 2.34562E-18
3.39961E-02 2.25375E-18
3.47912E-02 2.16639E-18
3.55952E-02 2.08326E-18
3.64081E-02 2.00411E-18
3.72297E-02 1.92869E-18
3.80602E-02 1.85679E-18
3.88995E-02 1.78824E-18
3.97476E-02 1.72285E-18
4.06044E-02 1.66048E-18
4.14700E-02 1.60095E-18
4.23443E-02 1.54413E-18
4.32273E-02 1.48985E-18
4.41190E-02 1.43797E-18
4.50194E-02 1.38834E-18
4.59284E-02 1.34085E-18
4.68461E-02 1.29539E-18
4.87074E-02 1.21015E-18
5.06030E-02 1.13195E-18
5.25328E-02 1.06013E-18
5.44967E-02 9.94006E-19
5.64946E-02 9.32992E-19
5.85262E-02 8.76623E-19
6.05914E-02 8.24535E-19
6.26901E-02 7.76371E-19
6.48222E-02 7.31754E-19
6.69873E-02 6.90330E-19
6.91854E-02 6.51829E-19
7.14163E-02 6.16046E-19
7.36799E-02 5.82775E-19
7.59760E-02 5.51783E-19
7.83043E-02 5.22848E-19
8.06647E-02 4.95802E-19
8.30571E-02 4.70528E-19
8.54812E-02 4.46910E-19
8.79369E-02 4.24807E-19
9.04240E-02 4.04076E-19
9.29422E-02 3.84608E-19
9.54915E-02 3.66327E-19
9.80716E-02 3.49164E-19
1.00682E-01 3.33034E-19
1.03323E-01 3.17844E-19
1.05995E-01 3.03519E-19
1.08696E-01 2.90012E-19
1.11427E-01 2.77282E-19
1.14188E-01 2.65276E-19
1.16978E-01 2.53930E-19
1.19797E-01 2.43191E-19
1.22645E-01 2.33023E-19
1.25522E-01 2.23403E-19
1.28428E-01 2.14300E-19
1.31361E-01 2.05673E-19
1.34323E-01 1.97483E-19
1.37313E-01 1.89703E-19
1.40330E-01 1.82318E-19
1.43375E-01 1.75309E-19
1.46447E-01 1.68650E-19
1.49545E-01 1.62311E-19
1.52671E-01 1.56273E-19
1.55823E-01 1.50523E-19
1.59001E-01 1.45049E-19
1.62205E-01 1.39837E-19
1.65435E-01 1.34865E-19
1.68690E-01 1.30117E-19
1.71970E-01 1.25583E-19
1.75276E-01 1.21256E-19
1.78606E-01 1.17127E-19
1.81961E-01 1.13181E-19
1.85340E-01 1.09404E-19
1.88743E-01 1.05788E-19
1.92169E-01 1.02328E-19
1.95619E-01 9.90175E-20
1.99092E-01 9.58493E-20
2.02589E-01 9.28129E-20
2.06107E-01 8.99003E-20
2.09649E-01 8.71067E-20
2.13212E-01 8.44283E-20
2.16797E-01 8.18599E-20
2.20404E-01 7.93945E-20
2.24032E-01 7.70254E-20
2.27680E-01 7.47480E-20
2.31350E-01 7.25595E-20
2.35040E-01 7.04567E-20
2.38751E-01 6.84353E-20
2.42481E-01 6.64905E-20
2.46231E-01 6.46184E-20
2.50000E-01 6.28163E-20
2.53788E-01 6.10816E-20
2.57595E-01 5.94113E-20
2.61421E-01 5.78021E-20
2.65264E-01 5.62509E-20
2.69126E-01 5.47550E-20
2.73005E-01 5.33121E-20
2.76901E-01 5.19201E-20
2.80814E-01 5.05777E-20
2.84744E-01 4.92826E-20
2.88691E-01 4.80321E-20
2.92653E-01 4.68236E-20
2.96632E-01 4.56560E-20
3.00625E-01 4.45287E-20
3.04634E-01 4.34398E-20
3.08658E-01 4.23867E-20
3.12697E-01 4.13679E-20
3.16749E-01 4.03827E-20
3.20816E-01 3.94296E-20
3.24896E-01 3.85071E-20
3.28990E-01 3.76144E-20
3.33097E-01 3.67508E-20
3.37216E-01 3.59139E-20
3.41348E-01 3.51030E-20
3.45492E-01 3.43180E-20
3.49647E-01 3.35574E-20
3.53814E-01 3.28198E-20
3.57992E-01 3.21050E-20
3.62181E-01 3.14120E-20
3.66381E-01 3.07392E-20
3.70590E-01 3.00869E-20
3.74810E-01 2.94542E-20
3.79039E-01 2.88397E-20
3.83277E-01 2.82438E-20
3.87524E-01 2.76652E-20
3.91780E-01 2.71030E-20
3.96044E-01 2.65575E-20
4.00316E-01 2.60273E-20
4.04596E-01 2.55121E-20
4.08882E-01 2.50117E-20
4.13176E-01 2.45248E-20
4.17476E-01 2.40520E-20
4.21783E-01 2.35919E-20
4.26095E-01 2.31445E-20
4.30413E-01 2.27096E-20
4.34737E-01 2.22861E-20
4.39065E-01 2.18746E-20
4.43398E-01 2.14736E-20
4.47736E-01 2.10839E-20
4.52077E-01 2.07042E-20
4.56422E-01 2.03346E-20
4.60770E-01 1.99745E-20
4.65122E-01 1.96237E-20
4.69476E-01 1.92822E-20
4.73832E-01 1.89493E-20
4.78190E-01 1.86252E-20
4.82550E-01 1.83091E-20
4.86912E-01 1.80012E-20
4.91274E-01 1.77009E-20
4.95637E-01 1.74083E-20
5.00000E-01 1.71227E-20
5.04363E-01 1.68445E-20
5.08726E-01 1.65730E-20
5.13088E-01 1.63081E-20
5.17450E-01 1.60497E-20
5.21810E-01 1.57973E-20
5.26168E-01 1.55513E-20
5.30524E-01 1.53109E-20
5.34878E-01 1.50766E-20
5.39230E-01 1.48476E-20
5.43578E-01 1.46242E-20
5.47923E-01 1.44060E-20
5.52264E-01 1.41927E-20
5.56602E-01 1.39846E-20
5.60935E-01 1.37810E-20
5.65263E-01 1.35822E-20
5.69587E-01 1.33881E-20
5.73905E-01 1.31982E-20
5.78217E-01 1.30128E-20
5.82524E-01 1.28315E-20
5.86824E-01 1.26542E-20
5.91118E-01 1.24810E-20
5.95404E-01 1.23116E-20
5.99684E-01 1.21459E-20
6.03956E-01 1.19840E-20
6.08220E-01 1.18256E-20
6.12476E-01 1.16705E-20
6.16723E-01 1.15188E-20
6.20961E-01 1.13705E-20
6.25190E-01 1.12252E-20
6.29410E-01 1.10832E-20
6.33619E-01 1.09443E-20
6.37819E-01 1.08083E-20
6.42008E-01 1.06751E-20
6.46186E-01 1.05448E-20
6.50353E-01 1.04173E-20
6.54508E-01 1.02923E-20
6.58652E-01 1.01699E-20
6.62784E-01 1.00500E-20
6.66903E-01 9.93270E-21
6.71010E-01 9.81784E-21
6.75104E-01 9.70530E-21
6.79184E-01 9.59504E-21
6.83251E-01 9.48705E-21
6.87303E-01 9.38132E-21
6.91342E-01 9.27776E-21
6.95366E-01 9.17626E-21
6.99375E-01 9.07675E-21
7.03368E-01 8.97921E-21
7.07347E-01 8.88363E-21
7.11309E-01 8.78996E-21
7.15256E-01 8.69818E-21
7.19186E-01 8.60822E-21
7.23099E-01 8.52004E-21
7.26995E-01 8.43360E-21
7.30874E-01 8.34885E-21
7.34736E-01 8.26576E-21
7.38579E-01 8.18430E-21
7.42405E-01 8.10442E-21
7.46212E-01 8.02608E-21
7.50000E-01 7.94925E-21
7.53769E-01 7.87390E-21
7.57519E-01 7.80000E-21
7.61249E-01 7.72752E-21
7.64960E-01 7.65646E-21
7.68650E-01 7.58677E-21
7.72320E-01 7.51844E-21
7.75968E-01 7.45143E-21
7.79596E-01 7.38571E-21
7.83203E-01 7.32123E-21
7.86788E-01 7.25798E-21
7.90351E-01 7.19591E-21
7.93893E-01 7.13500E-21
7.97411E-01 7.07523E-21
8.00908E-01 7.01660E-21
8.04381E-01 6.95909E-21
8.07831E-01 6.90267E-21
8.11257E-01 6.84733E-21
8.14660E-01 6.79305E-21
8.18039E-01 6.73978E-21
8.21394E-01 6.68753E-21
8.24724E-01 6.63626E-21
8.28030E-01 6.58597E-21
8.31310E-01 6.53662E-21
8.34565E-01 6.48819E-21
8.37795E-01 6.44065E-21
8.40999E-01 6.39398E-21
8.44177E-01 6.34820E-21
8.47329E-01 6.30332E-21
8.50455E-01 6.25933E-21
8.53553E-01 6.21619E-21
8.56625E-01 6.17382E-21
8.59670E-01 6.13223E-21
8.62687E-01 6.09145E-21
8.65677E-01 6.05148E-21
8.68639E-01 6.01222E-21
8.71572E-01 5.97367E-21
8.74478E-01 5.93587E-21
8.77355E-01 5.89887E-21
8.80203E-01 5.86256E-21
8.83022E-01 5.82691E-21
8.85812E-01 5.79202E-21
8.88573E-01 5.75785E-21
8.91304E-01 5.72426E-21
8.94005E-01 5.69135E-21
8.96677E-01 5.65912E-21
8.99318E-01 5.62745E-21
9.01928E-01 5.59641E-21
9.04508E-01 5.56604E-21
9.07058E-01 5.53620E-21
9.09576E-01 5.50701E-21
9.12063E-01 5.47846E-21
9.14519E-01 5.45042E-21
9.16943E-01 5.42304E-21
9.19335E-01 5.39617E-21
9.21696E-01 5.36985E-21
9.24024E-01 5.34411E-21
9.26320E-01 5.31882E-21
9.28584E-01 5.29414E-21
9.30815E-01 5.26989E-21
9.33013E-01 5.24624E-21
9.35178E-01 5.22305E-21
9.37310E-01 5.20042E-21
9.39409E-01 5.17829E-21
9.41474E-01 5.15666E-21
9.43505E-01 5.13552E-21
9.45503E-01 5.11486E-21
9.47467E-01 5.09465E-21
9.49397E-01 5.07491E-21
9.51293E-01 5.05559E-21
9.53154E-01 5.03677E-21
9.54981E-01 5.01833E-21
9.56773E-01 5.00043E-21
9.58530E-01 4.98289E-21
9.60252E-01 4.96589E-21
9.61940E-01 4.94928E-21
9.63592E-01 4.93311E-21
9.65209E-01 4.91741E-21
9.66790E-01 4.90204E-21
9.68336E-01 4.88714E-21
9.69846E-01 4.87261E-21
9.71321E-01 4.85844E-21
9.72759E-01 4.84474E-21
9.74162E-01 4.83139E-21
9.75528E-01 4.81843E-21
9.76858E-01 4.80595E-21
9.78152E-01 4.79383E-21
9.79410E-01 4.78209E-21
9.80631E-01 4.77078E-21
9.81815E-01 4.75984E-21
9.82963E-01 4.74921E-21
9.84074E-01 4.73896E-21
9.85148E-01 4.72911E-21
9.86185E-01 4.71958E-21
9.87185E-01 4.71039E-21
9.88148E-01 4.70160E-21
9.89074E-01 4.69322E-21
9.89962E-01 4.68520E-21
9.90814E-01 4.67752E-21
9.91627E-01 4.67021E-21
9.92404E-01 4.66328E-21
9.93143E-01 4.65670E-21
9.93844E-01 4.65043E-21
9.94508E-01 4.64448E-21
9.95134E-01 4.63884E-21
9.95722E-01 4.63354E-21
9.96273E-01 4.62861E-21
9.96786E-01 4.62405E-21
9.97261E-01 4.61987E-21
9.97698E-01 4.61604E-21
9.98097E-01 4.61257E-21
9.98459E-01 4.60944E-21
9.98782E-01 4.60662E-21
9.99067E-01 4.60412E-21
9.99315E-01 4.60192E-21
9.99524E-01 4.60002E-21
9.99695E-01 4.59843E-21
9.99829E-01 4.59715E-21
9.99924E-01 4.59622E-21
9.99981E-01 4.59562E-21
1.00000E+00 4.59426E-21
