 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Ar,  Z =  18,  atomic weight = 3.99480E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.65776E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 18
 #
 # Electron density: Read from file Data/z_018.d
 #                   Number of data points =  677
 #                   Volume integral = 1.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.95960E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.64100E-24 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 4.02393E-17 cm**2 = 1.43697E+00 a0**2
 # 1st transport cross section = 9.94864E-19 cm**2 = 3.55272E-02 a0**2
 # 2nd transport cross section = 2.28702E-18 cm**2 = 8.16708E-02 a0**2
 #
 #    Absorption cross section = 1.28930E-17 cm**2 = 4.60417E-01 a0**2
 #   Grand total cross section = 5.31360E-17 cm**2 = 1.89752E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.15344E-15
7.61557E-13 1.15344E-15
1.18994E-12 1.15344E-15
1.71346E-12 1.15344E-15
2.33225E-12 1.15344E-15
3.04617E-12 1.15344E-15
3.85530E-12 1.15344E-15
4.75964E-12 1.15344E-15
5.75917E-12 1.15344E-15
6.85391E-12 1.15344E-15
8.04379E-12 1.15344E-15
9.32893E-12 1.15344E-15
1.07092E-11 1.15344E-15
1.21847E-11 1.15344E-15
1.37554E-11 1.15344E-15
1.54213E-11 1.15344E-15
1.71823E-11 1.15344E-15
1.90386E-11 1.15344E-15
2.09900E-11 1.15344E-15
2.30367E-11 1.15344E-15
2.51785E-11 1.15344E-15
2.74156E-11 1.15344E-15
2.97478E-11 1.15344E-15
3.21752E-11 1.15344E-15
3.46979E-11 1.15344E-15
3.73157E-11 1.15344E-15
4.00286E-11 1.15344E-15
4.28368E-11 1.15344E-15
4.57402E-11 1.15344E-15
4.87388E-11 1.15344E-15
5.18325E-11 1.15344E-15
5.50215E-11 1.15344E-15
5.83057E-11 1.15344E-15
6.16850E-11 1.15344E-15
6.51595E-11 1.15344E-15
6.87293E-11 1.15344E-15
7.23943E-11 1.15344E-15
7.61544E-11 1.15344E-15
1.18991E-10 1.15344E-15
1.71347E-10 1.15345E-15
2.33223E-10 1.15345E-15
3.04617E-10 1.15345E-15
3.85531E-10 1.15346E-15
4.75965E-10 1.15346E-15
5.75917E-10 1.15346E-15
6.85389E-10 1.15347E-15
8.04380E-10 1.15347E-15
9.32891E-10 1.15348E-15
1.07092E-09 1.15349E-15
1.21847E-09 1.15349E-15
1.37554E-09 1.15350E-15
1.54213E-09 1.15351E-15
1.71823E-09 1.15351E-15
1.90386E-09 1.15352E-15
2.09900E-09 1.15353E-15
2.30367E-09 1.15354E-15
2.51785E-09 1.15355E-15
2.74156E-09 1.15356E-15
2.97478E-09 1.15357E-15
3.21752E-09 1.15358E-15
3.46978E-09 1.15359E-15
3.73156E-09 1.15360E-15
4.00286E-09 1.15361E-15
4.28368E-09 1.15362E-15
4.57402E-09 1.15364E-15
4.87388E-09 1.15365E-15
5.18326E-09 1.15366E-15
5.50215E-09 1.15368E-15
5.83057E-09 1.15369E-15
6.16850E-09 1.15370E-15
6.51596E-09 1.15372E-15
6.87293E-09 1.15373E-15
7.23942E-09 1.15375E-15
7.61544E-09 1.15377E-15
1.18991E-08 1.15395E-15
1.71347E-08 1.15417E-15
2.33223E-08 1.15444E-15
3.04617E-08 1.15474E-15
3.85531E-08 1.15509E-15
4.75965E-08 1.15547E-15
5.75917E-08 1.15590E-15
6.85389E-08 1.15636E-15
8.04380E-08 1.15687E-15
9.32891E-08 1.15741E-15
1.07092E-07 1.15799E-15
1.21847E-07 1.15861E-15
1.37554E-07 1.15927E-15
1.54213E-07 1.15996E-15
1.71823E-07 1.16070E-15
1.90386E-07 1.16146E-15
2.09900E-07 1.16227E-15
2.30367E-07 1.16311E-15
2.51785E-07 1.16399E-15
2.74156E-07 1.16490E-15
2.97478E-07 1.16585E-15
3.21752E-07 1.16683E-15
3.46978E-07 1.16784E-15
3.73156E-07 1.16889E-15
4.00286E-07 1.16996E-15
4.28368E-07 1.17107E-15
4.57402E-07 1.17222E-15
4.87388E-07 1.17339E-15
5.18325E-07 1.17459E-15
5.50215E-07 1.17582E-15
5.83057E-07 1.17708E-15
6.16850E-07 1.17837E-15
6.51596E-07 1.17968E-15
6.87293E-07 1.18102E-15
7.23942E-07 1.18239E-15
7.61543E-07 1.18378E-15
1.18991E-06 1.19891E-15
1.71347E-06 1.21573E-15
2.33223E-06 1.23347E-15
3.04617E-06 1.25144E-15
3.85531E-06 1.26905E-15
4.75964E-06 1.28588E-15
5.75916E-06 1.30165E-15
6.85388E-06 1.31626E-15
8.04378E-06 1.32976E-15
9.32888E-06 1.34225E-15
1.07092E-05 1.35391E-15
1.21846E-05 1.36490E-15
1.37553E-05 1.37537E-15
1.54212E-05 1.38540E-15
1.71822E-05 1.39502E-15
1.90385E-05 1.40421E-15
2.09899E-05 1.41293E-15
2.30365E-05 1.42109E-15
2.51783E-05 1.42866E-15
2.74153E-05 1.43559E-15
2.97475E-05 1.44189E-15
3.21749E-05 1.44758E-15
3.46974E-05 1.45270E-15
3.73152E-05 1.45733E-15
4.00281E-05 1.46150E-15
4.28362E-05 1.46528E-15
4.57395E-05 1.46868E-15
4.87380E-05 1.47173E-15
5.18317E-05 1.47439E-15
5.50205E-05 1.47668E-15
5.83045E-05 1.47855E-15
6.16838E-05 1.48000E-15
6.51582E-05 1.48103E-15
6.87277E-05 1.48164E-15
7.23925E-05 1.48187E-15
7.61524E-05 1.48173E-15
9.21439E-05 1.47819E-15
