 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Ar,  Z =  18,  atomic weight = 3.99480E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.65776E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 18
 #
 # Electron density: Read from file Data/z_018.d
 #                   Number of data points =  677
 #                   Volume integral = 1.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.15500E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.64100E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 2.80178E-17 cm**2 = 1.00053E+00 a0**2
 # 1st transport cross section = 5.49355E-19 cm**2 = 1.96178E-02 a0**2
 # 2nd transport cross section = 1.25586E-18 cm**2 = 4.48475E-02 a0**2
 #
 #    Absorption cross section = 6.84281E-18 cm**2 = 2.44361E-01 a0**2
 #   Grand total cross section = 3.48641E-17 cm**2 = 1.24502E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.56648E-15
7.61557E-13 2.56648E-15
1.18994E-12 2.56648E-15
1.71346E-12 2.56648E-15
2.33225E-12 2.56648E-15
3.04617E-12 2.56648E-15
3.85530E-12 2.56648E-15
4.75964E-12 2.56648E-15
5.75917E-12 2.56648E-15
6.85391E-12 2.56648E-15
8.04379E-12 2.56648E-15
9.32893E-12 2.56648E-15
1.07092E-11 2.56648E-15
1.21847E-11 2.56648E-15
1.37554E-11 2.56648E-15
1.54213E-11 2.56648E-15
1.71823E-11 2.56648E-15
1.90386E-11 2.56648E-15
2.09900E-11 2.56648E-15
2.30367E-11 2.56648E-15
2.51785E-11 2.56648E-15
2.74156E-11 2.56648E-15
2.97478E-11 2.56648E-15
3.21752E-11 2.56648E-15
3.46979E-11 2.56648E-15
3.73157E-11 2.56648E-15
4.00286E-11 2.56648E-15
4.28368E-11 2.56647E-15
4.57402E-11 2.56647E-15
4.87388E-11 2.56647E-15
5.18325E-11 2.56647E-15
5.50215E-11 2.56647E-15
5.83057E-11 2.56647E-15
6.16850E-11 2.56647E-15
6.51595E-11 2.56647E-15
6.87293E-11 2.56647E-15
7.23943E-11 2.56647E-15
7.61544E-11 2.56647E-15
1.18991E-10 2.56646E-15
1.71347E-10 2.56646E-15
2.33223E-10 2.56645E-15
3.04617E-10 2.56644E-15
3.85531E-10 2.56643E-15
4.75965E-10 2.56642E-15
5.75917E-10 2.56641E-15
6.85389E-10 2.56639E-15
8.04380E-10 2.56638E-15
9.32891E-10 2.56636E-15
1.07092E-09 2.56634E-15
1.21847E-09 2.56632E-15
1.37554E-09 2.56630E-15
1.54213E-09 2.56628E-15
1.71823E-09 2.56626E-15
1.90386E-09 2.56623E-15
2.09900E-09 2.56621E-15
2.30367E-09 2.56618E-15
2.51785E-09 2.56616E-15
2.74156E-09 2.56613E-15
2.97478E-09 2.56610E-15
3.21752E-09 2.56606E-15
3.46978E-09 2.56603E-15
3.73156E-09 2.56600E-15
4.00286E-09 2.56596E-15
4.28368E-09 2.56593E-15
4.57402E-09 2.56589E-15
4.87388E-09 2.56585E-15
5.18326E-09 2.56581E-15
5.50215E-09 2.56577E-15
5.83057E-09 2.56573E-15
6.16850E-09 2.56568E-15
6.51596E-09 2.56564E-15
6.87293E-09 2.56559E-15
7.23942E-09 2.56555E-15
7.61544E-09 2.56550E-15
1.18991E-08 2.56495E-15
1.71347E-08 2.56427E-15
2.33223E-08 2.56348E-15
3.04617E-08 2.56257E-15
3.85531E-08 2.56154E-15
4.75965E-08 2.56039E-15
5.75917E-08 2.55913E-15
6.85389E-08 2.55775E-15
8.04380E-08 2.55626E-15
9.32891E-08 2.55466E-15
1.07092E-07 2.55295E-15
1.21847E-07 2.55113E-15
1.37554E-07 2.54921E-15
1.54213E-07 2.54718E-15
1.71823E-07 2.54506E-15
1.90386E-07 2.54283E-15
2.09900E-07 2.54051E-15
2.30367E-07 2.53810E-15
2.51785E-07 2.53559E-15
2.74156E-07 2.53300E-15
2.97478E-07 2.53032E-15
3.21752E-07 2.52756E-15
3.46978E-07 2.52473E-15
3.73156E-07 2.52181E-15
4.00286E-07 2.51882E-15
4.28368E-07 2.51576E-15
4.57402E-07 2.51264E-15
4.87388E-07 2.50945E-15
5.18325E-07 2.50619E-15
5.50215E-07 2.50288E-15
5.83057E-07 2.49952E-15
6.16850E-07 2.49610E-15
6.51596E-07 2.49264E-15
6.87293E-07 2.48913E-15
7.23942E-07 2.48558E-15
7.61543E-07 2.48198E-15
1.18991E-06 2.44457E-15
1.71347E-06 2.40633E-15
2.33223E-06 2.36939E-15
3.04617E-06 2.33500E-15
3.85531E-06 2.30359E-15
4.75964E-06 2.27491E-15
5.75916E-06 2.24839E-15
6.85388E-06 2.22335E-15
8.04378E-06 2.19927E-15
9.32888E-06 2.17590E-15
1.07092E-05 2.15318E-15
1.21846E-05 2.13125E-15
1.37553E-05 2.11025E-15
1.54212E-05 2.09027E-15
1.71822E-05 2.07129E-15
1.90385E-05 2.05316E-15
2.09899E-05 2.03570E-15
2.30365E-05 2.01872E-15
2.51783E-05 2.00210E-15
2.74153E-05 1.98577E-15
2.97475E-05 1.96978E-15
3.21749E-05 1.95415E-15
3.46974E-05 1.93894E-15
3.73152E-05 1.92414E-15
4.00281E-05 1.90969E-15
4.28362E-05 1.89552E-15
4.57395E-05 1.88153E-15
4.87380E-05 1.86766E-15
5.18317E-05 1.85388E-15
5.50205E-05 1.84020E-15
5.83045E-05 1.82664E-15
6.16838E-05 1.81322E-15
6.51582E-05 1.79996E-15
6.87277E-05 1.78682E-15
7.23925E-05 1.77378E-15
7.61524E-05 1.76078E-15
9.21439E-05 1.70882E-15
1.09658E-04 1.65723E-15
1.28695E-04 1.60558E-15
