 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element:  K,  Z =  19,  atomic weight = 3.90983E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.63164E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 19
 #
 # Electron density: Read from file Data/z_019.d
 #                   Number of data points =  857
 #                   Volume integral = 1.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.34000E-23 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 1.02616E-16 cm**2 = 3.66448E+00 a0**2
 # 1st transport cross section = 4.05013E-18 cm**2 = 1.44633E-01 a0**2
 # 2nd transport cross section = 8.80203E-18 cm**2 = 3.14326E-01 a0**2
 #
 #    Absorption cross section = 9.29527E-17 cm**2 = 3.31940E+00 a0**2
 #   Grand total cross section = 1.95582E-16 cm**2 = 6.98437E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.61495E-15
7.61557E-13 2.61495E-15
1.18994E-12 2.61495E-15
1.71346E-12 2.61495E-15
2.33225E-12 2.61495E-15
3.04617E-12 2.61495E-15
3.85530E-12 2.61495E-15
4.75964E-12 2.61495E-15
5.75917E-12 2.61495E-15
6.85391E-12 2.61495E-15
8.04379E-12 2.61495E-15
9.32893E-12 2.61495E-15
1.07092E-11 2.61494E-15
1.21847E-11 2.61494E-15
1.37554E-11 2.61494E-15
1.54213E-11 2.61494E-15
1.71823E-11 2.61494E-15
1.90386E-11 2.61494E-15
2.09900E-11 2.61494E-15
2.30367E-11 2.61494E-15
2.51785E-11 2.61494E-15
2.74156E-11 2.61494E-15
2.97478E-11 2.61494E-15
3.21752E-11 2.61494E-15
3.46979E-11 2.61494E-15
3.73157E-11 2.61493E-15
4.00286E-11 2.61493E-15
4.28368E-11 2.61493E-15
4.57402E-11 2.61493E-15
4.87388E-11 2.61493E-15
5.18325E-11 2.61493E-15
5.50215E-11 2.61493E-15
5.83057E-11 2.61493E-15
6.16850E-11 2.61493E-15
6.51595E-11 2.61492E-15
6.87293E-11 2.61492E-15
7.23943E-11 2.61492E-15
7.61544E-11 2.61492E-15
1.18991E-10 2.61490E-15
1.71347E-10 2.61488E-15
2.33223E-10 2.61486E-15
3.04617E-10 2.61483E-15
3.85531E-10 2.61480E-15
4.75965E-10 2.61477E-15
5.75917E-10 2.61473E-15
6.85389E-10 2.61469E-15
8.04380E-10 2.61465E-15
9.32891E-10 2.61460E-15
1.07092E-09 2.61455E-15
1.21847E-09 2.61449E-15
1.37554E-09 2.61443E-15
1.54213E-09 2.61437E-15
1.71823E-09 2.61431E-15
1.90386E-09 2.61424E-15
2.09900E-09 2.61416E-15
2.30367E-09 2.61409E-15
2.51785E-09 2.61401E-15
2.74156E-09 2.61392E-15
2.97478E-09 2.61384E-15
3.21752E-09 2.61375E-15
3.46978E-09 2.61365E-15
3.73156E-09 2.61355E-15
4.00286E-09 2.61345E-15
4.28368E-09 2.61335E-15
4.57402E-09 2.61324E-15
4.87388E-09 2.61313E-15
5.18326E-09 2.61301E-15
5.50215E-09 2.61289E-15
5.83057E-09 2.61277E-15
6.16850E-09 2.61264E-15
6.51596E-09 2.61251E-15
6.87293E-09 2.61238E-15
7.23942E-09 2.61224E-15
7.61544E-09 2.61210E-15
1.18991E-08 2.61050E-15
1.71347E-08 2.60855E-15
2.33223E-08 2.60624E-15
3.04617E-08 2.60358E-15
3.85531E-08 2.60058E-15
4.75965E-08 2.59722E-15
5.75917E-08 2.59352E-15
6.85389E-08 2.58947E-15
8.04380E-08 2.58508E-15
9.32891E-08 2.58035E-15
1.07092E-07 2.57528E-15
1.21847E-07 2.56988E-15
1.37554E-07 2.56414E-15
1.54213E-07 2.55808E-15
1.71823E-07 2.55169E-15
1.90386E-07 2.54498E-15
2.09900E-07 2.53795E-15
2.30367E-07 2.53061E-15
2.51785E-07 2.52295E-15
2.74156E-07 2.51499E-15
2.97478E-07 2.50672E-15
3.21752E-07 2.49816E-15
3.46978E-07 2.48930E-15
3.73156E-07 2.48016E-15
4.00286E-07 2.47073E-15
4.28368E-07 2.46102E-15
4.57402E-07 2.45103E-15
4.87388E-07 2.44078E-15
5.18325E-07 2.43027E-15
5.50215E-07 2.41949E-15
5.83057E-07 2.40846E-15
6.16850E-07 2.39719E-15
6.51596E-07 2.38568E-15
6.87293E-07 2.37393E-15
7.23942E-07 2.36195E-15
7.61543E-07 2.34975E-15
1.18991E-06 2.21689E-15
1.71347E-06 2.06911E-15
2.33223E-06 1.91352E-15
3.04617E-06 1.75724E-15
3.85531E-06 1.60699E-15
4.75964E-06 1.46868E-15
5.75916E-06 1.34717E-15
6.85388E-06 1.24606E-15
8.04378E-06 1.16761E-15
9.32888E-06 1.11281E-15
1.07092E-05 1.08142E-15
1.21846E-05 1.07224E-15
1.37553E-05 1.08325E-15
1.54212E-05 1.11193E-15
1.71822E-05 1.15544E-15
1.90385E-05 1.21089E-15
2.09899E-05 1.27547E-15
2.30365E-05 1.34666E-15
2.51783E-05 1.42225E-15
2.74153E-05 1.50048E-15
2.97475E-05 1.57994E-15
3.21749E-05 1.65967E-15
3.46974E-05 1.73901E-15
3.73152E-05 1.81760E-15
4.00281E-05 1.89532E-15
4.28362E-05 1.97216E-15
4.57395E-05 2.04821E-15
4.87380E-05 2.12360E-15
5.18317E-05 2.19841E-15
5.50205E-05 2.27269E-15
5.83045E-05 2.34638E-15
6.16838E-05 2.41935E-15
6.51582E-05 2.49135E-15
6.87277E-05 2.56206E-15
7.23925E-05 2.63108E-15
7.61524E-05 2.69797E-15
9.21439E-05 2.93526E-15
1.09658E-04 3.10935E-15
1.28695E-04 3.21930E-15
1.49255E-04 3.28255E-15
1.71338E-04 3.31719E-15
1.94942E-04 3.32907E-15
2.20070E-04 3.31376E-15
2.46720E-04 3.26765E-15
2.74892E-04 3.19581E-15
3.04586E-04 3.10954E-15
3.35803E-04 3.01824E-15
3.68542E-04 2.92424E-15
4.02802E-04 2.82490E-15
4.38585E-04 2.71844E-15
4.75889E-04 2.60746E-15
5.14715E-04 2.49732E-15
5.55063E-04 2.39181E-15
5.96931E-04 2.29097E-15
6.40321E-04 2.19249E-15
6.85233E-04 2.09499E-15
7.31665E-04 1.99958E-15
7.79618E-04 1.90871E-15
8.29092E-04 1.82377E-15
8.80086E-04 1.74403E-15
9.32601E-04 1.66773E-15
9.86636E-04 1.59384E-15
1.04219E-03 1.52292E-15
1.09927E-03 1.45619E-15
1.15786E-03 1.39414E-15
1.21797E-03 1.33602E-15
1.27961E-03 1.28059E-15
1.34276E-03 1.22721E-15
1.40743E-03 1.17624E-15
1.47362E-03 1.12838E-15
1.54133E-03 1.08379E-15
1.61056E-03 1.04187E-15
1.68131E-03 1.00180E-15
1.75357E-03 9.63223E-16
1.82735E-03 9.26415E-16
1.90265E-03 8.91812E-16
1.97947E-03 8.59447E-16
2.05780E-03 8.28858E-16
2.13765E-03 7.99495E-16
2.21902E-03 7.71173E-16
2.30190E-03 7.44115E-16
2.38630E-03 7.18603E-16
2.47222E-03 6.94611E-16
2.55965E-03 6.71785E-16
2.64859E-03 6.49754E-16
2.73905E-03 6.28426E-16
2.83103E-03 6.07987E-16
2.92452E-03 5.88622E-16
3.01952E-03 5.70281E-16
3.11604E-03 5.52696E-16
3.21407E-03 5.35618E-16
3.31362E-03 5.19017E-16
3.41468E-03 5.03048E-16
3.51725E-03 4.87838E-16
3.62133E-03 4.73332E-16
3.72692E-03 4.59329E-16
3.83403E-03 4.45666E-16
3.94265E-03 4.32350E-16
4.05278E-03 4.19510E-16
4.16442E-03 4.07237E-16
4.27757E-03 3.95475E-16
4.39223E-03 3.84074E-16
4.50840E-03 3.72928E-16
4.62608E-03 3.62062E-16
4.74527E-03 3.51583E-16
4.86597E-03 3.41549E-16
4.98817E-03 3.31906E-16
5.11188E-03 3.22540E-16
5.23711E-03 3.13381E-16
5.36383E-03 3.04461E-16
5.49207E-03 2.95862E-16
5.62181E-03 2.87619E-16
5.75306E-03 2.79681E-16
5.88581E-03 2.71956E-16
6.02007E-03 2.64402E-16
6.15583E-03 2.57048E-16
6.29310E-03 2.49958E-16
6.43187E-03 2.43150E-16
6.57214E-03 2.36576E-16
6.71392E-03 2.30167E-16
6.85720E-03 2.23894E-16
7.00198E-03 2.17789E-16
7.14827E-03 2.11899E-16
7.29605E-03 2.06231E-16
7.44534E-03 2.00743E-16
7.59612E-03 1.95385E-16
7.97965E-03 1.82552E-16
8.37255E-03 1.70767E-16
8.77480E-03 1.59723E-16
9.18641E-03 1.49514E-16
9.60736E-03 1.40048E-16
1.00376E-02 1.31221E-16
1.04773E-02 1.23108E-16
1.09262E-02 1.15511E-16
1.13844E-02 1.08524E-16
1.18520E-02 1.01998E-16
1.23288E-02 9.59443E-17
1.28150E-02 9.03239E-17
1.33104E-02 8.50638E-17
1.38150E-02 8.01982E-17
1.43290E-02 7.56325E-17
1.48521E-02 7.14034E-17
1.53845E-02 6.74517E-17
1.59262E-02 6.37729E-17
1.64770E-02 6.03543E-17
1.70371E-02 5.71568E-17
1.76063E-02 5.41886E-17
1.81848E-02 5.14071E-17
1.87724E-02 4.88142E-17
1.93692E-02 4.63849E-17
1.99751E-02 4.41081E-17
2.05901E-02 4.19751E-17
2.12143E-02 3.99709E-17
2.18476E-02 3.80913E-17
2.24900E-02 3.63261E-17
2.31415E-02 3.46685E-17
2.38021E-02 3.31117E-17
2.44717E-02 3.16496E-17
2.51504E-02 3.02722E-17
2.58382E-02 2.89786E-17
2.65349E-02 2.77549E-17
2.72407E-02 2.66026E-17
2.79555E-02 2.55115E-17
2.86793E-02 2.44778E-17
2.94120E-02 2.35020E-17
3.01537E-02 2.25719E-17
3.09043E-02 2.16961E-17
3.16639E-02 2.08605E-17
3.24324E-02 2.00710E-17
3.32098E-02 1.93218E-17
3.39961E-02 1.86075E-17
3.47912E-02 1.79338E-17
3.55952E-02 1.72863E-17
3.64081E-02 1.66752E-17
3.72297E-02 1.60882E-17
3.80602E-02 1.55288E-17
3.88995E-02 1.49962E-17
3.97476E-02 1.44824E-17
4.06044E-02 1.39968E-17
4.14700E-02 1.35267E-17
4.23443E-02 1.30812E-17
4.32273E-02 1.26532E-17
4.41190E-02 1.22424E-17
4.50194E-02 1.18524E-17
4.59284E-02 1.14738E-17
4.68461E-02 1.11151E-17
4.87074E-02 1.04341E-17
5.06030E-02 9.80457E-18
5.25328E-02 9.22259E-18
5.44967E-02 8.68417E-18
5.64946E-02 8.18482E-18
5.85262E-02 7.72046E-18
6.05914E-02 7.28809E-18
6.26901E-02 6.88555E-18
6.48222E-02 6.51062E-18
6.69873E-02 6.16070E-18
6.91854E-02 5.83332E-18
7.14163E-02 5.52687E-18
7.36799E-02 5.24044E-18
7.59760E-02 4.97300E-18
7.83043E-02 4.72270E-18
8.06647E-02 4.48734E-18
8.30571E-02 4.26547E-18
8.54812E-02 4.05683E-18
8.79369E-02 3.86155E-18
9.04240E-02 3.67894E-18
9.29422E-02 3.50725E-18
9.54915E-02 3.34469E-18
9.80716E-02 3.19061E-18
1.00682E-01 3.04544E-18
1.03323E-01 2.90940E-18
1.05995E-01 2.78169E-18
1.08696E-01 2.66082E-18
1.11427E-01 2.54590E-18
1.14188E-01 2.43700E-18
1.16978E-01 2.33441E-18
1.19797E-01 2.23775E-18
1.22645E-01 2.14610E-18
1.25522E-01 2.05889E-18
1.28428E-01 1.97623E-18
1.31361E-01 1.89828E-18
1.34323E-01 1.82453E-18
1.37313E-01 1.75414E-18
1.40330E-01 1.68680E-18
1.43375E-01 1.62293E-18
1.46447E-01 1.56282E-18
1.49545E-01 1.50593E-18
1.52671E-01 1.45141E-18
1.55823E-01 1.39902E-18
1.59001E-01 1.34919E-18
1.62205E-01 1.30211E-18
1.65435E-01 1.25733E-18
1.68690E-01 1.21437E-18
1.71970E-01 1.17327E-18
1.75276E-01 1.13429E-18
1.78606E-01 1.09717E-18
1.81961E-01 1.06141E-18
1.85340E-01 1.02697E-18
1.88743E-01 9.94256E-19
1.92169E-01 9.63352E-19
1.95619E-01 9.33728E-19
1.99092E-01 9.05000E-19
2.02589E-01 8.77393E-19
2.06107E-01 8.51168E-19
2.09649E-01 8.26089E-19
2.13212E-01 8.01849E-19
2.16797E-01 7.78595E-19
2.20404E-01 7.56524E-19
2.24032E-01 7.35346E-19
2.27680E-01 7.14697E-19
2.31350E-01 6.94745E-19
2.35040E-01 6.75812E-19
2.38751E-01 6.57735E-19
2.42481E-01 6.40181E-19
2.46231E-01 6.23232E-19
2.50000E-01 6.07066E-19
2.53788E-01 5.91462E-19
2.57595E-01 5.76213E-19
2.61421E-01 5.61554E-19
2.65264E-01 5.47657E-19
2.69126E-01 5.34240E-19
2.73005E-01 5.21120E-19
2.76901E-01 5.08500E-19
2.80814E-01 4.96408E-19
2.84744E-01 4.84601E-19
2.88691E-01 4.73136E-19
2.92653E-01 4.62237E-19
2.96632E-01 4.51751E-19
3.00625E-01 4.41452E-19
3.04634E-01 4.31491E-19
3.08658E-01 4.21951E-19
3.12697E-01 4.12628E-19
3.16749E-01 4.03550E-19
3.20816E-01 3.94909E-19
3.24896E-01 3.86551E-19
3.28990E-01 3.78322E-19
3.33097E-01 3.70390E-19
3.37216E-01 3.62757E-19
3.41348E-01 3.55252E-19
3.45492E-01 3.47996E-19
3.49647E-01 3.41070E-19
3.53814E-01 3.34274E-19
3.57992E-01 3.27628E-19
3.62181E-01 3.21257E-19
3.66381E-01 3.15024E-19
3.70590E-01 3.08921E-19
3.74810E-01 3.03095E-19
3.79039E-01 2.97419E-19
3.83277E-01 2.91831E-19
3.87524E-01 2.86463E-19
