 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  19,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  7.03398E-16  4.14846E-17  6.99989E-17  1.20963E-15  4.4E-06
   1.25000E+02  4.81164E-16  3.59754E-17  6.12529E-17  1.00765E-15  2.2E-05
   1.50000E+02  3.69801E-16  3.25398E-17  5.67644E-17  8.65523E-16  1.8E-05
   1.75000E+02  3.10887E-16  2.97275E-17  5.30124E-17  7.60382E-16  4.4E-06
   2.00000E+02  2.75421E-16  2.73434E-17  4.97027E-17  6.79088E-16  9.7E-06
   2.50000E+02  2.35944E-16  2.35234E-17  4.41158E-17  5.60939E-16  1.9E-05
   3.00000E+02  2.14500E-16  2.06398E-17  3.96522E-17  4.78655E-16  5.4E-06
   3.50000E+02  2.00838E-16  1.84404E-17  3.60835E-17  4.17673E-16  8.8E-06
   4.00000E+02  1.91027E-16  1.66982E-17  3.31396E-17  3.70566E-16  4.7E-06
   4.50000E+02  1.83296E-16  1.52589E-17  3.06276E-17  3.33069E-16  2.1E-05
   5.00000E+02  1.76745E-16  1.40393E-17  2.84413E-17  3.02506E-16  1.2E-05
   6.00000E+02  1.65907E-16  1.20491E-17  2.47706E-17  2.55717E-16  3.4E-05
   7.00000E+02  1.56820E-16  1.04978E-17  2.18204E-17  2.21570E-16  2.0E-05
   8.00000E+02  1.48898E-16  9.26107E-18  1.94128E-17  1.95540E-16  6.3E-05
   9.00000E+02  1.41860E-16  8.25613E-18  1.74216E-17  1.75036E-16  7.8E-05
   1.00000E+03  1.35541E-16  7.42730E-18  1.57567E-17  1.58460E-16  4.7E-05
   1.25000E+03  1.22183E-16  5.88223E-18  1.26050E-17  1.28219E-16  5.4E-05
   1.50000E+03  1.11453E-16  4.82118E-18  1.04096E-17  1.07742E-16  4.1E-02
   1.75000E+03  1.02616E-16  4.05013E-18  8.80203E-18  9.29527E-17  4.5E-02
   2.00000E+03  9.52010E-17  3.46744E-18  7.58069E-18  8.17628E-17  2.9E-02
   2.50000E+03  8.34224E-17  2.65055E-18  5.85781E-18  6.59447E-17  4.4E-02
   3.00000E+03  7.44504E-17  2.11051E-18  4.70939E-18  5.52909E-17  4.5E-02
   3.50000E+03  6.73627E-17  1.73095E-18  3.89552E-18  4.76221E-17  4.3E-02
   4.00000E+03  6.16045E-17  1.45188E-18  3.29221E-18  4.18360E-17  4.4E-02
   4.50000E+03  5.68224E-17  1.23953E-18  2.82947E-18  3.73143E-17  2.6E-02
   5.00000E+03  5.27795E-17  1.07340E-18  2.46478E-18  3.36834E-17  1.0E+00
   6.00000E+03  4.62984E-17  8.32059E-19  1.93000E-18  2.82149E-17  1.0E+00
   7.00000E+03  4.13142E-17  6.67065E-19  1.56026E-18  2.42930E-17  8.4E-02
   8.00000E+03  3.73508E-17  5.48527E-19  1.29211E-18  2.13432E-17  1.0E+00
   9.00000E+03  3.41184E-17  4.60150E-19  1.09054E-18  1.90441E-17  1.0E+00
