 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element:  K,  Z =  19,  atomic weight = 3.90983E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.63164E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 19
 #
 # Electron density: Read from file Data/z_019.d
 #                   Number of data points =  857
 #                   Volume integral = 1.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.61000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.34000E-23 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 4.62921E-17 cm**2 = 1.65312E+00 a0**2
 # 1st transport cross section = 9.12531E-19 cm**2 = 3.25871E-02 a0**2
 # 2nd transport cross section = 2.02530E-18 cm**2 = 7.23248E-02 a0**2
 #
 #    Absorption cross section = 1.88516E-17 cm**2 = 6.73202E-01 a0**2
 #   Grand total cross section = 6.51495E-17 cm**2 = 2.32653E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.44498E-14
7.61557E-13 2.44498E-14
1.18994E-12 2.44498E-14
1.71346E-12 2.44498E-14
2.33225E-12 2.44498E-14
3.04617E-12 2.44498E-14
3.85530E-12 2.44498E-14
4.75964E-12 2.44498E-14
5.75917E-12 2.44498E-14
6.85391E-12 2.44498E-14
8.04379E-12 2.44498E-14
9.32893E-12 2.44498E-14
1.07092E-11 2.44498E-14
1.21847E-11 2.44497E-14
1.37554E-11 2.44497E-14
1.54213E-11 2.44497E-14
1.71823E-11 2.44497E-14
1.90386E-11 2.44497E-14
2.09900E-11 2.44497E-14
2.30367E-11 2.44497E-14
2.51785E-11 2.44497E-14
2.74156E-11 2.44497E-14
2.97478E-11 2.44497E-14
3.21752E-11 2.44496E-14
3.46979E-11 2.44496E-14
3.73157E-11 2.44496E-14
4.00286E-11 2.44496E-14
4.28368E-11 2.44496E-14
4.57402E-11 2.44496E-14
4.87388E-11 2.44496E-14
5.18325E-11 2.44495E-14
5.50215E-11 2.44495E-14
5.83057E-11 2.44495E-14
6.16850E-11 2.44495E-14
6.51595E-11 2.44495E-14
6.87293E-11 2.44495E-14
7.23943E-11 2.44494E-14
7.61544E-11 2.44494E-14
1.18991E-10 2.44492E-14
1.71347E-10 2.44489E-14
2.33223E-10 2.44486E-14
3.04617E-10 2.44482E-14
3.85531E-10 2.44478E-14
4.75965E-10 2.44473E-14
5.75917E-10 2.44468E-14
6.85389E-10 2.44462E-14
8.04380E-10 2.44456E-14
9.32891E-10 2.44449E-14
1.07092E-09 2.44442E-14
1.21847E-09 2.44435E-14
1.37554E-09 2.44426E-14
1.54213E-09 2.44418E-14
1.71823E-09 2.44409E-14
1.90386E-09 2.44399E-14
2.09900E-09 2.44389E-14
2.30367E-09 2.44378E-14
2.51785E-09 2.44367E-14
2.74156E-09 2.44355E-14
2.97478E-09 2.44343E-14
3.21752E-09 2.44330E-14
3.46978E-09 2.44317E-14
3.73156E-09 2.44304E-14
4.00286E-09 2.44290E-14
4.28368E-09 2.44275E-14
4.57402E-09 2.44260E-14
4.87388E-09 2.44244E-14
5.18326E-09 2.44228E-14
5.50215E-09 2.44211E-14
5.83057E-09 2.44194E-14
6.16850E-09 2.44177E-14
6.51596E-09 2.44159E-14
6.87293E-09 2.44140E-14
7.23942E-09 2.44121E-14
7.61544E-09 2.44102E-14
1.18991E-08 2.43879E-14
1.71347E-08 2.43608E-14
2.33223E-08 2.43287E-14
3.04617E-08 2.42919E-14
3.85531E-08 2.42503E-14
4.75965E-08 2.42039E-14
5.75917E-08 2.41528E-14
6.85389E-08 2.40972E-14
8.04380E-08 2.40369E-14
9.32891E-08 2.39721E-14
1.07092E-07 2.39029E-14
1.21847E-07 2.38293E-14
1.37554E-07 2.37515E-14
1.54213E-07 2.36694E-14
1.71823E-07 2.35833E-14
1.90386E-07 2.34931E-14
2.09900E-07 2.33990E-14
2.30367E-07 2.33010E-14
2.51785E-07 2.31994E-14
2.74156E-07 2.30941E-14
2.97478E-07 2.29853E-14
3.21752E-07 2.28731E-14
3.46978E-07 2.27576E-14
3.73156E-07 2.26390E-14
4.00286E-07 2.25173E-14
4.28368E-07 2.23926E-14
4.57402E-07 2.22652E-14
4.87388E-07 2.21350E-14
5.18325E-07 2.20023E-14
5.50215E-07 2.18671E-14
5.83057E-07 2.17297E-14
6.16850E-07 2.15900E-14
6.51596E-07 2.14482E-14
6.87293E-07 2.13046E-14
7.23942E-07 2.11591E-14
7.61543E-07 2.10119E-14
1.18991E-06 1.94745E-14
1.71347E-06 1.78992E-14
2.33223E-06 1.63843E-14
3.04617E-06 1.49997E-14
3.85531E-06 1.37844E-14
4.75964E-06 1.27506E-14
5.75916E-06 1.18896E-14
6.85388E-06 1.11789E-14
8.04378E-06 1.05894E-14
