 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element:  K,  Z =  19,  atomic weight = 3.90983E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.63164E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 19
 #
 # Electron density: Read from file Data/z_019.d
 #                   Number of data points =  857
 #                   Volume integral = 1.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.61000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.34000E-23 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 2.48822E-16 cm**2 = 8.88558E+00 a0**2
 # 1st transport cross section = 2.22374E-17 cm**2 = 7.94111E-01 a0**2
 # 2nd transport cross section = 3.13609E-17 cm**2 = 1.11992E+00 a0**2
 #
 #    Absorption cross section = 1.45664E-16 cm**2 = 5.20177E+00 a0**2
 #   Grand total cross section = 3.94504E-16 cm**2 = 1.40880E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.34922E-14
7.61557E-13 4.34922E-14
1.18994E-12 4.34922E-14
1.71346E-12 4.34922E-14
2.33225E-12 4.34922E-14
3.04617E-12 4.34922E-14
3.85530E-12 4.34922E-14
4.75964E-12 4.34922E-14
5.75917E-12 4.34922E-14
6.85391E-12 4.34922E-14
8.04379E-12 4.34922E-14
9.32893E-12 4.34922E-14
1.07092E-11 4.34922E-14
1.21847E-11 4.34922E-14
1.37554E-11 4.34922E-14
1.54213E-11 4.34922E-14
1.71823E-11 4.34922E-14
1.90386E-11 4.34922E-14
2.09900E-11 4.34922E-14
2.30367E-11 4.34922E-14
2.51785E-11 4.34922E-14
2.74156E-11 4.34922E-14
2.97478E-11 4.34922E-14
3.21752E-11 4.34922E-14
3.46979E-11 4.34922E-14
3.73157E-11 4.34922E-14
4.00286E-11 4.34922E-14
4.28368E-11 4.34922E-14
4.57402E-11 4.34922E-14
4.87388E-11 4.34921E-14
5.18325E-11 4.34921E-14
5.50215E-11 4.34921E-14
5.83057E-11 4.34921E-14
6.16850E-11 4.34921E-14
6.51595E-11 4.34921E-14
6.87293E-11 4.34921E-14
7.23943E-11 4.34921E-14
7.61544E-11 4.34921E-14
1.18991E-10 4.34921E-14
1.71347E-10 4.34920E-14
2.33223E-10 4.34920E-14
3.04617E-10 4.34919E-14
3.85531E-10 4.34918E-14
4.75965E-10 4.34917E-14
5.75917E-10 4.34916E-14
6.85389E-10 4.34915E-14
8.04380E-10 4.34914E-14
9.32891E-10 4.34913E-14
1.07092E-09 4.34911E-14
1.21847E-09 4.34910E-14
1.37554E-09 4.34908E-14
1.54213E-09 4.34907E-14
1.71823E-09 4.34905E-14
1.90386E-09 4.34903E-14
2.09900E-09 4.34901E-14
2.30367E-09 4.34899E-14
2.51785E-09 4.34897E-14
2.74156E-09 4.34895E-14
2.97478E-09 4.34893E-14
3.21752E-09 4.34890E-14
3.46978E-09 4.34888E-14
3.73156E-09 4.34885E-14
4.00286E-09 4.34882E-14
4.28368E-09 4.34880E-14
4.57402E-09 4.34877E-14
4.87388E-09 4.34874E-14
5.18326E-09 4.34871E-14
5.50215E-09 4.34868E-14
5.83057E-09 4.34864E-14
6.16850E-09 4.34861E-14
6.51596E-09 4.34858E-14
6.87293E-09 4.34854E-14
7.23942E-09 4.34850E-14
7.61544E-09 4.34847E-14
1.18991E-08 4.34804E-14
1.71347E-08 4.34753E-14
2.33223E-08 4.34691E-14
3.04617E-08 4.34621E-14
3.85531E-08 4.34541E-14
4.75965E-08 4.34452E-14
5.75917E-08 4.34353E-14
6.85389E-08 4.34245E-14
8.04380E-08 4.34128E-14
9.32891E-08 4.34001E-14
1.07092E-07 4.33865E-14
1.21847E-07 4.33720E-14
1.37554E-07 4.33565E-14
1.54213E-07 4.33401E-14
1.71823E-07 4.33228E-14
1.90386E-07 4.33046E-14
2.09900E-07 4.32854E-14
2.30367E-07 4.32654E-14
2.51785E-07 4.32444E-14
2.74156E-07 4.32225E-14
2.97478E-07 4.31997E-14
3.21752E-07 4.31760E-14
3.46978E-07 4.31514E-14
3.73156E-07 4.31258E-14
4.00286E-07 4.30994E-14
4.28368E-07 4.30721E-14
4.57402E-07 4.30439E-14
4.87388E-07 4.30148E-14
5.18325E-07 4.29848E-14
5.50215E-07 4.29539E-14
5.83057E-07 4.29222E-14
6.16850E-07 4.28896E-14
6.51596E-07 4.28561E-14
6.87293E-07 4.28217E-14
7.23942E-07 4.27865E-14
7.61543E-07 4.27504E-14
1.18991E-06 4.23431E-14
1.71347E-06 4.18547E-14
2.33223E-06 4.12907E-14
3.04617E-06 4.06571E-14
3.85531E-06 3.99604E-14
4.75964E-06 3.92079E-14
5.75916E-06 3.84068E-14
6.85388E-06 3.75647E-14
8.04378E-06 3.66892E-14
9.32888E-06 3.57878E-14
1.07092E-05 3.48677E-14
1.21846E-05 3.39360E-14
1.37553E-05 3.29992E-14
1.54212E-05 3.20634E-14
1.71822E-05 3.11343E-14
1.90385E-05 3.02168E-14
2.09899E-05 2.93153E-14
2.30365E-05 2.84337E-14
2.51783E-05 2.75751E-14
2.74153E-05 2.67422E-14
2.97475E-05 2.59368E-14
3.21749E-05 2.51606E-14
3.46974E-05 2.44143E-14
3.73152E-05 2.36985E-14
4.00281E-05 2.30134E-14
4.28362E-05 2.23584E-14
4.57395E-05 2.17331E-14
4.87380E-05 2.11365E-14
5.18317E-05 2.05676E-14
5.50205E-05 2.00249E-14
5.83045E-05 1.95071E-14
6.16838E-05 1.90127E-14
6.51582E-05 1.85401E-14
6.87277E-05 1.80878E-14
7.23925E-05 1.76541E-14
7.61524E-05 1.72375E-14
9.21439E-05 1.57149E-14
1.09658E-04 1.43682E-14
1.28695E-04 1.31506E-14
1.49255E-04 1.20424E-14
1.71338E-04 1.10409E-14
1.94942E-04 1.01482E-14
2.20070E-04 9.36215E-15
2.46720E-04 8.67292E-15
2.74892E-04 8.06456E-15
3.04586E-04 7.51921E-15
3.35803E-04 7.02161E-15
3.68542E-04 6.56188E-15
4.02802E-04 6.13583E-15
4.38585E-04 5.74308E-15
4.75889E-04 5.38433E-15
5.14715E-04 5.05907E-15
5.55063E-04 4.76449E-15
5.96931E-04 4.49594E-15
6.40321E-04 4.24814E-15
