 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+02 eV = 6.43113E+00 a.u.
 #
 # Element: Ca,  Z =  20,  atomic weight = 4.00780E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.66173E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 20
 #
 # Electron density: Read from file Data/z_020.d
 #                   Number of data points =  809
 #                   Volume integral = 2.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.28000E-23 cm**3
 #                            Bpol = 2.79508E+00
 #
 # Total elastic cross section = 2.79485E-16 cm**2 = 9.98058E+00 a0**2
 # 1st transport cross section = 3.13882E-17 cm**2 = 1.12089E+00 a0**2
 # 2nd transport cross section = 5.65935E-17 cm**2 = 2.02099E+00 a0**2
 #
 #    Absorption cross section = 7.49532E-16 cm**2 = 2.67663E+01 a0**2
 #   Grand total cross section = 1.02903E-15 cm**2 = 3.67472E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.08594E-14
7.61557E-13 1.08594E-14
1.18994E-12 1.08594E-14
1.71346E-12 1.08594E-14
2.33225E-12 1.08594E-14
3.04617E-12 1.08594E-14
3.85530E-12 1.08594E-14
4.75964E-12 1.08594E-14
5.75917E-12 1.08594E-14
6.85391E-12 1.08594E-14
8.04379E-12 1.08594E-14
9.32893E-12 1.08594E-14
1.07092E-11 1.08594E-14
1.21847E-11 1.08594E-14
1.37554E-11 1.08594E-14
1.54213E-11 1.08594E-14
1.71823E-11 1.08594E-14
1.90386E-11 1.08594E-14
2.09900E-11 1.08594E-14
2.30367E-11 1.08594E-14
2.51785E-11 1.08594E-14
2.74156E-11 1.08594E-14
2.97478E-11 1.08594E-14
3.21752E-11 1.08594E-14
3.46979E-11 1.08594E-14
3.73157E-11 1.08594E-14
4.00286E-11 1.08594E-14
4.28368E-11 1.08594E-14
4.57402E-11 1.08594E-14
4.87388E-11 1.08594E-14
5.18325E-11 1.08594E-14
5.50215E-11 1.08594E-14
5.83057E-11 1.08594E-14
6.16850E-11 1.08594E-14
6.51595E-11 1.08594E-14
6.87293E-11 1.08594E-14
7.23943E-11 1.08594E-14
7.61544E-11 1.08594E-14
1.18991E-10 1.08594E-14
1.71347E-10 1.08594E-14
2.33223E-10 1.08594E-14
3.04617E-10 1.08594E-14
3.85531E-10 1.08594E-14
4.75965E-10 1.08594E-14
5.75917E-10 1.08594E-14
6.85389E-10 1.08594E-14
8.04380E-10 1.08594E-14
9.32891E-10 1.08593E-14
1.07092E-09 1.08593E-14
1.21847E-09 1.08593E-14
1.37554E-09 1.08593E-14
1.54213E-09 1.08593E-14
1.71823E-09 1.08593E-14
1.90386E-09 1.08593E-14
2.09900E-09 1.08592E-14
2.30367E-09 1.08592E-14
2.51785E-09 1.08592E-14
2.74156E-09 1.08592E-14
2.97478E-09 1.08592E-14
3.21752E-09 1.08592E-14
3.46978E-09 1.08591E-14
3.73156E-09 1.08591E-14
4.00286E-09 1.08591E-14
4.28368E-09 1.08591E-14
4.57402E-09 1.08591E-14
4.87388E-09 1.08590E-14
5.18326E-09 1.08590E-14
5.50215E-09 1.08590E-14
5.83057E-09 1.08590E-14
6.16850E-09 1.08589E-14
6.51596E-09 1.08589E-14
6.87293E-09 1.08589E-14
7.23942E-09 1.08588E-14
7.61544E-09 1.08588E-14
1.18991E-08 1.08585E-14
1.71347E-08 1.08581E-14
2.33223E-08 1.08576E-14
3.04617E-08 1.08570E-14
3.85531E-08 1.08564E-14
4.75965E-08 1.08556E-14
5.75917E-08 1.08548E-14
6.85389E-08 1.08540E-14
8.04380E-08 1.08530E-14
9.32891E-08 1.08520E-14
1.07092E-07 1.08509E-14
1.21847E-07 1.08498E-14
1.37554E-07 1.08485E-14
1.54213E-07 1.08472E-14
1.71823E-07 1.08458E-14
1.90386E-07 1.08443E-14
2.09900E-07 1.08428E-14
2.30367E-07 1.08412E-14
2.51785E-07 1.08395E-14
2.74156E-07 1.08377E-14
2.97478E-07 1.08359E-14
3.21752E-07 1.08339E-14
3.46978E-07 1.08320E-14
3.73156E-07 1.08299E-14
4.00286E-07 1.08278E-14
4.28368E-07 1.08255E-14
4.57402E-07 1.08233E-14
4.87388E-07 1.08209E-14
5.18325E-07 1.08185E-14
5.50215E-07 1.08159E-14
5.83057E-07 1.08134E-14
6.16850E-07 1.08107E-14
6.51596E-07 1.08080E-14
6.87293E-07 1.08052E-14
7.23942E-07 1.08023E-14
7.61543E-07 1.07993E-14
1.18991E-06 1.07659E-14
1.71347E-06 1.07252E-14
2.33223E-06 1.06776E-14
3.04617E-06 1.06232E-14
3.85531E-06 1.05622E-14
4.75964E-06 1.04950E-14
5.75916E-06 1.04217E-14
6.85388E-06 1.03426E-14
8.04378E-06 1.02581E-14
9.32888E-06 1.01685E-14
1.07092E-05 1.00741E-14
1.21846E-05 9.97530E-15
1.37553E-05 9.87240E-15
1.54212E-05 9.76579E-15
1.71822E-05 9.65582E-15
1.90385E-05 9.54285E-15
2.09899E-05 9.42726E-15
2.30365E-05 9.30939E-15
2.51783E-05 9.18960E-15
2.74153E-05 9.06823E-15
2.97475E-05 8.94561E-15
3.21749E-05 8.82207E-15
3.46974E-05 8.69791E-15
3.73152E-05 8.57343E-15
4.00281E-05 8.44890E-15
4.28362E-05 8.32459E-15
4.57395E-05 8.20075E-15
4.87380E-05 8.07760E-15
5.18317E-05 7.95536E-15
5.50205E-05 7.83421E-15
5.83045E-05 7.71434E-15
6.16838E-05 7.59590E-15
6.51582E-05 7.47902E-15
6.87277E-05 7.36383E-15
7.23925E-05 7.25044E-15
7.61524E-05 7.13893E-15
9.21439E-05 6.71296E-15
1.09658E-04 6.32046E-15
1.28695E-04 5.96100E-15
1.49255E-04 5.63216E-15
1.71338E-04 5.33043E-15
1.94942E-04 5.05196E-15
2.20070E-04 4.79314E-15
2.46720E-04 4.55094E-15
2.74892E-04 4.32308E-15
3.04586E-04 4.10806E-15
3.35803E-04 3.90504E-15
3.68542E-04 3.71362E-15
4.02802E-04 3.53368E-15
4.38585E-04 3.36513E-15
4.75889E-04 3.20778E-15
