 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Ca,  Z =  20,  atomic weight = 4.00780E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.66173E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 20
 #
 # Electron density: Read from file Data/z_020.d
 #                   Number of data points =  809
 #                   Volume integral = 2.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.88000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.28000E-23 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 6.16591E-17 cm**2 = 2.20189E+00 a0**2
 # 1st transport cross section = 1.27703E-18 cm**2 = 4.56037E-02 a0**2
 # 2nd transport cross section = 2.76972E-18 cm**2 = 9.89083E-02 a0**2
 #
 #    Absorption cross section = 2.30730E-17 cm**2 = 8.23951E-01 a0**2
 #   Grand total cross section = 8.47417E-17 cm**2 = 3.02618E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.03644E-14
7.61557E-13 2.03644E-14
1.18994E-12 2.03644E-14
1.71346E-12 2.03644E-14
2.33225E-12 2.03644E-14
3.04617E-12 2.03644E-14
3.85530E-12 2.03644E-14
4.75964E-12 2.03644E-14
5.75917E-12 2.03644E-14
6.85391E-12 2.03644E-14
8.04379E-12 2.03644E-14
9.32893E-12 2.03644E-14
1.07092E-11 2.03644E-14
1.21847E-11 2.03644E-14
1.37554E-11 2.03644E-14
1.54213E-11 2.03644E-14
1.71823E-11 2.03644E-14
1.90386E-11 2.03644E-14
2.09900E-11 2.03644E-14
2.30367E-11 2.03644E-14
2.51785E-11 2.03644E-14
2.74156E-11 2.03643E-14
2.97478E-11 2.03643E-14
3.21752E-11 2.03643E-14
3.46979E-11 2.03643E-14
3.73157E-11 2.03643E-14
4.00286E-11 2.03643E-14
4.28368E-11 2.03643E-14
4.57402E-11 2.03643E-14
4.87388E-11 2.03643E-14
5.18325E-11 2.03643E-14
5.50215E-11 2.03643E-14
5.83057E-11 2.03643E-14
6.16850E-11 2.03643E-14
6.51595E-11 2.03642E-14
6.87293E-11 2.03642E-14
7.23943E-11 2.03642E-14
7.61544E-11 2.03642E-14
1.18991E-10 2.03641E-14
1.71347E-10 2.03640E-14
2.33223E-10 2.03638E-14
3.04617E-10 2.03636E-14
3.85531E-10 2.03634E-14
4.75965E-10 2.03632E-14
5.75917E-10 2.03629E-14
6.85389E-10 2.03626E-14
8.04380E-10 2.03623E-14
9.32891E-10 2.03619E-14
1.07092E-09 2.03616E-14
1.21847E-09 2.03612E-14
1.37554E-09 2.03608E-14
1.54213E-09 2.03603E-14
1.71823E-09 2.03599E-14
1.90386E-09 2.03594E-14
2.09900E-09 2.03589E-14
2.30367E-09 2.03583E-14
2.51785E-09 2.03577E-14
2.74156E-09 2.03572E-14
2.97478E-09 2.03565E-14
3.21752E-09 2.03559E-14
3.46978E-09 2.03552E-14
3.73156E-09 2.03545E-14
4.00286E-09 2.03538E-14
4.28368E-09 2.03531E-14
4.57402E-09 2.03523E-14
4.87388E-09 2.03515E-14
5.18326E-09 2.03507E-14
5.50215E-09 2.03498E-14
5.83057E-09 2.03490E-14
6.16850E-09 2.03481E-14
6.51596E-09 2.03472E-14
6.87293E-09 2.03462E-14
7.23942E-09 2.03453E-14
7.61544E-09 2.03443E-14
1.18991E-08 2.03329E-14
1.71347E-08 2.03191E-14
2.33223E-08 2.03028E-14
3.04617E-08 2.02841E-14
3.85531E-08 2.02629E-14
4.75965E-08 2.02392E-14
5.75917E-08 2.02132E-14
6.85389E-08 2.01848E-14
8.04380E-08 2.01540E-14
9.32891E-08 2.01209E-14
1.07092E-07 2.00855E-14
1.21847E-07 2.00478E-14
1.37554E-07 2.00079E-14
1.54213E-07 1.99658E-14
1.71823E-07 1.99216E-14
1.90386E-07 1.98752E-14
2.09900E-07 1.98268E-14
2.30367E-07 1.97763E-14
2.51785E-07 1.97239E-14
2.74156E-07 1.96695E-14
2.97478E-07 1.96132E-14
3.21752E-07 1.95551E-14
3.46978E-07 1.94951E-14
3.73156E-07 1.94335E-14
4.00286E-07 1.93701E-14
4.28368E-07 1.93051E-14
4.57402E-07 1.92385E-14
4.87388E-07 1.91704E-14
5.18325E-07 1.91008E-14
5.50215E-07 1.90298E-14
5.83057E-07 1.89574E-14
6.16850E-07 1.88838E-14
6.51596E-07 1.88088E-14
6.87293E-07 1.87327E-14
7.23942E-07 1.86555E-14
7.61543E-07 1.85772E-14
1.18991E-06 1.77479E-14
1.71347E-06 1.68739E-14
2.33223E-06 1.60050E-14
3.04617E-06 1.51798E-14
3.85531E-06 1.44239E-14
4.75964E-06 1.37497E-14
5.75916E-06 1.31584E-14
6.85388E-06 1.26432E-14
8.04378E-06 1.21922E-14
9.32888E-06 1.17916E-14
1.07092E-05 1.14282E-14
1.21846E-05 1.10911E-14
1.37553E-05 1.07728E-14
1.54212E-05 1.04693E-14
1.71822E-05 1.01794E-14
1.90385E-05 9.90380E-15
2.09899E-05 9.64399E-15
2.30365E-05 9.40117E-15
2.51783E-05 9.17563E-15
2.74153E-05 8.96644E-15
2.97475E-05 8.77160E-15
3.21749E-05 8.58835E-15
3.46974E-05 8.41379E-15
3.73152E-05 8.24530E-15
4.00281E-05 8.08100E-15
4.28362E-05 7.91991E-15
4.57395E-05 7.76186E-15
4.87380E-05 7.60730E-15
5.18317E-05 7.45696E-15
5.50205E-05 7.31151E-15
5.83045E-05 7.17128E-15
6.16838E-05 7.03613E-15
6.51582E-05 6.90547E-15
6.87277E-05 6.77843E-15
7.23925E-05 6.65399E-15
7.61524E-05 6.53129E-15
9.21439E-05 6.05116E-15
1.09658E-04 5.60037E-15
1.28695E-04 5.18404E-15
1.49255E-04 4.78600E-15
1.71338E-04 4.41289E-15
1.94942E-04 4.06804E-15
2.20070E-04 3.74316E-15
2.46720E-04 3.44287E-15
2.74892E-04 3.16792E-15
3.04586E-04 2.91269E-15
3.35803E-04 2.67966E-15
3.68542E-04 2.46805E-15
4.02802E-04 2.27359E-15
4.38585E-04 2.09742E-15
4.75889E-04 1.93806E-15
5.14715E-04 1.79232E-15
5.55063E-04 1.66066E-15
5.96931E-04 1.54155E-15
6.40321E-04 1.43263E-15
6.85233E-04 1.33414E-15
7.31665E-04 1.24470E-15
7.79618E-04 1.16268E-15
8.29092E-04 1.08823E-15
8.80086E-04 1.02023E-15
9.32601E-04 9.57570E-16
9.86636E-04 9.00390E-16
1.04219E-03 8.47814E-16
1.09927E-03 7.99102E-16
1.15786E-03 7.54400E-16
1.21797E-03 7.13017E-16
1.27961E-03 6.74477E-16
1.34276E-03 6.38913E-16
1.40743E-03 6.05781E-16
1.47362E-03 5.74781E-16
1.54133E-03 5.46029E-16
1.61056E-03 5.19089E-16
1.68131E-03 4.93779E-16
1.75357E-03 4.70192E-16
1.82735E-03 4.47977E-16
1.90265E-03 4.27031E-16
1.97947E-03 4.07426E-16
2.05780E-03 3.88877E-16
2.13765E-03 3.71333E-16
2.21902E-03 3.54846E-16
2.30190E-03 3.39187E-16
