 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Sc,  Z =  21,  atomic weight = 4.49559E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.80463E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 21
 #
 # Electron density: Read from file Data/z_021.d
 #                   Number of data points =  797
 #                   Volume integral = 2.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.78000E-23 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 9.92429E-17 cm**2 = 3.54403E+00 a0**2
 # 1st transport cross section = 3.01311E-18 cm**2 = 1.07600E-01 a0**2
 # 2nd transport cross section = 6.65792E-18 cm**2 = 2.37759E-01 a0**2
 #
 #    Absorption cross section = 6.28280E-17 cm**2 = 2.24363E+00 a0**2
 #   Grand total cross section = 1.62084E-16 cm**2 = 5.78812E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.52817E-15
7.61557E-13 1.52817E-15
1.18994E-12 1.52817E-15
1.71346E-12 1.52817E-15
2.33225E-12 1.52817E-15
3.04617E-12 1.52817E-15
3.85530E-12 1.52817E-15
4.75964E-12 1.52817E-15
5.75917E-12 1.52817E-15
6.85391E-12 1.52817E-15
8.04379E-12 1.52817E-15
9.32893E-12 1.52817E-15
1.07092E-11 1.52817E-15
1.21847E-11 1.52817E-15
1.37554E-11 1.52817E-15
1.54213E-11 1.52817E-15
1.71823E-11 1.52817E-15
1.90386E-11 1.52817E-15
2.09900E-11 1.52817E-15
2.30367E-11 1.52817E-15
2.51785E-11 1.52817E-15
2.74156E-11 1.52817E-15
2.97478E-11 1.52817E-15
3.21752E-11 1.52817E-15
3.46979E-11 1.52817E-15
3.73157E-11 1.52817E-15
4.00286E-11 1.52817E-15
4.28368E-11 1.52817E-15
4.57402E-11 1.52817E-15
4.87388E-11 1.52817E-15
5.18325E-11 1.52817E-15
5.50215E-11 1.52817E-15
5.83057E-11 1.52817E-15
6.16850E-11 1.52817E-15
6.51595E-11 1.52817E-15
6.87293E-11 1.52817E-15
7.23943E-11 1.52817E-15
7.61544E-11 1.52818E-15
1.18991E-10 1.52818E-15
1.71347E-10 1.52819E-15
2.33223E-10 1.52820E-15
3.04617E-10 1.52820E-15
3.85531E-10 1.52821E-15
4.75965E-10 1.52823E-15
5.75917E-10 1.52824E-15
6.85389E-10 1.52825E-15
8.04380E-10 1.52827E-15
9.32891E-10 1.52828E-15
1.07092E-09 1.52830E-15
1.21847E-09 1.52832E-15
1.37554E-09 1.52834E-15
1.54213E-09 1.52836E-15
1.71823E-09 1.52838E-15
1.90386E-09 1.52840E-15
2.09900E-09 1.52843E-15
2.30367E-09 1.52845E-15
2.51785E-09 1.52848E-15
2.74156E-09 1.52851E-15
2.97478E-09 1.52854E-15
3.21752E-09 1.52857E-15
3.46978E-09 1.52860E-15
3.73156E-09 1.52863E-15
4.00286E-09 1.52867E-15
4.28368E-09 1.52870E-15
4.57402E-09 1.52874E-15
4.87388E-09 1.52878E-15
5.18326E-09 1.52881E-15
5.50215E-09 1.52885E-15
5.83057E-09 1.52890E-15
6.16850E-09 1.52894E-15
6.51596E-09 1.52898E-15
6.87293E-09 1.52903E-15
7.23942E-09 1.52907E-15
7.61544E-09 1.52912E-15
1.18991E-08 1.52966E-15
1.71347E-08 1.53031E-15
2.33223E-08 1.53109E-15
3.04617E-08 1.53198E-15
3.85531E-08 1.53299E-15
4.75965E-08 1.53413E-15
5.75917E-08 1.53538E-15
6.85389E-08 1.53676E-15
8.04380E-08 1.53825E-15
9.32891E-08 1.53987E-15
1.07092E-07 1.54160E-15
1.21847E-07 1.54346E-15
1.37554E-07 1.54543E-15
1.54213E-07 1.54753E-15
1.71823E-07 1.54975E-15
1.90386E-07 1.55209E-15
2.09900E-07 1.55456E-15
2.30367E-07 1.55714E-15
2.51785E-07 1.55985E-15
2.74156E-07 1.56268E-15
2.97478E-07 1.56564E-15
3.21752E-07 1.56872E-15
3.46978E-07 1.57192E-15
3.73156E-07 1.57524E-15
4.00286E-07 1.57869E-15
4.28368E-07 1.58227E-15
4.57402E-07 1.58596E-15
4.87388E-07 1.58979E-15
5.18325E-07 1.59374E-15
5.50215E-07 1.59781E-15
5.83057E-07 1.60201E-15
6.16850E-07 1.60634E-15
6.51596E-07 1.61079E-15
6.87293E-07 1.61537E-15
7.23942E-07 1.62007E-15
7.61543E-07 1.62490E-15
1.18991E-06 1.68019E-15
1.71347E-06 1.74815E-15
2.33223E-06 1.82848E-15
3.04617E-06 1.92047E-15
3.85531E-06 2.02302E-15
4.75964E-06 2.13454E-15
5.75916E-06 2.25314E-15
6.85388E-06 2.37663E-15
8.04378E-06 2.50275E-15
9.32888E-06 2.62924E-15
1.07092E-05 2.75407E-15
1.21846E-05 2.87550E-15
1.37553E-05 2.99216E-15
1.54212E-05 3.10313E-15
1.71822E-05 3.20792E-15
