 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+02 eV = 2.57245E+01 a.u.
 #
 # Element: Sc,  Z =  21,  atomic weight = 4.49559E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.80463E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 21
 #
 # Electron density: Read from file Data/z_021.d
 #                   Number of data points =  797
 #                   Volume integral = 2.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.43000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.78000E-23 cm**3
 #                            Bpol = 6.37377E+00
 #
 # Total elastic cross section = 2.85907E-16 cm**2 = 1.02099E+01 a0**2
 # 1st transport cross section = 2.94324E-17 cm**2 = 1.05105E+00 a0**2
 # 2nd transport cross section = 3.83926E-17 cm**2 = 1.37103E+00 a0**2
 #
 #    Absorption cross section = 1.74174E-16 cm**2 = 6.21986E+00 a0**2
 #   Grand total cross section = 4.60097E-16 cm**2 = 1.64304E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.14251E-14
7.61557E-13 2.14251E-14
1.18994E-12 2.14251E-14
1.71346E-12 2.14251E-14
2.33225E-12 2.14251E-14
3.04617E-12 2.14251E-14
3.85530E-12 2.14251E-14
4.75964E-12 2.14251E-14
5.75917E-12 2.14251E-14
6.85391E-12 2.14251E-14
8.04379E-12 2.14251E-14
9.32893E-12 2.14251E-14
1.07092E-11 2.14251E-14
1.21847E-11 2.14251E-14
1.37554E-11 2.14251E-14
1.54213E-11 2.14251E-14
1.71823E-11 2.14251E-14
1.90386E-11 2.14251E-14
2.09900E-11 2.14251E-14
2.30367E-11 2.14251E-14
2.51785E-11 2.14251E-14
2.74156E-11 2.14251E-14
2.97478E-11 2.14251E-14
3.21752E-11 2.14251E-14
3.46979E-11 2.14251E-14
3.73157E-11 2.14251E-14
4.00286E-11 2.14251E-14
4.28368E-11 2.14251E-14
4.57402E-11 2.14251E-14
4.87388E-11 2.14251E-14
5.18325E-11 2.14251E-14
5.50215E-11 2.14251E-14
5.83057E-11 2.14251E-14
6.16850E-11 2.14251E-14
6.51595E-11 2.14251E-14
6.87293E-11 2.14251E-14
7.23943E-11 2.14251E-14
7.61544E-11 2.14251E-14
1.18991E-10 2.14251E-14
1.71347E-10 2.14251E-14
2.33223E-10 2.14251E-14
3.04617E-10 2.14251E-14
3.85531E-10 2.14250E-14
4.75965E-10 2.14250E-14
5.75917E-10 2.14250E-14
6.85389E-10 2.14250E-14
8.04380E-10 2.14249E-14
9.32891E-10 2.14249E-14
1.07092E-09 2.14249E-14
1.21847E-09 2.14248E-14
1.37554E-09 2.14248E-14
1.54213E-09 2.14247E-14
1.71823E-09 2.14247E-14
1.90386E-09 2.14246E-14
2.09900E-09 2.14246E-14
2.30367E-09 2.14245E-14
2.51785E-09 2.14245E-14
2.74156E-09 2.14244E-14
2.97478E-09 2.14243E-14
3.21752E-09 2.14243E-14
3.46978E-09 2.14242E-14
3.73156E-09 2.14241E-14
4.00286E-09 2.14241E-14
4.28368E-09 2.14240E-14
4.57402E-09 2.14239E-14
4.87388E-09 2.14238E-14
5.18326E-09 2.14237E-14
5.50215E-09 2.14236E-14
5.83057E-09 2.14236E-14
6.16850E-09 2.14235E-14
6.51596E-09 2.14234E-14
6.87293E-09 2.14233E-14
7.23942E-09 2.14232E-14
7.61544E-09 2.14231E-14
1.18991E-08 2.14219E-14
1.71347E-08 2.14205E-14
2.33223E-08 2.14188E-14
3.04617E-08 2.14168E-14
3.85531E-08 2.14146E-14
4.75965E-08 2.14122E-14
5.75917E-08 2.14094E-14
6.85389E-08 2.14065E-14
8.04380E-08 2.14032E-14
9.32891E-08 2.13997E-14
1.07092E-07 2.13960E-14
1.21847E-07 2.13920E-14
1.37554E-07 2.13877E-14
1.54213E-07 2.13832E-14
1.71823E-07 2.13784E-14
1.90386E-07 2.13734E-14
2.09900E-07 2.13681E-14
2.30367E-07 2.13625E-14
2.51785E-07 2.13567E-14
2.74156E-07 2.13507E-14
2.97478E-07 2.13444E-14
3.21752E-07 2.13378E-14
3.46978E-07 2.13310E-14
3.73156E-07 2.13239E-14
4.00286E-07 2.13166E-14
4.28368E-07 2.13091E-14
4.57402E-07 2.13013E-14
4.87388E-07 2.12932E-14
5.18325E-07 2.12849E-14
5.50215E-07 2.12763E-14
5.83057E-07 2.12675E-14
6.16850E-07 2.12585E-14
6.51596E-07 2.12492E-14
6.87293E-07 2.12397E-14
7.23942E-07 2.12299E-14
7.61543E-07 2.12199E-14
1.18991E-06 2.11066E-14
1.71347E-06 2.09703E-14
2.33223E-06 2.08121E-14
3.04617E-06 2.06334E-14
3.85531E-06 2.04358E-14
4.75964E-06 2.02208E-14
5.75916E-06 1.99901E-14
6.85388E-06 1.97456E-14
8.04378E-06 1.94891E-14
9.32888E-06 1.92225E-14
1.07092E-05 1.89474E-14
1.21846E-05 1.86658E-14
1.37553E-05 1.83793E-14
1.54212E-05 1.80896E-14
1.71822E-05 1.77983E-14
1.90385E-05 1.75067E-14
2.09899E-05 1.72163E-14
2.30365E-05 1.69281E-14
2.51783E-05 1.66433E-14
2.74153E-05 1.63628E-14
2.97475E-05 1.60873E-14
3.21749E-05 1.58176E-14
3.46974E-05 1.55541E-14
3.73152E-05 1.52972E-14
4.00281E-05 1.50473E-14
4.28362E-05 1.48044E-14
4.57395E-05 1.45687E-14
4.87380E-05 1.43402E-14
5.18317E-05 1.41187E-14
5.50205E-05 1.39040E-14
5.83045E-05 1.36960E-14
6.16838E-05 1.34943E-14
6.51582E-05 1.32987E-14
6.87277E-05 1.31089E-14
7.23925E-05 1.29243E-14
7.61524E-05 1.27448E-14
9.21439E-05 1.20695E-14
1.09658E-04 1.14474E-14
1.28695E-04 1.08640E-14
1.49255E-04 1.03122E-14
1.71338E-04 9.79116E-15
1.94942E-04 9.30298E-15
2.20070E-04 8.84959E-15
2.46720E-04 8.43078E-15
2.74892E-04 8.04366E-15
3.04586E-04 7.68348E-15
3.35803E-04 7.34504E-15
3.68542E-04 7.02411E-15
4.02802E-04 6.71817E-15
4.38585E-04 6.42642E-15
4.75889E-04 6.14918E-15
5.14715E-04 5.88693E-15
5.55063E-04 5.63961E-15
5.96931E-04 5.40635E-15
6.40321E-04 5.18552E-15
6.85233E-04 4.97526E-15
7.31665E-04 4.77397E-15
7.79618E-04 4.58066E-15
8.29092E-04 4.39501E-15
8.80086E-04 4.21717E-15
9.32601E-04 4.04739E-15
9.86636E-04 3.88572E-15
1.04219E-03 3.73181E-15
1.09927E-03 3.58501E-15
1.15786E-03 3.44448E-15
1.21797E-03 3.30950E-15
1.27961E-03 3.17960E-15
1.34276E-03 3.05464E-15
1.40743E-03 2.93469E-15
1.47362E-03 2.81987E-15
1.54133E-03 2.71021E-15
1.61056E-03 2.60554E-15
1.68131E-03 2.50550E-15
1.75357E-03 2.40968E-15
1.82735E-03 2.31766E-15
1.90265E-03 2.22920E-15
1.97947E-03 2.14420E-15
2.05780E-03 2.06268E-15
2.13765E-03 1.98467E-15
2.21902E-03 1.91019E-15
2.30190E-03 1.83909E-15
2.38630E-03 1.77117E-15
2.47222E-03 1.70615E-15
2.55965E-03 1.64380E-15
2.64859E-03 1.58395E-15
2.73905E-03 1.52652E-15
2.83103E-03 1.47150E-15
2.92452E-03 1.41889E-15
3.01952E-03 1.36867E-15
3.11604E-03 1.32074E-15
3.21407E-03 1.27497E-15
3.31362E-03 1.23117E-15
3.41468E-03 1.18920E-15
3.51725E-03 1.14893E-15
3.62133E-03 1.11030E-15
3.72692E-03 1.07329E-15
3.83403E-03 1.03789E-15
3.94265E-03 1.00406E-15
4.05278E-03 9.71748E-16
4.16442E-03 9.40847E-16
4.27757E-03 9.11246E-16
4.39223E-03 8.82841E-16
4.50840E-03 8.55554E-16
4.62608E-03 8.29340E-16
4.74527E-03 8.04179E-16
4.86597E-03 7.80058E-16
4.98817E-03 7.56950E-16
5.11188E-03 7.34812E-16
5.23711E-03 7.13579E-16
5.36383E-03 6.93178E-16
5.49207E-03 6.73542E-16
5.62181E-03 6.54623E-16
5.75306E-03 6.36389E-16
5.88581E-03 6.18827E-16
6.02007E-03 6.01926E-16
6.15583E-03 5.85669E-16
6.29310E-03 5.70027E-16
6.43187E-03 5.54961E-16
6.57214E-03 5.40426E-16
6.71392E-03 5.26381E-16
6.85720E-03 5.12796E-16
7.00198E-03 4.99654E-16
7.14827E-03 4.86944E-16
7.29605E-03 4.74661E-16
7.44534E-03 4.62795E-16
7.59612E-03 4.51327E-16
7.97965E-03 4.24244E-16
8.37255E-03 3.99149E-16
8.77480E-03 3.75881E-16
9.18641E-03 3.54334E-16
9.60736E-03 3.34304E-16
1.00376E-02 3.15623E-16
1.04773E-02 2.98221E-16
1.09262E-02 2.82008E-16
1.13844E-02 2.66853E-16
1.18520E-02 2.52679E-16
1.23288E-02 2.39434E-16
1.28150E-02 2.27039E-16
1.33104E-02 2.15422E-16
1.38150E-02 2.04532E-16
1.43290E-02 1.94318E-16
1.48521E-02 1.84724E-16
1.53845E-02 1.75708E-16
1.59262E-02 1.67224E-16
1.64770E-02 1.59231E-16
1.70371E-02 1.51697E-16
