 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Ti,  Z =  22,  atomic weight = 4.78670E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.88504E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 22
 #
 # Electron density: Read from file Data/z_022.d
 #                   Number of data points =  787
 #                   Volume integral = 2.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.81000E-02 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.46000E-23 cm**3
 #                            Bpol = 7.28869E+00
 #
 # Total elastic cross section = 1.59125E-16 cm**2 = 5.68245E+00 a0**2
 # 1st transport cross section = 9.48939E-18 cm**2 = 3.38872E-01 a0**2
 # 2nd transport cross section = 1.96972E-17 cm**2 = 7.03399E-01 a0**2
 #
 #    Absorption cross section = 1.57616E-16 cm**2 = 5.62857E+00 a0**2
 #   Grand total cross section = 3.16750E-16 cm**2 = 1.13114E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.52422E-15
7.61557E-13 1.52422E-15
1.18994E-12 1.52422E-15
1.71346E-12 1.52422E-15
2.33225E-12 1.52422E-15
3.04617E-12 1.52422E-15
3.85530E-12 1.52422E-15
4.75964E-12 1.52422E-15
5.75917E-12 1.52422E-15
6.85391E-12 1.52422E-15
8.04379E-12 1.52422E-15
9.32893E-12 1.52422E-15
1.07092E-11 1.52422E-15
1.21847E-11 1.52422E-15
1.37554E-11 1.52422E-15
1.54213E-11 1.52422E-15
1.71823E-11 1.52422E-15
1.90386E-11 1.52422E-15
2.09900E-11 1.52422E-15
2.30367E-11 1.52422E-15
2.51785E-11 1.52422E-15
2.74156E-11 1.52422E-15
2.97478E-11 1.52422E-15
3.21752E-11 1.52422E-15
3.46979E-11 1.52422E-15
3.73157E-11 1.52422E-15
4.00286E-11 1.52422E-15
4.28368E-11 1.52422E-15
4.57402E-11 1.52422E-15
4.87388E-11 1.52422E-15
5.18325E-11 1.52422E-15
5.50215E-11 1.52422E-15
5.83057E-11 1.52422E-15
6.16850E-11 1.52422E-15
6.51595E-11 1.52422E-15
6.87293E-11 1.52422E-15
7.23943E-11 1.52422E-15
7.61544E-11 1.52422E-15
1.18991E-10 1.52422E-15
1.71347E-10 1.52422E-15
2.33223E-10 1.52422E-15
3.04617E-10 1.52422E-15
3.85531E-10 1.52422E-15
4.75965E-10 1.52422E-15
5.75917E-10 1.52422E-15
6.85389E-10 1.52422E-15
8.04380E-10 1.52421E-15
9.32891E-10 1.52421E-15
1.07092E-09 1.52421E-15
1.21847E-09 1.52421E-15
1.37554E-09 1.52421E-15
1.54213E-09 1.52421E-15
1.71823E-09 1.52420E-15
1.90386E-09 1.52420E-15
2.09900E-09 1.52420E-15
2.30367E-09 1.52420E-15
2.51785E-09 1.52420E-15
2.74156E-09 1.52419E-15
2.97478E-09 1.52419E-15
3.21752E-09 1.52419E-15
3.46978E-09 1.52419E-15
3.73156E-09 1.52418E-15
4.00286E-09 1.52418E-15
4.28368E-09 1.52418E-15
4.57402E-09 1.52417E-15
4.87388E-09 1.52417E-15
5.18326E-09 1.52417E-15
5.50215E-09 1.52416E-15
5.83057E-09 1.52416E-15
6.16850E-09 1.52416E-15
6.51596E-09 1.52415E-15
6.87293E-09 1.52415E-15
7.23942E-09 1.52415E-15
7.61544E-09 1.52414E-15
1.18991E-08 1.52410E-15
1.71347E-08 1.52404E-15
2.33223E-08 1.52398E-15
3.04617E-08 1.52390E-15
3.85531E-08 1.52382E-15
4.75965E-08 1.52372E-15
5.75917E-08 1.52362E-15
6.85389E-08 1.52350E-15
8.04380E-08 1.52338E-15
9.32891E-08 1.52324E-15
1.07092E-07 1.52310E-15
1.21847E-07 1.52295E-15
1.37554E-07 1.52279E-15
1.54213E-07 1.52262E-15
1.71823E-07 1.52244E-15
1.90386E-07 1.52225E-15
2.09900E-07 1.52205E-15
2.30367E-07 1.52184E-15
2.51785E-07 1.52162E-15
2.74156E-07 1.52140E-15
2.97478E-07 1.52117E-15
3.21752E-07 1.52092E-15
3.46978E-07 1.52067E-15
3.73156E-07 1.52042E-15
4.00286E-07 1.52015E-15
4.28368E-07 1.51988E-15
4.57402E-07 1.51960E-15
4.87388E-07 1.51931E-15
5.18325E-07 1.51901E-15
5.50215E-07 1.51871E-15
5.83057E-07 1.51840E-15
6.16850E-07 1.51808E-15
6.51596E-07 1.51776E-15
6.87293E-07 1.51743E-15
7.23942E-07 1.51709E-15
7.61543E-07 1.51675E-15
1.18991E-06 1.51305E-15
1.71347E-06 1.50898E-15
2.33223E-06 1.50480E-15
3.04617E-06 1.50078E-15
3.85531E-06 1.49719E-15
4.75964E-06 1.49430E-15
5.75916E-06 1.49240E-15
6.85388E-06 1.49171E-15
8.04378E-06 1.49247E-15
9.32888E-06 1.49485E-15
1.07092E-05 1.49899E-15
1.21846E-05 1.50499E-15
1.37553E-05 1.51292E-15
1.54212E-05 1.52277E-15
1.71822E-05 1.53452E-15
1.90385E-05 1.54809E-15
2.09899E-05 1.56337E-15
2.30365E-05 1.58025E-15
2.51783E-05 1.59855E-15
2.74153E-05 1.61811E-15
2.97475E-05 1.63874E-15
