 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Ti,  Z =  22,  atomic weight = 4.78670E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.88504E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 22
 #
 # Electron density: Read from file Data/z_022.d
 #                   Number of data points =  787
 #                   Volume integral = 2.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.10000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.46000E-23 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 1.01218E-16 cm**2 = 3.61457E+00 a0**2
 # 1st transport cross section = 4.30356E-18 cm**2 = 1.53683E-01 a0**2
 # 2nd transport cross section = 8.21807E-18 cm**2 = 2.93473E-01 a0**2
 #
 #    Absorption cross section = 4.61858E-17 cm**2 = 1.64932E+00 a0**2
 #   Grand total cross section = 1.47413E-16 cm**2 = 5.26420E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.45630E-14
7.61557E-13 1.45630E-14
1.18994E-12 1.45630E-14
1.71346E-12 1.45630E-14
2.33225E-12 1.45630E-14
3.04617E-12 1.45630E-14
3.85530E-12 1.45630E-14
4.75964E-12 1.45630E-14
5.75917E-12 1.45630E-14
6.85391E-12 1.45630E-14
8.04379E-12 1.45630E-14
9.32893E-12 1.45630E-14
1.07092E-11 1.45630E-14
1.21847E-11 1.45630E-14
1.37554E-11 1.45630E-14
1.54213E-11 1.45630E-14
1.71823E-11 1.45630E-14
1.90386E-11 1.45630E-14
2.09900E-11 1.45630E-14
2.30367E-11 1.45630E-14
2.51785E-11 1.45630E-14
2.74156E-11 1.45630E-14
2.97478E-11 1.45630E-14
3.21752E-11 1.45630E-14
3.46979E-11 1.45630E-14
3.73157E-11 1.45630E-14
4.00286E-11 1.45630E-14
4.28368E-11 1.45630E-14
4.57402E-11 1.45630E-14
4.87388E-11 1.45630E-14
5.18325E-11 1.45630E-14
5.50215E-11 1.45630E-14
5.83057E-11 1.45630E-14
6.16850E-11 1.45630E-14
6.51595E-11 1.45630E-14
6.87293E-11 1.45630E-14
7.23943E-11 1.45630E-14
7.61544E-11 1.45630E-14
1.18991E-10 1.45629E-14
1.71347E-10 1.45629E-14
2.33223E-10 1.45629E-14
3.04617E-10 1.45628E-14
3.85531E-10 1.45627E-14
4.75965E-10 1.45627E-14
5.75917E-10 1.45626E-14
6.85389E-10 1.45625E-14
8.04380E-10 1.45625E-14
9.32891E-10 1.45624E-14
1.07092E-09 1.45623E-14
1.21847E-09 1.45622E-14
1.37554E-09 1.45621E-14
1.54213E-09 1.45619E-14
1.71823E-09 1.45618E-14
1.90386E-09 1.45617E-14
2.09900E-09 1.45615E-14
2.30367E-09 1.45614E-14
2.51785E-09 1.45612E-14
2.74156E-09 1.45611E-14
2.97478E-09 1.45609E-14
3.21752E-09 1.45608E-14
3.46978E-09 1.45606E-14
3.73156E-09 1.45604E-14
4.00286E-09 1.45602E-14
4.28368E-09 1.45600E-14
4.57402E-09 1.45598E-14
4.87388E-09 1.45596E-14
5.18326E-09 1.45594E-14
5.50215E-09 1.45592E-14
5.83057E-09 1.45589E-14
6.16850E-09 1.45587E-14
6.51596E-09 1.45584E-14
6.87293E-09 1.45582E-14
7.23942E-09 1.45579E-14
7.61544E-09 1.45577E-14
1.18991E-08 1.45547E-14
1.71347E-08 1.45510E-14
2.33223E-08 1.45467E-14
3.04617E-08 1.45417E-14
3.85531E-08 1.45360E-14
4.75965E-08 1.45297E-14
5.75917E-08 1.45227E-14
6.85389E-08 1.45151E-14
8.04380E-08 1.45068E-14
9.32891E-08 1.44979E-14
1.07092E-07 1.44883E-14
1.21847E-07 1.44781E-14
1.37554E-07 1.44672E-14
1.54213E-07 1.44557E-14
1.71823E-07 1.44436E-14
1.90386E-07 1.44309E-14
2.09900E-07 1.44175E-14
2.30367E-07 1.44036E-14
2.51785E-07 1.43890E-14
2.74156E-07 1.43738E-14
2.97478E-07 1.43580E-14
3.21752E-07 1.43416E-14
3.46978E-07 1.43247E-14
3.73156E-07 1.43071E-14
4.00286E-07 1.42890E-14
4.28368E-07 1.42703E-14
4.57402E-07 1.42511E-14
4.87388E-07 1.42313E-14
5.18325E-07 1.42109E-14
5.50215E-07 1.41900E-14
5.83057E-07 1.41686E-14
6.16850E-07 1.41467E-14
6.51596E-07 1.41242E-14
6.87293E-07 1.41012E-14
7.23942E-07 1.40778E-14
7.61543E-07 1.40538E-14
1.18991E-06 1.37889E-14
1.71347E-06 1.34843E-14
2.33223E-06 1.31497E-14
3.04617E-06 1.27945E-14
3.85531E-06 1.24281E-14
4.75964E-06 1.20589E-14
5.75916E-06 1.16943E-14
6.85388E-06 1.13401E-14
8.04378E-06 1.10010E-14
9.32888E-06 1.06800E-14
1.07092E-05 1.03789E-14
1.21846E-05 1.00982E-14
1.37553E-05 9.83763E-15
1.54212E-05 9.59584E-15
1.71822E-05 9.37115E-15
1.90385E-05 9.16148E-15
2.09899E-05 8.96466E-15
2.30365E-05 8.77855E-15
2.51783E-05 8.60122E-15
2.74153E-05 8.43104E-15
2.97475E-05 8.26671E-15
3.21749E-05 8.10733E-15
3.46974E-05 7.95233E-15
3.73152E-05 7.80146E-15
4.00281E-05 7.65472E-15
4.28362E-05 7.51226E-15
4.57395E-05 7.37433E-15
4.87380E-05 7.24118E-15
5.18317E-05 7.11302E-15
5.50205E-05 6.98995E-15
5.83045E-05 6.87196E-15
6.16838E-05 6.75889E-15
6.51582E-05 6.65046E-15
6.87277E-05 6.54628E-15
7.23925E-05 6.44591E-15
7.61524E-05 6.34884E-15
9.21439E-05 5.98466E-15
1.09658E-04 5.64630E-15
1.28695E-04 5.33239E-15
1.49255E-04 5.04667E-15
1.71338E-04 4.78433E-15
1.94942E-04 4.53595E-15
2.20070E-04 4.29802E-15
2.46720E-04 4.07325E-15
2.74892E-04 3.86288E-15
3.04586E-04 3.66359E-15
3.35803E-04 3.47210E-15
3.68542E-04 3.28895E-15
4.02802E-04 3.11606E-15
4.38585E-04 2.95303E-15
4.75889E-04 2.79770E-15
5.14715E-04 2.64925E-15
5.55063E-04 2.50872E-15
5.96931E-04 2.37669E-15
6.40321E-04 2.25209E-15
6.85233E-04 2.13368E-15
7.31665E-04 2.02151E-15
7.79618E-04 1.91618E-15
8.29092E-04 1.81742E-15
8.80086E-04 1.72419E-15
9.32601E-04 1.63595E-15
9.86636E-04 1.55292E-15
1.04219E-03 1.47520E-15
1.09927E-03 1.40218E-15
1.15786E-03 1.33319E-15
1.21797E-03 1.26807E-15
1.27961E-03 1.20699E-15
1.34276E-03 1.14974E-15
1.40743E-03 1.09574E-15
1.47362E-03 1.04465E-15
1.54133E-03 9.96522E-16
1.61056E-03 9.51353E-16
1.68131E-03 9.08822E-16
1.75357E-03 8.68549E-16
1.82735E-03 8.30436E-16
1.90265E-03 7.94541E-16
1.97947E-03 7.60746E-16
2.05780E-03 7.28758E-16
2.13765E-03 6.98386E-16
2.21902E-03 6.69642E-16
2.30190E-03 6.42528E-16
2.38630E-03 6.16876E-16
2.47222E-03 5.92482E-16
2.55965E-03 5.69285E-16
2.64859E-03 5.47317E-16
2.73905E-03 5.26519E-16
2.83103E-03 5.06732E-16
