 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element:  V,  Z =  23,  atomic weight = 5.09415E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.96650E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 23
 #
 # Electron density: Read from file Data/z_023.d
 #                   Number of data points =  781
 #                   Volume integral = 2.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.24000E-23 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 3.74221E-17 cm**2 = 1.33637E+00 a0**2
 # 1st transport cross section = 5.21759E-19 cm**2 = 1.86323E-02 a0**2
 # 2nd transport cross section = 1.23262E-18 cm**2 = 4.40176E-02 a0**2
 #
 #    Absorption cross section = 1.50414E-17 cm**2 = 5.37137E-01 a0**2
 #   Grand total cross section = 5.24703E-17 cm**2 = 1.87375E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.80010E-15
7.61557E-13 2.80010E-15
1.18994E-12 2.80010E-15
1.71346E-12 2.80010E-15
2.33225E-12 2.80010E-15
3.04617E-12 2.80010E-15
3.85530E-12 2.80010E-15
4.75964E-12 2.80010E-15
5.75917E-12 2.80010E-15
6.85391E-12 2.80010E-15
8.04379E-12 2.80010E-15
9.32893E-12 2.80010E-15
1.07092E-11 2.80010E-15
1.21847E-11 2.80011E-15
1.37554E-11 2.80011E-15
1.54213E-11 2.80011E-15
1.71823E-11 2.80011E-15
1.90386E-11 2.80011E-15
2.09900E-11 2.80011E-15
2.30367E-11 2.80011E-15
2.51785E-11 2.80011E-15
2.74156E-11 2.80012E-15
2.97478E-11 2.80012E-15
3.21752E-11 2.80012E-15
3.46979E-11 2.80012E-15
3.73157E-11 2.80012E-15
4.00286E-11 2.80012E-15
4.28368E-11 2.80013E-15
4.57402E-11 2.80013E-15
4.87388E-11 2.80013E-15
5.18325E-11 2.80013E-15
5.50215E-11 2.80014E-15
5.83057E-11 2.80014E-15
6.16850E-11 2.80014E-15
6.51595E-11 2.80014E-15
6.87293E-11 2.80014E-15
7.23943E-11 2.80015E-15
7.61544E-11 2.80015E-15
1.18991E-10 2.80018E-15
1.71347E-10 2.80022E-15
2.33223E-10 2.80026E-15
3.04617E-10 2.80031E-15
3.85531E-10 2.80036E-15
4.75965E-10 2.80042E-15
5.75917E-10 2.80049E-15
6.85389E-10 2.80057E-15
8.04380E-10 2.80065E-15
9.32891E-10 2.80074E-15
1.07092E-09 2.80083E-15
1.21847E-09 2.80094E-15
1.37554E-09 2.80104E-15
1.54213E-09 2.80116E-15
1.71823E-09 2.80128E-15
1.90386E-09 2.80141E-15
2.09900E-09 2.80154E-15
2.30367E-09 2.80168E-15
2.51785E-09 2.80183E-15
2.74156E-09 2.80198E-15
2.97478E-09 2.80214E-15
3.21752E-09 2.80231E-15
3.46978E-09 2.80248E-15
3.73156E-09 2.80266E-15
4.00286E-09 2.80285E-15
4.28368E-09 2.80304E-15
4.57402E-09 2.80324E-15
4.87388E-09 2.80345E-15
5.18326E-09 2.80366E-15
5.50215E-09 2.80388E-15
5.83057E-09 2.80411E-15
6.16850E-09 2.80434E-15
6.51596E-09 2.80458E-15
6.87293E-09 2.80482E-15
7.23942E-09 2.80507E-15
7.61544E-09 2.80533E-15
1.18991E-08 2.80827E-15
1.71347E-08 2.81186E-15
2.33223E-08 2.81610E-15
3.04617E-08 2.82098E-15
3.85531E-08 2.82651E-15
4.75965E-08 2.83267E-15
5.75917E-08 2.83946E-15
6.85389E-08 2.84688E-15
8.04380E-08 2.85492E-15
9.32891E-08 2.86358E-15
1.07092E-07 2.87286E-15
1.21847E-07 2.88274E-15
1.37554E-07 2.89321E-15
1.54213E-07 2.90428E-15
1.71823E-07 2.91593E-15
1.90386E-07 2.92816E-15
2.09900E-07 2.94095E-15
2.30367E-07 2.95430E-15
2.51785E-07 2.96819E-15
2.74156E-07 2.98262E-15
2.97478E-07 2.99758E-15
3.21752E-07 3.01306E-15
3.46978E-07 3.02904E-15
3.73156E-07 3.04551E-15
