 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element: Mn,  Z =  25,  atomic weight = 5.49380E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.06763E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 25
 #
 # Electron density: Read from file Data/z_025.d
 #                   Number of data points =  767
 #                   Volume integral = 2.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 6.34000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.40000E-24 cm**3
 #                            Bpol = 5.00000E+00
 #
 # Total elastic cross section = 1.72604E-16 cm**2 = 6.16378E+00 a0**2
 # 1st transport cross section = 1.78244E-17 cm**2 = 6.36520E-01 a0**2
 # 2nd transport cross section = 3.33220E-17 cm**2 = 1.18995E+00 a0**2
 #
 #    Absorption cross section = 2.42063E-16 cm**2 = 8.64422E+00 a0**2
 #   Grand total cross section = 4.14671E-16 cm**2 = 1.48082E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.55825E-15
7.61557E-13 1.55825E-15
1.18994E-12 1.55825E-15
1.71346E-12 1.55825E-15
2.33225E-12 1.55825E-15
3.04617E-12 1.55825E-15
3.85530E-12 1.55825E-15
4.75964E-12 1.55825E-15
5.75917E-12 1.55825E-15
6.85391E-12 1.55825E-15
8.04379E-12 1.55825E-15
9.32893E-12 1.55825E-15
1.07092E-11 1.55825E-15
1.21847E-11 1.55825E-15
1.37554E-11 1.55825E-15
1.54213E-11 1.55825E-15
1.71823E-11 1.55825E-15
1.90386E-11 1.55825E-15
2.09900E-11 1.55825E-15
2.30367E-11 1.55825E-15
2.51785E-11 1.55825E-15
2.74156E-11 1.55825E-15
2.97478E-11 1.55825E-15
3.21752E-11 1.55825E-15
3.46979E-11 1.55825E-15
3.73157E-11 1.55825E-15
4.00286E-11 1.55825E-15
4.28368E-11 1.55825E-15
4.57402E-11 1.55825E-15
4.87388E-11 1.55825E-15
5.18325E-11 1.55825E-15
5.50215E-11 1.55825E-15
5.83057E-11 1.55825E-15
6.16850E-11 1.55825E-15
6.51595E-11 1.55825E-15
6.87293E-11 1.55825E-15
7.23943E-11 1.55825E-15
7.61544E-11 1.55825E-15
1.18991E-10 1.55825E-15
1.71347E-10 1.55825E-15
2.33223E-10 1.55825E-15
3.04617E-10 1.55825E-15
3.85531E-10 1.55825E-15
4.75965E-10 1.55825E-15
5.75917E-10 1.55825E-15
6.85389E-10 1.55824E-15
8.04380E-10 1.55824E-15
9.32891E-10 1.55824E-15
1.07092E-09 1.55824E-15
1.21847E-09 1.55824E-15
1.37554E-09 1.55823E-15
1.54213E-09 1.55823E-15
1.71823E-09 1.55823E-15
1.90386E-09 1.55823E-15
2.09900E-09 1.55823E-15
2.30367E-09 1.55822E-15
2.51785E-09 1.55822E-15
2.74156E-09 1.55822E-15
2.97478E-09 1.55821E-15
3.21752E-09 1.55821E-15
3.46978E-09 1.55821E-15
3.73156E-09 1.55820E-15
4.00286E-09 1.55820E-15
4.28368E-09 1.55820E-15
4.57402E-09 1.55819E-15
4.87388E-09 1.55819E-15
5.18326E-09 1.55818E-15
5.50215E-09 1.55818E-15
5.83057E-09 1.55817E-15
6.16850E-09 1.55817E-15
6.51596E-09 1.55817E-15
6.87293E-09 1.55816E-15
7.23942E-09 1.55816E-15
7.61544E-09 1.55815E-15
1.18991E-08 1.55809E-15
1.71347E-08 1.55802E-15
2.33223E-08 1.55794E-15
3.04617E-08 1.55784E-15
3.85531E-08 1.55774E-15
4.75965E-08 1.55761E-15
5.75917E-08 1.55748E-15
6.85389E-08 1.55733E-15
8.04380E-08 1.55717E-15
9.32891E-08 1.55700E-15
1.07092E-07 1.55682E-15
1.21847E-07 1.55662E-15
1.37554E-07 1.55641E-15
1.54213E-07 1.55619E-15
1.71823E-07 1.55595E-15
1.90386E-07 1.55570E-15
2.09900E-07 1.55544E-15
2.30367E-07 1.55517E-15
2.51785E-07 1.55489E-15
2.74156E-07 1.55459E-15
2.97478E-07 1.55428E-15
3.21752E-07 1.55396E-15
3.46978E-07 1.55362E-15
3.73156E-07 1.55327E-15
4.00286E-07 1.55291E-15
4.28368E-07 1.55254E-15
4.57402E-07 1.55216E-15
4.87388E-07 1.55176E-15
5.18325E-07 1.55136E-15
5.50215E-07 1.55094E-15
5.83057E-07 1.55051E-15
6.16850E-07 1.55006E-15
6.51596E-07 1.54961E-15
6.87293E-07 1.54914E-15
7.23942E-07 1.54866E-15
7.61543E-07 1.54817E-15
1.18991E-06 1.54264E-15
1.71347E-06 1.53601E-15
2.33223E-06 1.52835E-15
3.04617E-06 1.51976E-15
3.85531E-06 1.51032E-15
4.75964E-06 1.50014E-15
5.75916E-06 1.48931E-15
6.85388E-06 1.47795E-15
8.04378E-06 1.46617E-15
9.32888E-06 1.45407E-15
1.07092E-05 1.44176E-15
1.21846E-05 1.42935E-15
1.37553E-05 1.41692E-15
1.54212E-05 1.40458E-15
1.71822E-05 1.39240E-15
1.90385E-05 1.38046E-15
2.09899E-05 1.36883E-15
2.30365E-05 1.35757E-15
2.51783E-05 1.34672E-15
2.74153E-05 1.33633E-15
2.97475E-05 1.32642E-15
3.21749E-05 1.31702E-15
3.46974E-05 1.30814E-15
3.73152E-05 1.29980E-15
4.00281E-05 1.29198E-15
4.28362E-05 1.28469E-15
4.57395E-05 1.27792E-15
4.87380E-05 1.27165E-15
5.18317E-05 1.26587E-15
5.50205E-05 1.26055E-15
5.83045E-05 1.25568E-15
6.16838E-05 1.25123E-15
6.51582E-05 1.24717E-15
6.87277E-05 1.24348E-15
7.23925E-05 1.24015E-15
7.61524E-05 1.23714E-15
9.21439E-05 1.22794E-15
1.09658E-04 1.22250E-15
1.28695E-04 1.22006E-15
1.49255E-04 1.22018E-15
1.71338E-04 1.22260E-15
1.94942E-04 1.22701E-15
2.20070E-04 1.23306E-15
2.46720E-04 1.24023E-15
2.74892E-04 1.24799E-15
3.04586E-04 1.25585E-15
3.35803E-04 1.26344E-15
3.68542E-04 1.27057E-15
4.02802E-04 1.27720E-15
4.38585E-04 1.28337E-15
4.75889E-04 1.28909E-15
5.14715E-04 1.29434E-15
5.55063E-04 1.29900E-15
5.96931E-04 1.30287E-15
6.40321E-04 1.30574E-15
6.85233E-04 1.30743E-15
7.31665E-04 1.30788E-15
7.79618E-04 1.30709E-15
8.29092E-04 1.30516E-15
8.80086E-04 1.30224E-15
9.32601E-04 1.29843E-15
9.86636E-04 1.29381E-15
1.04219E-03 1.28838E-15
1.09927E-03 1.28209E-15
1.15786E-03 1.27486E-15
1.21797E-03 1.26665E-15
1.27961E-03 1.25747E-15
1.34276E-03 1.24737E-15
1.40743E-03 1.23645E-15
1.47362E-03 1.22487E-15
1.54133E-03 1.21271E-15
1.61056E-03 1.20007E-15
1.68131E-03 1.18698E-15
1.75357E-03 1.17342E-15
1.82735E-03 1.15937E-15
1.90265E-03 1.14483E-15
1.97947E-03 1.12981E-15
2.05780E-03 1.11436E-15
2.13765E-03 1.09856E-15
2.21902E-03 1.08251E-15
2.30190E-03 1.06630E-15
2.38630E-03 1.04997E-15
2.47222E-03 1.03357E-15
2.55965E-03 1.01708E-15
2.64859E-03 1.00049E-15
2.73905E-03 9.83793E-16
2.83103E-03 9.67001E-16
2.92452E-03 9.50143E-16
3.01952E-03 9.33271E-16
3.11604E-03 9.16446E-16
3.21407E-03 8.99721E-16
3.31362E-03 8.83132E-16
3.41468E-03 8.66693E-16
3.51725E-03 8.50398E-16
3.62133E-03 8.34234E-16
3.72692E-03 8.18186E-16
3.83403E-03 8.02255E-16
3.94265E-03 7.86456E-16
4.05278E-03 7.70815E-16
4.16442E-03 7.55369E-16
4.27757E-03 7.40149E-16
4.39223E-03 7.25173E-16
4.50840E-03 7.10448E-16
4.62608E-03 6.95965E-16
4.74527E-03 6.81708E-16
4.86597E-03 6.67663E-16
4.98817E-03 6.53824E-16
5.11188E-03 6.40193E-16
5.23711E-03 6.26784E-16
5.36383E-03 6.13616E-16
5.49207E-03 6.00704E-16
5.62181E-03 5.88059E-16
5.75306E-03 5.75680E-16
5.88581E-03 5.63555E-16
6.02007E-03 5.51672E-16
6.15583E-03 5.40014E-16
6.29310E-03 5.28573E-16
6.43187E-03 5.17347E-16
6.57214E-03 5.06340E-16
6.71392E-03 4.95563E-16
6.85720E-03 4.85023E-16
7.00198E-03 4.74725E-16
7.14827E-03 4.64665E-16
7.29605E-03 4.54834E-16
7.44534E-03 4.45220E-16
7.59612E-03 4.35810E-16
7.97965E-03 4.13127E-16
8.37255E-03 3.91656E-16
8.77480E-03 3.71429E-16
9.18641E-03 3.52355E-16
9.60736E-03 3.34300E-16
1.00376E-02 3.17231E-16
1.04773E-02 3.01159E-16
1.09262E-02 2.86013E-16
1.13844E-02 2.71688E-16
1.18520E-02 2.58150E-16
1.23288E-02 2.45402E-16
1.28150E-02 2.33391E-16
1.33104E-02 2.22038E-16
1.38150E-02 2.11311E-16
1.43290E-02 2.01208E-16
1.48521E-02 1.91690E-16
1.53845E-02 1.82698E-16
1.59262E-02 1.74203E-16
1.64770E-02 1.66200E-16
1.70371E-02 1.58659E-16
1.76063E-02 1.51534E-16
1.81848E-02 1.44800E-16
1.87724E-02 1.38449E-16
1.93692E-02 1.32458E-16
1.99751E-02 1.26792E-16
2.05901E-02 1.21429E-16
2.12143E-02 1.16360E-16
2.18476E-02 1.11567E-16
2.24900E-02 1.07024E-16
2.31415E-02 1.02712E-16
2.38021E-02 9.86230E-17
2.44717E-02 9.47439E-17
2.51504E-02 9.10549E-17
2.58382E-02 8.75423E-17
2.65349E-02 8.41989E-17
2.72407E-02 8.10151E-17
2.79555E-02 7.79775E-17
2.86793E-02 7.50761E-17
2.94120E-02 7.23053E-17
3.01537E-02 6.96583E-17
3.09043E-02 6.71264E-17
3.16639E-02 6.47028E-17
3.24324E-02 6.23831E-17
3.32098E-02 6.01623E-17
3.39961E-02 5.80349E-17
3.47912E-02 5.59965E-17
3.55952E-02 5.40433E-17
3.64081E-02 5.21714E-17
3.72297E-02 5.03771E-17
3.80602E-02 4.86576E-17
3.88995E-02 4.70094E-17
3.97476E-02 4.54291E-17
4.06044E-02 4.39139E-17
4.14700E-02 4.24619E-17
4.23443E-02 4.10700E-17
4.32273E-02 3.97347E-17
4.41190E-02 3.84537E-17
4.50194E-02 3.72258E-17
4.59284E-02 3.60483E-17
4.68461E-02 3.49176E-17
4.87074E-02 3.27898E-17
5.06030E-02 3.08285E-17
5.25328E-02 2.90150E-17
5.44967E-02 2.73393E-17
5.64946E-02 2.57846E-17
5.85262E-02 2.43449E-17
6.05914E-02 2.30055E-17
6.26901E-02 2.17633E-17
6.48222E-02 2.06057E-17
6.69873E-02 1.95316E-17
6.91854E-02 1.85298E-17
7.14163E-02 1.76004E-17
7.36799E-02 1.67333E-17
7.59760E-02 1.59285E-17
7.83043E-02 1.51774E-17
8.06647E-02 1.44793E-17
8.30571E-02 1.38272E-17
8.54812E-02 1.32196E-17
8.79369E-02 1.26511E-17
9.04240E-02 1.21194E-17
9.29422E-02 1.16213E-17
9.54915E-02 1.11533E-17
9.80716E-02 1.07144E-17
1.00682E-01 1.03004E-17
1.03323E-01 9.91184E-18
1.05995E-01 9.54394E-18
1.08696E-01 9.19870E-18
1.11427E-01 8.87088E-18
1.14188E-01 8.56309E-18
1.16978E-01 8.27027E-18
1.19797E-01 7.99493E-18
1.22645E-01 7.73265E-18
1.25522E-01 7.48526E-18
1.28428E-01 7.24952E-18
1.31361E-01 7.02610E-18
1.34323E-01 6.81327E-18
1.37313E-01 6.61040E-18
1.40330E-01 6.41733E-18
1.43375E-01 6.23222E-18
1.46447E-01 6.05624E-18
1.49545E-01 5.88670E-18
1.52671E-01 5.72558E-18
1.55823E-01 5.56994E-18
1.59001E-01 5.42181E-18
1.62205E-01 5.27869E-18
1.65435E-01 5.14198E-18
1.68690E-01 5.01017E-18
1.71970E-01 4.88353E-18
1.75276E-01 4.76184E-18
1.78606E-01 4.64417E-18
1.81961E-01 4.53146E-18
1.85340E-01 4.42189E-18
1.88743E-01 4.31704E-18
1.92169E-01 4.21490E-18
1.95619E-01 4.11696E-18
1.99092E-01 4.02173E-18
2.02589E-01 3.92996E-18
2.06107E-01 3.84115E-18
2.09649E-01 3.75502E-18
2.13212E-01 3.67210E-18
2.16797E-01 3.59127E-18
2.20404E-01 3.51365E-18
2.24032E-01 3.43786E-18
2.27680E-01 3.36490E-18
2.31350E-01 3.29387E-18
2.35040E-01 3.22505E-18
2.38751E-01 3.15840E-18
2.42481E-01 3.09333E-18
2.46231E-01 3.03058E-18
2.50000E-01 2.96908E-18
2.53788E-01 2.90974E-18
2.57595E-01 2.85172E-18
2.61421E-01 2.79545E-18
2.65264E-01 2.74078E-18
2.69126E-01 2.68740E-18
2.73005E-01 2.63586E-18
2.76901E-01 2.58539E-18
2.80814E-01 2.53666E-18
2.84744E-01 2.48912E-18
2.88691E-01 2.44295E-18
2.92653E-01 2.39819E-18
2.96632E-01 2.35441E-18
3.00625E-01 2.31213E-18
3.04634E-01 2.27070E-18
3.08658E-01 2.23052E-18
3.12697E-01 2.19132E-18
3.16749E-01 2.15301E-18
3.20816E-01 2.11583E-18
3.24896E-01 2.07933E-18
3.28990E-01 2.04389E-18
3.33097E-01 2.00922E-18
3.37216E-01 1.97535E-18
3.41348E-01 1.94246E-18
3.45492E-01 1.91019E-18
3.49647E-01 1.87890E-18
3.53814E-01 1.84831E-18
3.57992E-01 1.81849E-18
3.62181E-01 1.78954E-18
3.66381E-01 1.76119E-18
3.70590E-01 1.73369E-18
3.74810E-01 1.70682E-18
3.79039E-01 1.68058E-18
3.83277E-01 1.65508E-18
