 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file Data/z_026.d
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.60000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.40000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 1.97413E-16 cm**2 = 7.04976E+00 a0**2
 # 1st transport cross section = 3.08020E-17 cm**2 = 1.09996E+00 a0**2
 # 2nd transport cross section = 3.55923E-17 cm**2 = 1.27102E+00 a0**2
 #
 #    Absorption cross section = 1.32071E-16 cm**2 = 4.71635E+00 a0**2
 #   Grand total cross section = 3.29492E-16 cm**2 = 1.17664E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 8.96640E-15
7.61557E-13 8.96640E-15
1.18994E-12 8.96640E-15
1.71346E-12 8.96640E-15
2.33225E-12 8.96640E-15
3.04617E-12 8.96640E-15
3.85530E-12 8.96640E-15
4.75964E-12 8.96640E-15
5.75917E-12 8.96640E-15
6.85391E-12 8.96640E-15
8.04379E-12 8.96640E-15
9.32893E-12 8.96640E-15
1.07092E-11 8.96640E-15
1.21847E-11 8.96640E-15
1.37554E-11 8.96640E-15
1.54213E-11 8.96639E-15
1.71823E-11 8.96639E-15
1.90386E-11 8.96639E-15
2.09900E-11 8.96639E-15
2.30367E-11 8.96639E-15
2.51785E-11 8.96639E-15
2.74156E-11 8.96639E-15
2.97478E-11 8.96639E-15
3.21752E-11 8.96639E-15
3.46979E-11 8.96639E-15
3.73157E-11 8.96639E-15
4.00286E-11 8.96639E-15
4.28368E-11 8.96639E-15
4.57402E-11 8.96639E-15
4.87388E-11 8.96639E-15
5.18325E-11 8.96639E-15
5.50215E-11 8.96639E-15
5.83057E-11 8.96639E-15
6.16850E-11 8.96639E-15
6.51595E-11 8.96639E-15
6.87293E-11 8.96639E-15
7.23943E-11 8.96639E-15
7.61544E-11 8.96639E-15
1.18991E-10 8.96638E-15
1.71347E-10 8.96638E-15
2.33223E-10 8.96637E-15
3.04617E-10 8.96636E-15
3.85531E-10 8.96636E-15
4.75965E-10 8.96635E-15
5.75917E-10 8.96633E-15
6.85389E-10 8.96632E-15
8.04380E-10 8.96631E-15
9.32891E-10 8.96630E-15
1.07092E-09 8.96628E-15
1.21847E-09 8.96627E-15
1.37554E-09 8.96625E-15
1.54213E-09 8.96623E-15
1.71823E-09 8.96621E-15
1.90386E-09 8.96619E-15
2.09900E-09 8.96617E-15
2.30367E-09 8.96615E-15
2.51785E-09 8.96613E-15
2.74156E-09 8.96610E-15
2.97478E-09 8.96608E-15
3.21752E-09 8.96605E-15
3.46978E-09 8.96602E-15
3.73156E-09 8.96600E-15
4.00286E-09 8.96597E-15
4.28368E-09 8.96594E-15
4.57402E-09 8.96591E-15
4.87388E-09 8.96587E-15
5.18326E-09 8.96584E-15
5.50215E-09 8.96581E-15
5.83057E-09 8.96577E-15
6.16850E-09 8.96574E-15
6.51596E-09 8.96570E-15
6.87293E-09 8.96566E-15
7.23942E-09 8.96562E-15
7.61544E-09 8.96558E-15
1.18991E-08 8.96512E-15
1.71347E-08 8.96456E-15
2.33223E-08 8.96390E-15
3.04617E-08 8.96314E-15
3.85531E-08 8.96227E-15
4.75965E-08 8.96130E-15
5.75917E-08 8.96023E-15
6.85389E-08 8.95906E-15
8.04380E-08 8.95779E-15
9.32891E-08 8.95642E-15
1.07092E-07 8.95495E-15
1.21847E-07 8.95338E-15
1.37554E-07 8.95170E-15
1.54213E-07 8.94993E-15
1.71823E-07 8.94805E-15
1.90386E-07 8.94608E-15
2.09900E-07 8.94401E-15
2.30367E-07 8.94183E-15
2.51785E-07 8.93956E-15
2.74156E-07 8.93719E-15
2.97478E-07 8.93472E-15
3.21752E-07 8.93215E-15
3.46978E-07 8.92949E-15
3.73156E-07 8.92672E-15
4.00286E-07 8.92386E-15
4.28368E-07 8.92090E-15
4.57402E-07 8.91785E-15
4.87388E-07 8.91470E-15
5.18325E-07 8.91145E-15
5.50215E-07 8.90811E-15
5.83057E-07 8.90467E-15
6.16850E-07 8.90113E-15
6.51596E-07 8.89750E-15
6.87293E-07 8.89378E-15
7.23942E-07 8.88997E-15
7.61543E-07 8.88606E-15
1.18991E-06 8.84193E-15
1.71347E-06 8.78902E-15
2.33223E-06 8.72789E-15
3.04617E-06 8.65919E-15
3.85531E-06 8.58362E-15
4.75964E-06 8.50193E-15
5.75916E-06 8.41490E-15
6.85388E-06 8.32333E-15
8.04378E-06 8.22800E-15
9.32888E-06 8.12970E-15
1.07092E-05 8.02919E-15
1.21846E-05 7.92717E-15
1.37553E-05 7.82432E-15
1.54212E-05 7.72127E-15
1.71822E-05 7.61855E-15
1.90385E-05 7.51668E-15
2.09899E-05 7.41606E-15
2.30365E-05 7.31707E-15
2.51783E-05 7.21999E-15
2.74153E-05 7.12504E-15
2.97475E-05 7.03239E-15
3.21749E-05 6.94214E-15
3.46974E-05 6.85435E-15
3.73152E-05 6.76902E-15
4.00281E-05 6.68611E-15
4.28362E-05 6.60555E-15
4.57395E-05 6.52724E-15
4.87380E-05 6.45105E-15
5.18317E-05 6.37686E-15
5.50205E-05 6.30451E-15
5.83045E-05 6.23385E-15
6.16838E-05 6.16472E-15
6.51582E-05 6.09698E-15
6.87277E-05 6.03050E-15
7.23925E-05 5.96514E-15
7.61524E-05 5.90079E-15
9.21439E-05 5.65181E-15
1.09658E-04 5.41421E-15
1.28695E-04 5.18786E-15
1.49255E-04 4.97428E-15
1.71338E-04 4.77464E-15
1.94942E-04 4.58865E-15
2.20070E-04 4.41456E-15
2.46720E-04 4.25000E-15
2.74892E-04 4.09296E-15
3.04586E-04 3.94240E-15
3.35803E-04 3.79821E-15
3.68542E-04 3.66075E-15
4.02802E-04 3.53022E-15
4.38585E-04 3.40634E-15
4.75889E-04 3.28832E-15
5.14715E-04 3.17522E-15
5.55063E-04 3.06628E-15
5.96931E-04 2.96115E-15
6.40321E-04 2.85987E-15
6.85233E-04 2.76259E-15
7.31665E-04 2.66938E-15
7.79618E-04 2.58003E-15
8.29092E-04 2.49417E-15
8.80086E-04 2.41133E-15
9.32601E-04 2.33122E-15
9.86636E-04 2.25372E-15
1.04219E-03 2.17890E-15
1.09927E-03 2.10683E-15
1.15786E-03 2.03751E-15
1.21797E-03 1.97081E-15
1.27961E-03 1.90650E-15
1.34276E-03 1.84434E-15
1.40743E-03 1.78418E-15
1.47362E-03 1.72600E-15
1.54133E-03 1.66984E-15
1.61056E-03 1.61574E-15
1.68131E-03 1.56367E-15
1.75357E-03 1.51351E-15
1.82735E-03 1.46511E-15
1.90265E-03 1.41834E-15
1.97947E-03 1.37312E-15
2.05780E-03 1.32945E-15
2.13765E-03 1.28734E-15
2.21902E-03 1.24680E-15
2.30190E-03 1.20779E-15
2.38630E-03 1.17022E-15
2.47222E-03 1.13397E-15
2.55965E-03 1.09896E-15
2.64859E-03 1.06516E-15
2.73905E-03 1.03254E-15
2.83103E-03 1.00113E-15
2.92452E-03 9.70889E-16
3.01952E-03 9.41786E-16
3.11604E-03 9.13744E-16
3.21407E-03 8.86688E-16
3.31362E-03 8.60563E-16
3.41468E-03 8.35343E-16
3.51725E-03 8.11021E-16
3.62133E-03 7.87592E-16
3.72692E-03 7.65033E-16
3.83403E-03 7.43300E-16
3.94265E-03 7.22338E-16
4.05278E-03 7.02094E-16
4.16442E-03 6.82533E-16
4.27757E-03 6.63638E-16
4.39223E-03 6.45402E-16
4.50840E-03 6.27815E-16
4.62608E-03 6.10855E-16
4.74527E-03 5.94486E-16
4.86597E-03 5.78667E-16
4.98817E-03 5.63363E-16
5.11188E-03 5.48553E-16
5.23711E-03 5.34227E-16
5.36383E-03 5.20379E-16
5.49207E-03 5.06998E-16
5.62181E-03 4.94065E-16
5.75306E-03 4.81553E-16
5.88581E-03 4.69433E-16
6.02007E-03 4.57683E-16
6.15583E-03 4.46292E-16
6.29310E-03 4.35253E-16
6.43187E-03 4.24560E-16
6.57214E-03 4.14206E-16
6.71392E-03 4.04174E-16
6.85720E-03 3.94445E-16
7.00198E-03 3.85001E-16
7.14827E-03 3.75828E-16
7.29605E-03 3.66919E-16
7.44534E-03 3.58271E-16
7.59612E-03 3.49880E-16
7.97965E-03 3.29966E-16
8.37255E-03 3.11422E-16
8.77480E-03 2.94136E-16
