 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+02 eV = 5.51240E+00 a.u.
 #
 # Element: Co,  Z =  27,  atomic weight = 5.89332E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.16393E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 27
 #
 # Electron density: Read from file Data/z_027.d
 #                   Number of data points =  757
 #                   Volume integral = 2.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.30000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.50000E-24 cm**3
 #                            Bpol = 2.50000E+00
 #
 # Total elastic cross section = 4.59321E-16 cm**2 = 1.64026E+01 a0**2
 # 1st transport cross section = 1.34018E-16 cm**2 = 4.78587E+00 a0**2
 # 2nd transport cross section = 1.21564E-16 cm**2 = 4.34112E+00 a0**2
 #
 #    Absorption cross section = 5.11835E-16 cm**2 = 1.82779E+01 a0**2
 #   Grand total cross section = 9.71176E-16 cm**2 = 3.46813E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 8.01396E-15
7.61557E-13 8.01396E-15
1.18994E-12 8.01396E-15
1.71346E-12 8.01396E-15
2.33225E-12 8.01396E-15
3.04617E-12 8.01396E-15
3.85530E-12 8.01396E-15
4.75964E-12 8.01396E-15
5.75917E-12 8.01396E-15
6.85391E-12 8.01396E-15
8.04379E-12 8.01396E-15
9.32893E-12 8.01396E-15
1.07092E-11 8.01396E-15
1.21847E-11 8.01396E-15
1.37554E-11 8.01396E-15
1.54213E-11 8.01396E-15
1.71823E-11 8.01396E-15
1.90386E-11 8.01396E-15
2.09900E-11 8.01396E-15
2.30367E-11 8.01396E-15
2.51785E-11 8.01396E-15
2.74156E-11 8.01396E-15
2.97478E-11 8.01396E-15
3.21752E-11 8.01396E-15
3.46979E-11 8.01396E-15
3.73157E-11 8.01396E-15
4.00286E-11 8.01396E-15
4.28368E-11 8.01396E-15
4.57402E-11 8.01396E-15
4.87388E-11 8.01396E-15
5.18325E-11 8.01396E-15
5.50215E-11 8.01396E-15
5.83057E-11 8.01396E-15
6.16850E-11 8.01396E-15
6.51595E-11 8.01396E-15
6.87293E-11 8.01396E-15
7.23943E-11 8.01396E-15
7.61544E-11 8.01396E-15
1.18991E-10 8.01395E-15
1.71347E-10 8.01395E-15
2.33223E-10 8.01395E-15
3.04617E-10 8.01395E-15
3.85531E-10 8.01395E-15
4.75965E-10 8.01395E-15
5.75917E-10 8.01395E-15
6.85389E-10 8.01395E-15
8.04380E-10 8.01394E-15
9.32891E-10 8.01394E-15
1.07092E-09 8.01394E-15
1.21847E-09 8.01394E-15
1.37554E-09 8.01393E-15
1.54213E-09 8.01393E-15
1.71823E-09 8.01393E-15
1.90386E-09 8.01393E-15
2.09900E-09 8.01392E-15
2.30367E-09 8.01392E-15
2.51785E-09 8.01392E-15
2.74156E-09 8.01391E-15
2.97478E-09 8.01391E-15
3.21752E-09 8.01390E-15
3.46978E-09 8.01390E-15
3.73156E-09 8.01390E-15
4.00286E-09 8.01389E-15
4.28368E-09 8.01389E-15
4.57402E-09 8.01388E-15
4.87388E-09 8.01388E-15
5.18326E-09 8.01387E-15
5.50215E-09 8.01387E-15
5.83057E-09 8.01386E-15
6.16850E-09 8.01386E-15
6.51596E-09 8.01385E-15
6.87293E-09 8.01384E-15
7.23942E-09 8.01384E-15
7.61544E-09 8.01383E-15
1.18991E-08 8.01376E-15
1.71347E-08 8.01368E-15
2.33223E-08 8.01357E-15
3.04617E-08 8.01346E-15
3.85531E-08 8.01332E-15
4.75965E-08 8.01318E-15
5.75917E-08 8.01301E-15
6.85389E-08 8.01283E-15
8.04380E-08 8.01264E-15
9.32891E-08 8.01243E-15
1.07092E-07 8.01220E-15
1.21847E-07 8.01196E-15
1.37554E-07 8.01170E-15
1.54213E-07 8.01143E-15
1.71823E-07 8.01114E-15
1.90386E-07 8.01083E-15
2.09900E-07 8.01051E-15
2.30367E-07 8.01018E-15
2.51785E-07 8.00983E-15
2.74156E-07 8.00946E-15
2.97478E-07 8.00908E-15
3.21752E-07 8.00868E-15
3.46978E-07 8.00827E-15
