 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Co,  Z =  27,  atomic weight = 5.89332E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.16393E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 27
 #
 # Electron density: Read from file Data/z_027.d
 #                   Number of data points =  757
 #                   Volume integral = 2.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.30000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.50000E-24 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 7.76118E-17 cm**2 = 2.77157E+00 a0**2
 # 1st transport cross section = 4.52101E-18 cm**2 = 1.61448E-01 a0**2
 # 2nd transport cross section = 8.30984E-18 cm**2 = 2.96750E-01 a0**2
 #
 #    Absorption cross section = 3.43370E-17 cm**2 = 1.22620E+00 a0**2
 #   Grand total cross section = 1.11954E-16 cm**2 = 3.99794E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.19205E-15
7.61557E-13 7.19205E-15
1.18994E-12 7.19205E-15
1.71346E-12 7.19205E-15
2.33225E-12 7.19205E-15
3.04617E-12 7.19205E-15
3.85530E-12 7.19205E-15
4.75964E-12 7.19205E-15
5.75917E-12 7.19205E-15
6.85391E-12 7.19205E-15
8.04379E-12 7.19205E-15
9.32893E-12 7.19204E-15
1.07092E-11 7.19204E-15
1.21847E-11 7.19204E-15
1.37554E-11 7.19204E-15
1.54213E-11 7.19204E-15
1.71823E-11 7.19204E-15
1.90386E-11 7.19204E-15
2.09900E-11 7.19204E-15
2.30367E-11 7.19204E-15
2.51785E-11 7.19204E-15
2.74156E-11 7.19204E-15
2.97478E-11 7.19204E-15
3.21752E-11 7.19204E-15
3.46979E-11 7.19204E-15
3.73157E-11 7.19204E-15
4.00286E-11 7.19203E-15
4.28368E-11 7.19203E-15
4.57402E-11 7.19203E-15
4.87388E-11 7.19203E-15
5.18325E-11 7.19203E-15
5.50215E-11 7.19203E-15
5.83057E-11 7.19203E-15
6.16850E-11 7.19203E-15
6.51595E-11 7.19203E-15
6.87293E-11 7.19202E-15
7.23943E-11 7.19202E-15
7.61544E-11 7.19202E-15
1.18991E-10 7.19201E-15
1.71347E-10 7.19199E-15
2.33223E-10 7.19197E-15
3.04617E-10 7.19194E-15
3.85531E-10 7.19191E-15
4.75965E-10 7.19188E-15
5.75917E-10 7.19185E-15
6.85389E-10 7.19181E-15
8.04380E-10 7.19177E-15
9.32891E-10 7.19172E-15
1.07092E-09 7.19167E-15
1.21847E-09 7.19162E-15
1.37554E-09 7.19157E-15
1.54213E-09 7.19151E-15
1.71823E-09 7.19145E-15
1.90386E-09 7.19138E-15
2.09900E-09 7.19132E-15
2.30367E-09 7.19124E-15
2.51785E-09 7.19117E-15
2.74156E-09 7.19109E-15
2.97478E-09 7.19101E-15
3.21752E-09 7.19093E-15
3.46978E-09 7.19084E-15
3.73156E-09 7.19075E-15
4.00286E-09 7.19065E-15
4.28368E-09 7.19055E-15
4.57402E-09 7.19045E-15
4.87388E-09 7.19035E-15
5.18326E-09 7.19024E-15
5.50215E-09 7.19013E-15
5.83057E-09 7.19002E-15
6.16850E-09 7.18990E-15
6.51596E-09 7.18978E-15
6.87293E-09 7.18965E-15
7.23942E-09 7.18952E-15
7.61544E-09 7.18939E-15
1.18991E-08 7.18790E-15
1.71347E-08 7.18608E-15
2.33223E-08 7.18393E-15
3.04617E-08 7.18145E-15
3.85531E-08 7.17864E-15
4.75965E-08 7.17551E-15
5.75917E-08 7.17206E-15
6.85389E-08 7.16828E-15
8.04380E-08 7.16418E-15
9.32891E-08 7.15977E-15
1.07092E-07 7.15503E-15
1.21847E-07 7.14999E-15
1.37554E-07 7.14463E-15
1.54213E-07 7.13896E-15
1.71823E-07 7.13299E-15
1.90386E-07 7.12671E-15
2.09900E-07 7.12014E-15
2.30367E-07 7.11326E-15
2.51785E-07 7.10610E-15
2.74156E-07 7.09864E-15
2.97478E-07 7.09090E-15
3.21752E-07 7.08287E-15
3.46978E-07 7.07456E-15
3.73156E-07 7.06598E-15
4.00286E-07 7.05713E-15
4.28368E-07 7.04800E-15
4.57402E-07 7.03862E-15
4.87388E-07 7.02898E-15
5.18325E-07 7.01908E-15
5.50215E-07 7.00893E-15
5.83057E-07 6.99854E-15
6.16850E-07 6.98791E-15
6.51596E-07 6.97704E-15
6.87293E-07 6.96594E-15
7.23942E-07 6.95461E-15
7.61543E-07 6.94306E-15
1.18991E-06 6.81654E-15
1.71347E-06 6.67371E-15
2.33223E-06 6.51997E-15
3.04617E-06 6.36054E-15
3.85531E-06 6.20006E-15
4.75964E-06 6.04240E-15
5.75916E-06 5.89051E-15
6.85388E-06 5.74638E-15
8.04378E-06 5.61111E-15
9.32888E-06 5.48500E-15
1.07092E-05 5.36769E-15
1.21846E-05 5.25838E-15
1.37553E-05 5.15601E-15
1.54212E-05 5.05941E-15
1.71822E-05 4.96745E-15
1.90385E-05 4.87916E-15
2.09899E-05 4.79380E-15
2.30365E-05 4.71088E-15
2.51783E-05 4.63016E-15
2.74153E-05 4.55159E-15
2.97475E-05 4.47527E-15
3.21749E-05 4.40138E-15
3.46974E-05 4.33010E-15
3.73152E-05 4.26157E-15
4.00281E-05 4.19584E-15
4.28362E-05 4.13288E-15
4.57395E-05 4.07254E-15
4.87380E-05 4.01460E-15
5.18317E-05 3.95877E-15
5.50205E-05 3.90476E-15
5.83045E-05 3.85228E-15
6.16838E-05 3.80108E-15
6.51582E-05 3.75097E-15
6.87277E-05 3.70184E-15
7.23925E-05 3.65364E-15
