 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Co,  Z =  27,  atomic weight = 5.89332E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.16393E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 27
 #
 # Electron density: Read from file Data/z_027.d
 #                   Number of data points =  757
 #                   Volume integral = 2.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.30000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.50000E-24 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 6.14756E-17 cm**2 = 2.19533E+00 a0**2
 # 1st transport cross section = 2.65418E-18 cm**2 = 9.47826E-02 a0**2
 # 2nd transport cross section = 5.24317E-18 cm**2 = 1.87237E-01 a0**2
 #
 #    Absorption cross section = 2.44711E-17 cm**2 = 8.73878E-01 a0**2
 #   Grand total cross section = 8.59516E-17 cm**2 = 3.06939E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.12386E-15
7.61557E-13 7.12386E-15
1.18994E-12 7.12386E-15
1.71346E-12 7.12385E-15
2.33225E-12 7.12385E-15
3.04617E-12 7.12385E-15
3.85530E-12 7.12385E-15
4.75964E-12 7.12385E-15
5.75917E-12 7.12385E-15
6.85391E-12 7.12385E-15
8.04379E-12 7.12385E-15
9.32893E-12 7.12385E-15
1.07092E-11 7.12385E-15
1.21847E-11 7.12385E-15
1.37554E-11 7.12385E-15
1.54213E-11 7.12385E-15
1.71823E-11 7.12385E-15
1.90386E-11 7.12385E-15
2.09900E-11 7.12385E-15
2.30367E-11 7.12384E-15
2.51785E-11 7.12384E-15
2.74156E-11 7.12384E-15
2.97478E-11 7.12384E-15
3.21752E-11 7.12384E-15
3.46979E-11 7.12384E-15
3.73157E-11 7.12384E-15
4.00286E-11 7.12384E-15
4.28368E-11 7.12383E-15
4.57402E-11 7.12383E-15
4.87388E-11 7.12383E-15
5.18325E-11 7.12383E-15
5.50215E-11 7.12383E-15
5.83057E-11 7.12383E-15
6.16850E-11 7.12383E-15
6.51595E-11 7.12382E-15
6.87293E-11 7.12382E-15
7.23943E-11 7.12382E-15
7.61544E-11 7.12382E-15
1.18991E-10 7.12380E-15
1.71347E-10 7.12377E-15
2.33223E-10 7.12374E-15
3.04617E-10 7.12371E-15
3.85531E-10 7.12367E-15
4.75965E-10 7.12362E-15
5.75917E-10 7.12357E-15
6.85389E-10 7.12352E-15
8.04380E-10 7.12346E-15
9.32891E-10 7.12340E-15
1.07092E-09 7.12333E-15
1.21847E-09 7.12326E-15
1.37554E-09 7.12318E-15
1.54213E-09 7.12310E-15
1.71823E-09 7.12302E-15
1.90386E-09 7.12292E-15
2.09900E-09 7.12283E-15
2.30367E-09 7.12273E-15
2.51785E-09 7.12262E-15
2.74156E-09 7.12251E-15
2.97478E-09 7.12240E-15
3.21752E-09 7.12228E-15
3.46978E-09 7.12216E-15
3.73156E-09 7.12203E-15
4.00286E-09 7.12190E-15
4.28368E-09 7.12176E-15
4.57402E-09 7.12162E-15
4.87388E-09 7.12147E-15
5.18326E-09 7.12132E-15
5.50215E-09 7.12117E-15
5.83057E-09 7.12100E-15
6.16850E-09 7.12084E-15
6.51596E-09 7.12067E-15
6.87293E-09 7.12050E-15
7.23942E-09 7.12032E-15
7.61544E-09 7.12013E-15
1.18991E-08 7.11804E-15
1.71347E-08 7.11549E-15
2.33223E-08 7.11248E-15
3.04617E-08 7.10901E-15
3.85531E-08 7.10508E-15
4.75965E-08 7.10070E-15
5.75917E-08 7.09588E-15
6.85389E-08 7.09060E-15
8.04380E-08 7.08489E-15
9.32891E-08 7.07874E-15
1.07092E-07 7.07215E-15
1.21847E-07 7.06513E-15
1.37554E-07 7.05769E-15
1.54213E-07 7.04983E-15
1.71823E-07 7.04156E-15
1.90386E-07 7.03288E-15
2.09900E-07 7.02379E-15
2.30367E-07 7.01431E-15
2.51785E-07 7.00444E-15
2.74156E-07 6.99419E-15
2.97478E-07 6.98356E-15
3.21752E-07 6.97257E-15
3.46978E-07 6.96121E-15
3.73156E-07 6.94950E-15
4.00286E-07 6.93744E-15
4.28368E-07 6.92504E-15
4.57402E-07 6.91231E-15
4.87388E-07 6.89926E-15
5.18325E-07 6.88590E-15
5.50215E-07 6.87223E-15
5.83057E-07 6.85826E-15
6.16850E-07 6.84401E-15
6.51596E-07 6.82947E-15
6.87293E-07 6.81467E-15
7.23942E-07 6.79960E-15
7.61543E-07 6.78428E-15
1.18991E-06 6.61923E-15
1.71347E-06 6.43903E-15
2.33223E-06 6.25239E-15
3.04617E-06 6.06685E-15
3.85531E-06 5.88821E-15
4.75964E-06 5.72037E-15
5.75916E-06 5.56536E-15
6.85388E-06 5.42357E-15
8.04378E-06 5.29416E-15
9.32888E-06 5.17549E-15
1.07092E-05 5.06554E-15
1.21846E-05 4.96233E-15
1.37553E-05 4.86419E-15
1.54212E-05 4.76990E-15
1.71822E-05 4.67880E-15
1.90385E-05 4.59065E-15
2.09899E-05 4.50559E-15
2.30365E-05 4.42389E-15
2.51783E-05 4.34586E-15
2.74153E-05 4.27169E-15
2.97475E-05 4.20137E-15
3.21749E-05 4.13468E-15
3.46974E-05 4.07125E-15
3.73152E-05 4.01056E-15
4.00281E-05 3.95211E-15
4.28362E-05 3.89542E-15
4.57395E-05 3.84015E-15
4.87380E-05 3.78610E-15
5.18317E-05 3.73321E-15
5.50205E-05 3.68151E-15
5.83045E-05 3.63111E-15
6.16838E-05 3.58211E-15
6.51582E-05 3.53459E-15
6.87277E-05 3.48854E-15
7.23925E-05 3.44387E-15
7.61524E-05 3.40042E-15
9.21439E-05 3.23501E-15
1.09658E-04 3.07814E-15
1.28695E-04 2.93117E-15
1.49255E-04 2.79299E-15
1.71338E-04 2.65973E-15
1.94942E-04 2.53228E-15
