 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element: Ni,  Z =  28,  atomic weight = 5.86934E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.15828E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 28
 #
 # Electron density: Read from file Data/z_028.d
 #                   Number of data points =  753
 #                   Volume integral = 2.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.39800E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 1.60066E-16 cm**2 = 5.71606E+00 a0**2
 # 1st transport cross section = 2.08306E-17 cm**2 = 7.43874E-01 a0**2
 # 2nd transport cross section = 3.71487E-17 cm**2 = 1.32660E+00 a0**2
 #
 #    Absorption cross section = 2.58078E-16 cm**2 = 9.21612E+00 a0**2
 #   Grand total cross section = 4.18148E-16 cm**2 = 1.49323E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.28174E-15
7.61557E-13 1.28174E-15
1.18994E-12 1.28174E-15
1.71346E-12 1.28174E-15
2.33225E-12 1.28174E-15
3.04617E-12 1.28174E-15
3.85530E-12 1.28174E-15
4.75964E-12 1.28174E-15
5.75917E-12 1.28174E-15
6.85391E-12 1.28174E-15
8.04379E-12 1.28174E-15
9.32893E-12 1.28174E-15
1.07092E-11 1.28174E-15
1.21847E-11 1.28174E-15
1.37554E-11 1.28174E-15
1.54213E-11 1.28174E-15
1.71823E-11 1.28174E-15
1.90386E-11 1.28174E-15
2.09900E-11 1.28174E-15
2.30367E-11 1.28174E-15
2.51785E-11 1.28174E-15
2.74156E-11 1.28174E-15
2.97478E-11 1.28174E-15
3.21752E-11 1.28174E-15
3.46979E-11 1.28174E-15
3.73157E-11 1.28174E-15
4.00286E-11 1.28174E-15
4.28368E-11 1.28174E-15
4.57402E-11 1.28174E-15
4.87388E-11 1.28174E-15
5.18325E-11 1.28174E-15
5.50215E-11 1.28174E-15
5.83057E-11 1.28174E-15
6.16850E-11 1.28174E-15
6.51595E-11 1.28174E-15
6.87293E-11 1.28174E-15
7.23943E-11 1.28174E-15
7.61544E-11 1.28174E-15
1.18991E-10 1.28174E-15
1.71347E-10 1.28174E-15
2.33223E-10 1.28174E-15
3.04617E-10 1.28174E-15
3.85531E-10 1.28174E-15
4.75965E-10 1.28174E-15
5.75917E-10 1.28174E-15
6.85389E-10 1.28174E-15
8.04380E-10 1.28173E-15
9.32891E-10 1.28173E-15
1.07092E-09 1.28173E-15
1.21847E-09 1.28173E-15
1.37554E-09 1.28173E-15
1.54213E-09 1.28173E-15
1.71823E-09 1.28173E-15
1.90386E-09 1.28173E-15
2.09900E-09 1.28173E-15
2.30367E-09 1.28172E-15
2.51785E-09 1.28172E-15
2.74156E-09 1.28172E-15
2.97478E-09 1.28172E-15
3.21752E-09 1.28172E-15
3.46978E-09 1.28172E-15
3.73156E-09 1.28171E-15
4.00286E-09 1.28171E-15
4.28368E-09 1.28171E-15
4.57402E-09 1.28171E-15
4.87388E-09 1.28171E-15
5.18326E-09 1.28170E-15
5.50215E-09 1.28170E-15
5.83057E-09 1.28170E-15
6.16850E-09 1.28170E-15
6.51596E-09 1.28169E-15
6.87293E-09 1.28169E-15
7.23942E-09 1.28169E-15
7.61544E-09 1.28169E-15
1.18991E-08 1.28166E-15
1.71347E-08 1.28162E-15
2.33223E-08 1.28157E-15
3.04617E-08 1.28152E-15
3.85531E-08 1.28146E-15
4.75965E-08 1.28140E-15
5.75917E-08 1.28133E-15
6.85389E-08 1.28125E-15
8.04380E-08 1.28117E-15
9.32891E-08 1.28107E-15
1.07092E-07 1.28098E-15
1.21847E-07 1.28087E-15
1.37554E-07 1.28076E-15
1.54213E-07 1.28064E-15
1.71823E-07 1.28052E-15
1.90386E-07 1.28038E-15
2.09900E-07 1.28025E-15
2.30367E-07 1.28010E-15
2.51785E-07 1.27995E-15
2.74156E-07 1.27979E-15
2.97478E-07 1.27962E-15
3.21752E-07 1.27945E-15
3.46978E-07 1.27927E-15
3.73156E-07 1.27909E-15
4.00286E-07 1.27890E-15
4.28368E-07 1.27870E-15
4.57402E-07 1.27849E-15
4.87388E-07 1.27828E-15
5.18325E-07 1.27806E-15
5.50215E-07 1.27784E-15
5.83057E-07 1.27761E-15
6.16850E-07 1.27737E-15
6.51596E-07 1.27713E-15
6.87293E-07 1.27687E-15
7.23942E-07 1.27662E-15
7.61543E-07 1.27635E-15
1.18991E-06 1.27337E-15
1.71347E-06 1.26976E-15
2.33223E-06 1.26556E-15
3.04617E-06 1.26080E-15
3.85531E-06 1.25549E-15
4.75964E-06 1.24969E-15
5.75916E-06 1.24343E-15
6.85388E-06 1.23674E-15
8.04378E-06 1.22968E-15
9.32888E-06 1.22228E-15
1.07092E-05 1.21458E-15
1.21846E-05 1.20663E-15
1.37553E-05 1.19848E-15
1.54212E-05 1.19016E-15
1.71822E-05 1.18171E-15
1.90385E-05 1.17319E-15
2.09899E-05 1.16462E-15
2.30365E-05 1.15605E-15
2.51783E-05 1.14750E-15
2.74153E-05 1.13902E-15
2.97475E-05 1.13062E-15
3.21749E-05 1.12234E-15
3.46974E-05 1.11420E-15
3.73152E-05 1.10622E-15
4.00281E-05 1.09843E-15
4.28362E-05 1.09082E-15
4.57395E-05 1.08343E-15
4.87380E-05 1.07625E-15
5.18317E-05 1.06930E-15
5.50205E-05 1.06257E-15
5.83045E-05 1.05609E-15
6.16838E-05 1.04984E-15
6.51582E-05 1.04382E-15
6.87277E-05 1.03804E-15
7.23925E-05 1.03249E-15
7.61524E-05 1.02716E-15
9.21439E-05 1.00797E-15
1.09658E-04 9.91828E-16
1.28695E-04 9.78207E-16
1.49255E-04 9.66643E-16
1.71338E-04 9.56767E-16
1.94942E-04 9.48317E-16
2.20070E-04 9.41123E-16
2.46720E-04 9.35068E-16
2.74892E-04 9.30051E-16
3.04586E-04 9.25963E-16
3.35803E-04 9.22667E-16
3.68542E-04 9.20005E-16
4.02802E-04 9.17807E-16
4.38585E-04 9.15914E-16
4.75889E-04 9.14195E-16
5.14715E-04 9.12556E-16
5.55063E-04 9.10945E-16
5.96931E-04 9.09337E-16
6.40321E-04 9.07727E-16
6.85233E-04 9.06105E-16
7.31665E-04 9.04452E-16
7.79618E-04 9.02729E-16
8.29092E-04 9.00875E-16
8.80086E-04 8.98820E-16
9.32601E-04 8.96495E-16
9.86636E-04 8.93842E-16
1.04219E-03 8.90826E-16
1.09927E-03 8.87436E-16
1.15786E-03 8.83686E-16
1.21797E-03 8.79607E-16
1.27961E-03 8.75235E-16
1.34276E-03 8.70602E-16
1.40743E-03 8.65724E-16
1.47362E-03 8.60606E-16
1.54133E-03 8.55234E-16
1.61056E-03 8.49584E-16
1.68131E-03 8.43634E-16
1.75357E-03 8.37365E-16
1.82735E-03 8.30773E-16
1.90265E-03 8.23870E-16
1.97947E-03 8.16682E-16
2.05780E-03 8.09245E-16
2.13765E-03 8.01600E-16
2.21902E-03 7.93779E-16
2.30190E-03 7.85810E-16
2.38630E-03 7.77704E-16
2.47222E-03 7.69464E-16
2.55965E-03 7.61083E-16
2.64859E-03 7.52553E-16
2.73905E-03 7.43868E-16
2.83103E-03 7.35031E-16
2.92452E-03 7.26055E-16
3.01952E-03 7.16960E-16
3.11604E-03 7.07774E-16
3.21407E-03 6.98529E-16
3.31362E-03 6.89250E-16
3.41468E-03 6.79958E-16
3.51725E-03 6.70664E-16
3.62133E-03 6.61372E-16
3.72692E-03 6.52078E-16
3.83403E-03 6.42777E-16
3.94265E-03 6.33465E-16
4.05278E-03 6.24142E-16
4.16442E-03 6.14816E-16
4.27757E-03 6.05500E-16
