 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Ni,  Z =  28,  atomic weight = 5.86934E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.15828E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 28
 #
 # Electron density: Read from file Data/z_028.d
 #                   Number of data points =  753
 #                   Volume integral = 2.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.00000E-02 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 1.37963E-16 cm**2 = 4.92674E+00 a0**2
 # 1st transport cross section = 1.91470E-17 cm**2 = 6.83751E-01 a0**2
 # 2nd transport cross section = 2.49824E-17 cm**2 = 8.92139E-01 a0**2
 #
 #    Absorption cross section = 8.82265E-17 cm**2 = 3.15062E+00 a0**2
 #   Grand total cross section = 2.26195E-16 cm**2 = 8.07756E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.72092E-15
7.61557E-13 6.72092E-15
1.18994E-12 6.72092E-15
1.71346E-12 6.72092E-15
2.33225E-12 6.72092E-15
3.04617E-12 6.72092E-15
3.85530E-12 6.72092E-15
4.75964E-12 6.72092E-15
5.75917E-12 6.72092E-15
6.85391E-12 6.72092E-15
8.04379E-12 6.72092E-15
9.32893E-12 6.72092E-15
1.07092E-11 6.72092E-15
1.21847E-11 6.72092E-15
1.37554E-11 6.72092E-15
1.54213E-11 6.72092E-15
1.71823E-11 6.72092E-15
1.90386E-11 6.72092E-15
2.09900E-11 6.72092E-15
2.30367E-11 6.72092E-15
2.51785E-11 6.72092E-15
2.74156E-11 6.72092E-15
2.97478E-11 6.72092E-15
3.21752E-11 6.72092E-15
3.46979E-11 6.72092E-15
3.73157E-11 6.72092E-15
4.00286E-11 6.72092E-15
4.28368E-11 6.72092E-15
4.57402E-11 6.72092E-15
4.87388E-11 6.72092E-15
5.18325E-11 6.72092E-15
5.50215E-11 6.72092E-15
5.83057E-11 6.72091E-15
6.16850E-11 6.72091E-15
6.51595E-11 6.72091E-15
6.87293E-11 6.72091E-15
7.23943E-11 6.72091E-15
7.61544E-11 6.72091E-15
1.18991E-10 6.72091E-15
1.71347E-10 6.72090E-15
2.33223E-10 6.72090E-15
3.04617E-10 6.72089E-15
3.85531E-10 6.72088E-15
4.75965E-10 6.72087E-15
5.75917E-10 6.72086E-15
6.85389E-10 6.72085E-15
8.04380E-10 6.72083E-15
9.32891E-10 6.72082E-15
1.07092E-09 6.72080E-15
1.21847E-09 6.72079E-15
1.37554E-09 6.72077E-15
1.54213E-09 6.72075E-15
1.71823E-09 6.72073E-15
1.90386E-09 6.72071E-15
2.09900E-09 6.72069E-15
2.30367E-09 6.72067E-15
2.51785E-09 6.72064E-15
2.74156E-09 6.72062E-15
2.97478E-09 6.72059E-15
3.21752E-09 6.72057E-15
3.46978E-09 6.72054E-15
3.73156E-09 6.72051E-15
4.00286E-09 6.72048E-15
4.28368E-09 6.72045E-15
4.57402E-09 6.72042E-15
4.87388E-09 6.72038E-15
5.18326E-09 6.72035E-15
5.50215E-09 6.72031E-15
5.83057E-09 6.72028E-15
6.16850E-09 6.72024E-15
6.51596E-09 6.72020E-15
6.87293E-09 6.72016E-15
7.23942E-09 6.72012E-15
7.61544E-09 6.72008E-15
1.18991E-08 6.71961E-15
1.71347E-08 6.71903E-15
2.33223E-08 6.71834E-15
3.04617E-08 6.71756E-15
3.85531E-08 6.71666E-15
4.75965E-08 6.71567E-15
5.75917E-08 6.71457E-15
6.85389E-08 6.71336E-15
8.04380E-08 6.71205E-15
9.32891E-08 6.71064E-15
1.07092E-07 6.70912E-15
1.21847E-07 6.70750E-15
1.37554E-07 6.70578E-15
1.54213E-07 6.70395E-15
1.71823E-07 6.70202E-15
1.90386E-07 6.69999E-15
2.09900E-07 6.69786E-15
2.30367E-07 6.69562E-15
2.51785E-07 6.69329E-15
2.74156E-07 6.69085E-15
2.97478E-07 6.68832E-15
3.21752E-07 6.68568E-15
3.46978E-07 6.68295E-15
3.73156E-07 6.68011E-15
4.00286E-07 6.67718E-15
4.28368E-07 6.67415E-15
4.57402E-07 6.67102E-15
4.87388E-07 6.66779E-15
5.18325E-07 6.66447E-15
5.50215E-07 6.66105E-15
5.83057E-07 6.65754E-15
6.16850E-07 6.65393E-15
6.51596E-07 6.65023E-15
6.87293E-07 6.64643E-15
7.23942E-07 6.64254E-15
7.61543E-07 6.63856E-15
1.18991E-06 6.59379E-15
1.71347E-06 6.54053E-15
2.33223E-06 6.47960E-15
3.04617E-06 6.41188E-15
3.85531E-06 6.33831E-15
4.75964E-06 6.25988E-15
5.75916E-06 6.17756E-15
6.85388E-06 6.09233E-15
8.04378E-06 6.00512E-15
9.32888E-06 5.91677E-15
1.07092E-05 5.82810E-15
1.21846E-05 5.73979E-15
1.37553E-05 5.65247E-15
1.54212E-05 5.56663E-15
1.71822E-05 5.48269E-15
1.90385E-05 5.40096E-15
2.09899E-05 5.32165E-15
2.30365E-05 5.24489E-15
2.51783E-05 5.17072E-15
2.74153E-05 5.09914E-15
2.97475E-05 5.03006E-15
3.21749E-05 4.96337E-15
3.46974E-05 4.89890E-15
3.73152E-05 4.83648E-15
4.00281E-05 4.77591E-15
4.28362E-05 4.71701E-15
4.57395E-05 4.65957E-15
4.87380E-05 4.60343E-15
5.18317E-05 4.54842E-15
5.50205E-05 4.49440E-15
5.83045E-05 4.44127E-15
6.16838E-05 4.38893E-15
6.51582E-05 4.33732E-15
6.87277E-05 4.28640E-15
7.23925E-05 4.23616E-15
7.61524E-05 4.18660E-15
9.21439E-05 3.99560E-15
1.09658E-04 3.81773E-15
1.28695E-04 3.65408E-15
1.49255E-04 3.50342E-15
1.71338E-04 3.36293E-15
1.94942E-04 3.22993E-15
2.20070E-04 3.10314E-15
2.46720E-04 2.98263E-15
2.74892E-04 2.86890E-15
3.04586E-04 2.76189E-15
3.35803E-04 2.66074E-15
3.68542E-04 2.56426E-15
4.02802E-04 2.47159E-15
4.38585E-04 2.38254E-15
4.75889E-04 2.29732E-15
5.14715E-04 2.21611E-15
5.55063E-04 2.13868E-15
5.96931E-04 2.06451E-15
6.40321E-04 1.99308E-15
6.85233E-04 1.92416E-15
7.31665E-04 1.85780E-15
7.79618E-04 1.79415E-15
8.29092E-04 1.73320E-15
8.80086E-04 1.67473E-15
9.32601E-04 1.61841E-15
9.86636E-04 1.56404E-15
1.04219E-03 1.51157E-15
1.09927E-03 1.46108E-15
1.15786E-03 1.41263E-15
1.21797E-03 1.36613E-15
1.27961E-03 1.32138E-15
1.34276E-03 1.27819E-15
1.40743E-03 1.23649E-15
1.47362E-03 1.19631E-15
1.54133E-03 1.15769E-15
1.61056E-03 1.12059E-15
1.68131E-03 1.08492E-15
1.75357E-03 1.05052E-15
1.82735E-03 1.01730E-15
1.90265E-03 9.85247E-16
1.97947E-03 9.54383E-16
2.05780E-03 9.24706E-16
2.13765E-03 8.96156E-16
2.21902E-03 8.68634E-16
2.30190E-03 8.42053E-16
2.38630E-03 8.16375E-16
2.47222E-03 7.91604E-16
2.55965E-03 7.67749E-16
2.64859E-03 7.44781E-16
2.73905E-03 7.22638E-16
2.83103E-03 7.01247E-16
2.92452E-03 6.80562E-16
3.01952E-03 6.60576E-16
3.11604E-03 6.41293E-16
3.21407E-03 6.22707E-16
3.31362E-03 6.04779E-16
3.41468E-03 5.87459E-16
3.51725E-03 5.70702E-16
3.62133E-03 5.54492E-16
3.72692E-03 5.38829E-16
3.83403E-03 5.23715E-16
3.94265E-03 5.09131E-16
4.05278E-03 4.95042E-16
4.16442E-03 4.81411E-16
4.27757E-03 4.68216E-16
4.39223E-03 4.55453E-16
4.50840E-03 4.43124E-16
4.62608E-03 4.31221E-16
4.74527E-03 4.19723E-16
4.86597E-03 4.08600E-16
4.98817E-03 3.97830E-16
5.11188E-03 3.87403E-16
5.23711E-03 3.77321E-16
5.36383E-03 3.67579E-16
5.49207E-03 3.58165E-16
5.62181E-03 3.49058E-16
5.75306E-03 3.40238E-16
5.88581E-03 3.31691E-16
6.02007E-03 3.23415E-16
6.15583E-03 3.15409E-16
6.29310E-03 3.07665E-16
6.43187E-03 3.00169E-16
6.57214E-03 2.92903E-16
6.71392E-03 2.85855E-16
6.85720E-03 2.79020E-16
7.00198E-03 2.72394E-16
7.14827E-03 2.65976E-16
7.29605E-03 2.59755E-16
7.44534E-03 2.53719E-16
7.59612E-03 2.47855E-16
7.97965E-03 2.33918E-16
8.37255E-03 2.20968E-16
8.77480E-03 2.08889E-16
9.18641E-03 1.97610E-16
9.60736E-03 1.87072E-16
1.00376E-02 1.77194E-16
1.04773E-02 1.67942E-16
1.09262E-02 1.59260E-16
1.13844E-02 1.51105E-16
1.18520E-02 1.43449E-16
1.23288E-02 1.36248E-16
1.28150E-02 1.29479E-16
1.33104E-02 1.23111E-16
1.38150E-02 1.17116E-16
1.43290E-02 1.11472E-16
1.48521E-02 1.06153E-16
1.53845E-02 1.01136E-16
1.59262E-02 9.64018E-17
1.64770E-02 9.19293E-17
1.70371E-02 8.77008E-17
1.76063E-02 8.36995E-17
1.81848E-02 7.99105E-17
1.87724E-02 7.63192E-17
1.93692E-02 7.29150E-17
1.99751E-02 6.96851E-17
2.05901E-02 6.66205E-17
2.12143E-02 6.37132E-17
2.18476E-02 6.09525E-17
2.24900E-02 5.83342E-17
2.31415E-02 5.58491E-17
2.38021E-02 5.34902E-17
2.44717E-02 5.12541E-17
2.51504E-02 4.91303E-17
2.58382E-02 4.71163E-17
2.65349E-02 4.52052E-17
2.72407E-02 4.33891E-17
2.79555E-02 4.16669E-17
2.86793E-02 4.00288E-17
2.94120E-02 3.84722E-17
3.01537E-02 3.69933E-17
3.09043E-02 3.55841E-17
3.16639E-02 3.42453E-17
3.24324E-02 3.29697E-17
3.32098E-02 3.17545E-17
3.39961E-02 3.05992E-17
3.47912E-02 2.94967E-17
3.55952E-02 2.84480E-17
3.64081E-02 2.74493E-17
3.72297E-02 2.64966E-17
3.80602E-02 2.55914E-17
3.88995E-02 2.47276E-17
3.97476E-02 2.39052E-17
4.06044E-02 2.31228E-17
4.14700E-02 2.23753E-17
4.23443E-02 2.16646E-17
4.32273E-02 2.09861E-17
4.41190E-02 2.03383E-17
4.50194E-02 1.97214E-17
4.59284E-02 1.91309E-17
4.68461E-02 1.85674E-17
4.87074E-02 1.75134E-17
5.06030E-02 1.65497E-17
5.25328E-02 1.56665E-17
5.44967E-02 1.48559E-17
5.64946E-02 1.41115E-17
5.85262E-02 1.34274E-17
6.05914E-02 1.27971E-17
6.26901E-02 1.22148E-17
6.48222E-02 1.16760E-17
6.69873E-02 1.11766E-17
6.91854E-02 1.07123E-17
7.14163E-02 1.02795E-17
7.36799E-02 9.87580E-18
7.59760E-02 9.49880E-18
7.83043E-02 9.14538E-18
8.06647E-02 8.81313E-18
8.30571E-02 8.50069E-18
8.54812E-02 8.20647E-18
8.79369E-02 7.92819E-18
9.04240E-02 7.66435E-18
9.29422E-02 7.41447E-18
9.54915E-02 7.17772E-18
9.80716E-02 6.95246E-18
1.00682E-01 6.73757E-18
1.03323E-01 6.53277E-18
1.05995E-01 6.33739E-18
1.08696E-01 6.15020E-18
1.11427E-01 5.97050E-18
1.14188E-01 5.79824E-18
1.16978E-01 5.63310E-18
1.19797E-01 5.47443E-18
1.22645E-01 5.32191E-18
1.25522E-01 5.17543E-18
1.28428E-01 5.03456E-18
1.31361E-01 4.89877E-18
1.34323E-01 4.76785E-18
1.37313E-01 4.64155E-18
1.40330E-01 4.51946E-18
1.43375E-01 4.40146E-18
1.46447E-01 4.28758E-18
1.49545E-01 4.17765E-18
1.52671E-01 4.07142E-18
1.55823E-01 3.96884E-18
1.59001E-01 3.86986E-18
1.62205E-01 3.77416E-18
1.65435E-01 3.68151E-18
1.68690E-01 3.59182E-18
1.71970E-01 3.50496E-18
1.75276E-01 3.42079E-18
1.78606E-01 3.33927E-18
1.81961E-01 3.26037E-18
1.85340E-01 3.18402E-18
1.88743E-01 3.11016E-18
1.92169E-01 3.03868E-18
1.95619E-01 2.96949E-18
1.99092E-01 2.90248E-18
2.02589E-01 2.83751E-18
2.06107E-01 2.77446E-18
2.09649E-01 2.71331E-18
2.13212E-01 2.65401E-18
2.16797E-01 2.59647E-18
2.20404E-01 2.54069E-18
2.24032E-01 2.48665E-18
2.27680E-01 2.43425E-18
2.31350E-01 2.38348E-18
2.35040E-01 2.33428E-18
2.38751E-01 2.28646E-18
2.42481E-01 2.24002E-18
2.46231E-01 2.19499E-18
2.50000E-01 2.15120E-18
2.53788E-01 2.10861E-18
2.57595E-01 2.06729E-18
2.61421E-01 2.02715E-18
2.65264E-01 1.98816E-18
2.69126E-01 1.95036E-18
2.73005E-01 1.91359E-18
2.76901E-01 1.87782E-18
2.80814E-01 1.84315E-18
2.84744E-01 1.80941E-18
2.88691E-01 1.77653E-18
2.92653E-01 1.74460E-18
2.96632E-01 1.71349E-18
3.00625E-01 1.68324E-18
3.04634E-01 1.65388E-18
3.08658E-01 1.62523E-18
3.12697E-01 1.59737E-18
3.16749E-01 1.57035E-18
3.20816E-01 1.54401E-18
3.24896E-01 1.51839E-18
3.28990E-01 1.49345E-18
3.33097E-01 1.46913E-18
3.37216E-01 1.44553E-18
3.41348E-01 1.42255E-18
3.45492E-01 1.40011E-18
3.49647E-01 1.37834E-18
3.53814E-01 1.35712E-18
3.57992E-01 1.33649E-18
3.62181E-01 1.31646E-18
3.66381E-01 1.29687E-18
3.70590E-01 1.27788E-18
3.74810E-01 1.25942E-18
3.79039E-01 1.24143E-18
3.83277E-01 1.22397E-18
3.87524E-01 1.20694E-18
3.91780E-01 1.19042E-18
3.96044E-01 1.17441E-18
4.00316E-01 1.15879E-18
4.04596E-01 1.14366E-18
4.08882E-01 1.12893E-18
4.13176E-01 1.11467E-18
4.17476E-01 1.10085E-18
4.21783E-01 1.08738E-18
4.26095E-01 1.07437E-18
4.30413E-01 1.06173E-18
4.34737E-01 1.04952E-18
4.39065E-01 1.03771E-18
4.43398E-01 1.02623E-18
4.47736E-01 1.01520E-18
4.52077E-01 1.00451E-18
4.56422E-01 9.94229E-19
4.60770E-01 9.84281E-19
4.65122E-01 9.74685E-19
4.69476E-01 9.65471E-19
4.73832E-01 9.56587E-19
4.78190E-01 9.48077E-19
4.82550E-01 9.39857E-19
4.86912E-01 9.32011E-19
4.91274E-01 9.24493E-19
4.95637E-01 9.17326E-19
5.00000E-01 9.10480E-19
5.04363E-01 9.03947E-19
5.08726E-01 8.97767E-19
5.13088E-01 8.91894E-19
5.17450E-01 8.86358E-19
5.21810E-01 8.81099E-19
5.26168E-01 8.76171E-19
5.30524E-01 8.71534E-19
5.34878E-01 8.67218E-19
5.39230E-01 8.63179E-19
5.43578E-01 8.59442E-19
5.47923E-01 8.55999E-19
5.52264E-01 8.52859E-19
5.56602E-01 8.50010E-19
5.60935E-01 8.47446E-19
