 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element: Ni,  Z =  28,  atomic weight = 5.86934E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.15828E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 28
 #
 # Electron density: Read from file Data/z_028.d
 #                   Number of data points =  753
 #                   Volume integral = 2.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.00000E-02 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 3.95285E+00
 #
 # Total elastic cross section = 3.16453E-16 cm**2 = 1.13007E+01 a0**2
 # 1st transport cross section = 9.07024E-17 cm**2 = 3.23904E+00 a0**2
 # 2nd transport cross section = 6.65304E-17 cm**2 = 2.37584E+00 a0**2
 #
 #    Absorption cross section = 2.94047E-16 cm**2 = 1.05006E+01 a0**2
 #   Grand total cross section = 6.10513E-16 cm**2 = 2.18018E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.35839E-15
7.61557E-13 7.35839E-15
1.18994E-12 7.35839E-15
1.71346E-12 7.35839E-15
2.33225E-12 7.35839E-15
3.04617E-12 7.35839E-15
3.85530E-12 7.35839E-15
4.75964E-12 7.35839E-15
5.75917E-12 7.35839E-15
6.85391E-12 7.35839E-15
8.04379E-12 7.35839E-15
9.32893E-12 7.35839E-15
1.07092E-11 7.35839E-15
1.21847E-11 7.35839E-15
1.37554E-11 7.35839E-15
1.54213E-11 7.35839E-15
1.71823E-11 7.35839E-15
1.90386E-11 7.35839E-15
2.09900E-11 7.35839E-15
2.30367E-11 7.35839E-15
2.51785E-11 7.35839E-15
2.74156E-11 7.35839E-15
2.97478E-11 7.35839E-15
3.21752E-11 7.35839E-15
3.46979E-11 7.35839E-15
3.73157E-11 7.35839E-15
4.00286E-11 7.35839E-15
4.28368E-11 7.35839E-15
4.57402E-11 7.35839E-15
4.87388E-11 7.35839E-15
5.18325E-11 7.35839E-15
5.50215E-11 7.35839E-15
5.83057E-11 7.35839E-15
6.16850E-11 7.35839E-15
6.51595E-11 7.35839E-15
6.87293E-11 7.35839E-15
7.23943E-11 7.35839E-15
7.61544E-11 7.35839E-15
1.18991E-10 7.35839E-15
1.71347E-10 7.35839E-15
2.33223E-10 7.35838E-15
3.04617E-10 7.35838E-15
3.85531E-10 7.35838E-15
4.75965E-10 7.35838E-15
5.75917E-10 7.35837E-15
6.85389E-10 7.35837E-15
8.04380E-10 7.35837E-15
9.32891E-10 7.35836E-15
1.07092E-09 7.35836E-15
1.21847E-09 7.35836E-15
1.37554E-09 7.35835E-15
1.54213E-09 7.35835E-15
1.71823E-09 7.35834E-15
1.90386E-09 7.35834E-15
2.09900E-09 7.35833E-15
2.30367E-09 7.35833E-15
2.51785E-09 7.35832E-15
2.74156E-09 7.35831E-15
2.97478E-09 7.35831E-15
3.21752E-09 7.35830E-15
3.46978E-09 7.35829E-15
3.73156E-09 7.35828E-15
4.00286E-09 7.35828E-15
4.28368E-09 7.35827E-15
4.57402E-09 7.35826E-15
4.87388E-09 7.35825E-15
5.18326E-09 7.35824E-15
5.50215E-09 7.35824E-15
5.83057E-09 7.35823E-15
6.16850E-09 7.35822E-15
6.51596E-09 7.35821E-15
6.87293E-09 7.35820E-15
7.23942E-09 7.35819E-15
7.61544E-09 7.35818E-15
1.18991E-08 7.35806E-15
1.71347E-08 7.35791E-15
2.33223E-08 7.35773E-15
3.04617E-08 7.35753E-15
3.85531E-08 7.35731E-15
4.75965E-08 7.35705E-15
5.75917E-08 7.35677E-15
6.85389E-08 7.35646E-15
8.04380E-08 7.35613E-15
9.32891E-08 7.35577E-15
1.07092E-07 7.35538E-15
1.21847E-07 7.35497E-15
1.37554E-07 7.35453E-15
1.54213E-07 7.35406E-15
1.71823E-07 7.35357E-15
1.90386E-07 7.35304E-15
2.09900E-07 7.35250E-15
2.30367E-07 7.35192E-15
2.51785E-07 7.35132E-15
2.74156E-07 7.35070E-15
2.97478E-07 7.35004E-15
3.21752E-07 7.34936E-15
3.46978E-07 7.34866E-15
3.73156E-07 7.34793E-15
4.00286E-07 7.34717E-15
4.28368E-07 7.34638E-15
4.57402E-07 7.34557E-15
4.87388E-07 7.34473E-15
5.18325E-07 7.34387E-15
5.50215E-07 7.34298E-15
5.83057E-07 7.34206E-15
6.16850E-07 7.34112E-15
6.51596E-07 7.34015E-15
6.87293E-07 7.33916E-15
7.23942E-07 7.33814E-15
7.61543E-07 7.33709E-15
1.18991E-06 7.32521E-15
1.71347E-06 7.31077E-15
2.33223E-06 7.29384E-15
3.04617E-06 7.27448E-15
3.85531E-06 7.25276E-15
4.75964E-06 7.22875E-15
5.75916E-06 7.20255E-15
6.85388E-06 7.17425E-15
8.04378E-06 7.14394E-15
9.32888E-06 7.11174E-15
1.07092E-05 7.07774E-15
1.21846E-05 7.04205E-15
1.37553E-05 7.00481E-15
1.54212E-05 6.96611E-15
1.71822E-05 6.92608E-15
1.90385E-05 6.88484E-15
2.09899E-05 6.84251E-15
2.30365E-05 6.79920E-15
2.51783E-05 6.75503E-15
2.74153E-05 6.71011E-15
2.97475E-05 6.66456E-15
3.21749E-05 6.61848E-15
3.46974E-05 6.57199E-15
3.73152E-05 6.52517E-15
4.00281E-05 6.47812E-15
4.28362E-05 6.43094E-15
4.57395E-05 6.38371E-15
4.87380E-05 6.33651E-15
5.18317E-05 6.28941E-15
5.50205E-05 6.24249E-15
5.83045E-05 6.19581E-15
6.16838E-05 6.14942E-15
6.51582E-05 6.10337E-15
6.87277E-05 6.05772E-15
7.23925E-05 6.01249E-15
7.61524E-05 5.96772E-15
9.21439E-05 5.79379E-15
1.09658E-04 5.62867E-15
1.28695E-04 5.47235E-15
1.49255E-04 5.32405E-15
1.71338E-04 5.18258E-15
1.94942E-04 5.04664E-15
2.20070E-04 4.91501E-15
2.46720E-04 4.78676E-15
2.74892E-04 4.66129E-15
3.04586E-04 4.53836E-15
3.35803E-04 4.41801E-15
3.68542E-04 4.30044E-15
4.02802E-04 4.18597E-15
4.38585E-04 4.07484E-15
4.75889E-04 3.96723E-15
5.14715E-04 3.86315E-15
5.55063E-04 3.76248E-15
5.96931E-04 3.66499E-15
6.40321E-04 3.57038E-15
6.85233E-04 3.47833E-15
7.31665E-04 3.38855E-15
7.79618E-04 3.30083E-15
8.29092E-04 3.21505E-15
8.80086E-04 3.13115E-15
9.32601E-04 3.04917E-15
9.86636E-04 2.96916E-15
1.04219E-03 2.89119E-15
1.09927E-03 2.81531E-15
1.15786E-03 2.74153E-15
1.21797E-03 2.66981E-15
1.27961E-03 2.60006E-15
1.34276E-03 2.53218E-15
1.40743E-03 2.46604E-15
1.47362E-03 2.40152E-15
1.54133E-03 2.33852E-15
1.61056E-03 2.27698E-15
1.68131E-03 2.21685E-15
1.75357E-03 2.15815E-15
1.82735E-03 2.10088E-15
1.90265E-03 2.04507E-15
1.97947E-03 1.99073E-15
2.05780E-03 1.93786E-15
2.13765E-03 1.88645E-15
2.21902E-03 1.83644E-15
