 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file Data/z_029.d
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.38000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.10000E-24 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 3.14394E-16 cm**2 = 1.12272E+01 a0**2
 # 1st transport cross section = 1.12576E-16 cm**2 = 4.02016E+00 a0**2
 # 2nd transport cross section = 9.23780E-17 cm**2 = 3.29888E+00 a0**2
 #
 #    Absorption cross section = 3.00046E-16 cm**2 = 1.07148E+01 a0**2
 #   Grand total cross section = 6.14452E-16 cm**2 = 2.19425E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.40301E-15
7.61557E-13 5.40301E-15
1.18994E-12 5.40301E-15
1.71346E-12 5.40301E-15
2.33225E-12 5.40301E-15
3.04617E-12 5.40301E-15
3.85530E-12 5.40301E-15
4.75964E-12 5.40301E-15
5.75917E-12 5.40301E-15
6.85391E-12 5.40301E-15
8.04379E-12 5.40301E-15
9.32893E-12 5.40301E-15
1.07092E-11 5.40301E-15
1.21847E-11 5.40301E-15
1.37554E-11 5.40301E-15
1.54213E-11 5.40301E-15
1.71823E-11 5.40301E-15
1.90386E-11 5.40301E-15
2.09900E-11 5.40301E-15
2.30367E-11 5.40301E-15
2.51785E-11 5.40301E-15
2.74156E-11 5.40301E-15
2.97478E-11 5.40301E-15
3.21752E-11 5.40301E-15
3.46979E-11 5.40301E-15
3.73157E-11 5.40301E-15
4.00286E-11 5.40301E-15
4.28368E-11 5.40301E-15
4.57402E-11 5.40301E-15
4.87388E-11 5.40301E-15
5.18325E-11 5.40301E-15
5.50215E-11 5.40301E-15
5.83057E-11 5.40301E-15
6.16850E-11 5.40301E-15
6.51595E-11 5.40301E-15
6.87293E-11 5.40301E-15
7.23943E-11 5.40301E-15
7.61544E-11 5.40301E-15
1.18991E-10 5.40300E-15
1.71347E-10 5.40300E-15
2.33223E-10 5.40300E-15
3.04617E-10 5.40300E-15
3.85531E-10 5.40300E-15
4.75965E-10 5.40300E-15
5.75917E-10 5.40300E-15
6.85389E-10 5.40300E-15
8.04380E-10 5.40299E-15
9.32891E-10 5.40299E-15
1.07092E-09 5.40299E-15
1.21847E-09 5.40299E-15
1.37554E-09 5.40299E-15
1.54213E-09 5.40298E-15
1.71823E-09 5.40298E-15
1.90386E-09 5.40298E-15
2.09900E-09 5.40297E-15
2.30367E-09 5.40297E-15
2.51785E-09 5.40297E-15
2.74156E-09 5.40296E-15
2.97478E-09 5.40296E-15
3.21752E-09 5.40296E-15
3.46978E-09 5.40295E-15
3.73156E-09 5.40295E-15
4.00286E-09 5.40294E-15
4.28368E-09 5.40294E-15
4.57402E-09 5.40294E-15
4.87388E-09 5.40293E-15
5.18326E-09 5.40293E-15
5.50215E-09 5.40292E-15
5.83057E-09 5.40292E-15
6.16850E-09 5.40291E-15
6.51596E-09 5.40290E-15
6.87293E-09 5.40290E-15
7.23942E-09 5.40289E-15
7.61544E-09 5.40289E-15
1.18991E-08 5.40282E-15
1.71347E-08 5.40274E-15
2.33223E-08 5.40264E-15
3.04617E-08 5.40253E-15
3.85531E-08 5.40240E-15
4.75965E-08 5.40226E-15
5.75917E-08 5.40210E-15
6.85389E-08 5.40193E-15
8.04380E-08 5.40175E-15
9.32891E-08 5.40154E-15
1.07092E-07 5.40133E-15
1.21847E-07 5.40110E-15
1.37554E-07 5.40085E-15
1.54213E-07 5.40059E-15
1.71823E-07 5.40031E-15
1.90386E-07 5.40002E-15
2.09900E-07 5.39972E-15
2.30367E-07 5.39940E-15
2.51785E-07 5.39906E-15
2.74156E-07 5.39871E-15
2.97478E-07 5.39835E-15
3.21752E-07 5.39797E-15
3.46978E-07 5.39758E-15
3.73156E-07 5.39717E-15
4.00286E-07 5.39674E-15
4.28368E-07 5.39630E-15
4.57402E-07 5.39585E-15
4.87388E-07 5.39538E-15
5.18325E-07 5.39490E-15
5.50215E-07 5.39440E-15
5.83057E-07 5.39389E-15
6.16850E-07 5.39336E-15
6.51596E-07 5.39282E-15
6.87293E-07 5.39227E-15
7.23942E-07 5.39170E-15
7.61543E-07 5.39111E-15
1.18991E-06 5.38446E-15
1.71347E-06 5.37637E-15
2.33223E-06 5.36686E-15
3.04617E-06 5.35596E-15
3.85531E-06 5.34370E-15
4.75964E-06 5.33011E-15
5.75916E-06 5.31523E-15
6.85388E-06 5.29911E-15
8.04378E-06 5.28177E-15
9.32888E-06 5.26327E-15
1.07092E-05 5.24366E-15
1.21846E-05 5.22299E-15
1.37553E-05 5.20130E-15
1.54212E-05 5.17866E-15
1.71822E-05 5.15511E-15
1.90385E-05 5.13071E-15
2.09899E-05 5.10552E-15
2.30365E-05 5.07959E-15
2.51783E-05 5.05299E-15
2.74153E-05 5.02576E-15
2.97475E-05 4.99797E-15
3.21749E-05 4.96967E-15
3.46974E-05 4.94092E-15
3.73152E-05 4.91176E-15
4.00281E-05 4.88227E-15
4.28362E-05 4.85248E-15
4.57395E-05 4.82244E-15
4.87380E-05 4.79221E-15
5.18317E-05 4.76184E-15
5.50205E-05 4.73135E-15
5.83045E-05 4.70081E-15
6.16838E-05 4.67025E-15
6.51582E-05 4.63971E-15
6.87277E-05 4.60922E-15
7.23925E-05 4.57881E-15
7.61524E-05 4.54853E-15
9.21439E-05 4.42909E-15
1.09658E-04 4.31338E-15
1.28695E-04 4.20226E-15
1.49255E-04 4.09607E-15
1.71338E-04 3.99472E-15
1.94942E-04 3.89786E-15
2.20070E-04 3.80494E-15
2.46720E-04 3.71533E-15
2.74892E-04 3.62845E-15
3.04586E-04 3.54378E-15
3.35803E-04 3.46094E-15
3.68542E-04 3.37970E-15
4.02802E-04 3.29997E-15
4.38585E-04 3.22176E-15
4.75889E-04 3.14518E-15
5.14715E-04 3.07035E-15
5.55063E-04 2.99743E-15
5.96931E-04 2.92651E-15
6.40321E-04 2.85765E-15
6.85233E-04 2.79084E-15
7.31665E-04 2.72604E-15
7.79618E-04 2.66311E-15
8.29092E-04 2.60194E-15
8.80086E-04 2.54235E-15
9.32601E-04 2.48420E-15
9.86636E-04 2.42735E-15
1.04219E-03 2.37173E-15
1.09927E-03 2.31725E-15
1.15786E-03 2.26390E-15
1.21797E-03 2.21167E-15
1.27961E-03 2.16059E-15
1.34276E-03 2.11069E-15
1.40743E-03 2.06197E-15
1.47362E-03 2.01447E-15
1.54133E-03 1.96816E-15
1.61056E-03 1.92304E-15
1.68131E-03 1.87905E-15
