 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.50000E+03 eV = 5.51240E+01 a.u.
 #
 # Element: Zn,  Z =  30,  atomic weight = 6.53900E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.31076E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 30
 #
 # Electron density: Read from file Data/z_030.d
 #                   Number of data points =  745
 #                   Volume integral = 3.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.59420E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.10000E-24 cm**3
 #                            Bpol = 9.51972E+00
 #
 # Total elastic cross section = 8.87045E-17 cm**2 = 3.16770E+00 a0**2
 # 1st transport cross section = 6.70661E-18 cm**2 = 2.39497E-01 a0**2
 # 2nd transport cross section = 1.33943E-17 cm**2 = 4.78319E-01 a0**2
 #
 #    Absorption cross section = 5.94367E-17 cm**2 = 2.12252E+00 a0**2
 #   Grand total cross section = 1.48146E-16 cm**2 = 5.29039E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.69246E-16
7.61557E-13 5.69246E-16
1.18994E-12 5.69246E-16
1.71346E-12 5.69246E-16
2.33225E-12 5.69246E-16
3.04617E-12 5.69246E-16
3.85530E-12 5.69246E-16
4.75964E-12 5.69246E-16
5.75917E-12 5.69246E-16
6.85391E-12 5.69246E-16
8.04379E-12 5.69246E-16
9.32893E-12 5.69246E-16
1.07092E-11 5.69246E-16
1.21847E-11 5.69246E-16
1.37554E-11 5.69246E-16
1.54213E-11 5.69246E-16
1.71823E-11 5.69246E-16
1.90386E-11 5.69246E-16
2.09900E-11 5.69246E-16
2.30367E-11 5.69246E-16
2.51785E-11 5.69246E-16
2.74156E-11 5.69246E-16
2.97478E-11 5.69246E-16
3.21752E-11 5.69246E-16
3.46979E-11 5.69246E-16
3.73157E-11 5.69246E-16
4.00286E-11 5.69246E-16
4.28368E-11 5.69246E-16
4.57402E-11 5.69246E-16
4.87388E-11 5.69246E-16
5.18325E-11 5.69246E-16
5.50215E-11 5.69246E-16
5.83057E-11 5.69246E-16
6.16850E-11 5.69246E-16
6.51595E-11 5.69246E-16
6.87293E-11 5.69246E-16
7.23943E-11 5.69246E-16
7.61544E-11 5.69246E-16
1.18991E-10 5.69246E-16
1.71347E-10 5.69247E-16
2.33223E-10 5.69247E-16
3.04617E-10 5.69248E-16
3.85531E-10 5.69248E-16
4.75965E-10 5.69249E-16
5.75917E-10 5.69250E-16
6.85389E-10 5.69251E-16
8.04380E-10 5.69251E-16
9.32891E-10 5.69252E-16
1.07092E-09 5.69253E-16
1.21847E-09 5.69255E-16
1.37554E-09 5.69256E-16
1.54213E-09 5.69257E-16
1.71823E-09 5.69258E-16
1.90386E-09 5.69260E-16
2.09900E-09 5.69261E-16
2.30367E-09 5.69262E-16
2.51785E-09 5.69264E-16
2.74156E-09 5.69266E-16
2.97478E-09 5.69267E-16
3.21752E-09 5.69269E-16
3.46978E-09 5.69271E-16
3.73156E-09 5.69273E-16
4.00286E-09 5.69275E-16
4.28368E-09 5.69277E-16
4.57402E-09 5.69279E-16
4.87388E-09 5.69281E-16
5.18326E-09 5.69284E-16
5.50215E-09 5.69286E-16
5.83057E-09 5.69288E-16
6.16850E-09 5.69291E-16
6.51596E-09 5.69293E-16
6.87293E-09 5.69296E-16
7.23942E-09 5.69299E-16
7.61544E-09 5.69301E-16
1.18991E-08 5.69333E-16
1.71347E-08 5.69371E-16
2.33223E-08 5.69417E-16
3.04617E-08 5.69469E-16
3.85531E-08 5.69529E-16
4.75965E-08 5.69595E-16
5.75917E-08 5.69669E-16
6.85389E-08 5.69750E-16
8.04380E-08 5.69838E-16
9.32891E-08 5.69933E-16
1.07092E-07 5.70035E-16
