 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Zn,  Z =  30,  atomic weight = 6.53900E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.31076E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 30
 #
 # Electron density: Read from file Data/z_030.d
 #                   Number of data points =  745
 #                   Volume integral = 3.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.10000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 9.76136E-17 cm**2 = 3.48584E+00 a0**2
 # 1st transport cross section = 1.12160E-17 cm**2 = 4.00530E-01 a0**2
 # 2nd transport cross section = 1.65866E-17 cm**2 = 5.92319E-01 a0**2
 #
 #    Absorption cross section = 4.07170E-17 cm**2 = 1.45403E+00 a0**2
 #   Grand total cross section = 1.38334E-16 cm**2 = 4.94001E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.77253E-15
7.61557E-13 5.77253E-15
1.18994E-12 5.77253E-15
1.71346E-12 5.77253E-15
2.33225E-12 5.77253E-15
3.04617E-12 5.77252E-15
3.85530E-12 5.77252E-15
4.75964E-12 5.77252E-15
5.75917E-12 5.77252E-15
6.85391E-12 5.77252E-15
8.04379E-12 5.77252E-15
9.32893E-12 5.77252E-15
1.07092E-11 5.77252E-15
1.21847E-11 5.77252E-15
1.37554E-11 5.77252E-15
1.54213E-11 5.77252E-15
1.71823E-11 5.77252E-15
1.90386E-11 5.77252E-15
2.09900E-11 5.77252E-15
2.30367E-11 5.77252E-15
2.51785E-11 5.77252E-15
2.74156E-11 5.77252E-15
2.97478E-11 5.77252E-15
3.21752E-11 5.77252E-15
3.46979E-11 5.77252E-15
3.73157E-11 5.77252E-15
4.00286E-11 5.77252E-15
4.28368E-11 5.77252E-15
4.57402E-11 5.77252E-15
4.87388E-11 5.77252E-15
5.18325E-11 5.77252E-15
5.50215E-11 5.77252E-15
5.83057E-11 5.77252E-15
6.16850E-11 5.77252E-15
6.51595E-11 5.77251E-15
6.87293E-11 5.77251E-15
7.23943E-11 5.77251E-15
7.61544E-11 5.77251E-15
1.18991E-10 5.77251E-15
1.71347E-10 5.77250E-15
2.33223E-10 5.77249E-15
3.04617E-10 5.77248E-15
3.85531E-10 5.77246E-15
4.75965E-10 5.77245E-15
5.75917E-10 5.77243E-15
6.85389E-10 5.77241E-15
8.04380E-10 5.77239E-15
9.32891E-10 5.77237E-15
1.07092E-09 5.77235E-15
1.21847E-09 5.77233E-15
1.37554E-09 5.77230E-15
1.54213E-09 5.77228E-15
1.71823E-09 5.77225E-15
1.90386E-09 5.77222E-15
2.09900E-09 5.77218E-15
2.30367E-09 5.77215E-15
2.51785E-09 5.77212E-15
2.74156E-09 5.77208E-15
2.97478E-09 5.77204E-15
3.21752E-09 5.77200E-15
3.46978E-09 5.77196E-15
3.73156E-09 5.77192E-15
4.00286E-09 5.77188E-15
4.28368E-09 5.77183E-15
4.57402E-09 5.77178E-15
4.87388E-09 5.77173E-15
5.18326E-09 5.77168E-15
5.50215E-09 5.77163E-15
5.83057E-09 5.77158E-15
6.16850E-09 5.77153E-15
6.51596E-09 5.77147E-15
6.87293E-09 5.77141E-15
7.23942E-09 5.77135E-15
7.61544E-09 5.77129E-15
1.18991E-08 5.77060E-15
1.71347E-08 5.76975E-15
2.33223E-08 5.76875E-15
3.04617E-08 5.76759E-15
3.85531E-08 5.76628E-15
4.75965E-08 5.76482E-15
5.75917E-08 5.76321E-15
6.85389E-08 5.76144E-15
8.04380E-08 5.75952E-15
9.32891E-08 5.75745E-15
1.07092E-07 5.75524E-15
1.21847E-07 5.75287E-15
1.37554E-07 5.75035E-15
1.54213E-07 5.74768E-15
1.71823E-07 5.74486E-15
1.90386E-07 5.74190E-15
2.09900E-07 5.73879E-15
2.30367E-07 5.73554E-15
2.51785E-07 5.73214E-15
2.74156E-07 5.72859E-15
2.97478E-07 5.72490E-15
3.21752E-07 5.72107E-15
3.46978E-07 5.71710E-15
3.73156E-07 5.71299E-15
4.00286E-07 5.70874E-15
4.28368E-07 5.70435E-15
4.57402E-07 5.69982E-15
4.87388E-07 5.69516E-15
5.18325E-07 5.69036E-15
5.50215E-07 5.68543E-15
5.83057E-07 5.68036E-15
6.16850E-07 5.67517E-15
6.51596E-07 5.66984E-15
6.87293E-07 5.66439E-15
7.23942E-07 5.65880E-15
7.61543E-07 5.65310E-15
1.18991E-06 5.58938E-15
1.71347E-06 5.51471E-15
2.33223E-06 5.43074E-15
3.04617E-06 5.33925E-15
3.85531E-06 5.24208E-15
4.75964E-06 5.14098E-15
5.75916E-06 5.03766E-15
6.85388E-06 4.93366E-15
8.04378E-06 4.83031E-15
9.32888E-06 4.72878E-15
1.07092E-05 4.62996E-15
1.21846E-05 4.53456E-15
1.37553E-05 4.44304E-15
1.54212E-05 4.35565E-15
1.71822E-05 4.27249E-15
1.90385E-05 4.19350E-15
2.09899E-05 4.11846E-15
2.30365E-05 4.04712E-15
2.51783E-05 3.97912E-15
2.74153E-05 3.91410E-15
2.97475E-05 3.85167E-15
3.21749E-05 3.79149E-15
3.46974E-05 3.73322E-15
3.73152E-05 3.67659E-15
4.00281E-05 3.62138E-15
4.28362E-05 3.56742E-15
4.57395E-05 3.51462E-15
4.87380E-05 3.46291E-15
5.18317E-05 3.41228E-15
5.50205E-05 3.36276E-15
5.83045E-05 3.31439E-15
6.16838E-05 3.26722E-15
6.51582E-05 3.22132E-15
6.87277E-05 3.17672E-15
7.23925E-05 3.13347E-15
7.61524E-05 3.09157E-15
9.21439E-05 2.93699E-15
1.09658E-04 2.79989E-15
1.28695E-04 2.67473E-15
1.49255E-04 2.55818E-15
1.71338E-04 2.44998E-15
1.94942E-04 2.35074E-15
2.20070E-04 2.25967E-15
2.46720E-04 2.17463E-15
2.74892E-04 2.09386E-15
3.04586E-04 2.01695E-15
3.35803E-04 1.94431E-15
3.68542E-04 1.87591E-15
4.02802E-04 1.81094E-15
4.38585E-04 1.74846E-15
4.75889E-04 1.68811E-15
5.14715E-04 1.63014E-15
5.55063E-04 1.57475E-15
5.96931E-04 1.52164E-15
6.40321E-04 1.47029E-15
6.85233E-04 1.42044E-15
7.31665E-04 1.37220E-15
7.79618E-04 1.32578E-15
8.29092E-04 1.28113E-15
8.80086E-04 1.23794E-15
9.32601E-04 1.19601E-15
9.86636E-04 1.15536E-15
1.04219E-03 1.11617E-15
1.09927E-03 1.07845E-15
1.15786E-03 1.04206E-15
1.21797E-03 1.00680E-15
1.27961E-03 9.72651E-16
1.34276E-03 9.39721E-16
1.40743E-03 9.08060E-16
1.47362E-03 8.77577E-16
1.54133E-03 8.48131E-16
1.61056E-03 8.19666E-16
1.68131E-03 7.92233E-16
1.75357E-03 7.65883E-16
1.82735E-03 7.40568E-16
1.90265E-03 7.16179E-16
1.97947E-03 6.92644E-16
2.05780E-03 6.69974E-16
2.13765E-03 6.48206E-16
2.21902E-03 6.27320E-16
2.30190E-03 6.07235E-16
2.38630E-03 5.87878E-16
2.47222E-03 5.69235E-16
2.55965E-03 5.51330E-16
2.64859E-03 5.34157E-16
2.73905E-03 5.17659E-16
2.83103E-03 5.01770E-16
2.92452E-03 4.86461E-16
3.01952E-03 4.71744E-16
3.11604E-03 4.57620E-16
3.21407E-03 4.44052E-16
3.31362E-03 4.30985E-16
3.41468E-03 4.18385E-16
3.51725E-03 4.06253E-16
3.62133E-03 3.94592E-16
3.72692E-03 3.83382E-16
3.83403E-03 3.72580E-16
3.94265E-03 3.62152E-16
4.05278E-03 3.52091E-16
4.16442E-03 3.42402E-16
4.27757E-03 3.33074E-16
4.39223E-03 3.24076E-16
4.50840E-03 3.15377E-16
4.62608E-03 3.06967E-16
4.74527E-03 2.98848E-16
4.86597E-03 2.91016E-16
4.98817E-03 2.83452E-16
5.11188E-03 2.76129E-16
5.23711E-03 2.69034E-16
5.36383E-03 2.62169E-16
5.49207E-03 2.55533E-16
5.62181E-03 2.49113E-16
5.75306E-03 2.42890E-16
5.88581E-03 2.36851E-16
6.02007E-03 2.30994E-16
6.15583E-03 2.25321E-16
6.29310E-03 2.19824E-16
6.43187E-03 2.14491E-16
6.57214E-03 2.09308E-16
6.71392E-03 2.04271E-16
6.85720E-03 1.99384E-16
7.00198E-03 1.94643E-16
7.14827E-03 1.90038E-16
7.29605E-03 1.85558E-16
7.44534E-03 1.81200E-16
7.59612E-03 1.76964E-16
7.97965E-03 1.66893E-16
8.37255E-03 1.57482E-16
8.77480E-03 1.48701E-16
9.18641E-03 1.40485E-16
9.60736E-03 1.32804E-16
1.00376E-02 1.25612E-16
1.04773E-02 1.18879E-16
1.09262E-02 1.12570E-16
1.13844E-02 1.06655E-16
1.18520E-02 1.01109E-16
1.23288E-02 9.59026E-17
1.28150E-02 9.10157E-17
1.33104E-02 8.64231E-17
1.38150E-02 8.21071E-17
1.43290E-02 7.80459E-17
1.48521E-02 7.42241E-17
1.53845E-02 7.06237E-17
1.59262E-02 6.72305E-17
1.64770E-02 6.40303E-17
1.70371E-02 6.10101E-17
1.76063E-02 5.81587E-17
1.81848E-02 5.54645E-17
1.87724E-02 5.29186E-17
1.93692E-02 5.05109E-17
1.99751E-02 4.82341E-17
2.05901E-02 4.60798E-17
2.12143E-02 4.40410E-17
2.18476E-02 4.21117E-17
2.24900E-02 4.02848E-17
2.31415E-02 3.85560E-17
2.38021E-02 3.69180E-17
2.44717E-02 3.53685E-17
2.51504E-02 3.38994E-17
2.58382E-02 3.25100E-17
2.65349E-02 3.11920E-17
2.72407E-02 2.99454E-17
2.79555E-02 2.87624E-17
2.86793E-02 2.76431E-17
2.94120E-02 2.65805E-17
3.01537E-02 2.55744E-17
3.09043E-02 2.46190E-17
3.16639E-02 2.37133E-17
3.24324E-02 2.28532E-17
3.32098E-02 2.20365E-17
3.39961E-02 2.12610E-17
3.47912E-02 2.05232E-17
3.55952E-02 1.98226E-17
3.64081E-02 1.91549E-17
3.72297E-02 1.85208E-17
3.80602E-02 1.79154E-17
3.88995E-02 1.73402E-17
3.97476E-02 1.67905E-17
4.06044E-02 1.62677E-17
4.14700E-02 1.57677E-17
