 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Ga,  Z =  31,  atomic weight = 6.97230E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.40395E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 31
 #
 # Electron density: Read from file Data/z_031.d
 #                   Number of data points =  791
 #                   Volume integral = 3.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.12000E-24 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 1.09573E-16 cm**2 = 3.91293E+00 a0**2
 # 1st transport cross section = 8.10629E-18 cm**2 = 2.89481E-01 a0**2
 # 2nd transport cross section = 1.58466E-17 cm**2 = 5.65892E-01 a0**2
 #
 #    Absorption cross section = 9.72997E-17 cm**2 = 3.47463E+00 a0**2
 #   Grand total cross section = 2.06879E-16 cm**2 = 7.38778E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.36642E-16
7.61557E-13 9.36642E-16
1.18994E-12 9.36642E-16
1.71346E-12 9.36642E-16
2.33225E-12 9.36642E-16
3.04617E-12 9.36642E-16
3.85530E-12 9.36642E-16
4.75964E-12 9.36642E-16
5.75917E-12 9.36642E-16
6.85391E-12 9.36642E-16
8.04379E-12 9.36642E-16
9.32893E-12 9.36642E-16
1.07092E-11 9.36642E-16
1.21847E-11 9.36642E-16
1.37554E-11 9.36642E-16
1.54213E-11 9.36642E-16
1.71823E-11 9.36642E-16
1.90386E-11 9.36642E-16
2.09900E-11 9.36642E-16
2.30367E-11 9.36642E-16
2.51785E-11 9.36642E-16
2.74156E-11 9.36642E-16
2.97478E-11 9.36642E-16
3.21752E-11 9.36642E-16
3.46979E-11 9.36642E-16
3.73157E-11 9.36642E-16
4.00286E-11 9.36642E-16
4.28368E-11 9.36642E-16
4.57402E-11 9.36642E-16
4.87388E-11 9.36642E-16
5.18325E-11 9.36642E-16
5.50215E-11 9.36642E-16
5.83057E-11 9.36642E-16
6.16850E-11 9.36642E-16
6.51595E-11 9.36642E-16
6.87293E-11 9.36642E-16
7.23943E-11 9.36643E-16
7.61544E-11 9.36643E-16
1.18991E-10 9.36643E-16
1.71347E-10 9.36643E-16
2.33223E-10 9.36644E-16
3.04617E-10 9.36645E-16
3.85531E-10 9.36645E-16
4.75965E-10 9.36646E-16
5.75917E-10 9.36647E-16
6.85389E-10 9.36648E-16
8.04380E-10 9.36649E-16
9.32891E-10 9.36650E-16
1.07092E-09 9.36652E-16
1.21847E-09 9.36653E-16
1.37554E-09 9.36654E-16
1.54213E-09 9.36656E-16
1.71823E-09 9.36658E-16
1.90386E-09 9.36659E-16
2.09900E-09 9.36661E-16
2.30367E-09 9.36663E-16
2.51785E-09 9.36665E-16
2.74156E-09 9.36667E-16
2.97478E-09 9.36669E-16
3.21752E-09 9.36671E-16
3.46978E-09 9.36674E-16
3.73156E-09 9.36676E-16
4.00286E-09 9.36678E-16
4.28368E-09 9.36681E-16
4.57402E-09 9.36684E-16
4.87388E-09 9.36686E-16
5.18326E-09 9.36689E-16
5.50215E-09 9.36692E-16
5.83057E-09 9.36695E-16
6.16850E-09 9.36698E-16
6.51596E-09 9.36701E-16
6.87293E-09 9.36705E-16
7.23942E-09 9.36708E-16
7.61544E-09 9.36711E-16
1.18991E-08 9.36750E-16
1.71347E-08 9.36798E-16
2.33223E-08 9.36855E-16
3.04617E-08 9.36920E-16
3.85531E-08 9.36994E-16
4.75965E-08 9.37077E-16
5.75917E-08 9.37168E-16
6.85389E-08 9.37268E-16
8.04380E-08 9.37378E-16
9.32891E-08 9.37495E-16
1.07092E-07 9.37622E-16
1.21847E-07 9.37758E-16
1.37554E-07 9.37903E-16
1.54213E-07 9.38056E-16
1.71823E-07 9.38219E-16
1.90386E-07 9.38390E-16
2.09900E-07 9.38571E-16
2.30367E-07 9.38760E-16
2.51785E-07 9.38959E-16
2.74156E-07 9.39167E-16
2.97478E-07 9.39384E-16
3.21752E-07 9.39610E-16
3.46978E-07 9.39846E-16
3.73156E-07 9.40090E-16
4.00286E-07 9.40345E-16
4.28368E-07 9.40608E-16
4.57402E-07 9.40881E-16
4.87388E-07 9.41164E-16
5.18325E-07 9.41456E-16
5.50215E-07 9.41758E-16
5.83057E-07 9.42069E-16
6.16850E-07 9.42390E-16
6.51596E-07 9.42721E-16
6.87293E-07 9.43061E-16
7.23942E-07 9.43412E-16
7.61543E-07 9.43772E-16
1.18991E-06 9.47935E-16
1.71347E-06 9.53154E-16
2.33223E-06 9.59490E-16
3.04617E-06 9.66998E-16
3.85531E-06 9.75724E-16
4.75964E-06 9.85695E-16
5.75916E-06 9.96923E-16
6.85388E-06 1.00939E-15
8.04378E-06 1.02307E-15
9.32888E-06 1.03789E-15
1.07092E-05 1.05376E-15
1.21846E-05 1.07058E-15
1.37553E-05 1.08823E-15
1.54212E-05 1.10657E-15
1.71822E-05 1.12545E-15
1.90385E-05 1.14471E-15
2.09899E-05 1.16423E-15
2.30365E-05 1.18385E-15
2.51783E-05 1.20345E-15
2.74153E-05 1.22292E-15
2.97475E-05 1.24216E-15
3.21749E-05 1.26109E-15
3.46974E-05 1.27966E-15
3.73152E-05 1.29782E-15
4.00281E-05 1.31556E-15
4.28362E-05 1.33287E-15
4.57395E-05 1.34975E-15
4.87380E-05 1.36623E-15
5.18317E-05 1.38234E-15
5.50205E-05 1.39809E-15
5.83045E-05 1.41354E-15
6.16838E-05 1.42870E-15
6.51582E-05 1.44362E-15
6.87277E-05 1.45832E-15
7.23925E-05 1.47281E-15
7.61524E-05 1.48712E-15
9.21439E-05 1.54244E-15
1.09658E-04 1.59387E-15
1.28695E-04 1.63950E-15
1.49255E-04 1.67769E-15
1.71338E-04 1.70801E-15
1.94942E-04 1.73134E-15
2.20070E-04 1.74905E-15
2.46720E-04 1.76212E-15
2.74892E-04 1.77072E-15
3.04586E-04 1.77444E-15
3.35803E-04 1.77289E-15
3.68542E-04 1.76623E-15
4.02802E-04 1.75520E-15
4.38585E-04 1.74077E-15
4.75889E-04 1.72367E-15
5.14715E-04 1.70418E-15
5.55063E-04 1.68222E-15
5.96931E-04 1.65769E-15
6.40321E-04 1.63078E-15
6.85233E-04 1.60197E-15
7.31665E-04 1.57187E-15
7.79618E-04 1.54092E-15
8.29092E-04 1.50933E-15
8.80086E-04 1.47704E-15
9.32601E-04 1.44400E-15
9.86636E-04 1.41030E-15
1.04219E-03 1.37623E-15
1.09927E-03 1.34212E-15
1.15786E-03 1.30824E-15
1.21797E-03 1.27465E-15
1.27961E-03 1.24130E-15
1.34276E-03 1.20813E-15
1.40743E-03 1.17516E-15
1.47362E-03 1.14255E-15
1.54133E-03 1.11047E-15
1.61056E-03 1.07905E-15
1.68131E-03 1.04833E-15
1.75357E-03 1.01822E-15
1.82735E-03 9.88662E-16
1.90265E-03 9.59639E-16
1.97947E-03 9.31221E-16
2.05780E-03 9.03507E-16
2.13765E-03 8.76564E-16
2.21902E-03 8.50384E-16
2.30190E-03 8.24902E-16
2.38630E-03 8.00052E-16
2.47222E-03 7.75811E-16
2.55965E-03 7.52210E-16
2.64859E-03 7.29302E-16
2.73905E-03 7.07120E-16
2.83103E-03 6.85645E-16
2.92452E-03 6.64822E-16
3.01952E-03 6.44596E-16
3.11604E-03 6.24940E-16
3.21407E-03 6.05869E-16
3.31362E-03 5.87412E-16
3.41468E-03 5.69583E-16
3.51725E-03 5.52364E-16
3.62133E-03 5.35711E-16
3.72692E-03 5.19577E-16
3.83403E-03 5.03939E-16
3.94265E-03 4.88802E-16
4.05278E-03 4.74181E-16
4.16442E-03 4.60081E-16
4.27757E-03 4.46485E-16
4.39223E-03 4.33357E-16
4.50840E-03 4.20660E-16
4.62608E-03 4.08373E-16
4.74527E-03 3.96496E-16
4.86597E-03 3.85036E-16
4.98817E-03 3.73994E-16
5.11188E-03 3.63354E-16
5.23711E-03 3.53086E-16
5.36383E-03 3.43162E-16
5.49207E-03 3.33564E-16
5.62181E-03 3.24288E-16
5.75306E-03 3.15338E-16
5.88581E-03 3.06711E-16
6.02007E-03 2.98395E-16
6.15583E-03 2.90366E-16
6.29310E-03 2.82602E-16
6.43187E-03 2.75087E-16
6.57214E-03 2.67819E-16
6.71392E-03 2.60798E-16
6.85720E-03 2.54023E-16
7.00198E-03 2.47481E-16
7.14827E-03 2.41157E-16
7.29605E-03 2.35032E-16
7.44534E-03 2.29096E-16
7.59612E-03 2.23345E-16
7.97965E-03 2.09777E-16
8.37255E-03 1.97266E-16
8.77480E-03 1.85664E-16
9.18641E-03 1.74936E-16
9.60736E-03 1.64992E-16
1.00376E-02 1.55740E-16
1.04773E-02 1.47161E-16
1.09262E-02 1.39179E-16
1.13844E-02 1.31739E-16
1.18520E-02 1.24822E-16
1.23288E-02 1.18365E-16
1.28150E-02 1.12336E-16
1.33104E-02 1.06711E-16
1.38150E-02 1.01441E-16
1.43290E-02 9.65061E-17
1.48521E-02 9.18806E-17
1.53845E-02 8.75289E-17
1.59262E-02 8.34376E-17
1.64770E-02 7.95839E-17
1.70371E-02 7.59451E-17
1.76063E-02 7.25115E-17
1.81848E-02 6.92654E-17
1.87724E-02 6.61934E-17
1.93692E-02 6.32877E-17
1.99751E-02 6.05357E-17
2.05901E-02 5.79290E-17
2.12143E-02 5.54602E-17
2.18476E-02 5.31205E-17
2.24900E-02 5.09030E-17
2.31415E-02 4.88003E-17
2.38021E-02 4.68061E-17
2.44717E-02 4.49133E-17
2.51504E-02 4.31152E-17
2.58382E-02 4.14072E-17
2.65349E-02 3.97821E-17
2.72407E-02 3.82350E-17
2.79555E-02 3.67625E-17
2.86793E-02 3.53578E-17
2.94120E-02 3.40185E-17
3.01537E-02 3.27416E-17
3.09043E-02 3.15214E-17
3.16639E-02 3.03578E-17
3.24324E-02 2.92473E-17
3.32098E-02 2.81857E-17
3.39961E-02 2.71738E-17
3.47912E-02 2.62076E-17
3.55952E-02 2.52841E-17
3.64081E-02 2.44041E-17
3.72297E-02 2.35629E-17
3.80602E-02 2.27589E-17
3.88995E-02 2.19923E-17
3.97476E-02 2.12581E-17
4.06044E-02 2.05559E-17
4.14700E-02 1.98853E-17
4.23443E-02 1.92416E-17
4.32273E-02 1.86256E-17
4.41190E-02 1.80361E-17
4.50194E-02 1.74694E-17
4.59284E-02 1.69269E-17
4.68461E-02 1.64069E-17
4.87074E-02 1.54281E-17
5.06030E-02 1.45272E-17
5.25328E-02 1.36987E-17
5.44967E-02 1.29350E-17
5.64946E-02 1.22301E-17
5.85262E-02 1.15797E-17
6.05914E-02 1.09775E-17
6.26901E-02 1.04184E-17
6.48222E-02 9.89957E-18
6.69873E-02 9.41717E-18
6.91854E-02 8.96766E-18
7.14163E-02 8.54949E-18
7.36799E-02 8.15989E-18
7.59760E-02 7.79572E-18
7.83043E-02 7.45570E-18
8.06647E-02 7.13766E-18
8.30571E-02 6.83863E-18
8.54812E-02 6.55792E-18
8.79369E-02 6.29448E-18
9.04240E-02 6.04570E-18
9.29422E-02 5.81114E-18
9.54915E-02 5.59072E-18
9.80716E-02 5.38200E-18
1.00682E-01 5.18417E-18
1.03323E-01 4.99770E-18
1.05995E-01 4.82070E-18
1.08696E-01 4.65200E-18
1.11427E-01 4.49237E-18
1.14188E-01 4.34067E-18
1.16978E-01 4.19561E-18
1.19797E-01 4.05777E-18
1.22645E-01 3.92659E-18
1.25522E-01 3.80089E-18
1.28428E-01 3.68094E-18
1.31361E-01 3.56643E-18
1.34323E-01 3.45658E-18
1.37313E-01 3.35156E-18
1.40330E-01 3.25098E-18
1.43375E-01 3.15440E-18
1.46447E-01 3.06203E-18
1.49545E-01 2.97324E-18
1.52671E-01 2.88773E-18
1.55823E-01 2.80589E-18
1.59001E-01 2.72703E-18
1.62205E-01 2.65086E-18
1.65435E-01 2.57793E-18
1.68690E-01 2.50767E-18
1.71970E-01 2.43973E-18
1.75276E-01 2.37461E-18
1.78606E-01 2.31181E-18
1.81961E-01 2.25107E-18
1.85340E-01 2.19261E-18
1.88743E-01 2.13609E-18
1.92169E-01 2.08147E-18
1.95619E-01 2.02877E-18
1.99092E-01 1.97771E-18
2.02589E-01 1.92854E-18
2.06107E-01 1.88105E-18
2.09649E-01 1.83499E-18
2.13212E-01 1.79066E-18
2.16797E-01 1.74776E-18
2.20404E-01 1.70607E-18
2.24032E-01 1.66585E-18
2.27680E-01 1.62684E-18
2.31350E-01 1.58899E-18
2.35040E-01 1.55238E-18
2.38751E-01 1.51687E-18
2.42481E-01 1.48256E-18
2.46231E-01 1.44930E-18
2.50000E-01 1.41702E-18
2.53788E-01 1.38586E-18
2.57595E-01 1.35554E-18
2.61421E-01 1.32609E-18
2.65264E-01 1.29758E-18
2.69126E-01 1.26982E-18
2.73005E-01 1.24288E-18
2.76901E-01 1.21673E-18
2.80814E-01 1.19135E-18
2.84744E-01 1.16676E-18
2.88691E-01 1.14283E-18
2.92653E-01 1.11965E-18
2.96632E-01 1.09713E-18
3.00625E-01 1.07520E-18
3.04634E-01 1.05390E-18
3.08658E-01 1.03315E-18
3.12697E-01 1.01298E-18
3.16749E-01 9.93329E-19
3.20816E-01 9.74224E-19
3.24896E-01 9.55671E-19
3.28990E-01 9.37603E-19
3.33097E-01 9.20055E-19
3.37216E-01 9.02984E-19
3.41348E-01 8.86365E-19
3.45492E-01 8.70179E-19
3.49647E-01 8.54401E-19
3.53814E-01 8.39029E-19
3.57992E-01 8.24031E-19
3.62181E-01 8.09416E-19
3.66381E-01 7.95176E-19
