 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Ga,  Z =  31,  atomic weight = 6.97230E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.40395E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 31
 #
 # Electron density: Read from file Data/z_031.d
 #                   Number of data points =  791
 #                   Volume integral = 3.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.07000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.12000E-24 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 4.22191E-17 cm**2 = 1.50767E+00 a0**2
 # 1st transport cross section = 1.30872E-18 cm**2 = 4.67352E-02 a0**2
 # 2nd transport cross section = 2.73792E-18 cm**2 = 9.77730E-02 a0**2
 #
 #    Absorption cross section = 1.16665E-17 cm**2 = 4.16620E-01 a0**2
 #   Grand total cross section = 5.38903E-17 cm**2 = 1.92446E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.49365E-15
7.61557E-13 7.49365E-15
1.18994E-12 7.49365E-15
1.71346E-12 7.49365E-15
2.33225E-12 7.49365E-15
3.04617E-12 7.49365E-15
3.85530E-12 7.49365E-15
4.75964E-12 7.49365E-15
5.75917E-12 7.49365E-15
6.85391E-12 7.49364E-15
8.04379E-12 7.49364E-15
9.32893E-12 7.49364E-15
1.07092E-11 7.49364E-15
1.21847E-11 7.49364E-15
1.37554E-11 7.49364E-15
1.54213E-11 7.49364E-15
1.71823E-11 7.49364E-15
1.90386E-11 7.49363E-15
2.09900E-11 7.49363E-15
2.30367E-11 7.49363E-15
2.51785E-11 7.49363E-15
2.74156E-11 7.49363E-15
2.97478E-11 7.49363E-15
3.21752E-11 7.49362E-15
3.46979E-11 7.49362E-15
3.73157E-11 7.49362E-15
4.00286E-11 7.49362E-15
4.28368E-11 7.49361E-15
4.57402E-11 7.49361E-15
4.87388E-11 7.49361E-15
5.18325E-11 7.49361E-15
5.50215E-11 7.49360E-15
5.83057E-11 7.49360E-15
6.16850E-11 7.49360E-15
6.51595E-11 7.49360E-15
6.87293E-11 7.49359E-15
7.23943E-11 7.49359E-15
7.61544E-11 7.49359E-15
1.18991E-10 7.49355E-15
1.71347E-10 7.49351E-15
2.33223E-10 7.49346E-15
3.04617E-10 7.49340E-15
3.85531E-10 7.49333E-15
4.75965E-10 7.49325E-15
5.75917E-10 7.49317E-15
6.85389E-10 7.49308E-15
8.04380E-10 7.49298E-15
9.32891E-10 7.49287E-15
1.07092E-09 7.49276E-15
1.21847E-09 7.49264E-15
1.37554E-09 7.49251E-15
1.54213E-09 7.49237E-15
1.71823E-09 7.49222E-15
1.90386E-09 7.49207E-15
2.09900E-09 7.49191E-15
2.30367E-09 7.49174E-15
2.51785E-09 7.49156E-15
2.74156E-09 7.49137E-15
2.97478E-09 7.49118E-15
3.21752E-09 7.49098E-15
3.46978E-09 7.49077E-15
3.73156E-09 7.49055E-15
4.00286E-09 7.49032E-15
4.28368E-09 7.49009E-15
4.57402E-09 7.48985E-15
4.87388E-09 7.48960E-15
5.18326E-09 7.48934E-15
5.50215E-09 7.48908E-15
5.83057E-09 7.48881E-15
6.16850E-09 7.48853E-15
6.51596E-09 7.48824E-15
6.87293E-09 7.48794E-15
7.23942E-09 7.48764E-15
7.61544E-09 7.48733E-15
1.18991E-08 7.48378E-15
1.71347E-08 7.47945E-15
2.33223E-08 7.47434E-15
3.04617E-08 7.46847E-15
3.85531E-08 7.46183E-15
4.75965E-08 7.45443E-15
5.75917E-08 7.44629E-15
6.85389E-08 7.43741E-15
8.04380E-08 7.42779E-15
9.32891E-08 7.41746E-15
1.07092E-07 7.40642E-15
1.21847E-07 7.39468E-15
1.37554E-07 7.38225E-15
1.54213E-07 7.36916E-15
1.71823E-07 7.35541E-15
1.90386E-07 7.34101E-15
2.09900E-07 7.32599E-15
2.30367E-07 7.31035E-15
2.51785E-07 7.29412E-15
2.74156E-07 7.27730E-15
2.97478E-07 7.25993E-15
3.21752E-07 7.24200E-15
3.46978E-07 7.22355E-15
3.73156E-07 7.20459E-15
4.00286E-07 7.18514E-15
4.28368E-07 7.16521E-15
4.57402E-07 7.14483E-15
4.87388E-07 7.12401E-15
