 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element: Ge,  Z =  32,  atomic weight = 7.26100E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.46392E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 32
 #
 # Electron density: Read from file Data/z_032.d
 #                   Number of data points =  755
 #                   Volume integral = 3.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.09940E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.07000E-24 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 3.84727E-17 cm**2 = 1.37388E+00 a0**2
 # 1st transport cross section = 7.91481E-19 cm**2 = 2.82643E-02 a0**2
 # 2nd transport cross section = 1.81869E-18 cm**2 = 6.49468E-02 a0**2
 #
 #    Absorption cross section = 1.22925E-17 cm**2 = 4.38973E-01 a0**2
 #   Grand total cross section = 5.07712E-17 cm**2 = 1.81307E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.51207E-15
7.61557E-13 2.51207E-15
1.18994E-12 2.51207E-15
1.71346E-12 2.51207E-15
2.33225E-12 2.51207E-15
3.04617E-12 2.51207E-15
3.85530E-12 2.51207E-15
4.75964E-12 2.51207E-15
5.75917E-12 2.51207E-15
6.85391E-12 2.51207E-15
8.04379E-12 2.51207E-15
9.32893E-12 2.51207E-15
1.07092E-11 2.51207E-15
1.21847E-11 2.51207E-15
1.37554E-11 2.51207E-15
1.54213E-11 2.51207E-15
1.71823E-11 2.51207E-15
1.90386E-11 2.51208E-15
2.09900E-11 2.51208E-15
2.30367E-11 2.51208E-15
2.51785E-11 2.51208E-15
2.74156E-11 2.51208E-15
2.97478E-11 2.51208E-15
3.21752E-11 2.51208E-15
3.46979E-11 2.51208E-15
3.73157E-11 2.51208E-15
4.00286E-11 2.51208E-15
4.28368E-11 2.51209E-15
4.57402E-11 2.51209E-15
4.87388E-11 2.51209E-15
5.18325E-11 2.51209E-15
5.50215E-11 2.51209E-15
5.83057E-11 2.51209E-15
6.16850E-11 2.51209E-15
6.51595E-11 2.51209E-15
6.87293E-11 2.51210E-15
7.23943E-11 2.51210E-15
7.61544E-11 2.51210E-15
1.18991E-10 2.51212E-15
1.71347E-10 2.51214E-15
2.33223E-10 2.51216E-15
3.04617E-10 2.51219E-15
3.85531E-10 2.51223E-15
4.75965E-10 2.51226E-15
5.75917E-10 2.51231E-15
6.85389E-10 2.51235E-15
8.04380E-10 2.51240E-15
9.32891E-10 2.51245E-15
1.07092E-09 2.51251E-15
1.21847E-09 2.51257E-15
1.37554E-09 2.51264E-15
1.54213E-09 2.51270E-15
1.71823E-09 2.51278E-15
1.90386E-09 2.51285E-15
2.09900E-09 2.51293E-15
2.30367E-09 2.51302E-15
2.51785E-09 2.51311E-15
2.74156E-09 2.51320E-15
2.97478E-09 2.51329E-15
3.21752E-09 2.51339E-15
3.46978E-09 2.51350E-15
3.73156E-09 2.51361E-15
4.00286E-09 2.51372E-15
4.28368E-09 2.51383E-15
4.57402E-09 2.51395E-15
4.87388E-09 2.51408E-15
5.18326E-09 2.51420E-15
5.50215E-09 2.51434E-15
5.83057E-09 2.51447E-15
6.16850E-09 2.51461E-15
6.51596E-09 2.51475E-15
6.87293E-09 2.51490E-15
7.23942E-09 2.51505E-15
7.61544E-09 2.51521E-15
1.18991E-08 2.51697E-15
1.71347E-08 2.51912E-15
2.33223E-08 2.52165E-15
3.04617E-08 2.52457E-15
3.85531E-08 2.52787E-15
4.75965E-08 2.53155E-15
5.75917E-08 2.53559E-15
6.85389E-08 2.54001E-15
8.04380E-08 2.54479E-15
9.32891E-08 2.54993E-15
1.07092E-07 2.55543E-15
1.21847E-07 2.56127E-15
1.37554E-07 2.56746E-15
1.54213E-07 2.57398E-15
1.71823E-07 2.58083E-15
1.90386E-07 2.58800E-15
2.09900E-07 2.59549E-15
2.30367E-07 2.60329E-15
2.51785E-07 2.61139E-15
2.74156E-07 2.61978E-15
2.97478E-07 2.62845E-15
3.21752E-07 2.63740E-15
3.46978E-07 2.64661E-15
3.73156E-07 2.65608E-15
4.00286E-07 2.66579E-15
4.28368E-07 2.67574E-15
4.57402E-07 2.68592E-15
4.87388E-07 2.69632E-15
5.18325E-07 2.70692E-15
5.50215E-07 2.71772E-15
5.83057E-07 2.72870E-15
6.16850E-07 2.73986E-15
6.51596E-07 2.75119E-15
6.87293E-07 2.76266E-15
7.23942E-07 2.77429E-15
7.61543E-07 2.78604E-15
1.18991E-06 2.90845E-15
1.71347E-06 3.03254E-15
2.33223E-06 3.14964E-15
3.04617E-06 3.25420E-15
3.85531E-06 3.34414E-15
4.75964E-06 3.42031E-15
5.75916E-06 3.48526E-15
6.85388E-06 3.54191E-15
8.04378E-06 3.59248E-15
9.32888E-06 3.63799E-15
1.07092E-05 3.67832E-15
1.21846E-05 3.71276E-15
1.37553E-05 3.74055E-15
1.54212E-05 3.76141E-15
1.71822E-05 3.77571E-15
1.90385E-05 3.78434E-15
2.09899E-05 3.78838E-15
2.30365E-05 3.78874E-15
2.51783E-05 3.78598E-15
2.74153E-05 3.78018E-15
2.97475E-05 3.77118E-15
3.21749E-05 3.75877E-15
3.46974E-05 3.74288E-15
3.73152E-05 3.72374E-15
4.00281E-05 3.70179E-15
4.28362E-05 3.67758E-15
4.57395E-05 3.65158E-15
4.87380E-05 3.62407E-15
5.18317E-05 3.59513E-15
5.50205E-05 3.56469E-15
5.83045E-05 3.53264E-15
6.16838E-05 3.49897E-15
6.51582E-05 3.46379E-15
6.87277E-05 3.42737E-15
7.23925E-05 3.39000E-15
7.61524E-05 3.35194E-15
9.21439E-05 3.19447E-15
1.09658E-04 3.02862E-15
1.28695E-04 2.86092E-15
1.49255E-04 2.69326E-15
1.71338E-04 2.52868E-15
1.94942E-04 2.36907E-15
2.20070E-04 2.21528E-15
2.46720E-04 2.06897E-15
2.74892E-04 1.92988E-15
3.04586E-04 1.79916E-15
3.35803E-04 1.67615E-15
3.68542E-04 1.56140E-15
4.02802E-04 1.45428E-15
4.38585E-04 1.35478E-15
4.75889E-04 1.26246E-15
5.14715E-04 1.17688E-15
5.55063E-04 1.09781E-15
5.96931E-04 1.02462E-15
6.40321E-04 9.57136E-16
6.85233E-04 8.94721E-16
7.31665E-04 8.37207E-16
7.79618E-04 7.84055E-16
8.29092E-04 7.35039E-16
8.80086E-04 6.89769E-16
9.32601E-04 6.47954E-16
9.86636E-04 6.09344E-16
1.04219E-03 5.73611E-16
1.09927E-03 5.40599E-16
1.15786E-03 5.09990E-16
1.21797E-03 4.81671E-16
1.27961E-03 4.55369E-16
1.34276E-03 4.30976E-16
1.40743E-03 4.08290E-16
1.47362E-03 3.87184E-16
1.54133E-03 3.67528E-16
1.61056E-03 3.49181E-16
1.68131E-03 3.32066E-16
1.75357E-03 3.16042E-16
1.82735E-03 3.01061E-16
1.90265E-03 2.87001E-16
1.97947E-03 2.73822E-16
2.05780E-03 2.61430E-16
2.13765E-03 2.49779E-16
2.21902E-03 2.38810E-16
2.30190E-03 2.28466E-16
2.38630E-03 2.18715E-16
2.47222E-03 2.09495E-16
2.55965E-03 2.00791E-16
2.64859E-03 1.92544E-16
2.73905E-03 1.84744E-16
2.83103E-03 1.77342E-16
2.92452E-03 1.70325E-16
3.01952E-03 1.63661E-16
3.11604E-03 1.57326E-16
3.21407E-03 1.51305E-16
3.31362E-03 1.45569E-16
3.41468E-03 1.40111E-16
3.51725E-03 1.34903E-16
3.62133E-03 1.29940E-16
3.72692E-03 1.25198E-16
3.83403E-03 1.20673E-16
3.94265E-03 1.16346E-16
4.05278E-03 1.12209E-16
4.16442E-03 1.08252E-16
4.27757E-03 1.04463E-16
4.39223E-03 1.00837E-16
4.50840E-03 9.73605E-17
4.62608E-03 9.40316E-17
4.74527E-03 9.08369E-17
4.86597E-03 8.77751E-17
4.98817E-03 8.48358E-17
5.11188E-03 8.20153E-17
5.23711E-03 7.93073E-17
5.36383E-03 7.67055E-17
5.49207E-03 7.42072E-17
5.62181E-03 7.18043E-17
5.75306E-03 6.94962E-17
5.88581E-03 6.72747E-17
6.02007E-03 6.51393E-17
6.15583E-03 6.30835E-17
6.29310E-03 6.11054E-17
6.43187E-03 5.92009E-17
6.57214E-03 5.73666E-17
6.71392E-03 5.56004E-17
6.85720E-03 5.38980E-17
7.00198E-03 5.22585E-17
7.14827E-03 5.06772E-17
7.29605E-03 4.91539E-17
7.44534E-03 4.76844E-17
7.59612E-03 4.62678E-17
7.97965E-03 4.29420E-17
8.37255E-03 3.99008E-17
8.77480E-03 3.71171E-17
9.18641E-03 3.45664E-17
9.60736E-03 3.22263E-17
1.00376E-02 3.00771E-17
1.04773E-02 2.81009E-17
1.09262E-02 2.62821E-17
1.13844E-02 2.46069E-17
1.18520E-02 2.30628E-17
1.23288E-02 2.16384E-17
1.28150E-02 2.03232E-17
1.33104E-02 1.91073E-17
1.38150E-02 1.79818E-17
1.43290E-02 1.69388E-17
1.48521E-02 1.59713E-17
1.53845E-02 1.50732E-17
1.59262E-02 1.42390E-17
1.64770E-02 1.34635E-17
1.70371E-02 1.27418E-17
1.76063E-02 1.20694E-17
1.81848E-02 1.14421E-17
1.87724E-02 1.08561E-17
1.93692E-02 1.03081E-17
1.99751E-02 9.79545E-18
2.05901E-02 9.31545E-18
2.12143E-02 8.86573E-18
2.18476E-02 8.44399E-18
2.24900E-02 8.04802E-18
2.31415E-02 7.67575E-18
2.38021E-02 7.32537E-18
2.44717E-02 6.99529E-18
2.51504E-02 6.68415E-18
2.58382E-02 6.39072E-18
2.65349E-02 6.11384E-18
2.72407E-02 5.85238E-18
2.79555E-02 5.60520E-18
2.86793E-02 5.37127E-18
2.94120E-02 5.14964E-18
3.01537E-02 4.93951E-18
3.09043E-02 4.74019E-18
3.16639E-02 4.55105E-18
3.24324E-02 4.37150E-18
3.32098E-02 4.20095E-18
3.39961E-02 4.03879E-18
3.47912E-02 3.88447E-18
3.55952E-02 3.73748E-18
3.64081E-02 3.59740E-18
3.72297E-02 3.46387E-18
3.80602E-02 3.33656E-18
3.88995E-02 3.21516E-18
3.97476E-02 3.09932E-18
4.06044E-02 2.98871E-18
4.14700E-02 2.88299E-18
4.23443E-02 2.78186E-18
4.32273E-02 2.68510E-18
4.41190E-02 2.59250E-18
4.50194E-02 2.50387E-18
4.59284E-02 2.41905E-18
4.68461E-02 2.33783E-18
4.87074E-02 2.18539E-18
5.06030E-02 2.04507E-18
5.25328E-02 1.91576E-18
5.44967E-02 1.79658E-18
5.64946E-02 1.68657E-18
5.85262E-02 1.58482E-18
6.05914E-02 1.49058E-18
6.26901E-02 1.40328E-18
6.48222E-02 1.32231E-18
6.69873E-02 1.24711E-18
6.91854E-02 1.17718E-18
7.14163E-02 1.11214E-18
7.36799E-02 1.05158E-18
7.59760E-02 9.95109E-19
7.83043E-02 9.42394E-19
8.06647E-02 8.93174E-19
8.30571E-02 8.47187E-19
8.54812E-02 8.04169E-19
8.79369E-02 7.63885E-19
9.04240E-02 7.26136E-19
9.29422E-02 6.90738E-19
9.54915E-02 6.57515E-19
9.80716E-02 6.26312E-19
1.00682E-01 5.96986E-19
1.03323E-01 5.69404E-19
1.05995E-01 5.43444E-19
1.08696E-01 5.18993E-19
1.11427E-01 4.95942E-19
1.14188E-01 4.74192E-19
1.16978E-01 4.53660E-19
1.19797E-01 4.34271E-19
1.22645E-01 4.15948E-19
1.25522E-01 3.98614E-19
1.28428E-01 3.82208E-19
1.31361E-01 3.66679E-19
1.34323E-01 3.51969E-19
1.37313E-01 3.38015E-19
1.40330E-01 3.24771E-19
1.43375E-01 3.12201E-19
1.46447E-01 3.00269E-19
1.49545E-01 2.88926E-19
1.52671E-01 2.78136E-19
1.55823E-01 2.67871E-19
1.59001E-01 2.58106E-19
1.62205E-01 2.48805E-19
1.65435E-01 2.39936E-19
1.68690E-01 2.31480E-19
1.71970E-01 2.23419E-19
1.75276E-01 2.15730E-19
1.78606E-01 2.08383E-19
1.81961E-01 2.01361E-19
1.85340E-01 1.94654E-19
1.88743E-01 1.88248E-19
1.92169E-01 1.82117E-19
1.95619E-01 1.76242E-19
1.99092E-01 1.70619E-19
2.02589E-01 1.65238E-19
2.06107E-01 1.60083E-19
2.09649E-01 1.55137E-19
2.13212E-01 1.50391E-19
2.16797E-01 1.45842E-19
2.20404E-01 1.41479E-19
2.24032E-01 1.37286E-19
2.27680E-01 1.33254E-19
2.31350E-01 1.29383E-19
2.35040E-01 1.25667E-19
2.38751E-01 1.22093E-19
2.42481E-01 1.18650E-19
2.46231E-01 1.15337E-19
2.50000E-01 1.12152E-19
2.53788E-01 1.09087E-19
2.57595E-01 1.06132E-19
2.61421E-01 1.03281E-19
2.65264E-01 1.00537E-19
2.69126E-01 9.78934E-20
2.73005E-01 9.53421E-20
2.76901E-01 9.28769E-20
2.80814E-01 9.04980E-20
2.84744E-01 8.82052E-20
2.88691E-01 8.59930E-20
2.92653E-01 8.38541E-20
2.96632E-01 8.17859E-20
3.00625E-01 7.97883E-20
3.04634E-01 7.78590E-20
3.08658E-01 7.59929E-20
3.12697E-01 7.41863E-20
3.16749E-01 7.24384E-20
3.20816E-01 7.07486E-20
3.24896E-01 6.91142E-20
3.28990E-01 6.75310E-20
3.33097E-01 6.59965E-20
3.37216E-01 6.45099E-20
3.41348E-01 6.30704E-20
3.45492E-01 6.16758E-20
3.49647E-01 6.03236E-20
3.53814E-01 5.90119E-20
3.57992E-01 5.77401E-20
3.62181E-01 5.65074E-20
3.66381E-01 5.53121E-20
3.70590E-01 5.41519E-20
3.74810E-01 5.30249E-20
3.79039E-01 5.19307E-20
3.83277E-01 5.08690E-20
3.87524E-01 4.98384E-20
3.91780E-01 4.88368E-20
3.96044E-01 4.78629E-20
4.00316E-01 4.69168E-20
4.04596E-01 4.59983E-20
4.08882E-01 4.51055E-20
4.13176E-01 4.42368E-20
4.17476E-01 4.33914E-20
4.21783E-01 4.25694E-20
4.26095E-01 4.17702E-20
4.30413E-01 4.09928E-20
4.34737E-01 4.02361E-20
4.39065E-01 3.94993E-20
4.43398E-01 3.87820E-20
4.47736E-01 3.80840E-20
4.52077E-01 3.74046E-20
4.56422E-01 3.67428E-20
4.60770E-01 3.60979E-20
4.65122E-01 3.54695E-20
4.69476E-01 3.48574E-20
4.73832E-01 3.42611E-20
4.78190E-01 3.36799E-20
4.82550E-01 3.31130E-20
4.86912E-01 3.25601E-20
4.91274E-01 3.20210E-20
4.95637E-01 3.14954E-20
5.00000E-01 3.09829E-20
5.04363E-01 3.04829E-20
5.08726E-01 2.99949E-20
5.13088E-01 2.95188E-20
5.17450E-01 2.90543E-20
5.21810E-01 2.86010E-20
5.26168E-01 2.81585E-20
5.30524E-01 2.77263E-20
5.34878E-01 2.73042E-20
5.39230E-01 2.68920E-20
5.43578E-01 2.64897E-20
5.47923E-01 2.60967E-20
5.52264E-01 2.57130E-20
5.56602E-01 2.53380E-20
5.60935E-01 2.49715E-20
5.65263E-01 2.46133E-20
5.69587E-01 2.42633E-20
5.73905E-01 2.39212E-20
5.78217E-01 2.35867E-20
5.82524E-01 2.32596E-20
5.86824E-01 2.29396E-20
5.91118E-01 2.26269E-20
5.95404E-01 2.23211E-20
5.99684E-01 2.20222E-20
6.03956E-01 2.17296E-20
6.08220E-01 2.14436E-20
6.12476E-01 2.11637E-20
6.16723E-01 2.08898E-20
6.20961E-01 2.06218E-20
6.25190E-01 2.03596E-20
6.29410E-01 2.01030E-20
6.33619E-01 1.98518E-20
6.37819E-01 1.96057E-20
6.42008E-01 1.93649E-20
6.46186E-01 1.91293E-20
6.50353E-01 1.88985E-20
6.54508E-01 1.86725E-20
6.58652E-01 1.84513E-20
6.62784E-01 1.82346E-20
6.66903E-01 1.80224E-20
6.71010E-01 1.78145E-20
6.75104E-01 1.76107E-20
6.79184E-01 1.74111E-20
6.83251E-01 1.72157E-20
6.87303E-01 1.70241E-20
6.91342E-01 1.68363E-20
6.95366E-01 1.66523E-20
6.99375E-01 1.64722E-20
7.03368E-01 1.62955E-20
7.07347E-01 1.61223E-20
7.11309E-01 1.59526E-20
7.15256E-01 1.57864E-20
7.19186E-01 1.56234E-20
7.23099E-01 1.54635E-20
7.26995E-01 1.53069E-20
7.30874E-01 1.51533E-20
7.34736E-01 1.50026E-20
7.38579E-01 1.48549E-20
7.42405E-01 1.47101E-20
7.46212E-01 1.45682E-20
7.50000E-01 1.44290E-20
7.53769E-01 1.42922E-20
7.57519E-01 1.41582E-20
7.61249E-01 1.40269E-20
7.64960E-01 1.38980E-20
7.68650E-01 1.37715E-20
7.72320E-01 1.36474E-20
7.75968E-01 1.35259E-20
7.79596E-01 1.34066E-20
7.83203E-01 1.32894E-20
7.86788E-01 1.31746E-20
7.90351E-01 1.30620E-20
7.93893E-01 1.29515E-20
7.97411E-01 1.28430E-20
8.00908E-01 1.27366E-20
8.04381E-01 1.26322E-20
8.07831E-01 1.25299E-20
8.11257E-01 1.24293E-20
8.14660E-01 1.23306E-20
8.18039E-01 1.22339E-20
8.21394E-01 1.21391E-20
8.24724E-01 1.20459E-20
8.28030E-01 1.19544E-20
8.31310E-01 1.18648E-20
8.34565E-01 1.17770E-20
8.37795E-01 1.16907E-20
8.40999E-01 1.16059E-20
8.44177E-01 1.15229E-20
8.47329E-01 1.14415E-20
8.50455E-01 1.13616E-20
8.53553E-01 1.12830E-20
8.56625E-01 1.12060E-20
8.59670E-01 1.11306E-20
8.62687E-01 1.10566E-20
8.65677E-01 1.09838E-20
8.68639E-01 1.09125E-20
8.71572E-01 1.08427E-20
8.74478E-01 1.07741E-20
8.77355E-01 1.07067E-20
8.80203E-01 1.06407E-20
8.83022E-01 1.05761E-20
8.85812E-01 1.05126E-20
8.88573E-01 1.04503E-20
8.91304E-01 1.03893E-20
8.94005E-01 1.03295E-20
8.96677E-01 1.02709E-20
8.99318E-01 1.02133E-20
9.01928E-01 1.01569E-20
9.04508E-01 1.01017E-20
9.07058E-01 1.00476E-20
9.09576E-01 9.99459E-21
9.12063E-01 9.94247E-21
9.14519E-01 9.89156E-21
9.16943E-01 9.84187E-21
9.19335E-01 9.79292E-21
9.21696E-01 9.74494E-21
9.24024E-01 9.69818E-21
9.26320E-01 9.65235E-21
9.28584E-01 9.60750E-21
9.30815E-01 9.56341E-21
9.33013E-01 9.52036E-21
9.35178E-01 9.47848E-21
9.37310E-01 9.43725E-21
9.39409E-01 9.39694E-21
9.41474E-01 9.35747E-21
9.43505E-01 9.31918E-21
9.45503E-01 9.28156E-21
9.47467E-01 9.24472E-21
9.49397E-01 9.20873E-21
9.51293E-01 9.17382E-21
9.53154E-01 9.13963E-21
9.54981E-01 9.10615E-21
9.56773E-01 9.07342E-21
9.58530E-01 9.04180E-21
9.60252E-01 9.01083E-21
9.61940E-01 8.98060E-21
9.63592E-01 8.95098E-21
9.65209E-01 8.92247E-21
9.66790E-01 8.89466E-21
9.68336E-01 8.86742E-21
9.69846E-01 8.84095E-21
9.71321E-01 8.81528E-21
9.72759E-01 8.79056E-21
9.74162E-01 8.76630E-21
9.75528E-01 8.74261E-21
9.76858E-01 8.71996E-21
9.78152E-01 8.69803E-21
9.79410E-01 8.67660E-21
9.80631E-01 8.65584E-21
9.81815E-01 8.63587E-21
9.82963E-01 8.61669E-21
9.84074E-01 8.59814E-21
9.85148E-01 8.58006E-21
9.86185E-01 8.56271E-21
9.87185E-01 8.54628E-21
9.88148E-01 8.53044E-21
9.89074E-01 8.51500E-21
9.89962E-01 8.50026E-21
9.90814E-01 8.48643E-21
9.91627E-01 8.47323E-21
9.92404E-01 8.46040E-21
9.93143E-01 8.44823E-21
9.93844E-01 8.43696E-21
9.94508E-01 8.42630E-21
9.95134E-01 8.41598E-21
9.95722E-01 8.40632E-21
9.96273E-01 8.39763E-21
9.96786E-01 8.38956E-21
9.97261E-01 8.38173E-21
9.97698E-01 8.37444E-21
9.98097E-01 8.36815E-21
9.98459E-01 8.36262E-21
9.98782E-01 8.35730E-21
9.99067E-01 8.35241E-21
9.99315E-01 8.34858E-21
9.99524E-01 8.34564E-21
9.99695E-01 8.34283E-21
9.99829E-01 8.34019E-21
9.99924E-01 8.33869E-21
9.99981E-01 8.33861E-21
1.00000E+00 8.34107E-21
