 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+02 eV = 6.43113E+00 a.u.
 #
 # Element: Ge,  Z =  32,  atomic weight = 7.26100E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.46392E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 32
 #
 # Electron density: Read from file Data/z_032.d
 #                   Number of data points =  755
 #                   Volume integral = 3.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.09940E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.07000E-24 cm**3
 #                            Bpol = 2.79508E+00
 #
 # Total elastic cross section = 2.20927E-16 cm**2 = 7.88944E+00 a0**2
 # 1st transport cross section = 3.02642E-17 cm**2 = 1.08075E+00 a0**2
 # 2nd transport cross section = 5.38195E-17 cm**2 = 1.92193E+00 a0**2
 #
 #    Absorption cross section = 4.64960E-16 cm**2 = 1.66040E+01 a0**2
 #   Grand total cross section = 6.85893E-16 cm**2 = 2.44937E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.88477E-15
7.61557E-13 1.88477E-15
1.18994E-12 1.88477E-15
1.71346E-12 1.88477E-15
2.33225E-12 1.88477E-15
3.04617E-12 1.88477E-15
3.85530E-12 1.88477E-15
4.75964E-12 1.88477E-15
5.75917E-12 1.88477E-15
6.85391E-12 1.88477E-15
8.04379E-12 1.88477E-15
9.32893E-12 1.88477E-15
1.07092E-11 1.88477E-15
1.21847E-11 1.88477E-15
1.37554E-11 1.88477E-15
1.54213E-11 1.88477E-15
1.71823E-11 1.88477E-15
1.90386E-11 1.88477E-15
2.09900E-11 1.88477E-15
2.30367E-11 1.88477E-15
2.51785E-11 1.88477E-15
2.74156E-11 1.88477E-15
2.97478E-11 1.88477E-15
3.21752E-11 1.88477E-15
3.46979E-11 1.88477E-15
3.73157E-11 1.88477E-15
4.00286E-11 1.88477E-15
4.28368E-11 1.88477E-15
4.57402E-11 1.88477E-15
4.87388E-11 1.88477E-15
5.18325E-11 1.88477E-15
5.50215E-11 1.88477E-15
5.83057E-11 1.88477E-15
6.16850E-11 1.88477E-15
6.51595E-11 1.88477E-15
6.87293E-11 1.88477E-15
7.23943E-11 1.88477E-15
7.61544E-11 1.88477E-15
1.18991E-10 1.88477E-15
1.71347E-10 1.88477E-15
2.33223E-10 1.88477E-15
3.04617E-10 1.88477E-15
3.85531E-10 1.88477E-15
4.75965E-10 1.88477E-15
5.75917E-10 1.88477E-15
6.85389E-10 1.88477E-15
8.04380E-10 1.88477E-15
9.32891E-10 1.88477E-15
1.07092E-09 1.88477E-15
1.21847E-09 1.88477E-15
1.37554E-09 1.88477E-15
1.54213E-09 1.88477E-15
1.71823E-09 1.88477E-15
1.90386E-09 1.88477E-15
2.09900E-09 1.88476E-15
2.30367E-09 1.88476E-15
2.51785E-09 1.88476E-15
2.74156E-09 1.88476E-15
2.97478E-09 1.88476E-15
3.21752E-09 1.88476E-15
3.46978E-09 1.88476E-15
3.73156E-09 1.88476E-15
4.00286E-09 1.88476E-15
4.28368E-09 1.88475E-15
4.57402E-09 1.88475E-15
4.87388E-09 1.88475E-15
5.18326E-09 1.88475E-15
5.50215E-09 1.88475E-15
5.83057E-09 1.88475E-15
6.16850E-09 1.88475E-15
6.51596E-09 1.88474E-15
6.87293E-09 1.88474E-15
7.23942E-09 1.88474E-15
7.61544E-09 1.88474E-15
1.18991E-08 1.88472E-15
1.71347E-08 1.88469E-15
2.33223E-08 1.88467E-15
3.04617E-08 1.88463E-15
3.85531E-08 1.88459E-15
4.75965E-08 1.88455E-15
5.75917E-08 1.88450E-15
6.85389E-08 1.88445E-15
8.04380E-08 1.88440E-15
9.32891E-08 1.88434E-15
1.07092E-07 1.88427E-15
1.21847E-07 1.88420E-15
1.37554E-07 1.88413E-15
1.54213E-07 1.88405E-15
1.71823E-07 1.88397E-15
1.90386E-07 1.88388E-15
2.09900E-07 1.88379E-15
2.30367E-07 1.88370E-15
2.51785E-07 1.88360E-15
2.74156E-07 1.88349E-15
2.97478E-07 1.88338E-15
3.21752E-07 1.88327E-15
3.46978E-07 1.88315E-15
3.73156E-07 1.88303E-15
4.00286E-07 1.88290E-15
4.28368E-07 1.88277E-15
4.57402E-07 1.88264E-15
4.87388E-07 1.88250E-15
5.18325E-07 1.88235E-15
5.50215E-07 1.88220E-15
5.83057E-07 1.88205E-15
6.16850E-07 1.88189E-15
6.51596E-07 1.88173E-15
6.87293E-07 1.88156E-15
7.23942E-07 1.88139E-15
7.61543E-07 1.88122E-15
1.18991E-06 1.87923E-15
1.71347E-06 1.87681E-15
2.33223E-06 1.87397E-15
3.04617E-06 1.87072E-15
3.85531E-06 1.86706E-15
4.75964E-06 1.86300E-15
5.75916E-06 1.85856E-15
6.85388E-06 1.85375E-15
8.04378E-06 1.84859E-15
9.32888E-06 1.84308E-15
1.07092E-05 1.83724E-15
1.21846E-05 1.83109E-15
1.37553E-05 1.82464E-15
1.54212E-05 1.81792E-15
1.71822E-05 1.81093E-15
1.90385E-05 1.80369E-15
2.09899E-05 1.79623E-15
2.30365E-05 1.78855E-15
2.51783E-05 1.78068E-15
2.74153E-05 1.77264E-15
2.97475E-05 1.76444E-15
3.21749E-05 1.75610E-15
3.46974E-05 1.74764E-15
3.73152E-05 1.73907E-15
4.00281E-05 1.73041E-15
4.28362E-05 1.72167E-15
4.57395E-05 1.71288E-15
4.87380E-05 1.70404E-15
5.18317E-05 1.69518E-15
5.50205E-05 1.68630E-15
5.83045E-05 1.67742E-15
6.16838E-05 1.66855E-15
6.51582E-05 1.65970E-15
6.87277E-05 1.65088E-15
7.23925E-05 1.64211E-15
7.61524E-05 1.63339E-15
9.21439E-05 1.59921E-15
1.09658E-04 1.56644E-15
1.28695E-04 1.53537E-15
1.49255E-04 1.50610E-15
1.71338E-04 1.47865E-15
1.94942E-04 1.45292E-15
2.20070E-04 1.42877E-15
2.46720E-04 1.40603E-15
2.74892E-04 1.38451E-15
3.04586E-04 1.36405E-15
3.35803E-04 1.34450E-15
3.68542E-04 1.32575E-15
