 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Ge,  Z =  32,  atomic weight = 7.26100E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.46392E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 32
 #
 # Electron density: Read from file Data/z_032.d
 #                   Number of data points =  755
 #                   Volume integral = 3.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.07000E-24 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 4.87133E-17 cm**2 = 1.73958E+00 a0**2
 # 1st transport cross section = 1.64666E-18 cm**2 = 5.88032E-02 a0**2
 # 2nd transport cross section = 3.35757E-18 cm**2 = 1.19901E-01 a0**2
 #
 #    Absorption cross section = 1.53072E-17 cm**2 = 5.46629E-01 a0**2
 #   Grand total cross section = 6.40262E-17 cm**2 = 2.28642E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 7.17497E-15
7.61557E-13 7.17497E-15
1.18994E-12 7.17497E-15
1.71346E-12 7.17497E-15
2.33225E-12 7.17497E-15
3.04617E-12 7.17497E-15
3.85530E-12 7.17496E-15
4.75964E-12 7.17496E-15
5.75917E-12 7.17496E-15
6.85391E-12 7.17496E-15
8.04379E-12 7.17496E-15
9.32893E-12 7.17496E-15
1.07092E-11 7.17496E-15
1.21847E-11 7.17496E-15
1.37554E-11 7.17496E-15
1.54213E-11 7.17496E-15
1.71823E-11 7.17496E-15
1.90386E-11 7.17495E-15
2.09900E-11 7.17495E-15
2.30367E-11 7.17495E-15
2.51785E-11 7.17495E-15
2.74156E-11 7.17495E-15
2.97478E-11 7.17495E-15
3.21752E-11 7.17495E-15
3.46979E-11 7.17494E-15
3.73157E-11 7.17494E-15
4.00286E-11 7.17494E-15
4.28368E-11 7.17494E-15
4.57402E-11 7.17494E-15
4.87388E-11 7.17494E-15
5.18325E-11 7.17493E-15
5.50215E-11 7.17493E-15
5.83057E-11 7.17493E-15
6.16850E-11 7.17493E-15
6.51595E-11 7.17493E-15
6.87293E-11 7.17492E-15
7.23943E-11 7.17492E-15
7.61544E-11 7.17492E-15
1.18991E-10 7.17489E-15
1.71347E-10 7.17486E-15
2.33223E-10 7.17482E-15
3.04617E-10 7.17477E-15
3.85531E-10 7.17472E-15
4.75965E-10 7.17467E-15
5.75917E-10 7.17460E-15
6.85389E-10 7.17453E-15
8.04380E-10 7.17446E-15
9.32891E-10 7.17438E-15
1.07092E-09 7.17429E-15
1.21847E-09 7.17419E-15
1.37554E-09 7.17410E-15
1.54213E-09 7.17399E-15
1.71823E-09 7.17388E-15
1.90386E-09 7.17376E-15
2.09900E-09 7.17364E-15
2.30367E-09 7.17351E-15
2.51785E-09 7.17337E-15
2.74156E-09 7.17323E-15
2.97478E-09 7.17308E-15
3.21752E-09 7.17293E-15
3.46978E-09 7.17277E-15
3.73156E-09 7.17260E-15
4.00286E-09 7.17243E-15
4.28368E-09 7.17225E-15
4.57402E-09 7.17207E-15
4.87388E-09 7.17188E-15
5.18326E-09 7.17169E-15
5.50215E-09 7.17148E-15
5.83057E-09 7.17128E-15
6.16850E-09 7.17106E-15
6.51596E-09 7.17084E-15
6.87293E-09 7.17062E-15
7.23942E-09 7.17039E-15
7.61544E-09 7.17015E-15
1.18991E-08 7.16744E-15
1.71347E-08 7.16414E-15
2.33223E-08 7.16025E-15
3.04617E-08 7.15578E-15
3.85531E-08 7.15072E-15
4.75965E-08 7.14508E-15
5.75917E-08 7.13887E-15
6.85389E-08 7.13210E-15
8.04380E-08 7.12478E-15
9.32891E-08 7.11690E-15
1.07092E-07 7.10849E-15
1.21847E-07 7.09954E-15
1.37554E-07 7.09007E-15
1.54213E-07 7.08010E-15
1.71823E-07 7.06962E-15
1.90386E-07 7.05865E-15
2.09900E-07 7.04720E-15
2.30367E-07 7.03529E-15
2.51785E-07 7.02292E-15
2.74156E-07 7.01011E-15
2.97478E-07 6.99687E-15
3.21752E-07 6.98321E-15
3.46978E-07 6.96916E-15
3.73156E-07 6.95471E-15
4.00286E-07 6.93989E-15
4.28368E-07 6.92471E-15
4.57402E-07 6.90918E-15
4.87388E-07 6.89332E-15
5.18325E-07 6.87715E-15
5.50215E-07 6.86067E-15
5.83057E-07 6.84391E-15
6.16850E-07 6.82688E-15
6.51596E-07 6.80959E-15
6.87293E-07 6.79205E-15
7.23942E-07 6.77429E-15
7.61543E-07 6.75632E-15
1.18991E-06 6.56815E-15
1.71347E-06 6.37410E-15
2.33223E-06 6.18539E-15
3.04617E-06 6.00956E-15
3.85531E-06 5.85026E-15
4.75964E-06 5.70780E-15
5.75916E-06 5.58017E-15
6.85388E-06 5.46416E-15
8.04378E-06 5.35647E-15
9.32888E-06 5.25445E-15
1.07092E-05 5.15651E-15
1.21846E-05 5.06212E-15
1.37553E-05 4.97150E-15
1.54212E-05 4.88519E-15
1.71822E-05 4.80365E-15
1.90385E-05 4.72695E-15
2.09899E-05 4.65473E-15
2.30365E-05 4.58625E-15
2.51783E-05 4.52063E-15
2.74153E-05 4.45706E-15
2.97475E-05 4.39497E-15
3.21749E-05 4.33412E-15
3.46974E-05 4.27452E-15
3.73152E-05 4.21637E-15
4.00281E-05 4.15986E-15
4.28362E-05 4.10507E-15
4.57395E-05 4.05191E-15
4.87380E-05 4.00011E-15
5.18317E-05 3.94933E-15
5.50205E-05 3.89924E-15
5.83045E-05 3.84959E-15
6.16838E-05 3.80030E-15
6.51582E-05 3.75140E-15
6.87277E-05 3.70300E-15
7.23925E-05 3.65525E-15
7.61524E-05 3.60822E-15
9.21439E-05 3.42596E-15
1.09658E-04 3.24808E-15
1.28695E-04 3.07593E-15
1.49255E-04 2.90926E-15
1.71338E-04 2.74699E-15
1.94942E-04 2.59119E-15
2.20070E-04 2.44066E-15
2.46720E-04 2.29660E-15
2.74892E-04 2.15921E-15
3.04586E-04 2.02812E-15
3.35803E-04 1.90425E-15
3.68542E-04 1.78686E-15
4.02802E-04 1.67634E-15
4.38585E-04 1.57249E-15
4.75889E-04 1.47487E-15
5.14715E-04 1.38367E-15
5.55063E-04 1.29823E-15
5.96931E-04 1.21851E-15
6.40321E-04 1.14419E-15
6.85233E-04 1.07481E-15
7.31665E-04 1.01032E-15
7.79618E-04 9.50190E-16
8.29092E-04 8.94272E-16
8.80086E-04 8.42269E-16
9.32601E-04 7.93826E-16
9.86636E-04 7.48839E-16
1.04219E-03 7.06921E-16
1.09927E-03 6.67939E-16
1.15786E-03 6.31665E-16
1.21797E-03 5.97845E-16
1.27961E-03 5.66386E-16
1.34276E-03 5.37020E-16
1.40743E-03 5.09645E-16
1.47362E-03 4.84100E-16
1.54133E-03 4.60209E-16
1.61056E-03 4.37905E-16
1.68131E-03 4.17004E-16
1.75357E-03 3.97438E-16
1.82735E-03 3.79097E-16
1.90265E-03 3.61863E-16
1.97947E-03 3.45693E-16
2.05780E-03 3.30465E-16
2.13765E-03 3.16136E-16
2.21902E-03 3.02635E-16
2.30190E-03 2.89886E-16
2.38630E-03 2.77863E-16
2.47222E-03 2.66485E-16
2.55965E-03 2.55728E-16
2.64859E-03 2.45544E-16
2.73905E-03 2.35884E-16
2.83103E-03 2.26733E-16
2.92452E-03 2.18037E-16
3.01952E-03 2.09781E-16
3.11604E-03 2.01932E-16
