 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.50000E+02 eV = 5.51240E+00 a.u.
 #
 # Element: As,  Z =  33,  atomic weight = 7.49216E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.51079E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 33
 #
 # Electron density: Read from file Data/z_033.d
 #                   Number of data points =  731
 #                   Volume integral = 3.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.98860E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.31000E-24 cm**3
 #                            Bpol = 2.50000E+00
 #
 # Total elastic cross section = 2.37933E-16 cm**2 = 8.49674E+00 a0**2
 # 1st transport cross section = 3.39773E-17 cm**2 = 1.21335E+00 a0**2
 # 2nd transport cross section = 6.03349E-17 cm**2 = 2.15460E+00 a0**2
 #
 #    Absorption cross section = 4.33534E-16 cm**2 = 1.54818E+01 a0**2
 #   Grand total cross section = 6.71474E-16 cm**2 = 2.39788E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.35242E-15
7.61557E-13 1.35242E-15
1.18994E-12 1.35242E-15
1.71346E-12 1.35242E-15
2.33225E-12 1.35242E-15
3.04617E-12 1.35242E-15
3.85530E-12 1.35242E-15
4.75964E-12 1.35242E-15
5.75917E-12 1.35242E-15
6.85391E-12 1.35242E-15
8.04379E-12 1.35242E-15
9.32893E-12 1.35242E-15
1.07092E-11 1.35242E-15
1.21847E-11 1.35242E-15
1.37554E-11 1.35242E-15
1.54213E-11 1.35242E-15
1.71823E-11 1.35242E-15
1.90386E-11 1.35242E-15
2.09900E-11 1.35242E-15
2.30367E-11 1.35242E-15
2.51785E-11 1.35242E-15
2.74156E-11 1.35242E-15
2.97478E-11 1.35242E-15
3.21752E-11 1.35242E-15
3.46979E-11 1.35242E-15
3.73157E-11 1.35242E-15
4.00286E-11 1.35242E-15
4.28368E-11 1.35242E-15
4.57402E-11 1.35242E-15
4.87388E-11 1.35242E-15
5.18325E-11 1.35242E-15
5.50215E-11 1.35242E-15
5.83057E-11 1.35242E-15
6.16850E-11 1.35242E-15
6.51595E-11 1.35242E-15
6.87293E-11 1.35242E-15
7.23943E-11 1.35242E-15
7.61544E-11 1.35242E-15
1.18991E-10 1.35242E-15
1.71347E-10 1.35242E-15
2.33223E-10 1.35242E-15
3.04617E-10 1.35242E-15
3.85531E-10 1.35242E-15
4.75965E-10 1.35242E-15
5.75917E-10 1.35242E-15
6.85389E-10 1.35242E-15
8.04380E-10 1.35242E-15
9.32891E-10 1.35242E-15
1.07092E-09 1.35242E-15
1.21847E-09 1.35242E-15
1.37554E-09 1.35242E-15
1.54213E-09 1.35242E-15
1.71823E-09 1.35242E-15
1.90386E-09 1.35242E-15
2.09900E-09 1.35242E-15
2.30367E-09 1.35242E-15
2.51785E-09 1.35242E-15
2.74156E-09 1.35242E-15
2.97478E-09 1.35242E-15
3.21752E-09 1.35242E-15
3.46978E-09 1.35242E-15
3.73156E-09 1.35242E-15
4.00286E-09 1.35242E-15
4.28368E-09 1.35242E-15
4.57402E-09 1.35242E-15
4.87388E-09 1.35242E-15
5.18326E-09 1.35242E-15
5.50215E-09 1.35242E-15
5.83057E-09 1.35241E-15
6.16850E-09 1.35241E-15
6.51596E-09 1.35241E-15
6.87293E-09 1.35241E-15
7.23942E-09 1.35241E-15
7.61544E-09 1.35241E-15
1.18991E-08 1.35240E-15
1.71347E-08 1.35239E-15
2.33223E-08 1.35238E-15
3.04617E-08 1.35237E-15
3.85531E-08 1.35236E-15
4.75965E-08 1.35234E-15
5.75917E-08 1.35232E-15
6.85389E-08 1.35231E-15
8.04380E-08 1.35228E-15
9.32891E-08 1.35226E-15
1.07092E-07 1.35224E-15
1.21847E-07 1.35221E-15
1.37554E-07 1.35219E-15
1.54213E-07 1.35216E-15
1.71823E-07 1.35213E-15
1.90386E-07 1.35209E-15
2.09900E-07 1.35206E-15
2.30367E-07 1.35202E-15
2.51785E-07 1.35199E-15
2.74156E-07 1.35195E-15
2.97478E-07 1.35191E-15
3.21752E-07 1.35187E-15
3.46978E-07 1.35182E-15
3.73156E-07 1.35178E-15
4.00286E-07 1.35173E-15
4.28368E-07 1.35168E-15
4.57402E-07 1.35163E-15
4.87388E-07 1.35158E-15
5.18325E-07 1.35152E-15
5.50215E-07 1.35147E-15
5.83057E-07 1.35141E-15
6.16850E-07 1.35135E-15
6.51596E-07 1.35129E-15
6.87293E-07 1.35123E-15
7.23942E-07 1.35117E-15
7.61543E-07 1.35110E-15
1.18991E-06 1.35036E-15
1.71347E-06 1.34946E-15
2.33223E-06 1.34840E-15
3.04617E-06 1.34718E-15
3.85531E-06 1.34581E-15
4.75964E-06 1.34428E-15
5.75916E-06 1.34261E-15
6.85388E-06 1.34079E-15
8.04378E-06 1.33884E-15
9.32888E-06 1.33674E-15
1.07092E-05 1.33451E-15
1.21846E-05 1.33215E-15
1.37553E-05 1.32967E-15
1.54212E-05 1.32707E-15
1.71822E-05 1.32435E-15
1.90385E-05 1.32153E-15
2.09899E-05 1.31860E-15
2.30365E-05 1.31557E-15
2.51783E-05 1.31245E-15
2.74153E-05 1.30925E-15
2.97475E-05 1.30596E-15
3.21749E-05 1.30259E-15
3.46974E-05 1.29916E-15
3.73152E-05 1.29566E-15
4.00281E-05 1.29209E-15
4.28362E-05 1.28848E-15
4.57395E-05 1.28482E-15
4.87380E-05 1.28111E-15
5.18317E-05 1.27737E-15
5.50205E-05 1.27359E-15
5.83045E-05 1.26979E-15
6.16838E-05 1.26596E-15
6.51582E-05 1.26212E-15
6.87277E-05 1.25826E-15
7.23925E-05 1.25440E-15
7.61524E-05 1.25053E-15
9.21439E-05 1.23508E-15
1.09658E-04 1.21986E-15
1.28695E-04 1.20505E-15
1.49255E-04 1.19078E-15
1.71338E-04 1.17713E-15
1.94942E-04 1.16415E-15
2.20070E-04 1.15185E-15
2.46720E-04 1.14020E-15
2.74892E-04 1.12917E-15
3.04586E-04 1.11870E-15
3.35803E-04 1.10874E-15
3.68542E-04 1.09923E-15
4.02802E-04 1.09012E-15
4.38585E-04 1.08136E-15
4.75889E-04 1.07289E-15
5.14715E-04 1.06470E-15
5.55063E-04 1.05675E-15
5.96931E-04 1.04902E-15
6.40321E-04 1.04150E-15
6.85233E-04 1.03416E-15
7.31665E-04 1.02702E-15
7.79618E-04 1.02005E-15
8.29092E-04 1.01325E-15
8.80086E-04 1.00660E-15
9.32601E-04 1.00011E-15
9.86636E-04 9.93750E-16
1.04219E-03 9.87513E-16
1.09927E-03 9.81383E-16
1.15786E-03 9.75344E-16
1.21797E-03 9.69382E-16
1.27961E-03 9.63482E-16
1.34276E-03 9.57632E-16
1.40743E-03 9.51822E-16
1.47362E-03 9.46041E-16
1.54133E-03 9.40284E-16
1.61056E-03 9.34545E-16
1.68131E-03 9.28821E-16
1.75357E-03 9.23109E-16
1.82735E-03 9.17407E-16
1.90265E-03 9.11713E-16
1.97947E-03 9.06024E-16
2.05780E-03 9.00338E-16
2.13765E-03 8.94649E-16
2.21902E-03 8.88954E-16
2.30190E-03 8.83247E-16
2.38630E-03 8.77521E-16
2.47222E-03 8.71770E-16
2.55965E-03 8.65987E-16
2.64859E-03 8.60167E-16
2.73905E-03 8.54305E-16
2.83103E-03 8.48397E-16
2.92452E-03 8.42440E-16
3.01952E-03 8.36433E-16
3.11604E-03 8.30377E-16
3.21407E-03 8.24273E-16
3.31362E-03 8.18124E-16
3.41468E-03 8.11932E-16
3.51725E-03 8.05701E-16
3.62133E-03 7.99435E-16
3.72692E-03 7.93137E-16
3.83403E-03 7.86808E-16
3.94265E-03 7.80450E-16
4.05278E-03 7.74065E-16
4.16442E-03 7.67651E-16
4.27757E-03 7.61209E-16
4.39223E-03 7.54737E-16
4.50840E-03 7.48232E-16
4.62608E-03 7.41694E-16
4.74527E-03 7.35121E-16
4.86597E-03 7.28512E-16
4.98817E-03 7.21867E-16
5.11188E-03 7.15187E-16
5.23711E-03 7.08474E-16
5.36383E-03 7.01729E-16
5.49207E-03 6.94957E-16
5.62181E-03 6.88161E-16
5.75306E-03 6.81347E-16
5.88581E-03 6.74517E-16
6.02007E-03 6.67677E-16
6.15583E-03 6.60831E-16
6.29310E-03 6.53982E-16
6.43187E-03 6.47133E-16
6.57214E-03 6.40287E-16
6.71392E-03 6.33444E-16
6.85720E-03 6.26605E-16
7.00198E-03 6.19772E-16
7.14827E-03 6.12943E-16
7.29605E-03 6.06118E-16
7.44534E-03 5.99299E-16
7.59612E-03 5.92484E-16
7.97965E-03 5.75473E-16
8.37255E-03 5.58522E-16
8.77480E-03 5.41675E-16
9.18641E-03 5.24986E-16
9.60736E-03 5.08501E-16
1.00376E-02 4.92252E-16
1.04773E-02 4.76248E-16
1.09262E-02 4.60490E-16
1.13844E-02 4.44979E-16
1.18520E-02 4.29725E-16
1.23288E-02 4.14753E-16
1.28150E-02 4.00093E-16
1.33104E-02 3.85774E-16
1.38150E-02 3.71812E-16
1.43290E-02 3.58208E-16
1.48521E-02 3.44956E-16
1.53845E-02 3.32047E-16
1.59262E-02 3.19479E-16
1.64770E-02 3.07260E-16
1.70371E-02 2.95401E-16
1.76063E-02 2.83915E-16
1.81848E-02 2.72806E-16
1.87724E-02 2.62070E-16
1.93692E-02 2.51696E-16
1.99751E-02 2.41670E-16
2.05901E-02 2.31982E-16
2.12143E-02 2.22630E-16
2.18476E-02 2.13613E-16
2.24900E-02 2.04934E-16
2.31415E-02 1.96591E-16
2.38021E-02 1.88577E-16
2.44717E-02 1.80879E-16
2.51504E-02 1.73482E-16
2.58382E-02 1.66374E-16
2.65349E-02 1.59548E-16
2.72407E-02 1.52998E-16
2.79555E-02 1.46722E-16
2.86793E-02 1.40717E-16
2.94120E-02 1.34973E-16
3.01537E-02 1.29481E-16
3.09043E-02 1.24227E-16
3.16639E-02 1.19199E-16
3.24324E-02 1.14389E-16
3.32098E-02 1.09790E-16
3.39961E-02 1.05399E-16
3.47912E-02 1.01210E-16
3.55952E-02 9.72167E-17
3.64081E-02 9.34101E-17
3.72297E-02 8.97802E-17
3.80602E-02 8.63170E-17
3.88995E-02 8.30125E-17
3.97476E-02 7.98607E-17
4.06044E-02 7.68571E-17
4.14700E-02 7.39973E-17
4.23443E-02 7.12761E-17
4.32273E-02 6.86868E-17
4.41190E-02 6.62221E-17
4.50194E-02 6.38743E-17
4.59284E-02 6.16368E-17
4.68461E-02 5.95045E-17
4.87074E-02 5.55400E-17
5.06030E-02 5.19494E-17
5.25328E-02 4.86938E-17
5.44967E-02 4.57330E-17
5.64946E-02 4.30374E-17
5.85262E-02 4.05843E-17
6.05914E-02 3.83477E-17
6.26901E-02 3.63003E-17
6.48222E-02 3.44213E-17
6.69873E-02 3.26949E-17
6.91854E-02 3.11050E-17
7.14163E-02 2.96346E-17
7.36799E-02 2.82704E-17
7.59760E-02 2.70023E-17
7.83043E-02 2.58207E-17
8.06647E-02 2.47160E-17
8.30571E-02 2.36808E-17
8.54812E-02 2.27089E-17
8.79369E-02 2.17947E-17
9.04240E-02 2.09330E-17
9.29422E-02 2.01202E-17
9.54915E-02 1.93528E-17
9.80716E-02 1.86271E-17
1.00682E-01 1.79401E-17
1.03323E-01 1.72903E-17
1.05995E-01 1.66758E-17
1.08696E-01 1.60938E-17
1.11427E-01 1.55420E-17
1.14188E-01 1.50194E-17
1.16978E-01 1.45254E-17
1.19797E-01 1.40578E-17
1.22645E-01 1.36139E-17
1.25522E-01 1.31930E-17
1.28428E-01 1.27950E-17
1.31361E-01 1.24182E-17
1.34323E-01 1.20601E-17
1.37313E-01 1.17193E-17
1.40330E-01 1.13960E-17
1.43375E-01 1.10894E-17
1.46447E-01 1.07972E-17
1.49545E-01 1.05175E-17
1.52671E-01 1.02504E-17
1.55823E-01 9.99591E-18
1.59001E-01 9.75245E-18
1.62205E-01 9.51800E-18
1.65435E-01 9.29204E-18
1.68690E-01 9.07513E-18
1.71970E-01 8.86675E-18
